Row Label,County,Tam T. Bui
MUKILTEO  8,SN,159
STOCK SHOW,SN,101
JORDAN,SN,335
TYEE,SN,199
LANTERN,SN,215
MARYSVILLE 46,SN,272
Total,SN,35535
EVERETT  88,SN,187
EVERETT  89,SN,162
EVERETT  86,SN,186
EVERETT  87,SN,122
EVERETT  84,SN,63
EVERETT  85,SN,141
EVERETT  82,SN,143
EVERETT  83,SN,164
EVERETT  80,SN,213
EVERETT  81,SN,106
MARYSVILLE 18,SN,249
MARYSVILLE 19,SN,177
MARYSVILLE 14,SN,279
MARYSVILLE 12,SN,224
MARYSVILLE 13,SN,157
MARYSVILLE 10,SN,157
MARYSVILLE 11,SN,289
MARYSVILLE 16,SN,262
MARYSVILLE 17,SN,199
SUNRISE,SN,194
MARYSVILLE 15,SN,214
