Row Label,County,David Womack,Scott Vejraska
SHORELINE,OK,14,19
SIMILKAMEEN,OK,21,10
PIONEER,OK,14,34
CRUMBACHER,OK,11,52
OMAK #11,OK,34,38
OMAK #12,OK,17,36
LONE PINE,OK,14,17
OMAK #14,OK,20,14
OMAK #15,OK,26,43
OMAK #16,OK,36,15
OMAK #17,OK,35,40
PICKENS MTN,OK,13,25
EDER,OK,29,22
WANNACUT,OK,20,50
CAPE LABELLE,OK,15,17
DIXON,OK,22,40
JANIS,OK,16,19
SIWASH CREEK,OK,21,27
BOSTON,OK,24,57
CHEROKEE,OK,16,51
RANCHES,OK,8,15
WOLF CREEK,OK,37,18
HENDRICK,OK,40,35
ELMERTON,OK,51,31
TONASKET #4,OK,17,25
FRONTAGE,OK,6,12
LEESE,OK,13,10
TONASKET #1,OK,14,13
OKANOGAN #11,OK,24,28
TONASKET #3,OK,11,12
TONASKET #2,OK,27,17
KERMEL,OK,23,37
ANGLIN,OK,27,42
OMAK LAKE,OK,16,21
SAND FLAT,OK,39,34
MALOTT,OK,24,59
DISAUTEL,OK,10,13
BREWSTER #5,OK,14,13
CHILIWIST,OK,13,42
TONASKET #5,OK,20,16
AENEAS,OK,19,23
COULEE DAM #3,OK,25,12
COULEE DAM #2,OK,27,25
COULEE DAM #1,OK,45,17
WESTLAKE,OK,9,22
TONASKET #7,OK,19,28
LEWIS BUTTE,OK,35,26
STARR,OK,14,16
OKANOGAN #10,OK,32,29
BEAVER CREEK,OK,15,19
NORTH MALOTT,OK,22,51
OKANOGAN #12,OK,20,17
WAUCONDA,OK,4,11
WINTHROP RURAL,OK,52,28
DUCK LAKE,OK,10,26
EASTSIDE,OK,42,47
HUDSON,OK,9,21
NIGHTHAWK,OK,4,14
CONCONULLY RURAL,OK,20,23
ANTOINE PEAK,OK,18,7
OROVILLE #10,OK,25,18
OMAK #18,OK,21,13
TWISP #2,OK,28,29
EASTLAKE,OK,10,16
Total,OK,4651,5691
MOCK,OK,15,40
