Row Label,County,Edward E. Wolfe,Linda Streissguth
SYLVAN 066,KP,196,266
PORT ORCHARD 201,KP,195,215
EVERGREEN 257,KP,374,301
FERNWOOD 230,KP,369,215
MANCHESTER 255,KP,221,185
SUNNYSLOPE 281,KP,247,151
LOFALL 442,KP,378,325
BLAKELY 310,KP,124,344
PORT ORCHARD 207,KP,242,188
WOODMERE 127,KP,306,254
BREMERTON 058,KP,196,249
UELAND 082,KP,0,0
WATERMAN 295,KP,189,140
BREMERTON 054,KP,116,130
PIONEER 152,KP,358,253
SILVERDALE 160,KP,279,220
BREMERTON 051,KP,26,17
BREMERTON 052,KP,142,153
BREMERTON 053,KP,270,287
SEABECK 155,KP,458,250
PARKWOOD 270,KP,281,253
ISLAND LAKE 427,KP,270,181
BREMERTON 109,KP,19,20
BREIDABLIK 410,KP,248,253
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,328,175
FRAGARIA 259,KP,257,201
LOVGREN 332,KP,98,210
BANDIX 263,KP,353,211
FORT WARD 318,KP,152,380
FUSON 175,KP,245,186
HARPER 240,KP,215,245
WILLOCK 258,KP,261,173
LIBERTY 325,KP,131,323
PORT ORCHARD 203,KP,127,108
SPRING CREEK 217,KP,214,147
MULLENIX 260,KP,323,238
LARSON 153,KP,360,225
FINCH 314,KP,116,283
ROLLING BAY 330,KP,153,369
BREMERTON 029,KP,175,212
TOTTEN 463,KP,145,255
WOODRIDGE 222,KP,185,101
MANZANITA 336,KP,95,270
OLD FRONTIER 106,KP,373,203
BREMERTON 022,KP,143,172
NEBRASKA 223,KP,270,180
EAGLE HARBOR 317,KP,87,298
NEW BROOKLYN 322,KP,88,237
TOLO 333,KP,139,316
FERNCLIFF 315,KP,182,517
S&#39;KLALLAM 418,KP,5,38
PORT ORCHARD 202,KP,276,235
NAVY YARD CITY 095,KP,223,210
PORT ORCHARD 200,KP,117,110
SANTA FE 148,KP,230,169
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,198,116
PORT ORCHARD 204,KP,204,200
PORT ORCHARD 205,KP,570,396
HUNTER 219,KP,274,136
CONIFER 271,KP,142,120
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,350,242
SCANDIA 455,KP,322,202
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,137,264
ALPINE 111,KP,245,156
LUNDBERG 250,KP,273,213
POINT NO POINT 416,KP,352,422
VINLAND 412,KP,329,254
LINCOLN 440,KP,255,191
BREMERTON 032,KP,21,39
OVERLOOK 267,KP,166,225
BREMERTON 030,KP,201,189
BREMERTON 031,KP,108,114
BREMERTON 037,KP,324,240
APPLE TREE 422,KP,254,304
ERLANDS POINT 130,KP,187,158
RIDGEPOINT 141,KP,212,151
PERRY 073,KP,143,142
CRYSTAL SPRINGS 312,KP,209,502
CRESCENT VALLEY 266,KP,293,218
SHERMAN HEIGHTS 278,KP,8,8
SPINNAKER 146,KP,170,158
SINCLAIR 275,KP,144,108
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,150,582
SYMINGTON 151,KP,165,105
PORT ORCHARD 210,KP,190,122
FRONTIER 102,KP,359,200
RIDGEWAY 084,KP,89,44
WING POINT 305,KP,152,272
PEARSON 445,KP,402,272
BREMERTON 114,KP,0,0
SEABOLD 335,KP,190,415
TIBARDIS 139,KP,122,97
BREMERTON 007,KP,6,4
BREMERTON 006,KP,99,169
BREMERTON 005,KP,102,176
SUQUAMISH 460,KP,108,268
BREMERTON 003,KP,191,204
BREMERTON 002,KP,85,110
BREMERTON 001,KP,91,153
BUCKLIN 121,KP,298,227
MADRONA 269,KP,188,154
DRIVE-IN 283,KP,8,4
MILLER BAY 458,KP,312,311
CONVERSE 252,KP,245,176
LONG LAKE 245,KP,209,131
BREMERTON 088,KP,37,36
BREMERTON 159,KP,136,127
SUTTON 165,KP,175,136
OLYMPIC VIEW 103,KP,247,151
Total,KP,41263,39998
