Row Label,County,Karen Donohue,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 34-1468,KI,131,448,125,256,0,0
SEA 34-1500,KI,155,584,172,328,0,1
SEA 34-1501,KI,129,369,117,248,0,2
SEA 34-1506,KI,100,299,83,183,0,0
SEA 34-1507,KI,97,357,132,230,0,1
SEA 34-1504,KI,138,418,129,267,0,0
SEA 46-2291,KI,113,387,90,204,0,1
SEA 43-1821,KI,84,233,60,144,0,0
SEA 43-1869,KI,139,465,130,270,0,1
SEA 46-2296,KI,118,391,116,237,0,3
SEA 46-2277,KI,161,568,207,368,0,0
SEA 43-1369,KI,65,285,99,165,0,1
SEA 43-2015,KI,88,333,107,195,0,0
SEA 37-1950,KI,44,187,22,67,0,1
SEA 34-1489,KI,176,744,160,338,0,2
SEA 34-1488,KI,154,692,129,284,0,1
SEA 34-1482,KI,93,321,86,180,0,1
SEA 34-1481,KI,118,479,106,227,0,3
SEA 34-1480,KI,187,594,152,339,0,0
SEA 34-1487,KI,114,335,91,205,0,0
SEA 34-1486,KI,99,364,101,201,0,1
SEA 34-1485,KI,185,708,120,307,0,2
SEA 34-1484,KI,102,345,77,180,0,1
SEA 36-3153,KI,103,390,84,187,0,0
SEA 46-2358,KI,263,846,228,494,0,3
SEA 37-1918,KI,93,347,118,212,0,1
SEA 37-1919,KI,97,378,109,207,0,1
SEA 37-2686,KI,180,604,107,291,0,4
SEA 36-3252,KI,107,477,102,211,0,2
SEA 37-1915,KI,118,384,139,260,0,3
SEA 37-1916,KI,114,357,146,261,0,1
SEA 37-1917,KI,167,454,143,311,0,1
SEA 37-1910,KI,159,513,169,329,0,1
SEA 37-1911,KI,102,284,89,191,0,0
SEA 46-2355,KI,111,354,113,224,0,0
SEA 37-1913,KI,123,338,115,239,0,1
SEA 37-1854,KI,113,386,75,190,0,2
SEA 43-1330,KI,135,404,100,238,0,3
SEA 43-1849,KI,67,323,91,161,0,3
SEA 37-1850,KI,161,650,181,346,0,4
SEA 37-1853,KI,69,281,51,120,0,0
SEA 43-1845,KI,142,575,135,277,0,0
SEA 43-1847,KI,109,484,117,227,0,1
SEA 43-1846,KI,78,345,79,158,0,1
SEA 43-1843,KI,121,551,130,251,0,0
SEA 43-1842,KI,136,521,144,282,0,2
SEA 43-2104,KI,131,379,128,260,0,1
SEA 43-2029,KI,236,706,249,488,0,3
SEA 46-2309,KI,94,300,90,184,0,0
SEA 46-2142,KI,200,674,154,357,0,3
SEA 43-1262,KI,149,468,155,308,0,4
SEA 36-2795,KI,101,479,106,209,0,2
SEA 43-1265,KI,70,256,77,148,0,1
SEA 37-1637,KI,190,760,100,295,0,5
SEA 43-1264,KI,116,361,131,248,0,1
SEA 37-1651,KI,168,736,87,256,0,1
SEA 43-2025,KI,171,556,186,360,0,3
SEA 37-1930,KI,190,738,200,391,0,1
SEA 43-1266,KI,97,351,116,213,0,0
SEA 46-2145,KI,147,497,150,297,0,0
SEA 36-1751,KI,98,368,113,212,0,1
SEA 36-1750,KI,126,493,170,296,0,0
SEA 36-1752,KI,109,437,135,244,0,0
SEA 36-1755,KI,75,272,82,158,0,1
SEA 36-1754,KI,115,387,136,252,0,1
SEA 36-1757,KI,65,262,101,166,0,0
SEA 36-1756,KI,194,682,198,393,0,1
SEA 36-1759,KI,59,274,109,169,0,1
SEA 36-1758,KI,124,351,122,246,0,0
SEA 43-2043,KI,88,292,105,193,0,0
SEA 43-2044,KI,88,350,97,186,0,1
SEA 43-2045,KI,93,315,96,189,0,0
SEA 11-1256,KI,139,627,102,242,0,1
SEA 34-1533,KI,74,229,85,159,0,0
SEA 34-1532,KI,71,237,67,138,0,0
SEA 43-1263,KI,111,350,118,230,0,1
SEA 34-1530,KI,172,619,192,367,0,3
SEA 34-1537,KI,92,289,63,156,0,1
SEA 34-1536,KI,99,304,91,191,0,1
SEA 34-1535,KI,71,239,75,146,0,0
SEA 34-1534,KI,114,362,124,238,0,0
SEA 43-1269,KI,113,357,121,234,0,0
SEA 43-1268,KI,117,352,137,254,0,0
SEA 34-1539,KI,100,356,94,198,0,4
SEA 34-1538,KI,104,378,98,202,0,0
SEA 43-2048,KI,100,376,114,214,0,0
SEA 46-2343,KI,97,341,97,194,0,0
SEA 46-2298,KI,103,321,101,205,0,1
SEA 36-2505,KI,116,324,111,228,0,1
SEA 36-2504,KI,98,303,114,213,0,1
SEA 36-2507,KI,77,283,97,180,0,6
SEA 36-2506,KI,90,311,112,202,0,0
SEA 36-2503,KI,98,305,98,196,0,0
SEA 36-2502,KI,142,378,142,284,0,0
SEA 36-2134,KI,138,490,127,266,0,1
SEA 46-3677,KI,86,320,90,181,0,5
SEA 36-2130,KI,127,388,115,243,0,1
SEA 36-2131,KI,212,851,240,453,0,1
SEA 36-2133,KI,170,698,176,348,0,2
SEA 34-1546,KI,109,385,148,257,0,0
SEA 43-1787,KI,138,564,137,277,0,2
SEA 11-1602,KI,136,598,146,288,0,6
SEA 34-1545,KI,123,422,101,224,0,0
SEA 34-1543,KI,102,327,116,218,0,0
SEA 34-1540,KI,84,333,92,176,0,0
SEA 34-1541,KI,93,380,141,235,0,1
SEA 46-1312,KI,88,326,93,181,0,0
SEA 46-1313,KI,76,280,91,168,0,1
SEA 46-1310,KI,120,397,105,229,0,4
SEA 46-1311,KI,102,427,95,198,0,1
SEA 43-1788,KI,338,807,242,580,0,0
SEA 37-3666,KI,89,422,38,128,0,1
SEA 36-1808,KI,99,275,56,156,0,1
SEA 36-1805,KI,106,473,132,239,0,1
SEA 36-1806,KI,149,598,130,281,0,2
SEA 36-1801,KI,188,896,203,391,0,0
SEA 36-1803,KI,73,298,105,178,0,0
SEA 36-3586,KI,219,801,185,407,0,3
SEA 36-3587,KI,132,590,139,273,0,2
SEA 37-1563,KI,68,323,41,111,0,2
SEA 37-1565,KI,92,331,79,172,0,1
SEA 37-1564,KI,122,396,103,227,0,2
SEA 36-3669,KI,75,349,80,157,0,2
SEA 37-1566,KI,88,327,86,176,0,2
SEA 37-1568,KI,98,434,81,179,0,0
SEA 43-2083,KI,95,422,120,215,0,0
SEA 46-2252,KI,79,261,93,172,0,0
SEA 46-2253,KI,142,521,178,322,0,2
SEA 46-2251,KI,154,555,198,352,0,0
SEA 32-2206,KI,135,412,130,266,0,1
SEA 46-2316,KI,119,411,120,239,0,0
SEA 32-2204,KI,118,339,110,230,0,2
SEA 46-2314,KI,121,337,95,217,0,1
SEA 32-2202,KI,116,436,131,250,0,3
SEA 32-2203,KI,202,758,216,422,0,4
SEA 32-2200,KI,130,385,133,263,0,0
SEA 32-2201,KI,163,463,151,315,0,1
SEA 46-2619,KI,142,539,135,279,0,2
SEA 43-2545,KI,166,699,209,375,0,0
SEA 32-2208,KI,103,350,121,224,0,0
SEA 32-2209,KI,186,599,214,402,0,2
SEA 36-2592,KI,87,352,116,205,0,2
SEA 36-2593,KI,83,289,91,174,0,0
SEA 34-1438,KI,108,328,100,209,0,1
SEA 34-1439,KI,108,369,110,220,0,2
SEA 34-1432,KI,104,331,113,218,0,1
SEA 34-1433,KI,99,319,109,208,0,0
SEA 34-1430,KI,94,322,96,190,0,0
SEA 34-1431,KI,101,308,102,203,0,0
SEA 34-1436,KI,72,362,83,156,0,1
SEA 34-1437,KI,103,498,149,254,0,2
SEA 34-1434,KI,91,271,91,183,0,1
SEA 34-1435,KI,66,299,112,178,0,0
SEA 36-2509,KI,115,403,145,260,0,0
SEA 36-2508,KI,141,427,151,293,0,1
SEA 46-2352,KI,86,338,93,181,0,2
SEA 46-1955,KI,153,558,134,289,0,2
SEA 11-1600,KI,134,550,122,257,0,1
SEA 46-2228,KI,116,486,114,234,0,4
SEA 46-2221,KI,137,513,160,298,0,1
SEA 43-1280,KI,166,669,169,337,0,2
SEA 43-1784,KI,149,500,156,308,0,3
SEA 36-3267,KI,130,548,87,219,0,2
SEA 37-1886,KI,154,523,138,293,0,1
SEA 37-1884,KI,174,643,210,385,0,1
SEA 37-1885,KI,105,398,115,223,0,3
SEA 37-1882,KI,104,395,87,193,0,2
SEA 37-1883,KI,95,423,106,204,0,3
SEA 37-1880,KI,137,514,135,276,0,4
SEA 37-1881,KI,85,396,103,188,0,0
SEA 43-1780,KI,111,350,97,208,0,0
SEA 43-1781,KI,94,326,69,164,0,1
SEA 46-2292,KI,143,505,145,288,0,0
SEA 36-1386,KI,95,315,118,213,0,0
SEA 36-1387,KI,144,462,145,289,0,0
SEA 36-1384,KI,114,309,110,228,0,4
SEA 36-1385,KI,66,243,107,175,0,2
SEA 36-1382,KI,109,374,124,233,0,0
SEA 36-1388,KI,99,337,121,220,0,0
SEA 36-1389,KI,73,259,89,163,0,1
SEA 43-1274,KI,98,302,117,216,0,1
SEA 43-2006,KI,72,298,97,169,0,0
SEA 43-2007,KI,79,256,85,164,0,0
SEA 43-2000,KI,152,550,142,294,0,0
SEA 43-2001,KI,213,648,217,433,0,3
SEA 43-2002,KI,187,587,204,391,0,0
SEA 46-2293,KI,130,441,161,292,0,1
SEA 46-1957,KI,175,553,179,354,0,0
SEA 37-2861,KI,108,391,134,243,0,1
SEA 43-2009,KI,170,487,157,329,0,2
SEA 37-1635,KI,111,524,85,199,0,3
SEA 37-1589,KI,102,290,114,217,0,1
SEA 37-1588,KI,75,244,82,159,0,2
SEA 46-1314,KI,93,330,117,210,0,0
SEA 37-1634,KI,95,473,94,191,0,2
SEA 37-1583,KI,225,700,154,382,0,3
SEA 37-1582,KI,169,715,120,291,0,2
SEA 37-1580,KI,100,333,57,160,0,3
SEA 37-1587,KI,95,311,100,195,0,0
SEA 37-1586,KI,122,373,126,251,0,3
SEA 36-3566,KI,162,579,144,307,0,1
SEA 36-1299,KI,103,425,153,260,0,4
SEA 43-1347,KI,203,726,230,435,0,2
SEA 43-1344,KI,139,452,153,292,0,0
SEA 37-1636,KI,146,586,69,217,0,2
SEA 43-1342,KI,123,366,113,237,0,1
SEA 43-1343,KI,93,355,121,215,0,1
SEA 43-1341,KI,173,499,178,351,0,0
SEA 46-2290,KI,86,289,109,195,0,0
SEA 46-2272,KI,109,367,137,247,0,1
SEA 43-1348,KI,152,555,164,317,0,1
SEA 37-1630,KI,73,309,96,169,0,0
SEA 46-1284,KI,72,278,68,140,0,0
SEA 46-1285,KI,85,303,96,182,0,1
SEA 43-1975,KI,37,439,26,63,0,0
SEA 37-1633,KI,76,329,87,163,0,0
SEA 46-1282,KI,176,656,221,399,0,2
SEA 43-1976,KI,52,242,42,94,0,0
SEA 37-1632,KI,86,292,85,173,0,2
SEA 43-3320,KI,132,515,108,241,0,1
SEA 36-1661,KI,91,277,102,193,0,0
SEA 43-2014,KI,118,352,142,260,0,0
SEA 36-1663,KI,89,275,116,205,0,0
SEA 36-1709,KI,80,359,72,154,0,2
SEA 36-1665,KI,161,515,194,356,0,1
SEA 36-1664,KI,103,326,114,218,0,1
SEA 46-1963,KI,68,278,84,152,0,0
SEA 36-1666,KI,193,572,166,360,0,1
SEA 36-1702,KI,162,606,208,372,0,2
SEA 36-1668,KI,123,443,118,244,0,3
SEA 36-1700,KI,121,383,86,208,0,1
SEA 36-1701,KI,121,331,109,231,0,1
SEA 46-1969,KI,83,278,86,169,0,0
SEA 11-1641,KI,109,539,74,183,0,0
SEA 36-1704,KI,135,640,114,251,0,2
SEA 46-2094,KI,96,283,82,178,0,0
SEA 46-2095,KI,82,279,104,187,0,1
SEA 36-3319,KI,185,867,180,365,0,0
SEA 36-3318,KI,205,680,221,428,0,2
SEA 46-2090,KI,139,494,122,262,0,1
SEA 46-2091,KI,136,451,129,265,0,0
SEA 46-2092,KI,114,311,111,225,0,0
SEA 46-2093,KI,147,462,170,317,0,0
SEA 34-1411,KI,102,307,95,197,0,0
SEA 46-2099,KI,139,437,151,293,0,3
SEA 43-2853,KI,101,440,105,206,0,0
SEA 43-2852,KI,108,501,117,226,0,1
SEA 36-1689,KI,158,484,155,313,0,0
SEA 36-1688,KI,88,273,91,179,0,0
SEA 43-2113,KI,79,393,59,140,0,2
SEA 36-1683,KI,91,305,114,205,0,0
SEA 36-1682,KI,92,309,96,190,0,2
SEA 34-1409,KI,112,422,157,270,0,1
SEA 34-1408,KI,248,708,232,481,0,1
SEA 36-1687,KI,163,644,144,309,0,2
SEA 36-1686,KI,189,768,161,352,0,2
SEA 36-1685,KI,116,418,104,220,0,0
SEA 36-1684,KI,91,338,82,173,0,0
SEA 43-1333,KI,103,340,126,229,0,0
SEA 43-1332,KI,112,385,153,267,0,2
SEA 43-1331,KI,114,366,110,224,0,0
SEA 37-1647,KI,188,669,159,349,0,2
SEA 43-1335,KI,186,637,190,377,0,1
SEA 43-1334,KI,123,446,136,262,0,3
SEA 36-1768,KI,93,331,108,201,0,0
SEA 43-1339,KI,85,298,101,187,0,1
SEA 43-1338,KI,139,449,163,302,0,0
SEA 43-1861,KI,195,750,234,432,0,3
SEA 46-2297,KI,81,283,86,169,0,2
SEA 46-2261,KI,80,256,95,175,0,0
SEA 36-2172,KI,101,319,112,214,0,1
SEA 37-1643,KI,138,682,89,228,0,1
SEA 34-1476,KI,75,273,94,170,0,1
SEA 34-1477,KI,88,307,112,200,0,0
SEA 34-1474,KI,100,402,127,227,0,0
SEA 34-1475,KI,79,311,95,176,0,2
SEA 34-1472,KI,88,239,83,171,0,0
SEA 34-1473,KI,98,319,82,180,0,0
SEA 34-1470,KI,192,677,156,352,0,4
SEA 34-1471,KI,156,492,148,305,0,1
SEA 43-3424,KI,109,407,109,219,0,1
SEA 36-2149,KI,122,367,137,261,0,2
SEA 36-2148,KI,105,359,124,229,0,0
SEA 34-1478,KI,76,253,86,163,0,1
SEA 34-1479,KI,107,313,92,200,0,1
SEA 34-1259,KI,111,328,93,205,0,1
SEA 43-2050,KI,126,442,95,222,0,1
SEA 37-1567,KI,91,332,65,156,0,0
SEA 37-1648,KI,181,695,144,327,0,2
SEA 37-3617,KI,116,553,117,235,0,2
SEA 46-2295,KI,140,481,170,310,0,0
SEA 34-1498,KI,171,668,156,330,0,3
SEA 34-1499,KI,125,483,162,289,0,2
SEA 34-1258,KI,124,341,99,225,0,2
SEA 46-2257,KI,235,799,273,509,0,1
SEA 34-1490,KI,124,437,109,235,0,2
SEA 34-1493,KI,179,722,139,320,0,2
SEA 34-1494,KI,139,536,123,265,0,3
SEA 34-1496,KI,202,826,186,389,0,1
SEA 34-1497,KI,189,728,143,336,0,4
SEA 46-2267,KI,128,518,113,241,0,0
SEA 37-1920,KI,184,574,154,339,0,1
SEA 46-2264,KI,256,768,229,487,0,2
SEA 37-1925,KI,71,319,79,153,0,3
SEA 37-1927,KI,101,409,115,216,0,0
SEA 46-2260,KI,257,722,252,511,0,2
SEA 46-2340,KI,171,680,207,381,0,3
SEA 11-1942,KI,128,526,140,271,0,3
SEA 11-1941,KI,91,431,131,224,0,2
SEA 37-1841,KI,181,813,210,396,0,5
SEA 11-1947,KI,99,453,102,204,0,3
SEA 46-2345,KI,86,294,110,196,0,0
SEA 11-1945,KI,175,703,164,341,0,2
SEA 46-2268,KI,96,330,109,205,0,0
SEA 43-1999,KI,129,439,141,270,0,0
SEA 43-1851,KI,196,694,217,413,0,0
SEA 43-1856,KI,169,579,149,322,0,4
SEA 37-1621,KI,78,342,73,151,0,0
SEA 43-1855,KI,138,619,197,337,0,2
SEA 43-1993,KI,78,238,67,147,0,2
SEA 43-1992,KI,172,652,237,410,0,1
SEA 43-1858,KI,95,335,103,203,0,5
SEA 43-1859,KI,126,553,159,286,0,1
SEA 43-1997,KI,93,295,100,194,0,1
SEA 43-1996,KI,90,298,103,193,0,0
SEA 43-1995,KI,80,244,82,163,0,1
SEA 43-1857,KI,114,528,136,251,0,1
SEA 46-2317,KI,124,433,141,269,0,4
SEA 43-3685,KI,84,258,73,158,0,1
SEA 46-2346,KI,99,364,92,193,0,2
SEA 43-2052,KI,74,445,68,143,0,1
SEA 46-2127,KI,157,494,121,278,0,0
SEA 43-1991,KI,238,839,247,487,0,2
SEA 43-1990,KI,129,458,131,260,0,0
SEA 43-2064,KI,65,370,82,148,0,1
SEA 46-2310,KI,146,386,129,277,0,2
SEA 46-2286,KI,143,437,134,279,0,2
SEA 36-3689,KI,75,398,89,166,0,2
SEA 43-1378,KI,96,308,122,219,0,1
SEA 46-2305,KI,114,364,138,253,0,1
SEA 36-3686,KI,139,501,112,254,0,3
SEA 46-2280,KI,180,645,215,396,0,1
SEA 43-2543,KI,79,313,72,153,0,2
SEA 46-2369,KI,157,419,104,262,0,1
SEA 46-2328,KI,66,299,81,147,0,0
SEA 43-2040,KI,94,476,119,214,0,1
SEA 46-2282,KI,215,653,213,429,0,1
SEA 46-2319,KI,147,506,176,323,0,0
SEA 46-2098,KI,137,436,148,285,0,0
SEA 46-2318,KI,93,277,94,188,0,1
SEA 36-1746,KI,109,313,94,203,0,0
SEA 36-1747,KI,87,296,107,195,0,1
SEA 36-1744,KI,92,393,136,228,0,0
SEA 46-2325,KI,157,405,84,242,0,1
SEA 36-1742,KI,103,296,82,185,0,0
SEA 36-1743,KI,98,391,108,206,0,0
SEA 36-1740,KI,88,323,118,208,0,2
SEA 36-1741,KI,91,325,116,207,0,0
SEA 43-2075,KI,75,458,88,163,0,0
SEA 43-2074,KI,138,564,177,316,0,1
SEA 43-2076,KI,70,403,66,137,0,1
SEA 43-2071,KI,125,371,135,260,0,0
SEA 36-2590,KI,112,364,99,213,0,2
SEA 36-1748,KI,80,261,88,169,0,1
SEA 36-1749,KI,185,681,183,370,0,2
SEA 46-2274,KI,74,256,93,167,0,0
SEA 46-2349,KI,108,382,112,220,0,0
SEA 43-2110,KI,92,452,93,186,0,1
SEA 34-1520,KI,91,314,98,190,0,1
SEA 34-1521,KI,91,266,88,181,0,2
SEA 34-1522,KI,88,261,83,171,0,0
SEA 34-1523,KI,90,296,103,193,0,0
SEA 34-1524,KI,100,291,98,199,0,1
SEA 34-1526,KI,71,248,85,156,0,0
SEA 34-1527,KI,191,684,156,351,0,4
SEA 43-1377,KI,105,330,102,207,0,0
SEA 34-1529,KI,65,266,67,132,0,0
SEA 43-1375,KI,100,327,119,222,0,3
SEA 43-1374,KI,85,295,120,205,0,0
SEA 32-3568,KI,240,849,140,383,1,2
SEA 43-1372,KI,81,335,143,224,0,0
SEA 43-1278,KI,159,588,147,308,0,2
SEA 43-1279,KI,186,684,219,406,0,1
SEA 43-2862,KI,195,736,162,360,0,3
SEA 36-2518,KI,109,425,135,246,0,2
SEA 43-1887,KI,191,648,172,365,0,2
SEA 36-2512,KI,146,505,182,331,0,3
SEA 36-2513,KI,134,434,166,301,0,1
SEA 36-2510,KI,133,352,88,221,0,0
SEA 36-2118,KI,115,383,133,250,0,2
SEA 36-2517,KI,170,613,208,382,0,4
SEA 36-2514,KI,86,298,107,193,0,0
SEA 36-2515,KI,113,361,120,233,0,0
SEA 37-1619,KI,122,449,133,256,0,1
SEA 37-1618,KI,96,389,92,188,0,0
SEA 37-1613,KI,96,292,104,200,0,0
SEA 37-1612,KI,89,288,102,191,0,0
SEA 37-1611,KI,90,289,100,191,0,1
SEA 37-1610,KI,93,331,111,206,0,2
SEA 37-1617,KI,92,323,105,201,0,4
SEA 37-1616,KI,90,351,115,207,0,2
SEA 37-1615,KI,106,343,97,205,0,2
SEA 37-1614,KI,68,260,87,155,0,0
SEA 36-1324,KI,214,779,262,477,0,1
SEA 36-1732,KI,138,449,139,278,0,1
SEA 36-1731,KI,108,404,122,230,0,0
SEA 36-1730,KI,87,385,135,222,0,0
SEA 36-1737,KI,103,416,88,193,0,2
SEA 36-1736,KI,94,341,114,209,0,1
SEA 36-1735,KI,73,252,87,160,0,0
SEA 36-1734,KI,151,497,135,286,0,0
SEA 46-2128,KI,123,542,122,247,0,2
SEA 36-1739,KI,107,309,99,207,0,1
SEA 36-1738,KI,90,295,99,190,0,1
SEA 11-1639,KI,104,551,89,193,0,0
SEA 36-1329,KI,107,410,145,254,0,2
SEA 43-3665,KI,108,379,74,184,0,2
SEA 36-1812,KI,124,469,127,251,0,0
SEA 36-1813,KI,79,330,95,174,0,0
SEA 11-1550,KI,127,563,94,222,0,1
SEA 46-2299,KI,119,393,108,229,0,2
SEA 11-1552,KI,74,379,90,166,0,2
SEA 36-1815,KI,173,453,100,273,0,0
SEA 43-2928,KI,144,639,193,339,0,2
SEA 37-1576,KI,131,435,54,186,0,1
SEA 37-1574,KI,99,417,76,179,0,4
SEA 37-1575,KI,69,377,55,124,0,0
SEA 37-1572,KI,95,307,81,180,0,4
SEA 36-3679,KI,65,314,72,137,0,0
SEA 37-1570,KI,163,659,140,304,0,1
SEA 37-1571,KI,140,432,107,250,0,3
SEA 34-1511,KI,81,320,89,172,0,2
SEA 37-1578,KI,88,413,82,172,0,2
SEA 37-1579,KI,56,247,49,108,0,3
SEA 46-2304,KI,112,369,121,233,0,0
SEA 36-2170,KI,132,450,153,285,0,0
SEA 46-2306,KI,95,307,99,195,0,1
SEA 46-2307,KI,114,313,101,215,0,0
SEA 46-2300,KI,151,490,172,327,0,4
SEA 43-1818,KI,97,295,99,196,0,0
SEA 34-1460,KI,96,324,112,209,0,1
SEA 43-1817,KI,77,264,57,134,0,0
SEA 46-2308,KI,99,377,131,230,0,0
SEA 34-1463,KI,86,259,91,178,0,1
SEA 34-1462,KI,85,339,114,199,0,0
SEA 34-1449,KI,90,367,122,213,0,1
SEA 34-1448,KI,93,270,85,181,0,3
SEA 34-1446,KI,101,398,134,237,0,2
SEA 34-1444,KI,194,595,169,365,0,2
SEA 34-1443,KI,130,380,136,266,0,0
SEA 34-1442,KI,102,380,105,207,0,0
SEA 34-1441,KI,77,264,77,156,0,2
SEA 34-1440,KI,61,242,88,149,0,0
SEA 43-2088,KI,191,694,169,361,0,1
SEA 43-2089,KI,32,341,33,65,0,0
SEA 43-2084,KI,221,668,222,445,0,2
SEA 43-1360,KI,213,622,165,379,0,1
SEA 46-1283,KI,113,391,90,204,0,1
SEA 43-2081,KI,23,385,12,35,0,0
SEA 43-1361,KI,112,417,125,238,0,1
SEA 34-1469,KI,89,362,93,182,0,0
SEA 43-2544,KI,281,887,253,537,0,3
SEA 43-2058,KI,64,247,85,150,0,1
SEA 46-2342,KI,98,406,86,187,0,3
SEA 43-2547,KI,104,461,100,204,0,0
SEA 43-2546,KI,90,324,83,176,0,3
SEA 36-2536,KI,152,567,175,329,0,2
SEA 43-1291,KI,279,684,208,487,0,0
SEA 46-2234,KI,83,274,97,182,0,2
SEA 46-2236,KI,106,350,112,218,0,0
SEA 46-2796,KI,113,456,112,229,0,4
SEA 37-1872,KI,169,581,185,359,0,5
SEA 37-1871,KI,183,629,203,389,0,3
SEA 43-1868,KI,114,353,119,233,0,0
SEA 37-1876,KI,193,766,250,444,0,1
SEA 37-1875,KI,165,525,121,288,0,2
