Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dan Satterberg
TUK 11-2949,KI,585,75,225,0,7,143
AUB 47-0059,KI,678,100,365,0,5,260
RNT 11-2815,KI,677,66,215,0,4,145
KIR 45-2679,KI,614,147,379,0,6,226
AUB 47-0055,KI,391,56,156,0,2,98
SEA 11-1928,KI,298,62,145,0,15,68
SEA 43-2850,KI,359,83,182,0,4,95
SHL 32-0527,KI,626,87,274,0,10,177
KIR 45-2471,KI,720,120,453,0,5,328
KEN 47-0498,KI,231,20,94,0,1,73
SHL 32-0335,KI,414,71,195,0,6,118
PTARMIGAN,KI,344,57,195,0,4,134
SPRING LAKE,KI,745,124,431,0,2,305
SEA 36-2170,KI,450,131,285,0,3,151
SEA 36-2171,KI,491,131,329,0,9,189
SEA 36-2172,KI,319,101,214,0,5,108
AUB 31-0078,KI,404,67,193,0,1,125
ALDARRA,KI,711,131,434,0,3,300
SEA 46-2338,KI,543,95,260,0,7,158
BIG BEND,KI,216,49,124,0,0,75
AUB 31-0070,KI,655,52,267,0,4,211
KIR 45-2786,KI,351,79,236,0,3,154
SEA 46-2290,KI,289,102,195,0,3,90
WOD 45-3530,KI,692,97,364,0,6,261
SEA 46-2291,KI,387,86,204,0,9,109
BEL 48-2778,KI,243,48,148,0,0,100
BETTY,KI,775,107,263,0,7,149
BEL 48-2773,KI,287,51,142,0,1,90
BEL 48-2772,KI,345,58,205,0,4,143
SEA 46-2295,KI,481,129,310,0,12,169
BEL 48-2777,KI,229,20,89,0,1,68
BEL 48-2776,KI,495,69,274,0,6,199
BEL 48-2775,KI,478,85,264,0,7,172
BEL 48-2774,KI,434,50,186,0,7,129
SEA 36-3153,KI,390,74,187,0,4,109
MERLIN,KI,411,41,170,0,5,124
SEA 37-1918,KI,347,85,212,0,5,122
SEA 37-1919,KI,378,105,207,0,5,97
SEA 37-1914,KI,523,158,364,0,9,197
RNT 11-3563,KI,625,110,277,0,2,165
SEA 37-1916,KI,357,114,261,1,3,143
SEA 37-1917,KI,454,133,311,0,7,171
SEA 37-1910,KI,513,146,329,0,12,171
SEA 37-1911,KI,284,58,191,0,4,129
RNT 11-3564,KI,491,92,246,0,8,146
SEA 37-1913,KI,338,92,239,0,5,142
BUR 34-0033,KI,682,109,309,0,7,193
M-I 41-0755,KI,265,50,172,0,3,119
LAKE MORTON,KI,232,37,151,0,4,110
ISS 05-3634,KI,422,60,190,0,2,128
RNT 11-2583,KI,838,119,368,0,2,247
RNT 11-2582,KI,795,102,270,0,13,155
HOLLYWOOD,KI,538,121,359,0,5,233
SEA 43-1339,KI,298,88,187,0,7,92
M-V 05-3510,KI,381,50,213,0,5,158
BEL 41-3593,KI,534,71,182,0,2,109
SEA 43-1338,KI,449,163,302,0,13,126
SEA 34-3632,KI,271,39,99,0,2,58
KEN 11-0893,KI,580,64,209,0,4,141
BEL 41-3608,KI,714,91,349,0,2,256
SAM 41-2690,KI,526,84,271,0,2,185
RNT 11-0988,KI,437,49,172,0,2,121
RNT 11-0985,KI,325,46,167,0,2,119
RNT 11-0984,KI,279,43,140,0,2,95
RNT 11-0986,KI,719,111,349,0,3,235
RNT 11-0981,KI,794,100,399,0,8,291
RNT 11-0980,KI,333,29,90,0,2,59
AUB 47-2573,KI,679,78,391,0,11,302
KEN 33-0578,KI,501,56,207,0,3,148
KEN 33-0576,KI,394,45,165,0,7,113
KEN 33-0577,KI,371,50,170,0,1,119
KEN 33-0575,KI,413,42,153,0,3,108
BERRYDALE,KI,505,74,277,0,9,194
LOUIE,KI,512,73,236,0,2,161
M-V 05-3600,KI,616,77,270,0,3,190
M-V 05-3601,KI,496,71,239,0,5,163
BEL 41-0733,KI,718,110,315,0,4,201
GOLDFINCH,KI,281,59,165,0,1,105
ENM 31-0409,KI,379,61,196,0,3,132
LAKE RETREAT,KI,654,107,347,0,4,236
CLOVER,KI,594,75,299,0,2,222
SEA 37-1898,KI,285,84,158,0,11,63
RNT 11-1125,KI,661,78,268,0,6,184
HERON,KI,424,57,222,0,5,160
COV 47-3597,KI,293,47,150,0,2,101
RNT 33-2472,KI,587,67,252,0,5,180
CHINOOK,KI,671,100,357,0,5,252
SEA 34-1476,KI,273,80,170,0,1,89
AUB 31-3299,KI,248,38,155,0,1,116
SEA 34-1474,KI,402,105,227,0,5,117
BROKEN HILL,KI,639,104,268,0,5,159
SEA 11-1600,KI,550,115,257,0,6,136
SEA 43-1787,KI,564,118,277,0,11,148
SEA 11-1602,KI,598,132,288,0,12,144
SEA 34-1475,KI,311,83,176,0,5,88
SEA 34-1543,KI,327,65,218,0,1,152
SEA 34-1540,KI,333,77,176,0,4,95
SEA 34-1541,KI,380,99,235,0,3,133
SEA 34-1472,KI,239,73,171,0,3,95
SALISH,KI,674,118,418,0,3,297
SEA 43-1788,KI,807,204,580,0,11,365
SEA 34-1473,KI,319,66,180,0,7,107
ALG 30-0014,KI,486,50,229,0,6,173
KIR 01-0019,KI,752,142,433,0,5,286
SEA 37-3666,KI,422,44,128,0,5,79
SEA 34-1470,KI,677,141,352,0,6,205
ALG 30-0013,KI,467,34,153,0,8,111
CALHOUN,KI,574,44,236,0,7,185
RED 48-3475,KI,356,62,210,0,2,146
COLVOS,KI,250,63,153,0,2,88
RNT 11-0502,KI,703,111,346,0,8,227
LFP 46-1075,KI,366,79,217,0,3,135
SEA 32-2206,KI,412,102,266,0,8,156
SEA 46-2316,KI,411,118,239,0,7,114
SEA 32-2204,KI,339,98,230,0,16,116
SEA 46-2314,KI,337,83,217,0,7,127
SEA 32-2202,KI,436,101,250,0,8,141
COV 47-3581,KI,385,58,180,0,3,119
SEA 32-2200,KI,385,92,263,0,0,171
SEA 32-2201,KI,463,126,315,0,3,186
BEL 48-0207,KI,327,57,186,0,5,124
BEL 48-0201,KI,512,75,293,0,0,218
SEA 32-2208,KI,350,93,224,0,6,125
SEA 32-2209,KI,599,141,402,0,9,252
SEA 34-1438,KI,328,65,209,0,2,142
SEA 34-1439,KI,369,81,220,0,3,136
SEA 34-1432,KI,331,95,218,0,7,116
SEA 34-1433,KI,319,87,208,0,5,116
KEN 47-3323,KI,459,62,218,0,4,152
SEA 34-1431,KI,308,78,203,0,6,119
SEA 34-1436,KI,362,66,156,0,11,79
SEA 34-1437,KI,498,130,254,0,8,116
SEA 34-1434,KI,271,73,183,0,0,110
SEA 34-1435,KI,299,91,178,0,4,83
KEN 47-2403,KI,466,53,171,0,4,114
SAM 41-3638,KI,717,132,346,0,4,210
SAM 45-2564,KI,749,134,418,0,9,275
FAIRMONT,KI,394,56,216,0,4,156
CHALLENGER,KI,293,56,185,0,4,125
BEL 48-0149,KI,416,89,234,0,3,142
BEL 48-0142,KI,299,54,159,0,1,104
BEL 48-0143,KI,291,50,152,0,2,100
BEL 48-0140,KI,425,73,234,0,2,159
BEL 48-0146,KI,298,57,173,0,4,112
BEL 48-0147,KI,444,77,207,0,6,124
BEL 48-0144,KI,320,58,169,0,3,108
BEL 48-0145,KI,274,50,137,0,4,83
SEA 46-2228,KI,486,100,234,0,9,125
SEA 46-2221,KI,513,137,298,0,3,158
DES 30-1227,KI,635,118,378,0,6,254
SHL 32-2753,KI,465,70,184,0,5,109
DANIEL,KI,574,88,323,0,7,228
ISS 05-2806,KI,399,101,243,0,1,141
SAM 45-3412,KI,738,131,406,0,5,270
JAY,KI,492,99,280,0,6,175
SHL 32-1210,KI,535,113,284,0,14,157
SEA 37-1944,KI,754,131,326,0,7,188
SEA 36-1386,KI,315,84,213,0,0,129
SEA 36-1387,KI,462,102,289,0,3,184
SEA 36-1384,KI,309,100,228,0,8,120
SEA 36-1385,KI,243,89,175,0,2,84
AUB 31-0082,KI,403,55,203,0,10,138
AUB 31-0083,KI,487,64,229,0,1,164
AUB 31-0080,KI,830,77,414,0,6,331
AUB 31-0081,KI,457,34,199,0,4,161
SEA 36-1388,KI,337,108,220,0,5,107
SEA 36-1389,KI,259,70,163,0,1,92
TUK 11-3393,KI,347,39,119,0,5,75
HONEY,KI,102,17,57,0,0,40
KEN 33-3332,KI,863,149,437,0,4,284
KEN 47-0798,KI,742,102,394,0,1,291
SET 33-3069,KI,353,55,169,0,8,106
SET 33-3068,KI,464,53,228,0,1,174
SKY 39-1091,KI,130,25,74,0,0,49
SET 33-3066,KI,491,52,179,0,4,123
KEN 33-3445,KI,375,62,188,0,5,121
SET 33-3064,KI,468,48,167,0,6,113
SET 33-3063,KI,330,47,173,0,4,122
SET 33-3062,KI,316,36,155,0,0,119
SET 33-3061,KI,340,52,166,0,1,113
SEA 37-1630,KI,309,70,169,0,5,94
KEN 33-2426,KI,550,83,298,0,10,205
SEA 43-1976,KI,242,38,94,0,2,54
SHL 32-1106,KI,585,120,299,0,3,176
BEL 41-2554,KI,645,112,343,0,0,231
SEA 43-3320,KI,515,94,241,0,9,138
SHL 32-1101,KI,301,53,157,0,0,104
SEA 37-1622,KI,578,94,226,0,5,127
BUR 33-0805,KI,591,78,270,0,7,185
SEA 36-1709,KI,359,76,154,0,1,77
COOPER,KI,473,98,278,0,5,175
SEA 36-1702,KI,606,154,372,0,11,207
SEA 36-1703,KI,530,132,340,0,6,202
SEA 36-1700,KI,383,72,208,0,0,136
DOLPHIN,KI,275,77,183,0,7,99
SEA 36-1704,KI,640,97,251,0,8,146
SEA 46-2094,KI,283,83,178,0,6,89
SEA 46-2095,KI,279,82,187,0,6,99
SEA 46-2096,KI,230,86,162,0,2,74
SEA 46-2097,KI,400,122,257,0,7,128
SEA 46-2090,KI,494,111,262,0,7,144
SEA 46-2091,KI,451,105,265,0,5,155
SEA 46-2092,KI,311,92,225,0,4,129
SEA 36-2750,KI,458,78,198,0,8,112
SEA 34-1497,KI,728,117,336,0,11,208
SEA 46-2098,KI,436,128,285,0,8,149
DOLLOFF,KI,412,66,223,0,3,154
LOIS,KI,566,78,237,0,11,148
SHL 32-0538,KI,425,77,219,0,9,133
SEA 46-2263,KI,599,180,396,0,9,207
BEL 48-3166,KI,561,68,278,0,3,207
SHL 32-0530,KI,282,63,179,0,1,115
BEL 48-3498,KI,239,40,153,0,0,113
AUB 31-0069,KI,314,40,159,0,0,119
SEA 36-2147,KI,489,165,338,0,4,169
SEA 36-2146,KI,338,101,199,0,4,94
AUB 31-0062,KI,660,70,332,0,9,253
AUB 31-0063,KI,279,21,130,0,2,107
AUB 31-0064,KI,408,34,125,0,3,88
AUB 31-0065,KI,288,33,125,0,2,90
COV 47-3244,KI,466,46,204,0,5,153
SEA 46-2345,KI,294,76,196,0,2,118
ALDERWOOD,KI,440,83,284,0,4,197
RED 45-2643,KI,433,84,254,0,7,163
BEL 41-3291,KI,292,62,159,0,0,97
SEA 37-1920,KI,574,160,339,0,10,169
SEA 37-1925,KI,319,75,153,0,6,72
SEA 37-1927,KI,409,113,216,0,5,98
RNT 11-2816,KI,578,88,297,0,1,208
SEA 43-1999,KI,439,108,270,0,9,153
SEA 43-1993,KI,238,53,147,0,3,91
SEA 43-1992,KI,652,109,410,0,5,296
SEA 43-1991,KI,839,156,487,0,10,321
SEA 43-1990,KI,458,102,260,0,2,156
SEA 43-1997,KI,295,83,194,0,2,109
SEA 43-1996,KI,298,68,193,0,6,119
SEA 43-1995,KI,244,68,163,0,4,91
SEA 43-1994,KI,295,80,197,0,3,114
RNT 11-3224,KI,457,65,214,0,1,148
BUR 34-0025,KI,734,120,352,0,15,217
RNT 11-3223,KI,294,33,114,0,2,79
RNT 11-3222,KI,581,96,295,0,2,197
MARCEL,KI,371,69,207,0,1,137
RNT 11-2607,KI,631,74,196,0,3,119
SAM 45-3388,KI,698,118,389,0,3,268
SAM 45-3389,KI,762,127,460,0,10,323
SEA 43-3685,KI,258,68,158,0,6,84
DES 33-1078,KI,354,51,150,0,1,98
SAM 45-3386,KI,784,114,398,0,3,281
SAM 45-3387,KI,402,90,244,0,2,152
LAKERIDGE,KI,751,143,411,0,15,253
BEL 41-3583,KI,675,104,386,0,3,279
BEL 41-0129,KI,316,42,148,0,2,104
BEL 41-0128,KI,494,92,295,0,2,201
MCDONALD,KI,525,91,285,0,7,187
BEL 41-0124,KI,505,102,308,0,2,204
BEL 41-0123,KI,748,90,323,0,5,228
BEL 41-0122,KI,391,54,213,0,1,158
BEL 41-0121,KI,501,74,231,0,13,144
BEL 41-0120,KI,248,39,157,0,0,118
SNQ 05-3151,KI,627,99,297,0,4,194
RNT 11-3359,KI,487,44,188,0,4,140
RNT 11-0992,KI,295,48,127,0,1,78
RNT 11-0990,KI,448,63,199,0,6,130
RNT 11-0996,KI,562,76,257,0,4,177
RNT 11-0997,KI,875,115,328,0,8,205
RNT 11-3643,KI,363,60,180,0,3,117
RNT 11-0998,KI,363,55,171,1,2,113
WAXWING,KI,295,56,178,0,0,122
KEN 33-0583,KI,371,59,203,0,2,142
KEN 33-0582,KI,843,96,359,0,3,260
KEN 33-0581,KI,684,76,311,0,7,228
KEN 33-0587,KI,470,55,209,0,3,151
KEN 33-0586,KI,437,69,256,0,3,184
KEN 33-0585,KI,569,62,224,0,7,155
KEN 33-0588,KI,317,46,157,0,2,109
HUCKLEBERRY,KI,420,49,227,0,3,175
SEA 43-3595,KI,535,124,322,0,12,186
MINK ROAD,KI,424,88,260,0,4,168
RED 45-3282,KI,707,114,425,0,10,301
RED 45-3281,KI,633,88,312,0,1,223
LFP 46-0397,KI,397,74,204,0,3,127
BUR 33-0251,KI,386,62,174,0,3,109
SHL 32-0844,KI,431,102,276,0,3,171
SEA 43-1379,KI,263,109,187,0,2,76
SEA 43-1378,KI,308,107,219,0,2,110
SEA 43-1377,KI,330,94,207,0,10,103
SEA 43-1376,KI,541,140,312,0,4,168
SEA 43-1375,KI,327,103,222,0,10,109
SEA 43-1374,KI,295,110,205,0,3,92
SEA 43-1373,KI,335,111,243,0,10,122
SEA 43-1372,KI,335,106,224,0,5,113
SEA 43-1371,KI,288,77,166,0,3,86
SEA 43-1370,KI,332,114,237,0,3,120
LFP 46-0400,KI,519,107,315,0,8,200
ISS 05-3464,KI,829,133,376,0,2,241
HUTCHINSON,KI,678,143,427,0,3,281
BEL 41-1052,KI,462,79,257,0,2,176
SAWYER,KI,594,110,382,0,1,271
SAM 41-3607,KI,498,59,259,0,1,199
SEA 11-1639,KI,551,79,193,0,5,109
SEA 43-3665,KI,379,66,184,0,4,114
KEN 47-2939,KI,314,39,121,0,0,82
NOVELTY,KI,605,117,336,0,3,216
BUR 34-1047,KI,744,114,355,0,5,236
BEL 41-2970,KI,714,125,384,0,5,254
SEA 43-1368,KI,292,96,184,0,7,81
MAY VALLEY,KI,492,70,246,0,5,171
BEL 48-0212,KI,620,62,303,0,14,227
BEL 48-0213,KI,395,48,175,0,4,123
SEA 46-2306,KI,307,83,195,0,4,108
SEA 46-2127,KI,494,127,278,0,6,145
BEL 48-0216,KI,256,33,140,0,2,105
BEL 48-0217,KI,404,55,184,0,3,126
BEL 48-0214,KI,274,34,130,0,2,94
SEA 46-2303,KI,422,120,284,0,7,157
BEL 48-0218,KI,546,89,338,0,4,245
SEA 46-2308,KI,377,107,230,0,2,121
SEA 46-2309,KI,300,90,184,0,2,92
GRASS LAKE,KI,374,54,235,0,2,179
SEA 34-1449,KI,367,102,213,0,3,108
RNT 11-0456,KI,635,75,291,0,4,212
SEA 34-1446,KI,398,106,237,0,3,128
SEA 34-1444,KI,595,133,365,0,8,224
SEA 34-1443,KI,380,76,266,0,3,187
SEA 11-1256,KI,627,89,242,0,11,142
SEA 34-1441,KI,264,55,156,0,6,95
SEA 34-1440,KI,242,65,149,0,1,83
SEA 43-1367,KI,375,130,253,0,6,117
SEA 43-2088,KI,694,167,361,0,8,186
SEA 43-2089,KI,341,30,65,0,0,35
SHADOW LAKE,KI,610,84,334,0,3,247
SEA 43-2084,KI,668,188,445,0,9,248
SEA 43-2081,KI,385,10,35,0,2,23
SEA 43-1361,KI,417,120,238,0,11,107
KEN 47-2599,KI,748,91,345,0,2,252
BEL 48-0138,KI,393,68,179,0,2,109
BEL 48-0136,KI,274,37,113,0,4,72
BEL 48-0135,KI,256,42,127,0,2,83
BEL 48-0134,KI,324,56,143,0,2,85
BEL 48-0133,KI,307,52,143,0,5,86
BEL 48-0132,KI,249,46,134,0,5,83
AUB 31-3405,KI,662,66,322,0,2,254
SEA 46-2231,KI,619,164,366,0,8,194
SEA 46-2234,KI,274,81,182,0,5,96
SEA 46-2236,KI,350,102,218,0,3,113
SEA 46-2796,KI,456,98,229,0,6,125
SQUAK MOUNTAIN,KI,188,31,115,0,1,83
DES 33-3131,KI,266,47,119,0,0,72
SNQ 05-3558,KI,487,84,236,0,2,150
SEA 46-2153,KI,492,108,231,0,5,118
SEA 46-2152,KI,378,97,192,0,3,92
LAKELAND,KI,527,74,248,0,2,172
AUB 47-0328,KI,684,83,397,0,10,304
KEN 47-1034,KI,745,105,356,0,3,248
FAIRGLEN,KI,442,71,258,0,6,181
GENEVA,KI,408,70,218,0,4,144
KEN 11-3403,KI,549,79,264,0,3,182
SET 33-3075,KI,289,30,116,0,2,84
SET 33-3076,KI,623,87,310,0,9,214
SET 33-3070,KI,340,57,173,0,4,112
AUB 30-0046,KI,351,41,169,0,1,127
SEA 36-1288,KI,391,104,265,0,5,156
SEA 36-1287,KI,733,242,481,0,14,225
SEA 36-1286,KI,439,119,254,0,8,127
ENM 31-0411,KI,765,96,410,0,4,310
SHL 32-0444,KI,438,98,260,0,4,158
SEA 37-1652,KI,287,66,157,0,5,86
SEA 37-1651,KI,736,103,256,0,7,146
SEA 37-1650,KI,260,72,175,0,4,99
SEA 36-1775,KI,711,137,327,0,12,178
SEA 36-1774,KI,494,133,347,0,4,210
BUR 33-0818,KI,753,107,319,0,9,203
SEA 36-1772,KI,534,127,284,0,7,150
SEA 36-1771,KI,487,102,248,0,3,143
SEA 36-1770,KI,234,63,159,0,2,94
SERENIDAD,KI,746,97,317,0,3,217
ISS 41-3533,KI,507,67,254,0,2,185
AUB 47-0072,KI,525,88,289,0,4,197
AUB 47-0073,KI,687,57,244,0,6,181
AUB 47-0074,KI,569,74,294,0,2,218
GROUSEMONT,KI,593,110,396,0,4,282
REGAL,KI,788,126,321,0,5,190
RED 45-2410,KI,822,177,533,0,5,351
SAM 45-2620,KI,491,102,305,0,8,195
KMR 46-2444,KI,418,77,237,0,7,153
SEA 43-3262,KI,306,89,177,0,3,85
M-I 41-2808,KI,263,61,188,0,0,127
M-I 41-2809,KI,240,51,152,0,4,97
RED 45-2659,KI,154,24,89,1,0,64
AUB 31-0054,KI,527,42,214,0,4,168
AUB 31-0051,KI,530,35,166,0,4,127
AUB 31-0050,KI,421,48,188,0,7,133
M-I 41-0790,KI,246,58,147,0,2,87
KRAIN,KI,565,105,372,0,7,260
SEA 43-1783,KI,455,115,243,0,5,123
SEA 43-3570,KI,1056,183,429,0,21,225
SEA 46-2300,KI,490,140,327,0,6,181
SEA 36-3605,KI,535,111,249,0,12,126
SEA 37-1937,KI,293,88,212,0,3,121
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,291,104,204,0,8,92
SEA 37-1932,KI,416,117,218,0,5,96
SEA 37-1930,KI,738,193,391,0,13,185
SEA 37-1938,KI,394,126,247,0,6,115
KIR 45-0925,KI,312,37,167,0,1,129
SEA 37-1915,KI,384,100,260,0,7,153
SEA 43-1982,KI,501,113,266,0,5,148
SEA 43-1983,KI,497,119,313,0,3,191
TUK 11-3614,KI,56,10,28,0,0,18
SEA 43-1986,KI,278,72,163,0,2,89
LFP 46-0092,KI,646,125,341,0,10,206
MATTHEW,KI,461,82,243,0,3,158
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,38,3,17,0,0,14
ASPEN GLEN,KI,396,60,232,0,2,170
BUR 33-0009,KI,277,28,119,0,3,88
BEL 41-0131,KI,417,60,178,0,5,113
SEA 43-1863,KI,475,140,255,0,12,103
BEL 41-3621,KI,525,83,291,0,6,202
BUR 33-1067,KI,866,131,427,0,8,288
BEL 41-3330,KI,309,46,146,0,4,96
TUK 11-2752,KI,490,101,249,0,3,145
BAKER,KI,599,132,347,0,11,204
SNQ 05-3513,KI,896,117,463,0,9,337
TUK 11-2751,KI,273,41,136,0,0,95
KEN 33-0590,KI,755,96,372,0,15,261
KEN 33-0591,KI,274,40,140,0,6,94
KEN 33-0592,KI,208,29,81,0,2,50
KEN 33-0593,KI,231,29,140,0,2,109
KEN 33-0594,KI,366,58,189,0,4,127
KEN 33-0595,KI,488,47,139,0,2,90
KEN 33-0596,KI,550,77,289,0,4,208
KEN 33-0597,KI,688,65,239,0,6,168
KEN 33-0598,KI,473,66,201,0,6,129
ISS 05-3504,KI,610,101,267,0,1,165
ISS 05-3503,KI,504,79,240,0,5,156
ANGELO,KI,425,70,232,0,0,162
SEA 46-2056,KI,330,94,228,0,4,130
BUR 34-1116,KI,387,65,192,0,4,123
SEA 46-2057,KI,443,115,310,0,1,194
BEL 41-0220,KI,420,67,262,0,3,192
SHL 32-0875,KI,557,123,315,0,8,184
FED 30-3085,KI,416,86,257,0,3,168
LFP 46-0655,KI,679,159,426,0,10,257
LFP 46-0654,KI,471,105,307,0,6,196
LFP 46-0653,KI,412,97,285,0,8,180
LFP 46-0652,KI,230,54,156,0,3,99
LFP 46-0650,KI,354,99,221,0,4,118
KEN 47-3189,KI,732,45,206,0,7,154
SEA 43-1369,KI,285,79,165,0,5,81
SEA 43-1364,KI,535,169,321,0,11,141
NEW 41-3241,KI,699,118,373,0,4,251
SEA 43-1366,KI,287,91,186,0,6,89
LITTLE SOOS,KI,463,55,268,0,5,208
SEA 43-1360,KI,622,152,379,0,9,218
KEN 47-3180,KI,541,55,187,0,7,125
SEA 43-1362,KI,660,182,351,0,14,155
RNT 11-1109,KI,484,64,180,0,6,110
SEA 46-2330,KI,420,95,232,0,5,132
TOLT,KI,317,47,188,0,0,141
NATHAN,KI,507,93,297,0,4,200
DUV 45-2959,KI,514,73,267,0,6,188
SNQ 05-1097,KI,402,58,177,0,6,113
SEA 11-1624,KI,577,84,208,0,8,116
MABEL,KI,331,56,212,0,2,154
BUR 34-1058,KI,493,94,315,0,2,219
BUR 34-1059,KI,614,82,321,0,1,238
BUR 34-1057,KI,660,130,423,0,6,287
BOT 01-2495,KI,580,80,304,0,3,221
SEA 46-2339,KI,330,77,171,0,5,89
FED 30-3080,KI,499,53,172,0,6,113
LFP 46-1056,KI,536,117,332,0,5,210
FED 30-3087,KI,508,70,259,0,7,182
FED 30-3086,KI,526,73,279,0,3,203
FED 30-3088,KI,538,60,263,0,7,196
SEA 46-2333,KI,371,95,221,0,7,119
SEA 46-2332,KI,248,75,165,0,5,85
SEA 46-2335,KI,609,98,268,0,7,163
SEA 46-2334,KI,573,137,343,0,4,202
SEA 46-2337,KI,347,73,185,0,6,106
SEA 46-2336,KI,707,151,350,0,13,186
KIR 45-3640,KI,311,42,152,0,3,107
KIR 45-3646,KI,276,38,101,0,3,60
SEA 34-1458,KI,376,102,246,0,4,140
SEA 34-1459,KI,272,81,175,0,2,92
SEA 34-1454,KI,306,78,180,0,1,101
SEA 34-1455,KI,956,165,428,0,17,246
SEA 34-1456,KI,428,95,248,0,11,142
SEA 34-1457,KI,687,166,385,0,7,212
SEA 34-1450,KI,301,73,188,0,3,112
SEA 34-1451,KI,330,63,178,0,3,112
SEA 34-1452,KI,275,76,170,0,4,90
SEA 34-1453,KI,264,73,174,0,4,97
SHL 32-0296,KI,377,69,201,0,5,127
SAM 41-3654,KI,475,72,287,0,1,214
COV 47-2982,KI,553,67,251,0,9,175
SEA 32-2216,KI,338,89,203,0,3,111
KEN 47-2585,KI,819,96,431,0,4,331
BEL 48-0125,KI,405,58,201,0,4,139
BEL 48-0126,KI,354,60,198,0,3,135
BEL 48-0127,KI,393,49,161,0,6,106
RNT 11-2581,KI,668,121,322,0,12,189
FED 30-3395,KI,272,47,143,0,5,91
RAVENSDALE,KI,497,77,252,0,8,167
BUR 34-0900,KI,391,65,194,0,6,123
SEA 37-3647,KI,447,51,146,0,14,81
KEN 47-1151,KI,398,61,229,0,0,168
SEA 32-2537,KI,396,96,213,0,4,113
SEA 32-2539,KI,788,172,447,0,17,258
BEL 48-0694,KI,556,85,279,0,3,191
SEA 46-2142,KI,674,122,357,0,16,219
SEA 46-2143,KI,285,66,163,0,2,95
SEA 46-2145,KI,497,114,297,0,2,181
MERGANSER,KI,627,74,351,0,3,274
DIAMOND,KI,227,23,120,0,0,97
M-V 05-0528,KI,344,57,266,0,1,208
CAR 05-3290,KI,515,107,309,0,3,199
SHL 32-1038,KI,254,46,136,0,5,85
AUB 30-0053,KI,437,52,185,0,6,127
SEA 43-1334,KI,446,132,262,0,5,125
SNO-VALLEY,KI,760,114,408,0,6,288
JEFFERSON,KI,829,109,404,0,7,288
SAM 41-0307,KI,525,96,291,0,2,193
SEA 34-3682,KI,386,95,192,0,6,91
