Row Label,County,Randy A. Brandt,Aimee Maurer
PCT 7006,SP,241,171
PCT 7007,SP,202,177
PCT 7004,SP,225,164
PCT 7005,SP,310,280
PCT 7002,SP,167,148
PCT 7003,SP,249,187
PCT 7000,SP,296,263
PCT 7001,SP,157,160
PCT 6023,SP,119,103
PCT 6022,SP,228,169
PCT 6021,SP,162,181
PCT 6020,SP,277,311
PCT 6027,SP,175,197
PCT 6026,SP,283,303
PCT 6025,SP,126,173
PCT 6024,SP,148,98
PCT 6029,SP,166,202
PCT 6028,SP,149,157
PCT 4449,SP,121,124
PCT 3328,SP,130,249
PCT 4443,SP,96,136
PCT 4442,SP,143,151
PCT 4441,SP,158,153
PCT 4440,SP,205,208
PCT 4447,SP,66,123
PCT 4446,SP,127,116
PCT 4445,SP,156,213
PCT 4444,SP,226,216
Total,SP,57703,61970
PCT 7301,SP,151,149
PCT 7300,SP,196,132
PCT 7302,SP,153,131
PCT 4407,SP,199,213
PCT 4406,SP,171,211
PCT 4405,SP,220,245
PCT 4404,SP,242,211
PCT 4403,SP,214,244
PCT 4402,SP,182,205
PCT 4401,SP,211,237
PCT 4400,SP,188,198
PCT 4409,SP,280,293
PCT 4408,SP,255,264
PCT 3219,SP,171,189
PCT 3218,SP,188,264
PCT 3213,SP,182,247
PCT 3212,SP,114,180
PCT 3211,SP,132,222
PCT 3210,SP,107,222
PCT 3217,SP,218,257
PCT 3216,SP,183,303
PCT 3215,SP,83,154
PCT 3214,SP,147,239
PCT 4300,SP,149,144
PCT 4301,SP,104,85
PCT 4302,SP,186,194
PCT 4303,SP,223,161
PCT 4304,SP,121,147
PCT 4305,SP,118,124
PCT 4306,SP,199,179
PCT 4307,SP,35,46
PCT 9500,SP,71,65
PCT 4003,SP,302,266
PCT 4002,SP,201,203
PCT 4001,SP,155,128
PCT 4007,SP,152,138
PCT 4006,SP,274,225
PCT 4005,SP,178,173
PCT 4004,SP,243,205
PCT 4009,SP,229,166
PCT 4008,SP,165,138
PCT 6302,SP,122,155
PCT 6303,SP,270,294
PCT 6300,SP,303,344
PCT 6301,SP,301,287
PCT 6306,SP,195,176
PCT 6307,SP,110,94
PCT 6304,SP,278,263
PCT 6305,SP,133,117
PCT 6308,SP,118,109
PCT 6309,SP,205,200
PCT 3000,SP,3,3
PCT 7011,SP,137,105
PCT 7010,SP,187,151
PCT 7013,SP,220,145
PCT 7012,SP,220,161
PCT 7015,SP,180,165
PCT 7014,SP,202,153
PCT 7017,SP,211,170
PCT 7016,SP,241,268
PCT 7019,SP,204,170
PCT 7018,SP,241,235
PCT 9300,SP,35,35
PCT 6401,SP,76,100
PCT 6400,SP,172,142
PCT 6402,SP,154,201
PCT 6016,SP,143,105
PCT 6017,SP,279,298
PCT 6014,SP,102,105
PCT 6015,SP,105,121
PCT 6012,SP,118,120
PCT 6013,SP,134,154
PCT 6010,SP,29,27
PCT 6011,SP,172,160
PCT 6018,SP,297,234
PCT 6019,SP,236,282
PCT 3318,SP,149,216
PCT 3319,SP,135,195
PCT 3316,SP,185,273
PCT 3317,SP,243,290
PCT 3314,SP,154,176
PCT 3315,SP,172,244
PCT 3312,SP,212,265
PCT 3313,SP,235,287
PCT 3310,SP,171,224
PCT 3311,SP,120,136
PCT 9008,SP,45,25
PCT 9004,SP,216,158
PCT 9005,SP,87,48
PCT 9006,SP,221,190
PCT 9007,SP,64,51
PCT 9000,SP,215,190
PCT 9001,SP,117,181
PCT 9002,SP,174,94
PCT 9003,SP,105,87
