Row Label,County,Mary E. Fairhurst,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 34-3632,KI,61,271,37,99,0,1
KEN 11-0893,KI,120,580,86,209,0,3
BEL 41-3608,KI,207,714,142,349,0,0
SAM 41-2690,KI,148,526,122,271,0,1
RNT 11-0988,KI,115,437,56,172,0,1
RNT 11-0985,KI,96,325,69,167,0,2
RNT 11-0984,KI,83,279,57,140,0,0
RNT 11-0986,KI,204,719,141,349,0,4
RNT 11-0981,KI,252,794,139,399,0,8
RNT 11-0980,KI,59,333,28,90,0,3
AUB 47-2573,KI,264,679,119,391,0,8
KEN 33-0578,KI,135,501,71,207,0,1
KEN 33-0576,KI,102,394,59,165,0,4
KEN 33-0577,KI,109,371,60,170,0,1
KEN 33-0575,KI,108,413,45,153,0,0
BERRYDALE,KI,131,505,145,277,0,1
LOUIE,KI,135,512,98,236,0,3
M-V 05-3600,KI,154,616,116,270,0,0
M-V 05-3601,KI,151,496,85,239,0,3
BEL 41-0733,KI,167,718,147,315,0,1
GOLDFINCH,KI,98,281,67,165,0,0
ENM 31-0409,KI,104,379,92,196,0,0
LAKE RETREAT,KI,181,654,159,347,0,7
CLOVER,KI,175,594,118,299,0,6
SEA 37-1898,KI,85,285,72,158,0,1
RNT 11-1125,KI,169,661,99,268,0,0
HERON,KI,141,424,78,222,0,3
COV 47-3597,KI,78,293,63,150,0,9
RNT 33-2472,KI,164,587,83,252,0,5
CHINOOK,KI,189,671,167,357,0,1
SEA 34-1476,KI,92,273,77,170,0,1
AUB 31-3299,KI,78,248,76,155,0,1
SEA 34-1474,KI,110,402,117,227,0,0
BROKEN HILL,KI,152,639,116,268,0,0
SEA 11-1600,KI,142,550,113,257,0,2
SEA 43-1787,KI,149,564,126,277,0,2
SEA 11-1602,KI,149,598,132,288,0,7
SEA 34-1475,KI,94,311,82,176,0,0
SEA 34-1543,KI,116,327,102,218,0,0
SEA 34-1540,KI,90,333,85,176,0,1
SEA 34-1541,KI,105,380,129,235,0,1
SEA 34-1472,KI,94,239,77,171,0,0
SALISH,KI,244,674,174,418,0,0
SEA 43-1788,KI,383,807,197,580,0,0
SEA 34-1473,KI,109,319,70,180,0,1
ALG 30-0014,KI,158,486,68,229,0,3
KIR 01-0019,KI,260,752,172,433,0,1
SEA 37-3666,KI,91,422,35,128,0,2
SEA 34-1470,KI,201,677,146,352,0,5
ALG 30-0013,KI,99,467,50,153,0,4
CALHOUN,KI,161,574,69,236,0,6
RED 48-3475,KI,126,356,81,210,0,3
COLVOS,KI,91,250,62,153,0,0
RNT 11-0502,KI,207,703,136,346,0,3
LFP 46-1075,KI,123,366,94,217,0,0
SEA 32-2206,KI,147,412,118,266,0,1
SEA 46-2316,KI,125,411,113,239,0,1
SEA 32-2204,KI,128,339,99,230,0,3
SEA 46-2314,KI,139,337,77,217,0,1
SEA 32-2202,KI,133,436,114,250,0,3
COV 47-3581,KI,100,385,79,180,0,1
SEA 32-2200,KI,153,385,110,263,0,0
SEA 32-2201,KI,177,463,136,315,0,2
BEL 48-0207,KI,102,327,82,186,0,2
BEL 48-0201,KI,173,512,118,293,0,2
SEA 32-2208,KI,108,350,115,224,0,1
SEA 32-2209,KI,220,599,180,402,0,2
SEA 34-1438,KI,125,328,84,209,0,0
SEA 34-1439,KI,108,369,107,220,0,5
SEA 34-1432,KI,108,331,107,218,0,3
SEA 34-1433,KI,106,319,102,208,0,0
KEN 47-3323,KI,129,459,88,218,0,1
SEA 34-1431,KI,117,308,84,203,0,2
SEA 34-1436,KI,76,362,79,156,0,1
SEA 34-1437,KI,116,498,136,254,0,2
SEA 34-1434,KI,97,271,85,183,0,1
SEA 34-1435,KI,79,299,99,178,0,0
KEN 47-2403,KI,105,466,62,171,0,4
SAM 41-3638,KI,193,717,147,346,0,6
SAM 45-2564,KI,237,749,179,418,0,2
FAIRMONT,KI,108,394,104,216,0,4
CHALLENGER,KI,102,293,83,185,0,0
BEL 48-0149,KI,131,416,100,234,0,3
BEL 48-0142,KI,98,299,60,159,0,1
BEL 48-0143,KI,92,291,57,152,0,3
BEL 48-0140,KI,148,425,85,234,0,1
BEL 48-0146,KI,100,298,73,173,0,0
BEL 48-0147,KI,108,444,96,207,0,3
BEL 48-0144,KI,97,320,70,169,0,2
BEL 48-0145,KI,81,274,56,137,0,0
SEA 46-2228,KI,126,486,102,234,0,6
SEA 46-2221,KI,155,513,143,298,0,0
DES 30-1227,KI,227,635,148,378,0,3
SHL 32-2753,KI,117,465,63,184,0,4
DANIEL,KI,179,574,132,323,0,12
ISS 05-2806,KI,137,399,106,243,0,0
SAM 45-3412,KI,243,738,162,406,0,1
JAY,KI,141,492,138,280,0,1
SHL 32-1210,KI,164,535,117,284,0,3
SEA 37-1944,KI,190,754,133,326,0,3
SEA 36-1386,KI,105,315,105,213,0,3
SEA 36-1387,KI,165,462,123,289,0,1
SEA 36-1384,KI,126,309,96,228,0,6
SEA 36-1385,KI,77,243,95,175,0,3
AUB 31-0082,KI,129,403,71,203,0,3
AUB 31-0083,KI,138,487,89,229,0,2
AUB 31-0080,KI,251,830,156,414,0,7
AUB 31-0081,KI,135,457,63,199,0,1
SEA 36-1388,KI,110,337,110,220,0,0
SEA 36-1389,KI,86,259,75,163,0,2
TUK 11-3393,KI,87,347,32,119,0,0
HONEY,KI,31,102,26,57,0,0
KEN 33-3332,KI,232,863,199,437,0,6
KEN 47-0798,KI,233,742,160,394,0,1
SET 33-3069,KI,89,353,75,169,0,5
SET 33-3068,KI,126,464,102,228,0,0
SKY 39-1091,KI,39,130,35,74,0,0
SET 33-3066,KI,102,491,76,179,0,1
KEN 33-3445,KI,115,375,70,188,0,3
SET 33-3064,KI,107,468,59,167,0,1
SET 33-3063,KI,107,330,65,173,0,1
SET 33-3062,KI,99,316,56,155,0,0
SET 33-3061,KI,98,340,66,166,0,2
SEA 37-1630,KI,85,309,83,169,0,1
KEN 33-2426,KI,177,550,120,298,0,1
SEA 43-1976,KI,61,242,33,94,0,0
SHL 32-1106,KI,173,585,123,299,0,3
BEL 41-2554,KI,200,645,143,343,0,0
SEA 43-3320,KI,135,515,103,241,0,3
SHL 32-1101,KI,84,301,73,157,0,0
SEA 37-1622,KI,127,578,99,226,0,0
BUR 33-0805,KI,177,591,89,270,0,4
SEA 36-1709,KI,94,359,58,154,0,2
COOPER,KI,158,473,119,278,0,1
SEA 36-1702,KI,186,606,182,372,0,4
SEA 36-1703,KI,192,530,147,340,0,1
SEA 36-1700,KI,129,383,78,208,0,1
DOLPHIN,KI,102,275,78,183,0,3
SEA 36-1704,KI,149,640,100,251,0,2
SEA 46-2094,KI,103,283,75,178,0,0
SEA 46-2095,KI,85,279,100,187,0,2
SEA 46-2096,KI,91,230,71,162,0,0
SEA 46-2097,KI,124,400,133,257,0,0
SEA 46-2090,KI,156,494,106,262,0,0
SEA 46-2091,KI,150,451,114,265,0,1
SEA 46-2092,KI,128,311,97,225,0,0
SEA 36-2750,KI,117,458,76,198,0,5
SEA 34-1497,KI,198,728,133,336,0,5
SEA 46-2098,KI,150,436,134,285,0,1
DOLLOFF,KI,124,412,98,223,0,1
LOIS,KI,131,566,102,237,0,4
SHL 32-0538,KI,130,425,88,219,0,1
SEA 46-2263,KI,203,599,189,396,0,4
BEL 48-3166,KI,177,561,100,278,0,1
SHL 32-0530,KI,98,282,79,179,0,2
BEL 48-3498,KI,90,239,63,153,0,0
AUB 31-0069,KI,102,314,57,159,0,0
SEA 36-2147,KI,177,489,159,338,0,2
SEA 36-2146,KI,93,338,105,199,0,1
AUB 31-0062,KI,224,660,106,332,0,2
AUB 31-0063,KI,91,279,38,130,0,1
AUB 31-0064,KI,87,408,36,125,0,2
AUB 31-0065,KI,81,288,43,125,0,1
COV 47-3244,KI,140,466,61,204,0,3
SEA 46-2345,KI,103,294,93,196,0,0
ALDERWOOD,KI,164,440,115,284,0,5
RED 45-2643,KI,154,433,97,254,0,3
BEL 41-3291,KI,84,292,75,159,0,0
SEA 37-1920,KI,203,574,133,339,0,3
SEA 37-1925,KI,81,319,70,153,0,2
SEA 37-1927,KI,107,409,107,216,0,2
RNT 11-2816,KI,181,578,111,297,0,5
SEA 43-1999,KI,148,439,121,270,0,1
SEA 43-1993,KI,99,238,48,147,0,0
SEA 43-1992,KI,196,652,211,410,0,3
SEA 43-1991,KI,273,839,211,487,0,3
SEA 43-1990,KI,144,458,116,260,0,0
SEA 43-1997,KI,104,295,88,194,0,2
SEA 43-1996,KI,103,298,90,193,0,0
SEA 43-1995,KI,86,244,76,163,0,1
SEA 43-1994,KI,122,295,75,197,0,0
RNT 11-3224,KI,128,457,82,214,0,4
BUR 34-0025,KI,203,734,147,352,0,2
RNT 11-3223,KI,67,294,46,114,0,1
RNT 11-3222,KI,165,581,125,295,0,5
MARCEL,KI,108,371,98,207,0,1
RNT 11-2607,KI,121,631,74,196,0,1
SAM 45-3388,KI,225,698,163,389,0,1
SAM 45-3389,KI,293,762,165,460,0,2
SEA 43-3685,KI,92,258,65,158,0,1
DES 33-1078,KI,82,354,65,150,0,3
SAM 45-3386,KI,227,784,170,398,0,1
SAM 45-3387,KI,142,402,101,244,0,1
LAKERIDGE,KI,237,751,170,411,0,4
BEL 41-3583,KI,231,675,155,386,0,0
BEL 41-0129,KI,98,316,50,148,0,0
BEL 41-0128,KI,179,494,116,295,0,0
MCDONALD,KI,154,525,128,285,0,3
BEL 41-0124,KI,180,505,126,308,0,2
BEL 41-0123,KI,200,748,120,323,0,3
BEL 41-0122,KI,136,391,76,213,0,1
BEL 41-0121,KI,138,501,87,231,0,6
BEL 41-0120,KI,88,248,69,157,0,0
SNQ 05-3151,KI,166,627,126,297,0,5
RNT 11-3359,KI,131,487,53,188,0,4
RNT 11-0992,KI,80,295,47,127,0,0
RNT 11-0990,KI,129,448,69,199,0,1
RNT 11-0996,KI,151,562,105,257,0,1
RNT 11-0997,KI,204,875,122,328,0,2
RNT 11-3643,KI,112,363,66,180,0,2
RNT 11-0998,KI,110,363,60,171,1,0
WAXWING,KI,89,295,89,178,0,0
KEN 33-0583,KI,117,371,85,203,0,1
KEN 33-0582,KI,215,843,140,359,0,4
KEN 33-0581,KI,211,684,99,311,0,1
KEN 33-0587,KI,120,470,86,209,0,3
KEN 33-0586,KI,164,437,92,256,0,0
KEN 33-0585,KI,143,569,78,224,0,3
KEN 33-0588,KI,93,317,63,157,0,1
HUCKLEBERRY,KI,126,420,96,227,0,5
SEA 43-3595,KI,194,535,125,322,0,3
MINK ROAD,KI,142,424,116,260,0,2
RED 45-3282,KI,257,707,164,425,0,4
RED 45-3281,KI,198,633,113,312,0,1
LFP 46-0397,KI,113,397,91,204,0,0
BUR 33-0251,KI,89,386,83,174,0,2
SHL 32-0844,KI,159,431,116,276,0,1
SEA 43-1379,KI,89,263,96,187,0,2
SEA 43-1378,KI,109,308,109,219,0,1
SEA 43-1377,KI,113,330,93,207,0,1
SEA 43-1376,KI,171,541,139,312,0,2
SEA 43-1375,KI,113,327,106,222,0,3
SEA 43-1374,KI,101,295,104,205,0,0
SEA 43-1373,KI,132,335,106,243,0,5
SEA 43-1372,KI,116,335,108,224,0,0
SEA 43-1371,KI,94,288,72,166,0,0
SEA 43-1370,KI,123,332,114,237,0,0
LFP 46-0400,KI,175,519,137,315,0,3
ISS 05-3464,KI,208,829,167,376,0,1
HUTCHINSON,KI,233,678,193,427,0,1
BEL 41-1052,KI,151,462,106,257,0,0
SAWYER,KI,202,594,175,382,0,5
SAM 41-3607,KI,139,498,116,259,0,4
SEA 11-1639,KI,106,551,87,193,0,0
SEA 43-3665,KI,109,379,73,184,0,2
KEN 47-2939,KI,79,314,40,121,0,2
NOVELTY,KI,180,605,156,336,0,0
BUR 34-1047,KI,206,744,145,355,0,4
BEL 41-2970,KI,207,714,173,384,0,4
SEA 43-1368,KI,91,292,92,184,0,1
MAY VALLEY,KI,137,492,106,246,0,3
BEL 48-0212,KI,230,620,71,303,0,2
BEL 48-0213,KI,126,395,44,175,0,5
SEA 46-2306,KI,102,307,92,195,0,1
SEA 46-2127,KI,163,494,114,278,0,1
BEL 48-0216,KI,85,256,51,140,0,4
BEL 48-0217,KI,125,404,59,184,0,0
BEL 48-0214,KI,85,274,45,130,0,0
SEA 46-2303,KI,147,422,134,284,0,3
BEL 48-0218,KI,213,546,122,338,0,3
SEA 46-2308,KI,121,377,107,230,0,2
SEA 46-2309,KI,107,300,77,184,0,0
GRASS LAKE,KI,155,374,79,235,0,1
SEA 34-1449,KI,103,367,109,213,0,1
RNT 11-0456,KI,185,635,99,291,0,7
SEA 34-1446,KI,115,398,119,237,0,3
SEA 34-1444,KI,210,595,152,365,0,3
SEA 34-1443,KI,143,380,123,266,0,0
SEA 11-1256,KI,151,627,89,242,0,2
SEA 34-1441,KI,91,264,62,156,0,3
SEA 34-1440,KI,70,242,79,149,0,0
SEA 43-1367,KI,127,375,122,253,0,4
SEA 43-2088,KI,217,694,144,361,0,0
SEA 43-2089,KI,33,341,31,65,0,1
SHADOW LAKE,KI,176,610,153,334,0,5
SEA 43-2084,KI,249,668,192,445,0,4
SEA 43-2081,KI,24,385,11,35,0,0
SEA 43-1361,KI,123,417,113,238,0,2
KEN 47-2599,KI,217,748,125,345,0,3
BEL 48-0138,KI,100,393,78,179,0,1
BEL 48-0136,KI,74,274,39,113,0,0
BEL 48-0135,KI,76,256,50,127,0,1
BEL 48-0134,KI,90,324,52,143,0,1
BEL 48-0133,KI,84,307,56,143,0,3
BEL 48-0132,KI,75,249,59,134,0,0
AUB 31-3405,KI,204,662,118,322,0,0
SEA 46-2231,KI,200,619,162,366,0,4
SEA 46-2234,KI,90,274,90,182,0,2
SEA 46-2236,KI,112,350,106,218,0,0
SEA 46-2796,KI,116,456,109,229,0,4
SQUAK MOUNTAIN,KI,69,188,46,115,0,0
DES 33-3131,KI,65,266,53,119,0,1
SNQ 05-3558,KI,131,487,103,236,0,2
SEA 46-2153,KI,114,492,112,231,0,5
SEA 46-2152,KI,89,378,100,192,0,3
LAKELAND,KI,147,527,96,248,0,5
AUB 47-0328,KI,260,684,133,397,0,4
KEN 47-1034,KI,221,745,135,356,0,0
FAIRGLEN,KI,158,442,100,258,0,0
GENEVA,KI,120,408,95,218,0,3
KEN 11-3403,KI,171,549,92,264,0,1
SET 33-3075,KI,63,289,52,116,0,1
SET 33-3076,KI,188,623,117,310,0,5
SET 33-3070,KI,93,340,78,173,0,2
AUB 30-0046,KI,112,351,56,169,0,1
SEA 36-1288,KI,151,391,112,265,0,2
SEA 36-1287,KI,271,733,208,481,0,2
SEA 36-1286,KI,140,439,112,254,0,2
ENM 31-0411,KI,255,765,152,410,0,3
SHL 32-0444,KI,156,438,104,260,0,0
SEA 37-1652,KI,77,287,79,157,0,1
SEA 37-1651,KI,176,736,79,256,0,1
SEA 37-1650,KI,85,260,89,175,0,1
SEA 36-1775,KI,185,711,138,327,0,4
SEA 36-1774,KI,192,494,155,347,0,0
BUR 33-0818,KI,187,753,130,319,0,2
SEA 36-1772,KI,152,534,131,284,0,1
SEA 36-1771,KI,141,487,103,248,0,4
SEA 36-1770,KI,87,234,72,159,0,0
SERENIDAD,KI,189,746,126,317,0,2
ISS 41-3533,KI,165,507,89,254,0,0
AUB 47-0072,KI,172,525,117,289,0,0
AUB 47-0073,KI,169,687,70,244,0,5
AUB 47-0074,KI,204,569,89,294,0,1
GROUSEMONT,KI,214,593,181,396,0,1
REGAL,KI,196,788,125,321,0,0
RED 45-2410,KI,298,822,232,533,0,3
SAM 45-2620,KI,167,491,132,305,0,6
KMR 46-2444,KI,134,418,100,237,0,3
SEA 43-3262,KI,92,306,85,177,0,0
M-I 41-2808,KI,106,263,78,188,0,4
M-I 41-2809,KI,85,240,66,152,0,1
RED 45-2659,KI,52,154,37,89,0,0
AUB 31-0054,KI,145,527,64,214,0,5
AUB 31-0051,KI,127,530,39,166,0,0
AUB 31-0050,KI,113,421,70,188,0,5
M-I 41-0790,KI,75,246,70,147,0,2
KRAIN,KI,183,565,187,372,0,2
SEA 43-1783,KI,136,455,106,243,0,1
SEA 43-3570,KI,262,1056,164,429,0,3
SEA 46-2300,KI,174,490,151,327,0,2
SEA 36-3605,KI,139,535,106,249,0,4
SEA 37-1937,KI,101,293,111,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,104,291,99,204,0,1
SEA 37-1932,KI,108,416,108,218,0,2
SEA 37-1930,KI,212,738,177,391,0,2
SEA 37-1938,KI,123,394,123,247,0,1
KIR 45-0925,KI,111,312,55,167,0,1
SEA 37-1915,KI,142,384,114,260,0,4
SEA 43-1982,KI,150,501,112,266,0,4
SEA 43-1983,KI,192,497,119,313,0,2
TUK 11-3614,KI,18,56,10,28,0,0
SEA 43-1986,KI,87,278,76,163,0,0
LFP 46-0092,KI,198,646,137,341,0,6
MATTHEW,KI,118,461,123,243,0,2
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,10,38,7,17,0,0
ASPEN GLEN,KI,131,396,98,232,0,3
BUR 33-0009,KI,90,277,29,119,0,0
BEL 41-0131,KI,105,417,71,178,0,2
SEA 43-1863,KI,133,475,118,255,0,4
BEL 41-3621,KI,169,525,121,291,0,1
BUR 33-1067,KI,265,866,155,427,0,7
BEL 41-3330,KI,78,309,67,146,0,1
TUK 11-2752,KI,134,490,111,249,0,4
BAKER,KI,207,599,137,347,0,3
SNQ 05-3513,KI,263,896,196,463,0,4
TUK 11-2751,KI,71,273,65,136,0,0
KEN 33-0590,KI,223,755,139,372,0,10
KEN 33-0591,KI,87,274,52,140,0,1
KEN 33-0592,KI,49,208,31,81,0,1
KEN 33-0593,KI,95,231,44,140,0,1
KEN 33-0594,KI,96,366,91,189,0,2
KEN 33-0595,KI,92,488,47,139,0,0
KEN 33-0596,KI,160,550,127,289,0,2
KEN 33-0597,KI,149,688,84,239,0,6
KEN 33-0598,KI,123,473,76,201,0,2
ISS 05-3504,KI,151,610,116,267,0,0
ISS 05-3503,KI,120,504,115,240,0,5
ANGELO,KI,125,425,107,232,0,0
SEA 46-2056,KI,127,330,100,228,0,1
BUR 34-1116,KI,117,387,72,192,0,3
SEA 46-2057,KI,173,443,137,310,0,0
BEL 41-0220,KI,176,420,82,262,0,4
SHL 32-0875,KI,185,557,128,315,0,2
FED 30-3085,KI,149,416,106,257,0,2
LFP 46-0655,KI,253,679,169,426,0,4
LFP 46-0654,KI,187,471,118,307,0,2
LFP 46-0653,KI,164,412,119,285,0,2
LFP 46-0652,KI,86,230,68,156,0,2
LFP 46-0650,KI,112,354,101,221,0,8
KEN 47-3189,KI,145,732,60,206,0,1
SEA 43-1369,KI,85,285,79,165,0,1
SEA 43-1364,KI,172,535,147,321,0,2
NEW 41-3241,KI,224,699,146,373,0,3
SEA 43-1366,KI,95,287,90,186,0,1
LITTLE SOOS,KI,167,463,99,268,0,2
SEA 43-1360,KI,236,622,141,379,0,2
KEN 47-3180,KI,123,541,64,187,0,0
SEA 43-1362,KI,176,660,170,351,0,5
RNT 11-1109,KI,109,484,69,180,0,2
SEA 46-2330,KI,133,420,97,232,0,2
TOLT,KI,105,317,83,188,0,0
NATHAN,KI,148,507,142,297,0,7
DUV 45-2959,KI,156,514,110,267,0,1
SNQ 05-1097,KI,95,402,80,177,0,2
SEA 11-1624,KI,118,577,88,208,0,2
MABEL,KI,122,331,87,212,0,3
BUR 34-1058,KI,181,493,130,315,0,4
BUR 34-1059,KI,197,614,122,321,0,2
BUR 34-1057,KI,226,660,195,423,0,2
BOT 01-2495,KI,183,580,117,304,0,4
SEA 46-2339,KI,88,330,78,171,0,5
FED 30-3080,KI,119,499,51,172,0,2
LFP 46-1056,KI,182,536,148,332,0,2
FED 30-3087,KI,154,508,97,259,0,8
FED 30-3086,KI,177,526,98,279,0,4
FED 30-3088,KI,171,538,88,263,0,4
SEA 46-2333,KI,120,371,98,221,0,3
SEA 46-2332,KI,82,248,83,165,0,0
SEA 46-2335,KI,172,609,93,268,0,3
SEA 46-2334,KI,185,573,156,343,0,2
SEA 46-2337,KI,115,347,67,185,0,3
SEA 46-2336,KI,196,707,152,350,0,2
KIR 45-3640,KI,88,311,62,152,0,2
KIR 45-3646,KI,72,276,27,101,0,2
SEA 34-1458,KI,131,376,115,246,0,0
SEA 34-1459,KI,98,272,76,175,0,1
SEA 34-1454,KI,91,306,88,180,0,1
SEA 34-1455,KI,252,956,175,428,0,1
SEA 34-1456,KI,148,428,100,248,0,0
SEA 34-1457,KI,218,687,167,385,0,0
SEA 34-1450,KI,108,301,77,188,0,3
SEA 34-1451,KI,108,330,70,178,0,0
SEA 34-1452,KI,87,275,83,170,0,0
SEA 34-1453,KI,99,264,74,174,0,1
SHL 32-0296,KI,124,377,76,201,0,1
SAM 41-3654,KI,180,475,102,287,0,5
COV 47-2982,KI,155,553,95,251,0,1
SEA 32-2216,KI,101,338,101,203,0,1
KEN 47-2585,KI,265,819,164,431,0,2
BEL 48-0125,KI,128,405,72,201,0,1
BEL 48-0126,KI,107,354,90,198,0,1
BEL 48-0127,KI,109,393,50,161,0,2
RNT 11-2581,KI,173,668,141,322,0,8
FED 30-3395,KI,89,272,51,143,0,3
RAVENSDALE,KI,139,497,111,252,0,2
BUR 34-0900,KI,116,391,78,194,0,0
SEA 37-3647,KI,93,447,52,146,0,1
KEN 47-1151,KI,141,398,88,229,0,0
SEA 32-2537,KI,118,396,95,213,0,0
SEA 32-2539,KI,256,788,186,447,0,5
BEL 48-0694,KI,174,556,102,279,0,3
SEA 46-2142,KI,218,674,135,357,0,4
SEA 46-2143,KI,99,285,62,163,0,2
SEA 46-2145,KI,160,497,137,297,0,0
MERGANSER,KI,213,627,136,351,0,2
DIAMOND,KI,66,227,54,120,0,0
M-V 05-0528,KI,177,344,88,266,0,1
CAR 05-3290,KI,164,515,143,309,0,2
SHL 32-1038,KI,88,254,47,136,0,1
AUB 30-0053,KI,125,437,57,185,0,3
SEA 43-1334,KI,133,446,125,262,0,4
SNO-VALLEY,KI,229,760,174,408,0,5
JEFFERSON,KI,236,829,164,404,0,4
SAM 41-0307,KI,139,525,151,291,0,1
SEA 34-3682,KI,100,386,91,192,0,1
