Row Label,County,Richard Reierson,Gregory J. Tripp
PCT 4418,SP,92,291
PCT 4419,SP,125,281
PCT 4201,SP,56,122
PCT 4200,SP,87,209
PCT 9600,SP,13,41
PCT 6100,SP,65,152
PCT 6101,SP,77,251
PCT 6102,SP,98,243
PCT 6103,SP,47,94
PCT 6104,SP,79,168
PCT 6105,SP,79,212
PCT 6106,SP,127,286
PCT 6107,SP,61,172
PCT 6108,SP,82,189
PCT 6109,SP,58,152
PCT 3208,SP,88,251
PCT 3209,SP,125,316
PCT 3200,SP,52,202
PCT 3201,SP,110,283
PCT 3202,SP,63,154
PCT 3203,SP,109,228
PCT 3204,SP,56,193
PCT 3205,SP,61,240
PCT 3206,SP,72,201
PCT 3207,SP,49,130
PCT 6209,SP,85,285
PCT 6208,SP,93,368
PCT 6203,SP,89,369
PCT 6202,SP,109,277
PCT 6201,SP,73,229
PCT 6200,SP,103,387
PCT 6207,SP,70,413
PCT 6206,SP,95,370
PCT 6205,SP,84,366
PCT 6204,SP,81,460
PCT 3103,SP,45,188
PCT 3102,SP,65,133
PCT 3101,SP,69,182
PCT 3107,SP,95,230
PCT 3106,SP,84,209
PCT 3105,SP,63,213
PCT 3104,SP,94,234
PCT 3109,SP,78,203
PCT 3108,SP,60,178
PCT 4010,SP,90,266
PCT 4011,SP,131,382
PCT 4012,SP,134,428
PCT 4013,SP,82,261
PCT 4014,SP,73,205
PCT 4015,SP,57,222
PCT 4016,SP,87,282
PCT 4017,SP,127,346
PCT 4018,SP,65,194
PCT 4019,SP,78,219
PCT 6704,SP,101,229
PCT 6702,SP,54,182
PCT 6703,SP,71,238
PCT 6700,SP,88,252
PCT 6701,SP,84,249
PCT 7008,SP,117,321
PCT 7009,SP,157,378
PCT 7006,SP,102,298
PCT 7007,SP,108,257
PCT 7004,SP,91,279
PCT 7005,SP,187,377
PCT 7002,SP,78,223
PCT 7003,SP,110,319
PCT 7000,SP,140,369
PCT 7001,SP,84,224
PCT 6023,SP,52,168
PCT 6022,SP,75,311
PCT 6021,SP,89,251
PCT 6020,SP,122,430
PCT 6027,SP,80,270
PCT 6026,SP,165,388
PCT 6025,SP,82,208
PCT 6024,SP,57,173
PCT 6029,SP,115,230
PCT 6028,SP,79,213
PCT 4449,SP,43,197
PCT 3328,SP,95,264
PCT 4443,SP,57,159
PCT 4442,SP,76,217
PCT 4441,SP,76,230
PCT 4440,SP,101,298
PCT 4447,SP,47,137
PCT 4446,SP,75,158
PCT 4445,SP,70,264
PCT 4444,SP,109,302
Total,SP,28985,85761
PCT 7301,SP,86,202
PCT 7300,SP,79,233
PCT 7302,SP,82,186
PCT 4407,SP,108,291
PCT 4406,SP,114,255
PCT 4405,SP,136,321
PCT 4404,SP,103,325
PCT 4403,SP,106,332
PCT 4402,SP,109,268
PCT 4401,SP,108,324
PCT 4400,SP,123,255
PCT 4409,SP,134,417
PCT 4408,SP,95,397
PCT 3219,SP,62,310
PCT 3218,SP,80,369
PCT 3213,SP,96,337
PCT 3212,SP,41,256
PCT 3211,SP,55,289
PCT 3210,SP,72,247
PCT 3217,SP,113,349
PCT 3216,SP,122,342
PCT 3215,SP,55,174
PCT 3214,SP,57,319
PCT 4300,SP,72,220
PCT 4301,SP,54,133
PCT 4302,SP,109,245
PCT 4303,SP,83,288
PCT 4304,SP,65,190
PCT 4305,SP,55,177
PCT 4306,SP,82,273
PCT 4307,SP,26,49
PCT 9500,SP,43,86
PCT 4003,SP,162,385
PCT 4002,SP,108,260
PCT 4001,SP,81,194
PCT 4007,SP,75,194
PCT 4006,SP,108,362
PCT 4005,SP,64,250
PCT 4004,SP,84,329
PCT 4009,SP,80,295
PCT 4008,SP,64,215
PCT 6302,SP,70,195
PCT 6303,SP,140,411
PCT 6300,SP,125,501
PCT 6301,SP,129,424
PCT 6306,SP,80,257
PCT 6307,SP,51,133
PCT 6304,SP,95,417
PCT 6305,SP,51,188
PCT 6308,SP,56,162
PCT 6309,SP,92,291
PCT 7011,SP,59,161
PCT 7010,SP,90,223
PCT 7013,SP,78,268
PCT 7012,SP,110,258
PCT 7015,SP,64,263
PCT 7014,SP,69,261
PCT 7017,SP,89,277
PCT 7016,SP,121,373
PCT 7019,SP,87,279
PCT 7018,SP,101,352
PCT 9300,SP,18,46
PCT 6401,SP,49,113
PCT 6400,SP,88,217
PCT 6402,SP,80,267
PCT 6016,SP,78,171
PCT 6017,SP,140,417
PCT 6014,SP,59,139
PCT 6015,SP,54,162
PCT 6012,SP,74,166
PCT 6013,SP,86,197
PCT 6010,SP,14,40
PCT 6011,SP,102,220
PCT 6018,SP,102,416
PCT 6019,SP,124,385
PCT 3318,SP,77,273
PCT 3319,SP,80,236
PCT 3316,SP,84,341
PCT 3317,SP,121,382
PCT 3314,SP,88,227
PCT 3315,SP,97,291
PCT 3312,SP,104,337
PCT 3313,SP,137,348
PCT 3310,SP,111,271
PCT 3311,SP,55,184
PCT 9008,SP,12,49
PCT 9004,SP,82,275
PCT 9005,SP,27,96
PCT 9006,SP,99,275
PCT 9007,SP,26,81
PCT 9000,SP,123,272
PCT 9001,SP,75,207
PCT 9002,SP,52,200
PCT 9003,SP,61,128
