Row Label,County,Mary E. Fairhurst
SPENCER,SN,0
MONROE  4,SN,247
EVERETT  82,SN,141
STILLAGUAMISH,SN,103
BOTHELL 31,SN,218
BOTHELL 33,SN,203
GLENWOOD,SN,153
BOTHELL 35,SN,184
BOTHELL 34,SN,230
BOTHELL 37,SN,260
BOTHELL 36,SN,201
BOTHELL 39,SN,161
BOTHELL 38,SN,195
ALDERCREST,SN,46
MC FARLAND,SN,240
QUEENS,SN,201
EVERETT  91,SN,158
LUPINE,SN,174
EVERETT  93,SN,137
HAZEL,SN,273
EVERETT  95,SN,92
EVERETT  94,SN,115
OAKS,SN,259
GIBSON,SN,155
HIGH ROCK,SN,175
BEECHER,SN,216
BERKSHIRE,SN,304
PORTAGE,SN,80
STICKNEY,SN,204
MARYSVILLE 50,SN,217
STOCK SHOW,SN,100
HENNING,SN,264
PILCHUCK RIVER,SN,18
MILL,SN,225
WOODS CREEK,SN,164
LOMA,SN,186
WILLOWDALE,SN,246
MARYSVILLE 18,SN,259
MARYSVILLE 19,SN,182
MARYSVILLE 12,SN,227
MARYSVILLE 13,SN,156
MARYSVILLE 10,SN,165
MARYSVILLE 11,SN,294
MARYSVILLE 16,SN,263
OSBORN,SN,188
SUNRISE,SN,200
MARYSVILLE 15,SN,221
MEADOW,SN,168
LAKE STEVENS 16,SN,151
ROOSEVELT,SN,114
LAKE STEVENS 14,SN,200
RAINIER,SN,111
DOUGLAS FIRS,SN,175
TROMBLEY,SN,211
RUGGS LAKE,SN,227
EVERETT   6,SN,161
EVERETT   7,SN,93
LAKE GOODWIN,SN,323
EVERETT   5,SN,200
EVERETT   2,SN,213
EVERETT   3,SN,166
SHELBY,SN,176
MAGNOLIA,SN,167
WHEELER,SN,170
VALMONT,SN,114
EDMONDS 13,SN,266
EVERETT   8,SN,181
EVERETT   9,SN,320
GETCHELL,SN,180
SEXTON,SN,252
EDMONDS 15,SN,173
RIVERCREST,SN,141
LYNNWOOD  2,SN,160
STAR CREEK,SN,122
EDMONDS 19,SN,253
CASSIDY,SN,201
EDMONDS 18,SN,216
TRANGEN,SN,182
WOODRIDGE,SN,301
MACHIAS,SN,317
FIRTREE,SN,149
SNOHOMISH 10,SN,95
EAST SHORE,SN,195
ALMA,SN,25
CASCADIAN,SN,252
ALDER,SN,200
INDEX,SN,36
EDMONDS 45,SN,175
LYNNWOOD 22,SN,150
JORDAN BRIDGE,SN,63
WELLINGTON,SN,277
FREEWAY,SN,219
SHORE,SN,235
LYNNWOOD 20,SN,202
EDMONDS 40,SN,209
SILVANA,SN,154
LYNNWOOD 26,SN,205
EVERETT  55,SN,58
EVERETT  54,SN,180
EVERETT  57,SN,204
EVERETT  56,SN,192
EVERETT  51,SN,185
EVERETT  50,SN,204
EVERETT  53,SN,192
EVERETT  52,SN,187
SAMOEA,SN,213
STORM LAKE,SN,270
EVERETT  59,SN,176
EVERETT  58,SN,27
EDMONDS 11,SN,248
EDMONDS 10,SN,261
EVERETT  72,SN,108
EDMONDS 12,SN,138
MOUNTLAKE TERRACE  8,SN,198
MOUNTLAKE TERRACE  9,SN,139
EDMONDS 17,SN,196
EDMONDS 16,SN,178
MOUNTLAKE TERRACE  4,SN,141
MOUNTLAKE TERRACE  5,SN,178
MOUNTLAKE TERRACE  6,SN,144
MOUNTLAKE TERRACE  7,SN,102
MOUNTLAKE TERRACE  1,SN,195
MOUNTLAKE TERRACE  2,SN,179
MOUNTLAKE TERRACE  3,SN,183
LYNNWOOD 28,SN,122
WELANGDON,SN,13
RONCREST,SN,92
PANTHER CREEK,SN,205
HIGH BRIDGE,SN,292
EDMONDS  6,SN,289
AVALON,SN,111
MINOR,SN,218
KETCHUM,SN,207
PUGET,SN,184
HAT ISLAND,SN,20
ANN,SN,188
EDMONDS  5,SN,159
WOODLAND,SN,93
DARRINGTON,SN,247
NORTHROAD,SN,275
NEWTON,SN,159
NEWBERG,SN,184
FAIRVIEW,SN,158
SLEEPY HOLLOW,SN,177
MARYSVILLE 52,SN,282
STANBY,SN,59
MARYSVILLE 27,SN,271
BOEING,SN,158
MANOR,SN,204
