Row Label,County,Al French,Mary Lou Johnson
PCT 6027,SP,254,211
PCT 6026,SP,407,297
PCT 6025,SP,210,163
PCT 6024,SP,193,119
PCT 6029,SP,289,173
PCT 6028,SP,231,157
PCT 4449,SP,149,153
PCT 3328,SP,144,312
PCT 4443,SP,185,95
PCT 4442,SP,211,137
PCT 4441,SP,234,129
PCT 4440,SP,318,216
PCT 4447,SP,128,104
PCT 4446,SP,142,140
PCT 4445,SP,272,170
PCT 4444,SP,324,218
Total,SP,81528,67636
PCT 7301,SP,211,140
PCT 7300,SP,267,149
PCT 7302,SP,205,126
PCT 4407,SP,247,264
PCT 4406,SP,231,228
PCT 4405,SP,301,242
PCT 4404,SP,323,208
PCT 4403,SP,275,249
PCT 4402,SP,228,232
PCT 4401,SP,305,239
PCT 4400,SP,246,226
PCT 4409,SP,441,267
PCT 4408,SP,420,227
PCT 3219,SP,207,258
PCT 3218,SP,241,358
PCT 3213,SP,182,364
PCT 3212,SP,141,253
PCT 3211,SP,131,321
PCT 3210,SP,131,311
PCT 3217,SP,298,306
PCT 3216,SP,241,396
PCT 3215,SP,113,210
PCT 3214,SP,190,292
PCT 4300,SP,285,118
PCT 4301,SP,193,67
PCT 4302,SP,301,188
PCT 4303,SP,367,121
PCT 4304,SP,188,148
PCT 4305,SP,218,116
PCT 4306,SP,362,150
PCT 4307,SP,67,39
PCT 9500,SP,97,58
PCT 4003,SP,472,236
PCT 4002,SP,347,159
PCT 4001,SP,229,131
PCT 4007,SP,226,147
PCT 4006,SP,409,238
PCT 4005,SP,283,154
PCT 4004,SP,376,171
PCT 4009,SP,325,161
PCT 4008,SP,250,111
PCT 6302,SP,203,154
PCT 6303,SP,384,335
PCT 6300,SP,435,344
PCT 6301,SP,461,286
PCT 6306,SP,310,173
PCT 6307,SP,181,90
PCT 6304,SP,380,281
PCT 6305,SP,215,108
PCT 6308,SP,171,129
PCT 6309,SP,305,216
PCT 3000,SP,3,4
PCT 7011,SP,229,87
PCT 7010,SP,285,129
PCT 7013,SP,359,112
PCT 7012,SP,321,169
PCT 7015,SP,312,176
PCT 7014,SP,280,188
PCT 7017,SP,374,154
PCT 7016,SP,406,240
PCT 7019,SP,306,161
PCT 7018,SP,365,234
PCT 9300,SP,59,28
PCT 6401,SP,108,95
PCT 6400,SP,187,162
PCT 6402,SP,246,176
PCT 6016,SP,186,128
PCT 6017,SP,465,342
PCT 6014,SP,149,114
PCT 6015,SP,132,157
PCT 6012,SP,196,105
PCT 6013,SP,198,164
PCT 6010,SP,42,20
PCT 6011,SP,256,136
PCT 6018,SP,393,278
PCT 6019,SP,357,315
PCT 3318,SP,179,247
PCT 3319,SP,189,213
PCT 3316,SP,220,354
PCT 3317,SP,287,371
PCT 3314,SP,188,207
PCT 3315,SP,231,292
PCT 3312,SP,284,294
PCT 3313,SP,312,306
PCT 3310,SP,232,248
PCT 3311,SP,163,138
PCT 9008,SP,64,19
PCT 9004,SP,340,115
PCT 9005,SP,143,30
PCT 9006,SP,388,146
PCT 9007,SP,104,32
PCT 9000,SP,343,169
PCT 9001,SP,226,175
PCT 9002,SP,257,102
PCT 9003,SP,183,63
