Row Label,County,Beth A. Fraser
CLOVER,SN,163
SERENE,SN,187
REDHAWK,SN,261
JEFF,SN,164
ALICIA,SN,241
LYNNWOOD  5,SN,123
LYNNWOOD  4,SN,166
LYNNWOOD  7,SN,237
LYNNWOOD  6,SN,180
LYNNWOOD  1,SN,109
POPPY,SN,132
LYNNWOOD  2,SN,163
ATLAS,SN,241
SEATTLE HILL,SN,201
ALDERCREST,SN,43
LYNNWOOD  9,SN,245
LYNNWOOD  8,SN,154
ADMIRALTY,SN,153
QUEENS,SN,198
BRIER 8,SN,151
MILL CREEK 21,SN,117
MILL CREEK 20,SN,171
MILL CREEK 22,SN,148
BRIER 3,SN,317
BRIER 2,SN,158
BRIER 1,SN,211
BRIER 7,SN,156
BRIER 6,SN,155
BRIER 5,SN,266
BRIER 4,SN,234
GROVE,SN,253
WANDERING CREEK,SN,243
POPLAR,SN,104
FOREST,SN,208
EDMONDS 49,SN,185
OAKS,SN,253
EMANDER,SN,234
GIBSON,SN,156
MERIDIAN,SN,227
BERKSHIRE,SN,300
EDMONDS 42,SN,154
BROOK,SN,262
DAMSON,SN,258
SILVER LAKE,SN,199
HILLMAN,SN,177
TAMBARK,SN,183
EDMONDS 32,SN,211
MADISON,SN,271
LYNNWOOD  3,SN,177
EDMONDS 52,SN,192
MEADOWDALE,SN,166
EDMONDS 28,SN,189
RIDGEVIEW,SN,108
LYNNWOOD 17,SN,248
STRAWBERRY,SN,236
LYNNWOOD 18,SN,198
LYNNWOOD 19,SN,197
LYNNWOOD 12,SN,206
LYNNWOOD 13,SN,145
LYNNWOOD 10,SN,109
Total,SN,50576
LYNNWOOD 16,SN,186
NORMA,SN,182
LYNNWOOD 14,SN,167
LYNNWOOD 15,SN,155
