Row Label,County,Jim Upton,Ty Trenary
MALTBY,SN,139,129
STONE GATE,SN,94,107
MARYSVILLE 45,SN,173,169
BOSTIAN,SN,98,96
SILER,SN,77,82
MAPLEWOOD,SN,101,129
MOUNTLAKE TERRACE 19,SN,115,143
MOUNTLAKE TERRACE 18,SN,109,140
MOUNTLAKE TERRACE 17,SN,153,185
MOUNTLAKE TERRACE 16,SN,88,88
MOUNTLAKE TERRACE 15,SN,95,109
MOUNTLAKE TERRACE 14,SN,120,141
MOUNTLAKE TERRACE 13,SN,130,133
MOUNTLAKE TERRACE 12,SN,102,126
MOUNTLAKE TERRACE 11,SN,115,102
MOUNTLAKE TERRACE 10,SN,138,194
ARLINGTON  8,SN,105,166
ARLINGTON  9,SN,162,123
ARLINGTON  4,SN,193,208
EVERETT   1,SN,91,227
ARLINGTON  6,SN,158,130
ASH,SN,181,161
EDMONDS 43,SN,111,197
ARLINGTON  1,SN,133,116
ARLINGTON  2,SN,84,110
ARLINGTON  3,SN,117,103
SHADOW WOOD,SN,123,125
HUCKLEBERRY,SN,59,90
SHORTS,SN,147,185
PIONEER TRAILS,SN,107,157
CREEKSIDE,SN,77,117
LYNNWOOD 29,SN,153,176
EVERETT  28,SN,83,108
EVERETT  29,SN,106,90
ARLINGTON  5,SN,136,211
EVERETT  24,SN,101,154
EVERETT  25,SN,87,122
PETERSON,SN,143,189
EVERETT  27,SN,103,169
EVERETT  20,SN,107,123
EVERETT  21,SN,149,189
EVERETT  22,SN,100,112
EVERETT  23,SN,20,29
EVERETT  18,SN,123,201
ARLINGTON  7,SN,157,177
ADMIRALTY,SN,93,86
EDMONDS 49,SN,93,141
GLEN ACRES(*),SN,0,0
EDMONDS 47,SN,61,74
EDMONDS 44,SN,96,151
EVERETT  89,SN,101,89
EDMONDS 42,SN,92,107
LAKE STEVENS  6,SN,136,138
WOODGATE,SN,76,73
EDMONDS 41,SN,80,116
EVERETT  86,SN,113,101
THOMPSON,SN,138,182
BUTTERNUT,SN,116,125
MONROE  4,SN,159,132
EVERETT  82,SN,84,101
STILLAGUAMISH,SN,54,62
BOTHELL 31,SN,99,178
BOTHELL 33,SN,116,119
GLENWOOD,SN,89,104
BOTHELL 35,SN,119,111
BOTHELL 34,SN,114,179
BOTHELL 37,SN,150,162
BOTHELL 36,SN,111,122
BOTHELL 39,SN,88,114
BOTHELL 38,SN,120,120
ALDERCREST,SN,32,18
MC FARLAND,SN,141,167
QUEENS,SN,113,136
EVERETT  91,SN,84,94
LUPINE,SN,121,99
EVERETT  93,SN,88,65
HAZEL,SN,143,193
EVERETT  95,SN,61,59
EVERETT  94,SN,67,79
OAKS,SN,168,127
GIBSON,SN,94,78
HIGH ROCK,SN,118,117
BEECHER,SN,135,148
BERKSHIRE,SN,153,207
PORTAGE,SN,51,70
STICKNEY,SN,153,113
MARYSVILLE 50,SN,127,139
STOCK SHOW,SN,75,53
HENNING,SN,171,198
PILCHUCK RIVER,SN,15,6
MILL,SN,146,156
WOODS CREEK,SN,115,115
LOMA,SN,97,153
WILLOWDALE,SN,132,155
MARYSVILLE 18,SN,138,192
MARYSVILLE 19,SN,126,108
MARYSVILLE 12,SN,130,155
MARYSVILLE 13,SN,123,99
MARYSVILLE 10,SN,91,107
MARYSVILLE 11,SN,150,197
MARYSVILLE 16,SN,132,194
OSBORN,SN,110,109
SUNRISE,SN,75,166
MARYSVILLE 15,SN,116,145
MEADOW,SN,110,115
LAKE STEVENS 16,SN,115,78
SLIVER(*),SN,0,0
ROOSEVELT,SN,73,73
LAKE STEVENS 14,SN,111,132
RAINIER,SN,76,76
DOUGLAS FIRS,SN,108,116
TROMBLEY,SN,133,121
RUGGS LAKE,SN,131,171
EVERETT   6,SN,82,101
EVERETT   7,SN,69,52
LAKE GOODWIN,SN,190,241
EVERETT   5,SN,103,118
EVERETT   2,SN,77,178
EVERETT   3,SN,94,111
SHELBY,SN,86,126
MAGNOLIA,SN,102,102
WHEELER,SN,129,117
VALMONT,SN,63,96
EDMONDS 13,SN,133,180
EVERETT   8,SN,120,97
EVERETT   9,SN,136,241
GETCHELL,SN,113,125
SEXTON,SN,165,170
EDMONDS 15,SN,96,117
RIVERCREST,SN,86,91
LYNNWOOD  2,SN,88,102
STAR CREEK,SN,85,84
EDMONDS 19,SN,150,143
CASSIDY,SN,151,114
EDMONDS 18,SN,120,133
TRANGEN,SN,141,107
WOODRIDGE,SN,151,197
MACHIAS,SN,179,209
FIRTREE,SN,121,110
SNOHOMISH 10,SN,60,66
EAST SHORE,SN,105,159
ALMA,SN,18,17
CASCADIAN,SN,152,160
ALDER,SN,115,109
EDMONDS 46,SN,156,294
LYNNWOOD 32(*),SN,0,0
INDEX,SN,15,36
EDMONDS 45,SN,78,135
LYNNWOOD 22,SN,79,86
JORDAN BRIDGE,SN,38,38
WELLINGTON,SN,150,196
FREEWAY,SN,110,155
SHORE,SN,130,159
LYNNWOOD 20,SN,118,105
EDMONDS 40,SN,95,162
SILVANA,SN,93,93
LYNNWOOD 26,SN,136,116
EVERETT  55,SN,33,37
EVERETT  54,SN,85,147
EVERETT  57,SN,116,135
EVERETT  56,SN,124,95
EVERETT  51,SN,85,149
EVERETT  50,SN,101,145
EVERETT  53,SN,82,175
EVERETT  52,SN,115,109
SAMOEA,SN,134,139
STORM LAKE,SN,207,164
EVERETT  59,SN,102,93
EVERETT  58,SN,15,13
EDMONDS 11,SN,106,192
EDMONDS 10,SN,121,196
EVERETT  72,SN,65,67
EDMONDS 12,SN,62,100
MOUNTLAKE TERRACE  8,SN,118,105
MOUNTLAKE TERRACE  9,SN,74,76
EDMONDS 17,SN,82,138
EDMONDS 16,SN,99,100
MOUNTLAKE TERRACE  4,SN,81,93
MOUNTLAKE TERRACE  5,SN,117,109
MOUNTLAKE TERRACE  6,SN,100,68
MOUNTLAKE TERRACE  7,SN,84,48
MOUNTLAKE TERRACE  1,SN,126,97
MOUNTLAKE TERRACE  2,SN,110,108
MOUNTLAKE TERRACE  3,SN,92,113
LYNNWOOD 28,SN,76,74
WELANGDON,SN,10,9
RONCREST,SN,66,56
PANTHER CREEK,SN,137,125
HIGH BRIDGE,SN,192,205
EDMONDS  6,SN,132,207
AVALON,SN,58,76
MINOR,SN,123,144
KETCHUM,SN,93,169
PUGET,SN,98,126
HAT ISLAND,SN,12,13
ANN,SN,99,113
EDMONDS  5,SN,78,100
WOODLAND,SN,80,65
DARRINGTON,SN,140,156
NORTHROAD,SN,163,169
NEWTON,SN,76,115
NEWBERG,SN,113,107
FAIRVIEW,SN,116,96
SLEEPY HOLLOW,SN,142,112
MARYSVILLE 52,SN,174,154
STANBY,SN,27,52
MARYSVILLE 27,SN,176,160
BOEING,SN,93,124
MANOR,SN,111,122
SANDMAN,SN,97,99
WEST FORK,SN,55,38
SKYKOMISH,SN,35,54
LOCHSLOY,SN,185,170
AIRPARK,SN,38,30
WALLACE,SN,101,83
EDMONDS 29,SN,123,166
FIRCREST,SN,67,111
PICNIC POINT,SN,80,130
FIELD,SN,137,125
HARTFORD,SN,67,73
YORK,SN,142,149
MARKS,SN,125,146
BOSWORTH,SN,163,176
GREGORY,SN,108,108
NORTH FORK,SN,56,96
MORNING RISE,SN,132,123
BOTHELL 32,SN,92,102
MEADOWDALE,SN,77,162
PARADISE,SN,163,138
MARYSVILLE 28,SN,95,72
WINGATE,SN,135,150
MARYSVILLE  9,SN,63,65
MARYSVILLE  8,SN,132,113
LAKEWOOD,SN,109,133
MARYSVILLE  1,SN,98,78
MARYSVILLE  3,SN,142,148
MARYSVILLE  2,SN,57,57
MARYSVILLE  5,SN,133,219
MARYSVILLE  4,SN,118,88
MARYSVILLE  7,SN,94,84
MARYSVILLE  6,SN,113,84
EVERETT  11,SN,112,193
LARCH,SN,119,128
EVERETT  13,SN,92,102
EVERETT  12,SN,96,114
EVERETT  15,SN,116,110
EVERETT  14,SN,105,126
EVERETT  17,SN,64,75
EVERETT  16,SN,104,88
EVERETT  19,SN,93,131
SEATTLE HILL,SN,95,123
WHALEBACK,SN,8,12
EDMONDS 51,SN,128,137
EDMONDS 50,SN,96,94
EDMONDS 52,SN,99,126
SULTAN 1,SN,178,106
SULTAN 3,SN,138,98
SULTAN 2,SN,119,122
SULTAN 4,SN,118,86
MERIDIAN,SN,146,141
BROOK,SN,152,163
SILVANA TERRACE,SN,81,107
MARION,SN,126,105
MUKILTEO 13,SN,85,182
HILLMAN,SN,87,141
EASTMONT,SN,99,101
MARYSVILLE 46,SN,141,221
EVERETT  88,SN,78,167
CRYSTAL,SN,96,145
BATTERY,SN,103,89
EVERETT  87,SN,71,93
EVERETT  84,SN,32,39
EVERETT  85,SN,76,103
BEAR CREEK,SN,100,106
EVERETT  83,SN,113,90
EVERETT  80,SN,133,155
EVERETT  81,SN,57,72
SUMMIT,SN,121,119
LAKE HOWARD,SN,105,164
Total,SN,80669,92752
TYEE,SN,137,118
MILLARD,SN,77,86
MEADOWCREST,SN,111,144
TULALIP 2,SN,83,160
OLIVIA,SN,17,16
PUGET PARK,SN,103,123
SPRUCE,SN,81,75
RAILROAD,SN,100,98
HIWAY,SN,13,17
EDMONDS  2,SN,122,168
EDMONDS  3,SN,110,199
OUTLOOK,SN,131,131
EDMONDS  1,SN,106,173
EDGECOMB,SN,110,132
EDMONDS  7,SN,133,199
EDMONDS  4,SN,109,152
FILBERT,SN,165,141
EDMONDS  8,SN,135,220
EDMONDS  9,SN,95,102
WANDERING CREEK,SN,138,149
SNOCADE,SN,170,197
MARYSVILLE 26,SN,130,177
MARYSVILLE 25,SN,78,72
MARYSVILLE 24,SN,96,141
MARYSVILLE 23,SN,193,190
TERRACE,SN,27,26
MARYSVILLE 21,SN,164,241
MARYSVILLE 20,SN,127,132
VALLEY,SN,37,46
LUDWIG,SN,104,133
MARYSVILLE 29,SN,72,79
CRYSTAL CREEK,SN,83,74
GROVE,SN,143,145
JIM CREEK,SN,174,182
GRANNIS,SN,108,137
RIVERVIEW,SN,142,137
EVERETT  64,SN,65,54
ROWLAND,SN,75,126
LANTERN,SN,142,126
STITCH,SN,31,53
WINDROSE,SN,183,164
WENBERG,SN,93,187
SNOHOMISH  2,SN,93,111
SNOHOMISH  3,SN,91,143
SNOHOMISH  1,SN,117,179
SNOHOMISH  6,SN,94,101
SNOHOMISH  7,SN,122,147
SNOHOMISH  4,SN,113,140
SNOHOMISH  5,SN,152,195
LAURA,SN,144,162
SNOHOMISH  8,SN,151,222
SNOHOMISH  9,SN,65,100
SUNNYSIDE,SN,49,35
EVERETT  37,SN,128,123
CATHCART,SN,86,83
PENNANT,SN,173,175
EVERETT  35,SN,130,130
KAYAK,SN,74,186
EVERETT  34,SN,93,88
TRAIL,SN,60,80
WOODSHIRE,SN,105,123
ROB,SN,94,91
MERWIN,SN,78,95
OSO,SN,77,101
OLDMARK,SN,144,207
BOTHELL 40,SN,161,136
BOTHELL 41,SN,114,194
BOTHELL 42,SN,135,185
BOTHELL 43,SN,92,110
BOTHELL 44,SN,82,120
BURN HILL,SN,130,163
BOTHELL 46,SN,128,128
BOTHELL 47,SN,117,164
EMERALD,SN,131,115
GRAND FIRS,SN,148,184
EVERETT  48,SN,107,99
EVERETT  49,SN,122,168
EVERETT  42,SN,83,101
EVERETT  43,SN,83,63
EVERETT  40,SN,64,48
WILLOW,SN,91,129
EVERETT  46,SN,89,105
EVERETT  47,SN,133,107
EVERETT  44,SN,84,88
EVERETT  45,SN,104,99
EBEY,SN,11,17
EVERETT  26,SN,130,234
CYPRESS,SN,128,120
SYLVAN,SN,14,2
EDMONDS 24,SN,59,136
EDMONDS 25,SN,102,141
EDMONDS 26,SN,90,100
EDMONDS 27,SN,110,124
EDMONDS 21,SN,158,196
EDMONDS 22,SN,82,173
EDMONDS 23,SN,133,199
WELCH,SN,174,148
JORDAN,SN,199,210
HIGHLAND,SN,107,101
EDMONDS 28,SN,79,189
FAIRWOOD,SN,61,56
SILVER CREEK,SN,86,103
TRAFTON,SN,111,94
MARYSVILLE 48,SN,114,97
JEFFERSON,SN,94,89
FERNWOOD,SN,108,122
EDMONDS 35,SN,81,143
THRASHERS,SN,104,113
HILLTOP,SN,162,179
TURNER,SN,199,192
HOLIDAY,SN,70,57
CHAPEL,SN,85,106
EDMONDS 48,SN,117,135
KENTISH,SN,100,90
EDMONDS 38,SN,112,184
TOTEM FALLS,SN,156,202
KATTENHORN,SN,161,210
CEDARHOME,SN,84,189
CASCADE,SN,90,86
MARSH,SN,154,174
CENTENNIAL,SN,187,186
TOWER,SN,122,131
MONROE 12,SN,90,82
VILLE,SN,42,62
MONROE 10,SN,164,117
MONROE 11,SN,53,47
GRANITE FALLS 3,SN,47,53
GRANITE FALLS 2,SN,175,141
GRANITE FALLS 1,SN,143,125
LOCUST,SN,113,145
OLYMPUS,SN,99,113
SUNSET,SN,175,167
DOGWOOD,SN,96,114
SOUTH ALDERWOOD,SN,153,174
DALE,SN,136,121
SERENE,SN,96,134
REDHAWK,SN,143,174
JEFF,SN,94,98
ALICIA,SN,140,141
HILLSIDE,SN,72,43
POINTE,SN,17,27
ARMSTRONG,SN,92,122
STRAWBERRY,SN,131,136
MARYSVILLE 33(*),SN,0,0
NORMA,SN,99,114
DUMAS,SN,129,108
GOLD BAR 2,SN,115,88
GOLD BAR 1,SN,120,95
GLENBAR,SN,90,102
FOREST,SN,122,150
SAUK,SN,42,75
EMANDER,SN,127,133
PILCHUCK,SN,112,133
ARLINGTON 13,SN,144,199
HEIGHTS,SN,111,160
DAMSON,SN,143,182
TAMBARK,SN,102,127
ECHO LAKE,SN,177,169
MADISON,SN,173,160
EVERETT  10,SN,90,104
GATEWAY,SN,115,171
EVERETT  92(*),SN,0,0
LYNNWOOD 18,SN,109,137
LYNNWOOD 19,SN,127,127
MARYSVILLE 14,SN,159,187
LYNNWOOD 12,SN,140,115
LYNNWOOD 13,SN,110,88
LYNNWOOD 10,SN,72,68
LYNNWOOD 11,SN,124,122
LYNNWOOD 16,SN,105,114
LYNNWOOD 17,SN,163,149
LYNNWOOD 14,SN,103,95
LYNNWOOD 15,SN,103,87
