Row Label,County,Todd Donovan,Delaine (De) Clizbe,Larry Helm,Dick Donahue,Bob Hall,Kent S. Murray,Stoney Bird,Bob Burr,Bruce Clawson,Tom Walstrom,Kevin Byford,Barbara Ryan,Michele Stelovich,Thomas Stuen,Eli Mackiewicz,Orphalee Smith,Nancy Metcalf,Anthony (Tony) Wallace,Alison (Alie) Walker
170    ,WM,121,88,51,117,31,65,14,46,61,18,4,132,17,114,84,129,33,11,107
222,WM,403,83,58,62,57,37,84,176,61,21,4,390,33,288,230,113,91,8,335
255    ,WM,134,75,40,63,26,41,9,52,33,11,3,134,16,107,84,61,26,10,118
167    ,WM,26,35,24,37,10,34,4,13,5,12,2,21,6,21,19,36,4,2,27
265    ,WM,159,82,49,90,43,56,17,65,34,32,3,198,29,136,90,102,42,10,154
254    ,WM,162,75,28,90,31,55,16,65,34,21,4,172,18,145,102,108,40,11,150
258    ,WM,306,60,33,26,30,17,46,97,15,18,2,308,26,245,192,66,56,8,278
256    ,WM,293,54,42,53,46,34,46,93,47,17,4,298,28,251,165,80,49,6,253
171    ,WM,242,128,48,109,44,69,17,69,64,43,8,256,37,208,165,133,40,12,230
166    ,WM,217,136,89,141,41,96,46,102,41,35,8,226,43,174,144,122,71,22,189
253    ,WM,135,62,37,37,29,24,30,72,27,18,6,140,33,89,84,43,56,8,127
169    ,WM,277,161,91,180,62,113,20,130,82,65,7,304,51,262,199,200,55,10,296
246,WM,197,41,26,28,21,19,31,78,22,10,2,192,15,163,113,51,46,5,183
262    ,WM,219,61,34,48,28,38,38,79,31,17,6,233,32,177,155,58,58,7,200
172    ,WM,114,86,45,73,42,48,20,47,33,29,1,137,30,87,76,90,32,10,109
Total,WM,10584,4818,2739,4501,2115,2933,1615,4329,2495,1477,264,11346,1590,8783,6786,5829,2612,560,10121
176    ,WM,144,97,51,97,31,71,13,61,46,27,4,147,32,116,79,118,52,9,138
240,WM,219,111,58,106,55,60,17,87,47,26,6,254,27,204,150,143,52,8,241
