Row Label,County,Kevin McCann
26-302,PI,522
26-303,PI,459
26-301,PI,142
26-304,PI,521
26-305,PI,486
31-892,PI,182
31-893,PI,0
31-890,PI,168
27-471,PI,13
31-891,PI,95
27-475,PI,300
27-477,PI,330
27-476,PI,244
31-896,PI,4
31-897,PI,128
31-894,PI,39
31-895,PI,217
31-856,PI,221
31-857,PI,137
31-854,PI,138
31-855,PI,179
31-853,PI,47
31-919,PI,262
31-917,PI,348
31-916,PI,247
31-915,PI,50
31-914,PI,205
31-913,PI,103
31-912,PI,198
31-911,PI,158
31-910,PI,230
29-653,PI,298
29-652,PI,34
29-651,PI,356
29-650,PI,316
29-657,PI,4
29-656,PI,285
29-655,PI,127
29-654,PI,335
29-659,PI,168
29-658,PI,285
25-208,PI,411
25-209,PI,395
25-201,PI,420
25-202,PI,340
25-203,PI,402
25-204,PI,341
25-205,PI,396
25-206,PI,244
28-590,PI,13
29-626,PI,8
29-627,PI,0
29-624,PI,0
29-625,PI,6
29-622,PI,229
29-623,PI,71
29-620,PI,173
29-621,PI,0
02-159,PI,197
02-158,PI,261
02-151,PI,115
02-150,PI,290
02-153,PI,265
02-152,PI,339
02-155,PI,330
02-154,PI,259
02-157,PI,393
02-156,PI,400
27-408,PI,398
27-409,PI,389
27-401,PI,193
27-404,PI,127
27-405,PI,381
27-406,PI,468
27-407,PI,369
28-520,PI,422
28-521,PI,430
28-522,PI,437
28-523,PI,421
28-524,PI,464
28-525,PI,480
28-526,PI,301
28-527,PI,511
28-528,PI,425
28-529,PI,330
31-818,PI,78
31-819,PI,126
31-813,PI,139
31-810,PI,157
31-816,PI,252
31-817,PI,311
31-814,PI,40
31-815,PI,213
26-351,PI,367
26-350,PI,374
26-352,PI,362
31-926,PI,7
31-927,PI,227
31-924,PI,164
31-925,PI,72
25-248,PI,423
25-249,PI,375
31-920,PI,207
31-921,PI,216
25-244,PI,434
25-245,PI,2
25-246,PI,32
25-247,PI,333
25-240,PI,155
25-241,PI,206
25-242,PI,403
25-243,PI,297
02-110,PI,201
29-668,PI,242
29-669,PI,317
29-662,PI,0
29-663,PI,287
29-660,PI,379
29-661,PI,264
29-667,PI,321
29-664,PI,302
28-565,PI,317
28-566,PI,332
28-567,PI,343
28-560,PI,445
28-561,PI,252
28-562,PI,218
28-563,PI,120
28-568,PI,357
02-148,PI,342
02-120,PI,281
02-121,PI,338
02-122,PI,359
02-123,PI,358
02-124,PI,283
02-125,PI,265
02-126,PI,342
02-127,PI,204
02-128,PI,369
02-129,PI,210
02-142,PI,238
26-315,PI,423
26-317,PI,401
26-316,PI,455
26-319,PI,335
26-318,PI,328
27-448,PI,11
27-449,PI,338
27-444,PI,295
27-445,PI,284
27-446,PI,295
27-447,PI,320
27-440,PI,337
27-441,PI,287
27-442,PI,235
27-443,PI,246
31-845,PI,233
31-844,PI,173
31-847,PI,136
31-846,PI,110
31-841,PI,140
31-840,PI,126
31-843,PI,180
31-842,PI,228
31-849,PI,99
31-848,PI,41
25-217,PI,418
25-216,PI,249
25-215,PI,356
25-213,PI,421
25-212,PI,392
25-211,PI,363
25-210,PI,489
25-219,PI,383
25-218,PI,382
29-671,PI,274
29-670,PI,330
29-675,PI,333
29-677,PI,309
29-676,PI,298
29-635,PI,81
31-883,PI,333
29-637,PI,281
29-636,PI,370
29-633,PI,25
29-639,PI,284
29-638,PI,149
31-882,PI,246
28-538,PI,352
28-537,PI,422
28-536,PI,391
28-535,PI,420
28-531,PI,371
28-530,PI,192
30-713,PI,4
31-809,PI,261
31-808,PI,243
31-801,PI,180
31-803,PI,291
31-802,PI,256
31-805,PI,281
31-804,PI,263
31-807,PI,3
31-806,PI,324
25-293,PI,346
27-417,PI,400
27-416,PI,383
27-415,PI,420
27-414,PI,393
27-413,PI,369
27-412,PI,369
27-411,PI,435
27-410,PI,394
31-898,PI,289
31-899,PI,158
27-419,PI,355
27-418,PI,349
25-292,PI,377
25-259,PI,363
25-258,PI,376
25-253,PI,231
25-252,PI,336
25-251,PI,307
25-250,PI,151
25-257,PI,310
25-256,PI,335
25-255,PI,226
25-254,PI,214
Total,PI,134455
29-679,PI,264
29-678,PI,250
25-228,PI,370
25-226,PI,266
25-227,PI,197
29-673,PI,341
29-672,PI,194
25-222,PI,282
29-674,PI,108
25-220,PI,2
25-221,PI,361
30-708,PI,231
28-573,PI,229
28-572,PI,342
28-571,PI,5
28-570,PI,5
28-577,PI,12
28-576,PI,329
28-575,PI,2
28-574,PI,81
28-579,PI,62
28-578,PI,73
02-139,PI,309
02-138,PI,419
02-137,PI,168
02-136,PI,59
02-135,PI,365
02-134,PI,381
02-133,PI,95
02-131,PI,393
02-130,PI,182
27-428,PI,320
27-429,PI,344
27-426,PI,342
27-427,PI,322
27-424,PI,338
27-425,PI,308
27-422,PI,481
27-423,PI,392
27-420,PI,423
27-421,PI,311
26-328,PI,313
26-329,PI,397
26-324,PI,409
26-325,PI,347
26-326,PI,425
26-327,PI,402
26-320,PI,376
26-321,PI,477
26-322,PI,441
26-323,PI,405
28-506,PI,423
28-507,PI,346
28-504,PI,388
28-505,PI,412
28-502,PI,427
28-503,PI,438
28-501,PI,394
28-508,PI,192
28-509,PI,0
27-459,PI,205
27-458,PI,215
27-453,PI,243
27-452,PI,320
27-451,PI,262
27-450,PI,373
27-457,PI,309
27-456,PI,257
27-455,PI,286
27-454,PI,330
31-873,PI,62
31-874,PI,0
31-875,PI,323
31-876,PI,22
31-877,PI,128
31-879,PI,70
25-283,PI,210
25-262,PI,334
25-263,PI,295
25-260,PI,373
25-261,PI,274
25-266,PI,378
25-267,PI,177
25-264,PI,401
25-265,PI,384
25-268,PI,194
25-269,PI,238
29-600,PI,0
29-601,PI,263
29-602,PI,218
29-603,PI,294
29-604,PI,295
29-605,PI,243
29-606,PI,316
29-607,PI,363
29-608,PI,253
29-609,PI,212
31-881,PI,161
28-548,PI,331
28-549,PI,362
31-880,PI,110
28-542,PI,355
28-543,PI,342
28-540,PI,497
28-541,PI,368
28-546,PI,369
28-547,PI,504
28-545,PI,403
02-106,PI,363
30-709,PI,251
02-105,PI,120
02-101,PI,115
31-885,PI,109
30-701,PI,12
30-707,PI,157
30-706,PI,244
30-705,PI,170
31-884,PI,286
31-834,PI,220
31-835,PI,424
31-836,PI,252
31-837,PI,231
31-830,PI,117
31-887,PI,213
31-833,PI,270
31-886,PI,248
31-838,PI,202
31-839,PI,22
27-462,PI,369
27-463,PI,289
27-460,PI,332
27-461,PI,398
27-466,PI,315
27-467,PI,303
27-464,PI,324
27-465,PI,285
31-888,PI,234
27-468,PI,290
