Row Label,County,Eileen L. Cody,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 34-1506,KI,130,299,49,183,0,4
BUR 34-1192,KI,239,591,148,397,0,10
SEA 34-1504,KI,190,418,70,267,0,7
SEA 34-1409,KI,173,422,96,270,0,1
SEA 34-1408,KI,302,708,173,481,0,6
BUR 34-1136,KI,88,218,47,137,0,2
SEA 34-1489,KI,240,744,92,338,0,6
SEA 34-1488,KI,211,692,71,284,0,2
SEA 34-1514,KI,213,521,62,277,0,2
REGAL,KI,230,788,87,321,0,4
SEA 34-1482,KI,124,321,56,180,0,0
BUR 34-1032,KI,168,511,91,263,0,4
SEA 34-1480,KI,237,594,101,339,0,1
SEA 34-1487,KI,143,335,59,205,0,3
GLASGOW,KI,157,601,90,255,0,8
SEA 34-1485,KI,219,708,79,307,0,9
LISABEULA,KI,219,467,85,309,0,5
SEA 34-1245,KI,171,466,66,244,0,7
SEA 34-1247,KI,153,461,43,202,0,6
SEA 34-1246,KI,137,355,65,203,0,1
SEA 34-1249,KI,179,551,60,241,0,2
SEA 34-1248,KI,150,407,58,209,0,1
BUR 34-0913,KI,161,599,58,225,2,4
SYLVAN,KI,251,744,82,336,0,3
SEA 34-1476,KI,108,273,62,170,0,0
BUR 34-0281,KI,0,0,0,0,0,0
SEA 34-1474,KI,145,402,82,227,0,0
SEA 34-1475,KI,117,311,55,176,0,4
SEA 34-1472,KI,120,239,50,171,0,1
SEA 34-1473,KI,139,319,39,180,0,2
SEA 34-1470,KI,242,677,104,352,0,6
SEA 34-1471,KI,209,492,94,305,0,2
SEA 34-1453,KI,128,264,46,174,0,0
SEA 34-1478,KI,111,253,51,163,0,1
SEA 34-1479,KI,142,313,58,200,0,0
BUR 34-0033,KI,187,682,113,309,0,9
SEA 34-1411,KI,135,307,61,197,0,1
SEA 34-1412,KI,94,261,72,166,0,0
SEA 34-1413,KI,209,533,105,319,0,5
SEA 34-1414,KI,91,239,69,165,0,5
SEA 34-1415,KI,179,406,65,247,0,3
SEA 34-1416,KI,156,394,75,235,0,4
BUR 34-1082,KI,128,307,84,215,0,3
SEA 34-1418,KI,125,299,71,196,0,0
SEA 34-1419,KI,271,694,142,418,0,5
CROSS,KI,250,511,75,328,0,3
SEA 34-1498,KI,223,668,104,330,0,3
SEA 34-1499,KI,192,483,89,289,0,8
SEA 34-3682,KI,138,386,53,192,0,1
BUR 34-0848,KI,171,421,88,261,0,2
SEA 34-1490,KI,169,437,61,235,0,5
SEA 34-1493,KI,238,722,80,320,0,2
SEA 34-1494,KI,170,536,81,265,0,14
SEA 34-1481,KI,164,479,59,227,0,4
SEA 34-1496,KI,288,826,98,389,0,3
SEA 34-1497,KI,233,728,97,336,0,6
SEA 34-1257,KI,185,510,115,304,0,4
SEA 34-1254,KI,118,346,30,150,0,2
SEA 34-1255,KI,153,414,46,202,0,3
SEA 34-1252,KI,195,660,99,295,0,1
SEA 34-1250,KI,136,335,62,199,0,1
SEA 34-1251,KI,235,538,73,312,0,4
CARPENTER,KI,173,434,69,242,0,0
SEA 34-1258,KI,150,341,70,225,0,5
SEA 34-1259,KI,141,328,58,205,0,6
SEA 34-1486,KI,141,364,57,201,0,3
SEA 34-3175,KI,166,357,67,235,0,2
SEA 34-1484,KI,125,345,51,180,0,4
SEA 34-1425,KI,142,292,42,185,0,1
SEA 34-1424,KI,148,436,57,210,0,5
SEA 34-1427,KI,95,269,64,163,0,4
SEA 34-1426,KI,123,294,62,186,0,1
SEA 34-1420,KI,249,668,134,385,0,2
SEA 34-1423,KI,139,338,65,205,0,1
SEA 34-1422,KI,152,354,60,216,0,4
BUR 34-0381,KI,157,486,79,243,0,7
SEAVIEW,KI,155,393,63,221,0,3
SEA 34-1429,KI,105,252,49,158,0,4
SEA 34-1428,KI,108,252,50,163,0,5
SEA 34-2501,KI,151,381,89,244,0,4
BUR 34-1150,KI,137,365,108,249,0,4
VASHON,KI,148,390,64,215,0,3
EVERGREEN,KI,192,716,65,261,0,4
MARIAN,KI,236,776,85,323,0,2
SEA 34-1533,KI,102,229,56,159,0,1
SEA 34-1532,KI,94,237,44,138,0,0
SEA 34-1530,KI,239,619,125,367,0,3
SEA 34-1537,KI,111,289,45,156,0,0
SEA 34-1536,KI,133,304,56,191,0,2
SEA 34-1535,KI,96,239,50,146,0,0
SEA 34-1534,KI,141,362,93,238,0,4
SEALTH,KI,172,378,55,229,0,2
SEA 34-1539,KI,124,356,68,198,0,6
SEA 34-1538,KI,136,378,65,202,0,1
BUR 34-0560,KI,151,474,65,223,0,7
BUR 34-1064,KI,224,589,123,358,0,11
SEA 34-1436,KI,107,362,48,156,0,1
BUR 34-0025,KI,231,734,113,352,0,8
SEA 34-1477,KI,127,307,70,200,0,3
BUR 34-0710,KI,109,357,62,175,0,4
SUNNYWOOD,KI,202,629,81,287,0,4
BUR 34-0824,KI,174,577,92,272,0,6
SEA 34-1546,KI,155,385,99,257,0,3
SEA 34-1545,KI,153,422,70,224,0,1
SEA 34-1543,KI,131,327,85,218,0,2
SEA 34-1540,KI,111,333,64,176,0,1
SEA 34-1541,KI,134,380,101,235,0,0
DILWORTH,KI,187,438,87,277,0,3
SEA 34-1520,KI,127,314,63,190,0,0
SEA 34-1521,KI,117,266,59,181,0,5
SEA 34-1522,KI,120,261,49,171,0,2
SEA 34-1523,KI,127,296,65,193,0,1
SEA 34-1524,KI,137,291,58,199,0,4
SEA 34-1526,KI,106,248,49,156,0,1
SEA 34-1527,KI,262,684,86,351,0,3
PORTAGE,KI,200,396,62,270,0,8
COLVOS,KI,117,250,35,153,0,1
TAHLEQUAH,KI,264,550,81,349,0,4
WHITE CENTER,KI,228,788,55,297,0,14
BUR 34-0485,KI,196,583,101,302,0,5
MAURY,KI,218,413,70,292,0,4
BUR 34-0489,KI,184,445,138,327,0,5
SEA 34-1438,KI,155,328,52,209,0,2
SEA 34-1439,KI,129,369,86,220,1,4
BUR 34-0311,KI,200,464,63,268,0,5
SEA 34-1432,KI,138,331,77,218,0,3
SEA 34-1433,KI,144,319,63,208,0,1
SEA 34-1430,KI,137,322,53,190,0,0
SEA 34-1431,KI,141,308,56,203,0,6
BUR 34-0402,KI,153,390,82,241,0,6
SEA 34-1437,KI,168,498,83,254,0,3
SEA 34-1434,KI,117,271,65,183,0,1
SEA 34-1435,KI,108,299,70,178,0,0
