Row Label,County,Chris Stearns,Dennis Pulsipher
Meadows,TH,143,76
Pattison,TH,179,115
Olympia 54,TH,102,58
Olympia 55,TH,80,62
Olympia 56,TH,132,91
Olympia 57,TH,86,37
Tykle Cove,TH,125,150
Mcallister Creek,TH,133,87
Olympia 52,TH,89,45
Mcintosh,TH,290,168
Tenino 02,TH,117,58
Olympia 39,TH,156,88
Steamboat Island,TH,145,75
Olympia 20,TH,88,36
Lacey 08,TH,98,58
Lacey 41,TH,137,89
Beach Crest,TH,135,72
Ames,TH,126,106
Jones Beach,TH,83,72
Pleasant Glade,TH,95,75
Evergreen Shores,TH,148,78
Hewitt Lake,TH,207,115
Tumwater 08,TH,171,135
Olympia 60,TH,97,59
Tumwater 06,TH,244,182
Tumwater 07,TH,113,85
Tumwater 04,TH,114,55
Tumwater 05,TH,117,80
Tumwater 02,TH,150,83
Tumwater 03,TH,173,100
Roosevelt,TH,224,100
Tumwater 01,TH,112,71
University North,TH,75,37
Olympia 49,TH,198,67
Olympia 48,TH,198,116
Bush Prairie,TH,40,28
Summerset,TH,258,184
Olympia 42,TH,104,67
Olympia 41,TH,169,87
Olympia 40,TH,126,80
Olympia 47,TH,185,104
Olympia 46,TH,149,83
Olympia 45,TH,95,51
Olympia 44,TH,85,37
Holmes,TH,137,98
Cooper Point,TH,126,161
Ruth Prairie,TH,73,43
Hawks Ridge,TH,74,36
Weir Prairie,TH,179,86
Wilderness,TH,212,138
Lacey 32,TH,167,101
Camelot,TH,95,87
University South,TH,98,56
Lacey 24,TH,216,134
Gallagher Cove,TH,209,187
Lacey 17,TH,156,74
Total,TH,38725,24260
College,TH,22,13
Bigelow,TH,149,84
Lacey 37,TH,41,31
Olympia 08,TH,120,109
Beaver Creek,TH,330,164
Oyster Bay,TH,177,121
Eaton Creek,TH,120,63
Lacey 28,TH,98,67
Olympia 25,TH,119,76
Four Corners,TH,265,132
South Bay,TH,188,133
Indian Summer,TH,166,140
Longmire,TH,114,64
Tumwater 24,TH,107,77
Olympia 59,TH,143,78
Clear Lake,TH,284,122
Airport,TH,5,17
Thompson,TH,97,64
Bucoda,TH,75,39
Glen Terra,TH,47,33
Frye Cove,TH,165,127
Cougar Mountain,TH,39,20
Mckinley,TH,58,32
Olympia 37,TH,108,68
Gibson Valley,TH,17,23
Olympia 35,TH,276,185
Black Lake,TH,195,145
Scheller,TH,88,48
Olympia 30,TH,151,72
Olympia 31,TH,113,95
Sunwood Lakes,TH,245,162
Lydia Hawk,TH,279,165
Lacey 23,TH,69,44
Olympia 32,TH,201,118
Michigan Hill,TH,103,52
Tumwater 09,TH,117,66
Yelm 4,TH,175,106
Lacey 48,TH,91,77
Zangle,TH,143,111
Fish Trap,TH,143,73
East Olympia,TH,141,109
Munn Lake,TH,85,70
Sunset Beach,TH,186,149
Olympia 27,TH,66,51
Lacey 43,TH,171,120
Lacey 40,TH,187,124
Fristoe,TH,115,72
Lacey 46,TH,362,221
Lacey 47,TH,262,151
Lacey 44,TH,61,45
Hicks,TH,30,11
Salmon Creek,TH,108,64
Lacey 49,TH,78,75
Wards,TH,73,49
South Union,TH,197,149
Boston Harbor,TH,174,123
Olympia 29,TH,163,135
Olympia 28,TH,173,95
Trails End,TH,274,196
Hartwood,TH,280,191
Waddell Creek,TH,122,90
Fleetwood,TH,226,120
Olympia 26,TH,139,103
Olympia 21,TH,232,124
Bald Hills,TH,48,35
Olympia 23,TH,191,106
Violet Prairie,TH,192,113
Lacey 20,TH,68,38
Hawk Acres,TH,90,106
Tumwater 27,TH,160,100
Lacey 21,TH,91,41
Lakeside,TH,94,54
Lacey 22,TH,90,64
Olympia 36,TH,63,32
Glenwood,TH,56,44
Chambers,TH,234,175
Nisqually,TH,122,85
Rich(*),TH,0,0
