Row Label,County,Jason Ritchie,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Dave Reichert
SAM 41-2813,KI,125,567,19,337,0,2,191
M-V 05-3461,KI,98,779,13,352,0,1,240
RANCH,KI,87,444,11,233,0,1,134
CALHOUN,KI,80,574,9,236,0,0,147
ENM 31-3248,KI,126,732,19,442,0,1,296
ENM 31-3247,KI,109,682,13,323,0,0,201
ENM 31-3246,KI,45,264,3,127,0,0,79
AUB 30-0067,KI,81,430,8,164,0,0,75
GLENN,KI,44,255,3,126,0,0,79
KEN 05-3375,KI,0,0,0,0,0,0,0
KEN 47-3323,KI,88,459,6,218,0,1,123
SAM 41-0100,KI,174,667,10,362,0,1,177
SAM 41-3638,KI,166,717,20,346,0,1,159
COV 47-1153,KI,119,626,9,284,0,3,153
ROYAL,KI,50,320,5,163,0,0,108
BRITTANY,KI,121,592,8,321,0,0,192
AUB 47-3187,KI,75,432,4,201,0,0,122
CHALLENGER,KI,79,293,15,185,0,0,91
KELLY,KI,83,375,10,189,0,1,95
KEN 47-0238,KI,134,723,9,349,0,4,202
B-D 05-2413,KI,92,466,15,284,0,2,175
CUMBERLAND,KI,42,345,8,195,0,0,145
LAKE YOUNGS,KI,95,669,17,390,0,1,277
B-D 05-3463,KI,0,0,0,0,0,0,0
ARTHUR,KI,177,863,9,510,0,3,321
ISS 05-2806,KI,135,399,19,243,0,0,89
CANDLEWOOD,KI,58,412,3,120,0,2,57
AUB 47-3591,KI,77,445,7,206,0,0,122
ISS 41-2401,KI,135,657,18,342,0,0,189
BINGAMAN,KI,135,565,1,313,0,0,177
AUB 47-3455,KI,78,439,6,229,0,0,145
ISS 41-2409,KI,389,1074,25,829,0,1,414
AUB 47-3324,KI,125,577,11,360,0,0,224
AUB 31-0082,KI,86,403,2,203,0,0,115
AUB 31-0083,KI,94,487,8,229,0,0,127
AUB 31-0080,KI,122,830,11,414,0,0,281
AUB 31-0081,KI,73,457,8,199,0,0,118
FALCON,KI,82,456,11,288,0,2,193
BARCLAY,KI,82,295,9,162,0,0,71
SELLECK,KI,120,784,16,420,0,0,284
M-V 05-3482,KI,141,870,19,441,0,1,280
DIANE,KI,0,0,0,0,0,0,0
SAM 41-2937,KI,108,452,13,249,0,1,127
SAM 41-2690,KI,121,526,11,271,0,1,138
KEN 47-0798,KI,147,742,9,394,0,3,235
TWO RIVERS,KI,197,779,24,465,0,2,242
KEN 33-3445,KI,91,375,4,188,1,0,92
B-D 05-2407,KI,124,838,12,447,0,0,311
SPIDER LAKE,KI,128,755,15,387,0,1,243
ISS 05-3559,KI,241,907,22,529,0,0,266
PRESTON,KI,160,661,12,383,0,1,210
ALG 30-0013,KI,66,467,5,153,0,0,82
ISS 05-3552,KI,168,742,17,308,0,0,123
LYNX,KI,109,531,5,276,0,0,162
RUSS,KI,1,24,0,11,0,0,10
DOLLOFF,KI,100,412,14,223,0,0,109
COV 47-3517,KI,39,263,4,168,0,0,125
MIL 30-3146,KI,139,659,14,361,0,0,208
N-B 05-3296,KI,146,682,24,392,0,0,222
KEN 47-3275,KI,136,854,13,288,0,0,139
LUND,KI,110,740,12,409,0,0,287
RIVERSIDE,KI,79,396,9,220,0,2,130
RAGING RIVER,KI,122,505,16,268,0,4,126
LEAH,KI,129,661,14,319,0,2,174
HI-VALLEY,KI,217,829,7,542,0,1,317
AUB 31-0069,KI,66,314,4,159,0,0,89
WABASH,KI,52,320,3,189,0,0,134
SAM 45-2564,KI,204,749,18,418,0,0,196
AUB 31-0062,KI,150,660,9,332,0,1,172
AUB 31-0063,KI,48,279,4,130,0,0,78
AUB 31-0064,KI,54,408,3,125,0,1,67
AUB 31-0065,KI,60,288,3,125,0,3,59
