Row Label,County,Laurie Thomas
DUFFYS MTN,OK,25
LOOMIS,OK,53
RIVERSIDE CITY,OK,60
SHORELINE,OK,32
SIMILKAMEEN,OK,30
PIONEER,OK,45
CRUMBACHER,OK,62
OMAK #11,OK,67
OMAK #12,OK,45
LONE PINE,OK,25
OMAK #14,OK,30
OMAK #15,OK,56
OMAK #16,OK,38
OMAK #17,OK,55
PICKENS MTN,OK,33
EDER,OK,42
WANNACUT,OK,59
CAPE LABELLE,OK,25
DIXON,OK,42
JANIS,OK,32
SIWASH CREEK,OK,43
BOSTON,OK,60
CHEROKEE,OK,56
RANCHES,OK,16
WOLF CREEK,OK,50
HENDRICK,OK,64
ELMERTON,OK,81
TONASKET #4,OK,32
FRONTAGE,OK,16
LEESE,OK,19
TONASKET #1,OK,27
OKANOGAN #11,OK,46
TONASKET #3,OK,19
TONASKET #2,OK,35
KERMEL,OK,48
ANGLIN,OK,63
OMAK LAKE,OK,23
SAND FLAT,OK,62
MALOTT,OK,70
DISAUTEL,OK,19
BREWSTER #5,OK,24
BODIE,OK,17
CHILIWIST,OK,48
TONASKET #5,OK,30
AENEAS,OK,37
COULEE DAM #3,OK,33
COULEE DAM #2,OK,39
COULEE DAM #1,OK,52
WESTLAKE,OK,30
TONASKET #7,OK,46
LEWIS BUTTE,OK,62
STARR,OK,29
OKANOGAN #10,OK,47
BEAVER CREEK,OK,30
NORTH MALOTT,OK,57
OKANOGAN #12,OK,29
WAUCONDA,OK,39
WINTHROP RURAL,OK,65
DUCK LAKE,OK,22
EASTSIDE,OK,72
HUDSON,OK,24
NIGHTHAWK,OK,17
CONCONULLY RURAL,OK,38
ANTOINE PEAK,OK,20
OROVILLE #10,OK,40
OMAK #18,OK,27
TWISP #2,OK,42
EASTLAKE,OK,24
Total,OK,8853
MOCK,OK,45
