Row Label,County,Judy Clibborn,Alex O'Neil,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SAM 41-3508,KI,199,75,685,58,337,0,5
NEW 41-0840,KI,185,84,684,64,337,0,4
SAM 41-0307,KI,152,80,525,58,291,0,1
M-I 41-2691,KI,141,32,516,27,202,0,2
SAM 41-3506,KI,150,52,455,32,234,0,0
ISS 41-2401,KI,175,93,657,74,342,0,0
BEL 41-0505,KI,124,34,279,39,197,0,0
M-I 41-0781,KI,98,22,216,18,140,0,2
BEL 41-2428,KI,232,70,739,49,351,0,0
BEL 41-2429,KI,307,87,836,55,449,0,0
BEL 41-2386,KI,114,29,279,26,169,0,0
BEL 41-0333,KI,65,26,222,6,100,0,3
BEL 41-0131,KI,120,31,417,25,178,0,2
COUGAR MTN,KI,4,3,8,1,8,0,0
M-I 41-0782,KI,180,71,503,33,285,0,1
BEL 41-3621,KI,216,43,525,32,291,0,0
BEL 41-2714,KI,252,78,711,42,372,0,0
BEL 41-3330,KI,98,27,309,21,146,0,0
ISS 41-2602,KI,191,115,817,70,379,0,3
BEL 41-2719,KI,186,66,520,37,289,0,0
SAM 41-2937,KI,146,61,452,41,249,0,1
M-I 41-0787,KI,125,30,333,26,182,0,1
SAM 41-2813,KI,178,93,567,64,337,0,2
NEW 41-2811,KI,142,54,381,29,228,0,3
M-I 41-0786,KI,109,33,255,24,166,0,0
MCDIVITT,KI,21,9,57,2,32,0,0
BEL 41-0518,KI,127,31,266,13,172,0,1
ISS 41-3533,KI,162,51,507,40,254,0,1
M-I 41-0788,KI,158,40,372,32,234,0,4
BEL 41-0101,KI,190,42,502,40,272,0,0
BEL 41-0103,KI,193,74,535,37,310,0,6
BEL 41-0102,KI,184,48,464,34,268,0,2
BEL 41-0106,KI,137,52,457,39,229,0,1
BEL 41-0109,KI,97,22,325,19,139,0,1
BEL 41-0108,KI,148,45,440,32,230,0,5
BEL 41-2812,KI,110,42,350,27,180,0,1
BEL 41-1052,KI,167,57,462,32,257,0,1
NEW 41-1115,KI,210,86,633,39,340,0,5
BEL 41-0220,KI,169,59,420,34,262,0,0
M-I 41-0780,KI,149,37,389,39,226,0,1
ISS 41-2605,KI,151,48,434,41,240,0,0
BEL 41-2554,KI,209,70,645,63,343,0,1
M-I 41-0784,KI,175,48,411,22,246,0,1
BEL 41-2556,KI,199,121,656,56,378,0,2
ISS 41-2977,KI,85,35,397,16,137,0,1
M-I 41-0789,KI,265,75,607,50,391,0,1
BEL 41-0180,KI,116,28,325,29,173,0,0
SAM 41-2942,KI,210,90,726,84,385,0,1
SAM 41-2940,KI,85,29,243,22,136,0,0
