Row Label,County,David A. Steiner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
HOLLYWOOD,KI,177,538,180,359,0,2
BEL 41-3593,KI,103,534,77,182,0,2
CAR 05-0290,KI,126,512,150,276,0,0
M-I 41-0759,KI,108,379,103,211,0,0
BEL 48-0188,KI,112,472,130,244,0,2
BEL 48-0189,KI,116,523,115,232,0,1
BEL 48-0186,KI,62,277,100,165,0,3
BROOKSIDE,KI,165,548,180,345,0,0
RING HILL,KI,241,757,244,488,0,3
ISS 41-2733,KI,250,843,210,462,0,2
KIR 45-3109,KI,135,469,95,230,0,0
BEL 41-3608,KI,191,714,158,349,0,0
KIR 45-3450,KI,61,251,64,125,0,0
SAM 41-2690,KI,136,526,135,271,0,0
RIDGE,KI,237,669,152,393,0,4
KINGLET,KI,120,532,107,227,0,0
SAM 45-3454,KI,69,233,47,116,0,0
KIR 01-3678,KI,101,349,91,193,0,1
WOD 45-3270,KI,167,612,131,298,0,0
ISS 05-3527,KI,149,587,98,249,0,2
BOT 01-3661,KI,142,528,101,245,0,2
BEL 41-1235,KI,86,334,92,180,0,2
N-B 05-0859,KI,149,487,142,291,0,0
BEL 41-0733,KI,155,718,159,315,0,1
GOLDFINCH,KI,79,281,86,165,0,0
KIR 45-3200,KI,119,455,90,209,0,0
BOT 01-0868,KI,174,650,118,292,0,0
SPRINKLE,KI,33,107,33,66,0,0
KIR 01-2918,KI,171,667,149,321,0,1
HUNTER,KI,216,811,170,389,0,3
RED 48-0948,KI,71,246,52,124,0,1
SNQ 05-3409,KI,231,787,167,399,0,1
SAM 41-1130,KI,149,651,134,283,0,0
RED 48-2967,KI,219,821,153,373,0,1
WEEKS,KI,193,713,195,390,0,2
SNQ 05-3645,KI,0,0,0,0,0,0
BROOKTRAILS,KI,173,564,172,347,0,2
N-B 05-3611,KI,172,664,141,316,0,3
KIR 48-3401,KI,175,632,165,342,0,2
COUGAR MTN,KI,4,8,1,8,0,3
BEL 48-0160,KI,72,268,55,130,0,3
QUAIL,KI,67,235,62,131,0,2
SALISH,KI,223,674,194,418,0,1
MED 48-0752,KI,138,527,172,311,0,1
KIR 01-0019,KI,245,752,188,433,0,0
SAM 41-2813,KI,166,567,171,337,0,0
WOD 45-1205,KI,171,507,168,340,0,1
BOT 01-2865,KI,115,356,90,205,0,0
RED 45-3584,KI,140,449,119,259,0,0
RED 48-3475,KI,114,356,94,210,0,2
RED 48-0944,KI,118,375,95,217,0,4
BRIDLE TRAILS,KI,0,0,0,0,0,0
KIR 45-2722,KI,177,626,118,296,0,1
RED 48-0945,KI,141,453,103,245,0,1
YPT 48-1233,KI,128,401,98,226,0,0
BEL 48-0207,KI,104,327,82,186,0,0
ALDER SPRINGS,KI,170,550,177,349,0,2
BEL 48-0201,KI,158,512,134,293,0,1
M-I 41-2809,KI,75,240,77,152,0,0
SAM 41-0100,KI,210,667,151,362,0,1
SAM 41-3638,KI,179,717,164,346,0,3
KIR 01-2767,KI,185,573,173,359,0,1
KIR 01-2762,KI,169,618,136,308,0,3
KIR 01-2768,KI,199,624,182,383,0,2
SAM 45-2564,KI,211,749,201,418,0,6
CHALLENGER,KI,99,293,86,185,0,0
BEL 48-0149,KI,119,416,114,234,0,1
RED 48-0951,KI,104,379,119,223,0,0
RED 48-0950,KI,109,444,105,214,0,0
RED 48-0953,KI,230,758,182,418,0,6
RED 48-0952,KI,91,311,69,160,0,0
BEL 48-0142,KI,84,299,75,159,0,0
BEL 48-0143,KI,81,291,70,152,0,1
BEL 48-0140,KI,143,425,87,234,0,4
BEL 48-0146,KI,95,298,77,173,0,1
BEL 48-0147,KI,109,444,96,207,0,2
BEL 48-0144,KI,92,320,76,169,0,1
BEL 48-0145,KI,72,274,64,137,0,1
BEL 41-0116,KI,48,290,63,111,0,0
BEL 41-0117,KI,71,263,69,140,0,0
BEL 41-0114,KI,120,459,172,292,0,0
BEL 41-0112,KI,195,712,163,358,0,0
BEL 41-0113,KI,67,255,90,158,0,1
BEL 41-0110,KI,146,571,110,257,0,1
BEL 41-0111,KI,179,544,150,330,0,1
BEL 41-3312,KI,245,796,243,489,0,1
BEL 41-0119,KI,99,295,98,197,0,0
WELCOME LAKE,KI,332,735,243,578,0,3
ISS 05-2806,KI,123,399,120,243,0,0
KIR 48-0638,KI,130,551,151,281,0,0
KIR 48-0636,KI,131,449,117,248,0,0
BEL 41-2484,KI,107,404,90,199,0,2
KIR 48-0633,KI,149,468,135,285,0,1
SAM 45-3412,KI,225,738,180,406,0,1
ISS 41-2401,KI,163,657,178,342,0,1
JAY,KI,135,492,144,280,0,1
BOT 01-0262,KI,192,779,167,367,0,8
ISS 41-2409,KI,500,1074,329,829,0,0
BOT 01-0260,KI,260,769,220,482,0,2
BOT 01-0261,KI,195,634,180,378,0,3
KIR 45-2917,KI,131,603,118,254,0,5
ELSIE,KI,233,726,157,393,0,3
BARCLAY,KI,96,295,66,162,0,0
C-H 48-0323,KI,150,440,108,258,0,0
C-H 48-0322,KI,85,252,74,159,0,0
C-H 48-0321,KI,109,356,106,216,0,1
KIR 01-0422,KI,161,612,145,309,0,3
C-H 48-0326,KI,82,268,79,161,0,0
C-H 48-0325,KI,123,446,152,276,0,1
C-H 48-0324,KI,119,434,144,265,0,2
BEL 41-0203,KI,219,688,190,410,0,1
BEL 41-0206,KI,197,729,146,344,0,1
BEL 41-0205,KI,95,288,76,171,0,0
DIPPER,KI,181,675,163,346,0,2
BOT 01-3271,KI,124,431,104,229,0,1
DUV 45-0389,KI,222,817,190,414,0,2
NEW 41-3261,KI,163,503,101,267,0,3
BEL 41-2386,KI,97,279,72,169,0,0
SKY 39-1091,KI,35,130,39,74,0,0
TWO RIVERS,KI,237,779,226,465,0,2
WOD 45-2769,KI,219,748,223,444,0,2
SALAL,KI,107,359,118,225,0,0
MEANDER,KI,182,581,157,340,0,1
BEL 48-1049,KI,118,344,97,215,0,0
BOT 01-2677,KI,104,344,100,204,0,0
BOT 01-2676,KI,213,825,173,391,0,5
PRESTON,KI,203,661,175,383,0,5
ISS 05-3552,KI,148,742,158,308,0,2
MARYMOOR,KI,0,0,0,0,0,0
HILL,KI,151,493,161,312,0,0
LYNX,KI,148,531,125,276,0,3
RED 48-3548,KI,93,292,51,145,0,1
RED 48-2642,KI,73,263,44,117,0,0
RED 48-2641,KI,224,645,172,396,0,0
RANCH,KI,132,444,101,233,0,0
RED 45-3547,KI,201,711,186,388,0,1
KIR 45-1019,KI,207,767,155,364,0,2
N-B 05-3296,KI,187,682,199,392,0,6
SAM 45-2693,KI,235,796,175,414,0,4
KIR 45-3668,KI,125,428,79,206,0,2
NEW 41-3227,KI,137,467,115,254,0,2
KIR 45-2760,KI,215,618,169,386,0,2
KIR 45-2761,KI,181,601,160,342,0,1
M-I 41-0755,KI,65,265,106,172,0,1
RED 48-0942,KI,136,402,121,258,0,1
M-I 41-0758,KI,99,284,76,175,0,0
BEL 48-3166,KI,168,561,109,278,0,1
BEL 48-3498,KI,81,239,72,153,0,0
RAGING RIVER,KI,130,505,132,268,0,6
HI-VALLEY,KI,287,829,252,542,0,3
RED 48-2636,KI,152,451,103,256,0,1
SILVER SPURS,KI,7,18,3,10,0,0
RED 48-2634,KI,117,389,113,231,0,1
RED 48-2635,KI,121,387,102,224,0,1
RED 48-2632,KI,65,225,65,130,0,0
RED 48-2633,KI,215,626,159,375,0,1
RED 48-2630,KI,132,394,123,257,0,2
BEL 41-0011,KI,59,346,58,117,0,0
BEL 41-0017,KI,144,594,126,270,0,0
RED 48-2467,KI,114,398,101,215,0,0
RED 48-2466,KI,240,749,217,460,0,3
STEED,KI,274,759,225,501,0,2
HAAS,KI,83,303,114,199,0,2
RED 45-2659,KI,47,154,42,89,0,0
BEL 41-0408,KI,69,212,65,136,0,2
ALDERWOOD,KI,146,440,133,284,0,5
RED 45-2643,KI,133,433,116,254,0,5
BEL 41-2936,KI,138,485,125,264,0,1
BEL 41-3291,KI,78,292,81,159,0,0
BEL 41-2935,KI,135,526,128,264,0,1
HPT 48-0533,KI,104,334,100,204,0,0
YPT 48-1234,KI,111,411,139,250,0,0
SAM 41-2491,KI,205,707,160,367,0,2
BOWOOD,KI,192,625,144,339,0,3
SHEFFIELD,KI,145,447,141,288,0,2
BEL 41-2447,KI,157,527,143,303,0,3
RED 45-2492,KI,121,356,92,214,0,1
KIR 45-0622,KI,120,390,94,214,0,0
TRILLIUM,KI,240,799,235,476,0,1
LORA,KI,155,607,185,343,0,3
KIR 45-0610,KI,174,552,144,322,0,4
KIR 45-0616,KI,130,557,164,297,0,3
KIR 45-0618,KI,147,454,168,315,0,0
ISS 41-2692,KI,104,382,107,215,0,4
MARCEL,KI,97,371,109,207,0,1
SAM 41-3214,KI,114,435,126,241,0,1
SAM 41-3215,KI,200,814,148,348,0,0
SAM 45-3388,KI,215,698,173,389,0,1
SAM 45-3389,KI,280,762,178,460,0,2
SAM 41-3607,KI,128,498,128,259,0,3
KIR 01-0870,KI,182,632,157,340,0,1
SAM 45-3386,KI,214,784,183,398,0,1
SAM 45-3387,KI,132,402,111,244,0,1
DUTHIE HILL,KI,101,356,105,208,0,2
BEL 48-0171,KI,120,396,110,234,0,4
BEL 48-0170,KI,73,225,53,128,0,2
BROOKSHIRE,KI,106,430,100,207,0,1
BEL 41-0129,KI,92,316,56,148,0,0
BEL 41-0128,KI,156,494,139,295,0,0
BEL 41-0124,KI,162,505,145,308,0,1
BEL 41-3225,KI,131,539,112,245,0,2
BEL 41-0122,KI,119,391,94,213,0,0
BEL 41-0121,KI,121,501,105,231,0,5
BEL 41-0120,KI,75,248,82,157,0,0
SNQ 05-3151,KI,152,627,143,297,0,2
BEAR CREEK,KI,127,452,145,275,0,3
WAXWING,KI,87,295,91,178,0,0
BOT 01-0257,KI,222,718,190,417,0,5
BOT 01-0256,KI,238,670,178,417,0,1
BOT 01-0255,KI,216,750,211,428,0,1
BOT 01-0254,KI,163,561,145,311,0,3
BOT 01-0253,KI,113,400,115,229,0,1
BOT 01-0252,KI,154,514,151,308,0,3
DUV 45-3642,KI,130,443,115,249,0,4
BOT 01-0259,KI,122,430,120,245,0,3
BOT 01-0258,KI,239,817,199,440,0,2
SNQ 05-3512,KI,243,823,226,472,0,3
SAM 45-3505,KI,191,573,138,329,0,0
BEL 41-3226,KI,152,531,125,278,0,1
ISS 05-3697,KI,0,0,0,0,0,0
MINK ROAD,KI,126,424,133,260,0,1
SAM 41-2940,KI,59,243,75,136,0,2
BEL 41-0333,KI,54,222,45,100,0,1
RED 45-3281,KI,186,633,123,312,0,3
TOLT,KI,97,317,91,188,0,0
BEL 41-2714,KI,194,711,173,372,0,5
BEL 41-2719,KI,155,520,133,289,0,1
BEL 48-2430,KI,169,486,118,290,0,3
BEL 48-2432,KI,112,403,109,225,0,4
KIR 45-0619,KI,99,296,88,190,0,3
BEL 48-2434,KI,116,394,142,259,0,1
SNO-VALLEY,KI,214,760,193,408,0,1
SNQ 05-3633,KI,83,404,82,166,0,1
CHURCHILL,KI,118,425,143,262,0,1
ISS 05-3464,KI,187,829,187,376,0,2
REINTREE,KI,163,565,190,353,0,0
HUTCHINSON,KI,207,678,220,427,0,0
KLAHANIE,KI,119,468,143,264,0,2
BEL 41-1052,KI,139,462,118,257,0,0
NEW 41-1115,KI,190,633,145,340,0,5
M-I 41-0781,KI,69,216,70,140,0,1
M-I 41-0780,KI,103,389,123,226,0,0
M-I 41-0782,KI,134,503,150,285,0,1
M-I 41-0785,KI,116,380,127,243,0,0
M-I 41-0784,KI,132,411,114,246,0,0
M-I 41-0787,KI,76,333,105,182,0,1
M-I 41-0786,KI,93,255,73,166,0,0
M-I 41-0789,KI,194,607,197,391,0,0
COLLEEN,KI,147,488,154,304,0,3
SAM 41-2469,KI,141,529,147,288,0,0
SAM 45-2961,KI,173,531,144,318,0,1
OVERDALE,KI,7,12,2,9,0,0
NOVELTY,KI,150,605,186,336,0,0
M-I 41-0769,KI,154,544,176,333,0,3
M-I 41-0768,KI,88,307,82,170,0,0
BEL 41-2970,KI,187,714,194,384,0,3
ISS 05-3206,KI,229,758,189,419,0,1
M-I 41-0763,KI,82,303,118,200,0,0
M-I 41-0762,KI,71,256,76,148,0,1
M-I 41-0761,KI,106,335,100,208,0,2
M-I 41-0767,KI,71,260,70,141,0,0
M-I 41-0766,KI,104,322,92,197,1,0
M-I 41-0765,KI,260,645,181,441,0,0
BEL 48-0212,KI,221,620,80,303,0,2
BEL 48-0213,KI,118,395,54,175,0,3
BEL 48-0216,KI,85,256,54,140,0,1
BEL 48-0217,KI,108,404,76,184,0,0
BEL 48-0214,KI,74,274,56,130,0,0
BEL 48-0218,KI,190,546,148,338,0,0
BEL 41-3278,KI,87,290,85,172,0,0
WOLF,KI,161,690,142,308,0,5
NEW 41-0878,KI,177,630,151,328,0,0
RED 48-0949,KI,124,433,109,234,0,1
KIR 01-2457,KI,215,709,161,376,0,0
ISS 05-3649,KI,109,404,79,188,0,0
RED 48-0940,KI,137,399,121,258,0,0
RED 48-0941,KI,99,331,106,205,0,0
RED 48-0947,KI,105,360,109,215,0,1
KIR 01-2595,KI,142,495,95,239,0,2
HORSESHOE,KI,133,490,152,289,0,4
RED 48-2629,KI,157,648,136,295,0,2
BEL 41-3583,KI,211,675,175,386,0,0
RED 45-2638,KI,141,442,92,235,0,2
BEL 48-0138,KI,98,393,80,179,0,1
BEL 48-0136,KI,70,274,42,113,0,1
BEL 48-0135,KI,64,256,62,127,0,1
BEL 48-0134,KI,88,324,53,143,0,2
BEL 48-0133,KI,75,307,66,143,0,2
BEL 48-0132,KI,61,249,73,134,0,0
NAPOLEON,KI,167,505,157,324,0,0
BEL 41-0475,KI,84,262,65,149,0,0
BEL 41-3658,KI,62,305,52,115,0,1
BEL 41-2906,KI,140,474,124,264,0,0
BEL 41-0472,KI,158,522,145,303,0,0
SAM 45-2450,KI,177,548,145,325,0,3
MIDDLE FORK,KI,119,383,94,214,0,1
BEL 41-3657,KI,107,353,81,189,0,1
MIRRORMONT,KI,132,446,111,243,0,0
KIR 48-0628,KI,191,664,164,356,0,1
KIR 48-0629,KI,205,587,137,344,0,2
COTTAGE LAKE,KI,126,452,98,228,0,4
KIR 45-3397,KI,79,314,50,130,0,1
M-I 41-2465,KI,93,330,113,208,0,2
N-B 05-3407,KI,187,628,193,381,0,1
N-B 05-3406,KI,81,309,54,136,0,1
BEL 48-0178,KI,74,406,59,134,0,1
KIR 45-0623,KI,119,378,109,229,0,1
BEL 41-0123,KI,198,748,122,323,0,3
KIR 45-0620,KI,172,552,168,340,0,0
KIR 45-0627,KI,180,628,195,376,0,1
KIR 45-0624,KI,254,793,242,501,0,5
DUV 45-3218,KI,255,840,199,454,0,0
SNQ 05-3558,KI,122,487,113,236,0,1
DUV 45-3219,KI,152,548,144,298,0,2
BEL 48-0177,KI,137,408,96,236,0,3
BEL 41-2621,KI,129,528,122,251,0,0
PORT,KI,3,17,4,7,0,0
EAGLE,KI,0,3,0,0,0,0
KIR 48-2657,KI,117,385,77,202,0,8
MEADOWBROOK,KI,80,300,88,173,0,5
KIR 48-2921,KI,121,418,109,231,0,1
KIR 48-2920,KI,89,381,100,189,0,0
KIR 01-2759,KI,199,695,160,359,0,0
BEL 41-0175,KI,227,815,183,415,0,5
BEL 41-0176,KI,170,593,119,292,0,3
BEL 41-0179,KI,92,338,56,148,0,0
BEL 41-3371,KI,171,677,122,296,0,3
BEL 41-3370,KI,188,812,185,377,0,4
WOD 45-2597,KI,189,647,156,350,0,5
ELSOM,KI,177,586,174,353,0,2
FOX,KI,128,434,119,247,0,0
LAKE ALICE,KI,141,519,152,295,0,2
ALPINE,KI,137,564,186,324,0,1
SAM 41-0909,KI,243,831,201,445,0,1
BEL 41-0658,KI,110,403,110,220,0,0
BEL 41-0305,KI,114,484,102,218,1,1
ISS 05-3572,KI,166,855,164,331,0,1
ISS 41-3533,KI,146,507,108,254,0,0
RED 48-3313,KI,229,667,152,384,0,3
RED 48-3316,KI,88,344,64,154,0,2
RED 48-2790,KI,175,592,146,323,0,2
GROUSEMONT,KI,200,593,195,396,0,1
BEL 48-3675,KI,69,330,72,141,0,0
BEL 48-3674,KI,104,436,80,185,0,1
BOT 01-3420,KI,125,399,78,205,0,2
RED 45-2410,KI,273,822,258,533,0,2
KIR 45-2916,KI,92,321,82,175,0,1
SAM 45-0536,KI,218,758,224,444,0,2
KIR 45-3612,KI,78,211,37,116,0,1
BEA 41-0099,KI,71,240,80,151,0,0
FALL CITY,KI,127,520,145,275,0,3
WOD 45-0926,KI,225,859,142,370,0,3
SNQ 05-3667,KI,112,451,109,224,0,3
M-I 41-2808,KI,106,263,80,188,0,2
BRONSON,KI,250,785,246,499,0,3
KIR 45-2912,KI,106,419,57,165,0,2
BEL 41-1026,KI,193,652,127,323,0,3
KIR 45-2911,KI,65,309,74,139,0,0
KIR 45-2910,KI,135,421,113,248,0,0
KIR 45-0442,KI,153,557,133,286,0,0
KIR 48-0639,KI,116,387,102,218,0,0
SWAN LAKE,KI,186,684,190,378,0,2
KIR 45-2931,KI,116,409,72,191,0,3
KIR 45-2933,KI,89,350,78,167,0,0
KIR 45-2932,KI,159,472,106,266,0,1
NEW 41-3529,KI,136,569,111,249,0,2
KIR 45-2934,KI,95,368,98,196,0,3
RED 48-3415,KI,85,327,75,160,0,0
BEL 41-2945,KI,160,548,136,296,0,0
BEL 41-2943,KI,233,828,200,434,0,1
TWINBERRY,KI,315,656,232,547,0,0
SAM 41-3508,KI,191,685,144,337,0,2
SAM 45-3213,KI,165,558,129,295,0,1
STEVENS,KI,68,197,54,124,0,2
BEL 48-0223,KI,149,435,137,286,0,0
KIR 01-2488,KI,245,786,227,473,0,1
BEL 48-0221,KI,163,617,138,304,0,3
BEL 48-0227,KI,178,662,146,326,0,2
BEL 48-0226,KI,110,315,77,187,0,0
BEL 48-0225,KI,137,464,127,264,0,0
BEL 48-0224,KI,194,636,162,358,0,2
KIR 45-0925,KI,110,312,56,167,0,1
KIR 48-2598,KI,176,548,150,327,0,1
BEL 48-3292,KI,131,401,112,244,0,1
MATTHEW,KI,107,461,136,243,0,0
NEW 41-0840,KI,157,684,179,337,0,1
BOT 01-1224,KI,248,748,162,414,0,4
VINCENT,KI,101,411,109,210,0,0
BEL 41-0505,KI,102,279,95,197,0,0
ASPEN GLEN,KI,116,396,114,232,0,2
BEL 48-0162,KI,87,252,52,139,0,0
BEL 48-0163,KI,97,365,100,198,0,1
BEL 48-0164,KI,101,299,61,163,0,1
BEL 48-0165,KI,133,384,115,250,0,2
BEL 48-0166,KI,117,380,94,212,0,1
BEL 48-0167,KI,84,271,74,158,0,0
BEL 48-0168,KI,76,255,57,134,0,1
BEL 48-0169,KI,103,361,91,195,0,1
BEL 41-0131,KI,103,417,74,178,0,1
STILLWATER,KI,154,523,136,292,0,2
BEL 41-3621,KI,160,525,130,291,0,1
SAM 41-3506,KI,125,455,109,234,0,0
BEL 41-3330,KI,68,309,77,146,0,1
SAM 41-3507,KI,193,708,118,314,0,3
BOT 01-2495,KI,173,580,128,304,0,3
SNQ 05-3513,KI,240,896,221,463,0,2
ISS 05-3691,KI,95,314,75,172,0,2
SAM 41-2937,KI,146,452,102,249,0,1
ISS 05-3504,KI,120,610,147,267,0,0
ISS 05-3503,KI,106,504,131,240,0,3
SNO PASS,KI,66,208,65,131,0,0
RED 48-2968,KI,169,817,129,298,0,0
NEW 41-2811,KI,139,381,87,228,0,2
RED 48-2969,KI,126,443,121,253,0,6
KIR 01-0403,KI,157,537,117,275,0,1
BEL 41-0220,KI,157,420,103,262,0,2
RED 45-3282,KI,229,707,193,425,0,3
BEL 41-0180,KI,97,325,76,173,0,0
MED 48-0749,KI,127,485,157,285,0,1
NEW 41-3241,KI,200,699,172,373,0,1
CAR 05-3290,KI,169,515,139,309,0,1
M-I 41-0770,KI,81,277,92,173,0,0
SQUAK MOUNTAIN,KI,63,188,52,115,0,0
WEBSTER,KI,163,430,118,282,0,1
ISS 05-0543,KI,169,622,142,314,0,3
ISS 05-0547,KI,93,327,98,191,0,0
ISS 05-0546,KI,73,220,48,121,0,0
ISS 05-0545,KI,95,316,74,172,0,3
ISS 05-0544,KI,165,647,126,295,0,4
DUV 45-2959,KI,150,514,117,267,0,0
SNQ 05-1097,KI,91,402,85,177,0,1
ISS 05-0548,KI,201,772,195,398,0,2
MOUNT SI,KI,62,274,103,166,0,1
M-I 41-0796,KI,151,561,114,268,0,3
M-I 41-0797,KI,117,373,82,199,0,0
M-I 41-0794,KI,139,399,118,257,0,0
M-I 41-0795,KI,170,508,147,319,0,2
M-I 41-0792,KI,81,297,105,186,0,0
M-I 41-0793,KI,174,596,192,366,0,0
MABEL,KI,111,331,99,212,0,2
M-I 41-0791,KI,83,259,72,156,0,1
KIR 45-2489,KI,168,559,124,295,0,3
M-I 41-0777,KI,144,492,147,291,0,0
KIR 48-3439,KI,171,531,151,324,0,2
SAM 45-3216,KI,219,710,135,362,0,8
SAM 45-3217,KI,233,641,188,424,0,3
KIR 01-0421,KI,237,724,229,468,0,2
THRUSH,KI,74,275,70,144,0,0
LAKE LEOTA,KI,165,562,146,313,0,2
GRIZZLY,KI,156,653,194,353,0,3
LAKE JOY,KI,225,845,250,478,0,3
BEL 48-2715,KI,145,471,152,298,0,1
BEL 48-2716,KI,129,593,99,230,0,2
M-I 41-0778,KI,95,320,119,215,0,1
M-I 41-0779,KI,144,497,184,331,0,3
BACUS,KI,139,443,132,271,0,0
BEL 48-3143,KI,103,377,97,202,0,2
M-I 41-0771,KI,73,258,76,149,0,0
M-I 41-0773,KI,82,315,98,180,0,0
M-I 41-0774,KI,142,453,146,288,0,0
M-I 41-0775,KI,138,491,175,313,0,0
M-I 41-0776,KI,104,331,105,213,0,4
BEL 48-3144,KI,163,481,109,274,0,2
BEL 41-3140,KI,95,286,75,172,0,2
KIR 45-3646,KI,62,276,38,101,0,1
KIR 01-2561,KI,202,649,135,340,0,3
NEW 41-0248,KI,104,380,75,180,0,1
SI VIEW,KI,131,433,127,259,0,1
MERLOT,KI,175,527,174,349,0,0
ROSE,KI,133,409,146,280,0,1
KIR 48-3337,KI,234,809,228,463,0,1
KIR 45-1040,KI,238,783,194,433,0,1
DUV 45-3502,KI,122,398,120,243,0,1
RED 48-0939,KI,138,457,114,255,0,3
ISS 05-3651,KI,91,396,79,170,0,0
RED 48-0937,KI,62,223,62,125,0,1
DIANE,KI,0,0,0,0,0,0
RED 48-0935,KI,154,591,133,291,0,4
DOUGLAS,KI,162,568,172,337,0,3
SNQ 05-3514,KI,176,648,180,358,0,2
KIR 45-2962,KI,116,453,91,208,0,1
BEL 48-0125,KI,115,405,85,201,0,1
BEL 41-0460,KI,161,506,126,289,0,2
BEL 48-0127,KI,103,393,57,161,0,1
DUV 45-3481,KI,243,692,156,400,0,1
SAM 45-2620,KI,164,491,138,305,0,3
SAM 45-2963,KI,233,774,209,448,0,6
SAM 45-2726,KI,137,479,141,278,0,0
KIR 48-0615,KI,166,542,137,307,0,4
KIR 48-0614,KI,211,751,172,384,0,1
ISS 41-1208,KI,192,649,176,369,0,1
SAM 45-2684,KI,96,304,73,169,0,0
M-I 41-3655,KI,140,457,117,258,0,1
KIR 45-0630,KI,143,518,110,259,0,6
KIR 45-0631,KI,149,585,157,308,0,2
KIR 45-0632,KI,158,475,113,273,0,2
BEL 41-3680,KI,115,413,123,239,0,1
MICHAEL,KI,196,582,157,353,0,0
BEL 41-3684,KI,42,240,79,122,0,1
BEL 48-0694,KI,171,556,107,279,0,1
WOD 45-3530,KI,210,692,152,364,0,2
BEL 48-0198,KI,206,846,169,375,0,0
KIR 48-2919,KI,116,412,90,207,0,1
BEL 48-0191,KI,70,300,76,146,0,0
BEL 48-0190,KI,96,443,96,192,0,0
BEL 48-0193,KI,107,407,97,205,0,1
BEL 48-0192,KI,101,364,106,207,0,0
CAMAS,KI,211,719,222,442,0,9
BEL 48-0194,KI,93,287,66,159,0,0
BEL 48-0196,KI,95,302,78,174,0,1
BOT 01-3398,KI,174,656,176,350,0,0
CLEVELAND,KI,92,344,118,212,0,2
HAPPY VALLEY,KI,39,141,43,82,0,0
RED 48-3147,KI,92,439,82,175,0,1
BEL 41-0815,KI,79,405,75,155,0,1
SNQ 05-3560,KI,136,502,124,263,0,3
ADAIR,KI,431,928,324,756,0,1
M-I 41-0790,KI,71,246,74,147,0,2
