Row Label,County,Donna Tucker,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
N-B 05-0859,KI,147,487,144,291,0,0
BEL 41-0733,KI,162,718,153,315,0,0
GOLDFINCH,KI,86,281,79,165,0,0
KIR 45-3200,KI,119,455,90,209,0,0
BOT 01-0868,KI,173,650,119,292,0,0
SPRINKLE,KI,33,107,33,66,0,0
KIR 01-2918,KI,174,667,146,321,0,1
HUNTER,KI,217,811,169,389,0,3
RED 48-0948,KI,71,246,52,124,0,1
SNQ 05-3409,KI,227,787,168,399,0,4
SAM 41-1130,KI,151,651,132,283,0,0
RED 48-2967,KI,224,821,149,373,0,0
WEEKS,KI,200,713,188,390,0,2
SNQ 05-3645,KI,0,0,0,0,0,0
BROOKTRAILS,KI,175,564,169,347,0,3
N-B 05-3611,KI,175,664,138,316,0,3
KIR 48-3401,KI,180,632,159,342,0,3
COUGAR MTN,KI,4,8,1,8,0,3
BEL 48-0160,KI,73,268,54,130,0,3
QUAIL,KI,70,235,59,131,0,2
SALISH,KI,226,674,192,418,0,0
MED 48-0752,KI,139,527,171,311,0,1
KIR 01-0019,KI,248,752,185,433,0,0
SAM 41-2813,KI,165,567,172,337,0,0
WOD 45-1205,KI,173,507,166,340,0,1
BOT 01-2865,KI,115,356,90,205,0,0
RED 45-3584,KI,142,449,117,259,0,0
RED 48-3475,KI,114,356,95,210,0,1
RED 48-0944,KI,120,375,94,217,0,3
BRIDLE TRAILS,KI,0,0,0,0,0,0
KIR 45-2722,KI,171,626,122,296,0,3
RED 48-0945,KI,138,453,105,245,0,2
YPT 48-1233,KI,127,401,99,226,0,0
BEL 48-0207,KI,104,327,82,186,0,0
ALDER SPRINGS,KI,175,550,172,349,0,2
BEL 48-0201,KI,159,512,133,293,0,1
M-I 41-2809,KI,76,240,76,152,0,0
SAM 41-0100,KI,214,667,147,362,0,1
SAM 41-3638,KI,178,717,163,346,0,5
KIR 01-2767,KI,185,573,173,359,0,1
KIR 01-2762,KI,173,618,132,308,0,3
KIR 01-2768,KI,203,624,179,383,0,1
SAM 45-2564,KI,218,749,197,418,0,3
CHALLENGER,KI,98,293,87,185,0,0
BEL 48-0149,KI,121,416,112,234,0,1
RED 48-0951,KI,109,379,114,223,0,0
RED 48-0950,KI,110,444,104,214,0,0
RED 48-0953,KI,232,758,183,418,0,3
RED 48-0952,KI,91,311,69,160,0,0
BEL 48-0142,KI,86,299,72,159,0,1
BEL 48-0143,KI,82,291,69,152,0,1
BEL 48-0140,KI,144,425,87,234,0,3
BEL 48-0146,KI,97,298,75,173,0,1
BEL 48-0147,KI,105,444,100,207,0,2
BEL 48-0144,KI,92,320,76,169,0,1
BEL 48-0145,KI,73,274,63,137,0,1
BEL 41-0116,KI,49,290,62,111,0,0
BEL 41-0117,KI,70,263,70,140,0,0
BEL 41-0114,KI,120,459,172,292,0,0
BEL 41-0112,KI,195,712,163,358,0,0
BEL 41-0113,KI,70,255,87,158,0,1
BEL 41-0110,KI,150,571,106,257,0,1
BEL 41-0111,KI,182,544,146,330,0,2
BEL 41-3312,KI,247,796,241,489,0,1
BEL 41-0119,KI,101,295,96,197,0,0
WELCOME LAKE,KI,335,735,239,578,0,4
ISS 05-2806,KI,125,399,118,243,0,0
KIR 48-0638,KI,129,551,152,281,0,0
KIR 48-0636,KI,133,449,115,248,0,0
BEL 41-2484,KI,107,404,92,199,0,0
KIR 48-0633,KI,153,468,131,285,0,1
SAM 45-3412,KI,227,738,178,406,0,1
ISS 41-2401,KI,163,657,178,342,0,1
JAY,KI,132,492,147,280,0,1
BOT 01-0262,KI,195,779,164,367,0,8
ISS 41-2409,KI,511,1074,318,829,0,0
BOT 01-0260,KI,270,769,211,482,0,1
BOT 01-0261,KI,202,634,173,378,0,3
KIR 45-2917,KI,134,603,116,254,0,4
ELSIE,KI,235,726,155,393,0,3
BARCLAY,KI,97,295,65,162,0,0
C-H 48-0323,KI,150,440,108,258,0,0
C-H 48-0322,KI,84,252,75,159,0,0
C-H 48-0321,KI,110,356,105,216,0,1
KIR 01-0422,KI,170,612,137,309,0,2
C-H 48-0326,KI,85,268,76,161,0,0
C-H 48-0325,KI,127,446,148,276,0,1
C-H 48-0324,KI,120,434,143,265,0,2
BEL 41-0203,KI,218,688,190,410,0,2
BEL 41-0206,KI,201,729,141,344,0,2
BEL 41-0205,KI,97,288,74,171,0,0
DIPPER,KI,185,675,159,346,0,2
BOT 01-3271,KI,126,431,102,229,0,1
DUV 45-0389,KI,224,817,188,414,0,2
NEW 41-3261,KI,166,503,99,267,0,2
BEL 41-2386,KI,99,279,70,169,0,0
SKY 39-1091,KI,36,130,38,74,0,0
TWO RIVERS,KI,236,779,225,465,0,4
WOD 45-2769,KI,218,748,225,444,0,1
SALAL,KI,106,359,117,225,0,2
MEANDER,KI,182,581,158,340,0,0
BEL 48-1049,KI,119,344,96,215,0,0
BOT 01-2677,KI,100,344,104,204,0,0
BOT 01-2676,KI,214,825,174,391,0,3
PRESTON,KI,209,661,170,383,0,4
ISS 05-3552,KI,151,742,155,308,0,2
MARYMOOR,KI,0,0,0,0,0,0
HILL,KI,151,493,161,312,0,0
LYNX,KI,149,531,123,276,0,4
RED 48-3548,KI,89,292,55,145,0,1
RED 48-2642,KI,73,263,44,117,0,0
RED 48-2641,KI,222,645,173,396,0,1
RANCH,KI,138,444,95,233,0,0
RED 45-3547,KI,203,711,184,388,0,1
KIR 45-1019,KI,207,767,155,364,0,2
N-B 05-3296,KI,187,682,200,392,0,5
SAM 45-2693,KI,238,796,171,414,0,5
KIR 45-3668,KI,125,428,79,206,0,2
NEW 41-3227,KI,136,467,115,254,0,3
KIR 45-2760,KI,214,618,170,386,0,2
KIR 45-2761,KI,184,601,157,342,0,1
M-I 41-0755,KI,68,265,103,172,0,1
RED 48-0942,KI,136,402,121,258,0,1
M-I 41-0758,KI,98,284,77,175,0,0
BEL 48-3166,KI,168,561,108,278,0,2
BEL 48-3498,KI,82,239,71,153,0,0
RAGING RIVER,KI,134,505,130,268,0,4
HI-VALLEY,KI,290,829,248,542,0,4
RED 48-2636,KI,151,451,104,256,0,1
SILVER SPURS,KI,7,18,3,10,0,0
RED 48-2634,KI,124,389,107,231,0,0
RED 48-2635,KI,119,387,105,224,0,0
RED 48-2632,KI,66,225,64,130,0,0
RED 48-2633,KI,216,626,158,375,0,1
RED 48-2630,KI,132,394,123,257,0,2
BEL 41-0011,KI,59,346,58,117,0,0
BEL 41-0017,KI,151,594,118,270,0,1
RED 48-2467,KI,116,398,99,215,0,0
RED 48-2466,KI,243,749,213,460,0,4
STEED,KI,279,759,220,501,0,2
HAAS,KI,84,303,113,199,0,2
RED 45-2659,KI,47,154,42,89,0,0
BEL 41-0408,KI,73,212,62,136,0,1
ALDERWOOD,KI,150,440,129,284,0,5
RED 45-2643,KI,137,433,113,254,0,4
BEL 41-2936,KI,140,485,122,264,0,2
BEL 41-3291,KI,77,292,82,159,0,0
BEL 41-2935,KI,138,526,126,264,0,0
HPT 48-0533,KI,106,334,98,204,0,0
YPT 48-1234,KI,112,411,138,250,0,0
SAM 41-2491,KI,206,707,158,367,0,3
BOWOOD,KI,193,625,144,339,0,2
SHEFFIELD,KI,145,447,140,288,0,3
BEL 41-2447,KI,154,527,142,303,0,7
RED 45-2492,KI,122,356,91,214,0,1
KIR 45-0622,KI,122,390,92,214,0,0
TRILLIUM,KI,240,799,236,476,0,0
LORA,KI,156,607,185,343,0,2
KIR 45-0610,KI,175,552,143,322,0,4
KIR 45-0616,KI,129,557,164,297,0,4
KIR 45-0618,KI,149,454,165,315,0,1
ISS 41-2692,KI,109,382,104,215,0,2
MARCEL,KI,98,371,108,207,0,1
SAM 41-3214,KI,113,435,127,241,0,1
SAM 41-3215,KI,200,814,147,348,0,1
SAM 45-3388,KI,218,698,170,389,0,1
SAM 45-3389,KI,279,762,179,460,0,2
SAM 41-3607,KI,126,498,128,259,0,5
KIR 01-0870,KI,180,632,157,340,0,3
SAM 45-3386,KI,213,784,184,398,0,1
SAM 45-3387,KI,138,402,106,244,0,0
DUTHIE HILL,KI,101,356,106,208,0,1
BEL 48-0171,KI,121,396,111,234,0,2
BEL 48-0170,KI,71,225,53,128,0,4
BROOKSHIRE,KI,108,430,97,207,0,2
BEL 41-0129,KI,93,316,55,148,0,0
BEL 41-0128,KI,158,494,137,295,0,0
BEL 41-0124,KI,165,505,142,308,0,1
BEL 41-3225,KI,129,539,114,245,0,2
BEL 41-0122,KI,121,391,92,213,0,0
BEL 41-0121,KI,125,501,102,231,0,4
BEL 41-0120,KI,77,248,80,157,0,0
SNQ 05-3151,KI,154,627,141,297,0,2
BEAR CREEK,KI,130,452,143,275,0,2
WAXWING,KI,85,295,92,178,0,1
BOT 01-0257,KI,225,718,188,417,0,4
BOT 01-0256,KI,234,670,183,417,0,0
BOT 01-0255,KI,210,750,215,428,0,3
BOT 01-0254,KI,166,561,143,311,0,2
BOT 01-0253,KI,109,400,119,229,0,1
BOT 01-0252,KI,154,514,151,308,0,3
DUV 45-3642,KI,133,443,113,249,0,3
BOT 01-0259,KI,121,430,120,245,0,4
BOT 01-0258,KI,237,817,201,440,0,2
SNQ 05-3512,KI,238,823,231,472,0,3
SAM 45-3505,KI,188,573,141,329,0,0
BEL 41-3226,KI,149,531,128,278,0,1
ISS 05-3697,KI,0,0,0,0,0,0
MINK ROAD,KI,127,424,131,260,0,2
SAM 41-2940,KI,65,243,70,136,0,1
BEL 41-0333,KI,58,222,41,100,0,1
RED 45-3281,KI,188,633,122,312,0,2
TOLT,KI,98,317,90,188,0,0
BEL 41-2714,KI,198,711,173,372,0,1
BEL 41-2719,KI,161,520,127,289,0,1
BEL 48-2430,KI,169,486,118,290,0,3
BEL 48-2432,KI,120,403,104,225,0,1
KIR 45-0619,KI,101,296,87,190,0,2
BEL 48-2434,KI,112,394,147,259,0,0
SNO-VALLEY,KI,215,760,189,408,0,4
SNQ 05-3633,KI,83,404,82,166,0,1
CHURCHILL,KI,120,425,142,262,0,0
ISS 05-3464,KI,191,829,184,376,0,1
REINTREE,KI,163,565,190,353,0,0
HUTCHINSON,KI,212,678,215,427,0,0
KLAHANIE,KI,118,468,144,264,0,2
BEL 41-1052,KI,141,462,116,257,0,0
NEW 41-1115,KI,193,633,145,340,0,2
M-I 41-0781,KI,67,216,72,140,0,1
M-I 41-0780,KI,102,389,124,226,0,0
M-I 41-0782,KI,141,503,143,285,0,1
M-I 41-0785,KI,118,380,125,243,0,0
M-I 41-0784,KI,130,411,115,246,0,1
M-I 41-0787,KI,75,333,106,182,0,1
M-I 41-0786,KI,92,255,73,166,0,1
M-I 41-0789,KI,195,607,196,391,0,0
COLLEEN,KI,152,488,146,304,0,6
SAM 41-2469,KI,144,529,144,288,0,0
SAM 45-2961,KI,171,531,146,318,0,1
OVERDALE,KI,7,12,2,9,0,0
NOVELTY,KI,153,605,182,336,0,1
M-I 41-0769,KI,155,544,177,333,0,1
M-I 41-0768,KI,89,307,81,170,0,0
BEL 41-2970,KI,187,714,194,384,0,3
ISS 05-3206,KI,230,758,185,419,0,4
M-I 41-0763,KI,79,303,119,200,0,2
M-I 41-0762,KI,71,256,76,148,0,1
M-I 41-0761,KI,105,335,101,208,0,2
M-I 41-0767,KI,72,260,69,141,0,0
M-I 41-0766,KI,106,322,90,197,1,0
M-I 41-0765,KI,255,645,185,441,0,1
BEL 48-0212,KI,220,620,80,303,0,3
BEL 48-0213,KI,124,395,50,175,0,1
BEL 48-0216,KI,87,256,53,140,0,0
BEL 48-0217,KI,108,404,76,184,0,0
BEL 48-0214,KI,80,274,50,130,0,0
BEL 48-0218,KI,193,546,145,338,0,0
BEL 41-3278,KI,87,290,84,172,0,1
WOLF,KI,162,690,142,308,0,4
NEW 41-0878,KI,177,630,151,328,0,0
RED 48-0949,KI,123,433,110,234,0,1
KIR 01-2457,KI,213,709,160,376,0,3
ISS 05-3649,KI,108,404,80,188,0,0
RED 48-0940,KI,136,399,122,258,0,0
RED 48-0941,KI,95,331,110,205,0,0
RED 48-0947,KI,108,360,106,215,0,1
KIR 01-2595,KI,142,495,94,239,0,3
HORSESHOE,KI,136,490,150,289,0,3
RED 48-2629,KI,159,648,132,295,0,4
BEL 41-3583,KI,210,675,176,386,0,0
RED 45-2638,KI,139,442,93,235,0,3
BEL 48-0138,KI,98,393,80,179,0,1
BEL 48-0136,KI,71,274,42,113,0,0
BEL 48-0135,KI,64,256,62,127,0,1
BEL 48-0134,KI,90,324,51,143,0,2
BEL 48-0133,KI,78,307,64,143,0,1
BEL 48-0132,KI,63,249,71,134,0,0
NAPOLEON,KI,169,505,153,324,0,2
BEL 41-0475,KI,85,262,64,149,0,0
BEL 41-3658,KI,62,305,52,115,0,1
BEL 41-2906,KI,141,474,123,264,0,0
BEL 41-0472,KI,158,522,145,303,0,0
SAM 45-2450,KI,177,548,146,325,0,2
MIDDLE FORK,KI,116,383,96,214,0,2
BEL 41-3657,KI,108,353,81,189,0,0
MIRRORMONT,KI,131,446,112,243,0,0
KIR 48-0628,KI,190,664,165,356,0,1
KIR 48-0629,KI,203,587,141,344,0,0
COTTAGE LAKE,KI,129,452,97,228,0,2
KIR 45-3397,KI,81,314,48,130,0,1
M-I 41-2465,KI,90,330,115,208,0,3
N-B 05-3407,KI,188,628,191,381,0,2
N-B 05-3406,KI,80,309,55,136,0,1
BEL 48-0178,KI,75,406,58,134,0,1
KIR 45-0623,KI,121,378,108,229,0,0
BEL 41-0123,KI,197,748,124,323,0,2
KIR 45-0620,KI,172,552,168,340,0,0
KIR 45-0627,KI,184,628,191,376,0,1
KIR 45-0624,KI,261,793,236,501,0,4
DUV 45-3218,KI,257,840,197,454,0,0
SNQ 05-3558,KI,122,487,113,236,0,1
DUV 45-3219,KI,148,548,148,298,0,2
BEL 48-0177,KI,136,408,99,236,0,1
BEL 41-2621,KI,133,528,118,251,0,0
PORT,KI,3,17,4,7,0,0
EAGLE,KI,0,3,0,0,0,0
KIR 48-2657,KI,115,385,79,202,0,8
MEADOWBROOK,KI,78,300,89,173,0,6
KIR 48-2921,KI,120,418,110,231,0,1
KIR 48-2920,KI,92,381,97,189,0,0
KIR 01-2759,KI,206,695,153,359,0,0
BEL 41-0175,KI,229,815,180,415,0,6
BEL 41-0176,KI,171,593,119,292,0,2
BEL 41-0179,KI,88,338,60,148,0,0
BEL 41-3371,KI,174,677,121,296,0,1
BEL 41-3370,KI,195,812,176,377,0,6
WOD 45-2597,KI,189,647,156,350,0,5
ELSOM,KI,175,586,175,353,0,3
FOX,KI,129,434,118,247,0,0
LAKE ALICE,KI,137,519,153,295,0,5
ALPINE,KI,134,564,188,324,0,2
SAM 41-0909,KI,246,831,196,445,0,3
BEL 41-0658,KI,109,403,111,220,0,0
BEL 41-0305,KI,114,484,102,218,1,1
ISS 05-3572,KI,170,855,159,331,0,2
ISS 41-3533,KI,145,507,109,254,0,0
RED 48-3313,KI,239,667,144,384,0,1
RED 48-3316,KI,90,344,63,154,0,1
RED 48-2790,KI,179,592,142,323,0,2
GROUSEMONT,KI,196,593,199,396,0,1
BEL 48-3675,KI,70,330,71,141,0,0
BEL 48-3674,KI,105,436,79,185,0,1
BOT 01-3420,KI,130,399,73,205,0,2
RED 45-2410,KI,277,822,254,533,0,2
KIR 45-2916,KI,94,321,80,175,0,1
SAM 45-0536,KI,222,758,220,444,0,2
KIR 45-3612,KI,80,211,35,116,0,1
BEA 41-0099,KI,69,240,82,151,0,0
FALL CITY,KI,126,520,145,275,0,4
WOD 45-0926,KI,222,859,144,370,0,4
SNQ 05-3667,KI,114,451,107,224,0,3
M-I 41-2808,KI,105,263,81,188,0,2
BRONSON,KI,247,785,249,499,0,3
KIR 45-2912,KI,105,419,58,165,0,2
BEL 41-1026,KI,198,652,123,323,0,2
KIR 45-2911,KI,65,309,74,139,0,0
KIR 45-2910,KI,137,421,110,248,0,1
KIR 45-0442,KI,155,557,131,286,0,0
KIR 48-0639,KI,116,387,102,218,0,0
SWAN LAKE,KI,189,684,188,378,0,1
KIR 45-2931,KI,114,409,73,191,0,4
KIR 45-2933,KI,90,350,77,167,0,0
KIR 45-2932,KI,163,472,101,266,0,2
NEW 41-3529,KI,145,569,104,249,0,0
KIR 45-2934,KI,96,368,97,196,0,3
RED 48-3415,KI,83,327,77,160,0,0
BEL 41-2945,KI,164,548,132,296,0,0
BEL 41-2943,KI,238,828,195,434,0,1
TWINBERRY,KI,314,656,233,547,0,0
SAM 41-3508,KI,191,685,145,337,0,1
SAM 45-3213,KI,164,558,130,295,0,1
STEVENS,KI,58,197,60,124,0,6
BEL 48-0223,KI,144,435,142,286,0,0
KIR 01-2488,KI,246,786,227,473,0,0
BEL 48-0221,KI,161,617,140,304,0,3
BEL 48-0227,KI,178,662,146,326,0,2
BEL 48-0226,KI,110,315,77,187,0,0
BEL 48-0225,KI,140,464,124,264,0,0
BEL 48-0224,KI,198,636,159,358,0,1
KIR 45-0925,KI,108,312,58,167,0,1
KIR 48-2598,KI,171,548,154,327,0,2
BEL 48-3292,KI,131,401,112,244,0,1
MATTHEW,KI,107,461,136,243,0,0
NEW 41-0840,KI,153,684,179,337,0,5
BOT 01-1224,KI,246,748,163,414,0,5
VINCENT,KI,102,411,108,210,0,0
BEL 41-0505,KI,109,279,88,197,0,0
ASPEN GLEN,KI,116,396,114,232,0,2
BEL 48-0162,KI,88,252,51,139,0,0
BEL 48-0163,KI,98,365,99,198,0,1
BEL 48-0164,KI,100,299,62,163,0,1
BEL 48-0165,KI,133,384,115,250,0,2
BEL 48-0166,KI,118,380,94,212,0,0
BEL 48-0167,KI,86,271,72,158,0,0
BEL 48-0168,KI,78,255,55,134,0,1
BEL 48-0169,KI,106,361,88,195,0,1
BEL 41-0131,KI,106,417,70,178,0,2
STILLWATER,KI,156,523,134,292,0,2
BEL 41-3621,KI,162,525,128,291,0,1
SAM 41-3506,KI,127,455,107,234,0,0
BEL 41-3330,KI,68,309,77,146,0,1
SAM 41-3507,KI,199,708,115,314,0,0
BOT 01-2495,KI,174,580,127,304,0,3
SNQ 05-3513,KI,240,896,220,463,0,3
ISS 05-3691,KI,96,314,74,172,0,2
SAM 41-2937,KI,145,452,103,249,0,1
ISS 05-3504,KI,125,610,142,267,0,0
ISS 05-3503,KI,103,504,134,240,0,3
SNO PASS,KI,64,208,67,131,0,0
RED 48-2968,KI,170,817,127,298,0,1
NEW 41-2811,KI,140,381,86,228,0,2
RED 48-2969,KI,134,443,116,253,0,3
KIR 01-0403,KI,159,537,116,275,0,0
BEL 41-0220,KI,161,420,99,262,0,2
RED 45-3282,KI,234,707,189,425,0,2
BEL 41-0180,KI,103,325,70,173,0,0
MED 48-0749,KI,126,485,158,285,0,1
NEW 41-3241,KI,205,699,167,373,0,1
CAR 05-3290,KI,166,515,140,309,0,3
M-I 41-0770,KI,83,277,90,173,0,0
SQUAK MOUNTAIN,KI,63,188,52,115,0,0
WEBSTER,KI,163,430,118,282,0,1
ISS 05-0543,KI,173,622,139,314,0,2
ISS 05-0547,KI,94,327,97,191,0,0
ISS 05-0546,KI,72,220,48,121,0,1
ISS 05-0545,KI,98,316,71,172,0,3
ISS 05-0544,KI,169,647,123,295,0,3
DUV 45-2959,KI,146,514,121,267,0,0
SNQ 05-1097,KI,93,402,83,177,0,1
ISS 05-0548,KI,201,772,195,398,0,2
MOUNT SI,KI,69,274,96,166,0,1
M-I 41-0796,KI,150,561,115,268,0,3
M-I 41-0797,KI,116,373,83,199,0,0
M-I 41-0794,KI,140,399,117,257,0,0
M-I 41-0795,KI,174,508,144,319,0,1
M-I 41-0792,KI,82,297,104,186,0,0
M-I 41-0793,KI,174,596,192,366,0,0
MABEL,KI,109,331,101,212,0,2
M-I 41-0791,KI,97,259,59,156,0,0
KIR 45-2489,KI,167,559,125,295,0,3
M-I 41-0777,KI,144,492,147,291,0,0
KIR 48-3439,KI,167,531,155,324,0,2
SAM 45-3216,KI,227,710,129,362,0,6
SAM 45-3217,KI,241,641,181,424,0,2
KIR 01-0421,KI,243,724,224,468,0,1
THRUSH,KI,74,275,70,144,0,0
LAKE LEOTA,KI,168,562,144,313,0,1
GRIZZLY,KI,156,653,195,353,0,2
LAKE JOY,KI,226,845,249,478,0,3
BEL 48-2715,KI,146,471,151,298,0,1
BEL 48-2716,KI,131,593,96,230,0,3
M-I 41-0778,KI,95,320,118,215,0,2
M-I 41-0779,KI,146,497,185,331,0,0
BACUS,KI,141,443,130,271,0,0
BEL 48-3143,KI,105,377,95,202,0,2
M-I 41-0771,KI,74,258,75,149,0,0
M-I 41-0773,KI,83,315,97,180,0,0
M-I 41-0774,KI,141,453,146,288,0,1
M-I 41-0775,KI,141,491,172,313,0,0
M-I 41-0776,KI,102,331,107,213,0,4
BEL 48-3144,KI,164,481,106,274,0,4
BEL 41-3140,KI,97,286,75,172,0,0
KIR 45-3646,KI,64,276,36,101,0,1
KIR 01-2561,KI,200,649,136,340,0,4
NEW 41-0248,KI,108,380,70,180,0,2
SI VIEW,KI,133,433,125,259,0,1
MERLOT,KI,175,527,174,349,0,0
ROSE,KI,136,409,143,280,0,1
KIR 48-3337,KI,237,809,225,463,0,1
KIR 45-1040,KI,236,783,194,433,0,3
DUV 45-3502,KI,121,398,120,243,0,2
RED 48-0939,KI,141,457,111,255,0,3
ISS 05-3651,KI,92,396,78,170,0,0
RED 48-0937,KI,66,223,58,125,0,1
DIANE,KI,0,0,0,0,0,0
RED 48-0935,KI,153,591,133,291,0,5
DOUGLAS,KI,166,568,168,337,0,3
SNQ 05-3514,KI,176,648,179,358,0,3
KIR 45-2962,KI,119,453,88,208,0,1
BEL 48-0125,KI,117,405,83,201,0,1
BEL 41-0460,KI,169,506,118,289,0,2
BEL 48-0127,KI,106,393,54,161,0,1
DUV 45-3481,KI,241,692,156,400,0,3
SAM 45-2620,KI,165,491,138,305,0,2
SAM 45-2963,KI,240,774,202,448,0,6
SAM 45-2726,KI,139,479,138,278,0,1
KIR 48-0615,KI,166,542,137,307,0,4
KIR 48-0614,KI,211,751,172,384,0,1
ISS 41-1208,KI,199,649,169,369,0,1
SAM 45-2684,KI,95,304,73,169,0,1
M-I 41-3655,KI,140,457,117,258,0,1
KIR 45-0630,KI,142,518,110,259,0,7
KIR 45-0631,KI,153,585,153,308,0,2
KIR 45-0632,KI,156,475,116,273,0,1
BEL 41-3680,KI,113,413,125,239,0,1
MICHAEL,KI,199,582,152,353,0,2
BEL 41-3684,KI,44,240,77,122,0,1
BEL 48-0694,KI,171,556,107,279,0,1
WOD 45-3530,KI,218,692,145,364,0,1
BEL 48-0198,KI,204,846,170,375,0,1
KIR 48-2919,KI,114,412,92,207,0,1
BEL 48-0191,KI,71,300,75,146,0,0
BEL 48-0190,KI,94,443,98,192,0,0
BEL 48-0193,KI,107,407,97,205,0,1
BEL 48-0192,KI,102,364,105,207,0,0
CAMAS,KI,204,719,229,442,0,9
BEL 48-0194,KI,93,287,66,159,0,0
BEL 48-0196,KI,94,302,80,174,0,0
BOT 01-3398,KI,169,656,180,350,0,1
CLEVELAND,KI,93,344,116,212,0,3
HAPPY VALLEY,KI,40,141,42,82,0,0
RED 48-3147,KI,96,439,78,175,0,1
BEL 41-0815,KI,81,405,73,155,0,1
SNQ 05-3560,KI,134,502,126,263,0,3
ADAIR,KI,434,928,321,756,0,1
M-I 41-0790,KI,72,246,73,147,0,2
