Row Label,County,James Heller
26-302,PI,516
26-303,PI,458
26-301,PI,142
26-304,PI,515
26-305,PI,482
31-892,PI,179
31-893,PI,0
31-890,PI,163
27-471,PI,13
31-891,PI,96
27-475,PI,289
27-477,PI,323
27-476,PI,236
31-896,PI,4
31-897,PI,126
31-894,PI,39
31-895,PI,217
31-856,PI,218
31-857,PI,136
31-854,PI,138
31-855,PI,181
31-853,PI,50
31-919,PI,260
31-917,PI,348
31-916,PI,241
31-915,PI,51
31-914,PI,203
31-913,PI,102
31-912,PI,200
31-911,PI,153
31-910,PI,235
29-653,PI,293
29-652,PI,30
29-651,PI,348
29-650,PI,310
29-657,PI,4
29-656,PI,284
29-655,PI,127
29-654,PI,331
29-659,PI,170
29-658,PI,278
25-208,PI,406
25-209,PI,391
25-201,PI,417
25-202,PI,336
25-203,PI,400
25-204,PI,332
25-205,PI,391
25-206,PI,242
28-590,PI,13
29-626,PI,7
29-627,PI,0
29-624,PI,0
29-625,PI,6
29-622,PI,230
29-623,PI,70
29-620,PI,171
29-621,PI,0
02-159,PI,198
02-158,PI,263
02-151,PI,109
02-150,PI,287
02-153,PI,263
02-152,PI,332
02-155,PI,327
02-154,PI,251
02-157,PI,389
02-156,PI,399
27-408,PI,396
27-409,PI,383
27-401,PI,190
27-404,PI,125
27-405,PI,380
27-406,PI,464
27-407,PI,367
28-520,PI,412
28-521,PI,423
28-522,PI,436
28-523,PI,421
28-524,PI,454
28-525,PI,475
28-526,PI,306
28-527,PI,510
28-528,PI,417
28-529,PI,321
31-818,PI,78
31-819,PI,125
31-813,PI,137
31-810,PI,156
31-816,PI,247
31-817,PI,308
31-814,PI,39
31-815,PI,212
26-351,PI,358
26-350,PI,372
26-352,PI,358
31-926,PI,7
31-927,PI,223
31-924,PI,161
31-925,PI,72
25-248,PI,420
25-249,PI,369
31-920,PI,206
31-921,PI,212
25-244,PI,434
25-245,PI,2
25-246,PI,31
25-247,PI,331
25-240,PI,153
25-241,PI,199
25-242,PI,403
25-243,PI,292
02-110,PI,199
29-668,PI,240
29-669,PI,315
29-662,PI,0
29-663,PI,281
29-660,PI,371
29-661,PI,267
29-667,PI,312
29-664,PI,303
28-565,PI,315
28-566,PI,332
28-567,PI,341
28-560,PI,431
28-561,PI,255
28-562,PI,215
28-563,PI,124
28-568,PI,348
02-148,PI,342
02-120,PI,275
02-121,PI,336
02-122,PI,355
02-123,PI,355
02-124,PI,284
02-125,PI,261
02-126,PI,341
02-127,PI,200
02-128,PI,364
02-129,PI,212
02-142,PI,231
26-315,PI,422
26-317,PI,397
26-316,PI,446
26-319,PI,336
26-318,PI,329
27-448,PI,11
27-449,PI,336
27-444,PI,293
27-445,PI,285
27-446,PI,295
27-447,PI,317
27-440,PI,342
27-441,PI,283
27-442,PI,228
27-443,PI,245
31-845,PI,232
31-844,PI,173
31-847,PI,136
31-846,PI,109
31-841,PI,138
31-840,PI,122
31-843,PI,180
31-842,PI,226
31-849,PI,99
31-848,PI,40
25-217,PI,415
25-216,PI,245
25-215,PI,352
25-213,PI,419
25-212,PI,391
25-211,PI,356
25-210,PI,485
25-219,PI,384
25-218,PI,383
29-671,PI,271
29-670,PI,328
29-675,PI,329
29-677,PI,312
29-676,PI,300
29-635,PI,78
31-883,PI,328
29-637,PI,276
29-636,PI,367
29-633,PI,25
29-639,PI,281
29-638,PI,149
31-882,PI,243
28-538,PI,351
28-537,PI,416
28-536,PI,385
28-535,PI,414
28-531,PI,373
28-530,PI,192
30-713,PI,4
31-809,PI,260
31-808,PI,244
31-801,PI,181
31-803,PI,289
31-802,PI,258
31-805,PI,279
31-804,PI,267
31-807,PI,3
31-806,PI,315
25-293,PI,341
27-417,PI,387
27-416,PI,390
27-415,PI,415
27-414,PI,383
27-413,PI,368
27-412,PI,356
27-411,PI,436
27-410,PI,391
31-898,PI,285
31-899,PI,158
27-419,PI,350
27-418,PI,346
25-292,PI,372
25-259,PI,356
25-258,PI,383
25-253,PI,231
25-252,PI,331
25-251,PI,308
25-250,PI,151
25-257,PI,307
25-256,PI,326
25-255,PI,227
25-254,PI,211
Total,PI,133201
29-679,PI,255
29-678,PI,244
25-228,PI,373
25-226,PI,258
25-227,PI,196
29-673,PI,337
29-672,PI,192
25-222,PI,278
29-674,PI,105
25-220,PI,2
25-221,PI,355
30-708,PI,222
28-573,PI,224
28-572,PI,337
28-571,PI,5
28-570,PI,5
28-577,PI,12
28-576,PI,322
28-575,PI,2
28-574,PI,80
28-579,PI,63
28-578,PI,73
02-139,PI,306
02-138,PI,412
02-137,PI,170
02-136,PI,58
02-135,PI,357
02-134,PI,382
02-133,PI,96
02-131,PI,390
02-130,PI,182
27-428,PI,317
27-429,PI,346
27-426,PI,336
27-427,PI,321
27-424,PI,346
27-425,PI,307
27-422,PI,478
27-423,PI,384
27-420,PI,420
27-421,PI,309
26-328,PI,312
26-329,PI,391
26-324,PI,405
26-325,PI,345
26-326,PI,425
26-327,PI,400
26-320,PI,373
26-321,PI,472
26-322,PI,443
26-323,PI,403
28-506,PI,418
28-507,PI,342
28-504,PI,389
28-505,PI,421
28-502,PI,418
28-503,PI,439
28-501,PI,397
28-508,PI,193
28-509,PI,0
27-459,PI,201
27-458,PI,211
27-453,PI,235
27-452,PI,311
27-451,PI,262
27-450,PI,362
27-457,PI,304
27-456,PI,252
27-455,PI,281
27-454,PI,325
31-873,PI,60
31-874,PI,0
31-875,PI,317
31-876,PI,22
31-877,PI,124
31-879,PI,69
25-283,PI,208
25-262,PI,334
25-263,PI,286
25-260,PI,368
25-261,PI,270
25-266,PI,372
25-267,PI,173
25-264,PI,399
25-265,PI,385
25-268,PI,196
25-269,PI,232
29-600,PI,0
29-601,PI,250
29-602,PI,215
29-603,PI,298
29-604,PI,290
29-605,PI,232
29-606,PI,311
29-607,PI,363
29-608,PI,246
29-609,PI,211
31-881,PI,160
28-548,PI,329
28-549,PI,362
31-880,PI,114
28-542,PI,361
28-543,PI,337
28-540,PI,491
28-541,PI,365
28-546,PI,369
28-547,PI,497
28-545,PI,400
02-106,PI,361
30-709,PI,245
02-105,PI,123
02-101,PI,113
31-885,PI,108
30-701,PI,12
30-707,PI,151
30-706,PI,243
30-705,PI,167
31-884,PI,278
31-834,PI,212
31-835,PI,423
31-836,PI,250
31-837,PI,223
31-830,PI,115
31-887,PI,212
31-833,PI,270
31-886,PI,245
31-838,PI,201
31-839,PI,22
27-462,PI,367
27-463,PI,285
27-460,PI,326
27-461,PI,377
27-466,PI,311
27-467,PI,294
27-464,PI,307
27-465,PI,275
31-888,PI,229
27-468,PI,288
