Row Label,County,Corinna Harn,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
AUB 30-0067,KI,103,430,59,164,0,2
EARLINGTON,KI,89,357,58,150,0,3
KEN 47-3483,KI,172,606,112,285,0,1
KEN 05-3375,KI,0,0,0,0,0,0
KEN 47-3323,KI,129,459,88,218,0,1
WOODSIDE,KI,133,580,123,259,0,3
COV 47-1153,KI,183,626,99,284,0,2
ROYAL,KI,82,320,81,163,0,0
RNT 41-0989,KI,135,693,132,270,0,3
AUB 47-3187,KI,96,432,105,201,0,0
KEN 33-0603,KI,189,649,157,347,0,1
KELLY,KI,107,375,82,189,0,0
KEN 47-0238,KI,206,723,138,349,0,5
B-D 05-2413,KI,133,466,148,284,0,3
KEN 11-0918,KI,163,605,92,257,0,2
CUMBERLAND,KI,105,345,84,195,0,6
LAKE YOUNGS,KI,200,669,181,390,0,9
COV 47-3244,KI,135,466,66,204,0,3
ARTHUR,KI,249,863,258,510,0,3
DANIEL,KI,166,574,150,323,0,7
RNT 11-3555,KI,119,477,100,219,0,0
CANDLEWOOD,KI,62,412,57,120,0,1
AUB 47-3591,KI,126,445,79,206,0,1
KEN 11-3663,KI,138,387,86,225,0,1
RNT 11-3588,KI,77,481,41,120,0,2
AUB 47-3455,KI,123,439,104,229,0,2
AUB 47-3324,KI,219,577,141,360,0,0
AUB 31-0082,KI,115,403,84,203,0,4
AUB 31-0083,KI,129,487,99,229,0,1
AUB 31-0080,KI,237,830,173,414,0,4
AUB 31-0081,KI,124,457,74,199,0,1
FALCON,KI,134,456,150,288,0,4
RNT 11-0978,KI,133,506,88,223,0,2
RNT 11-0979,KI,60,284,40,100,0,0
RNT 11-0975,KI,198,861,138,339,0,3
M-V 05-3482,KI,246,870,194,441,0,1
RNT 11-0970,KI,55,246,53,108,0,0
RNT 11-0971,KI,150,579,140,291,0,1
RNT 11-0973,KI,149,542,94,245,0,2
HONEY,KI,31,102,26,57,0,0
KEN 33-3332,KI,223,863,212,437,0,2
KEN 47-0798,KI,222,742,172,394,0,0
BRIGID,KI,102,320,65,168,0,1
KEN 33-3445,KI,111,375,76,188,0,1
KEN 33-2426,KI,169,550,128,298,0,1
B-D 05-2407,KI,232,838,215,447,0,0
LYNN,KI,126,433,87,214,0,1
ALG 30-0013,KI,100,467,51,153,0,2
RUSS,KI,4,24,7,11,0,0
RNT 11-1015,KI,101,443,92,194,0,1
RNT 11-1011,KI,220,881,167,391,0,4
KEN 47-3275,KI,175,854,113,288,0,0
LOIS,KI,127,566,107,237,0,3
LUND,KI,211,740,196,409,0,2
RIVERSIDE,KI,99,396,120,220,0,1
LEAH,KI,169,661,148,319,0,2
AUB 31-0069,KI,101,314,58,159,0,0
WABASH,KI,97,320,92,189,0,0
AUB 31-0062,KI,207,660,121,332,0,4
AUB 31-0063,KI,87,279,42,130,0,1
AUB 31-0064,KI,85,408,39,125,0,1
AUB 31-0065,KI,75,288,49,125,0,1
KEN 47-2403,KI,104,466,64,171,0,3
B-D 05-3463,KI,0,0,0,0,0,0
CAMPBELL HILL,KI,146,642,100,250,0,4
RNT 11-2815,KI,133,677,81,215,0,1
WYNOCHE,KI,132,397,125,257,0,0
RNT 11-2816,KI,155,578,137,297,0,5
KEN 47-2477,KI,197,535,163,361,0,1
RNT 37-0991,KI,139,619,107,250,0,4
MILWAUKEE,KI,8,50,16,24,0,0
RNT 11-2475,KI,160,654,131,292,0,1
HAM LAKE,KI,138,467,127,267,0,2
KEN 47-2708,KI,123,485,103,226,0,0
BRYAN,KI,86,351,100,188,0,2
ALG 30-3141,KI,143,523,79,222,0,0
HUCKLEBERRY,KI,115,420,111,227,0,1
RNT 11-3223,KI,69,294,44,114,0,1
RNT 11-3222,KI,157,581,134,295,0,4
COV 47-1203,KI,240,885,179,421,0,2
KEN 47-2704,KI,264,773,164,430,0,2
RNT 11-1002,KI,75,332,66,142,0,1
KEN 33-2567,KI,101,369,86,187,0,0
KEN 47-2490,KI,210,673,120,331,0,1
KEN 33-2569,KI,240,856,149,390,0,1
MORTON,KI,214,723,207,425,0,4
LAKERIDGE,KI,216,751,192,411,0,3
ENM 31-3492,KI,81,333,79,164,0,4
RNT 41-0995,KI,196,740,147,346,0,3
RNT 41-0994,KI,154,488,96,250,0,0
RNT 41-0993,KI,159,703,162,321,0,0
MCDONALD,KI,148,525,135,285,0,2
RNT 37-1000,KI,74,532,68,142,0,0
RNT 11-3359,KI,131,487,57,188,0,0
RNT 37-0999,KI,199,760,143,343,0,1
RNT 11-0992,KI,79,295,48,127,0,0
RNT 11-0990,KI,127,448,72,199,0,0
RNT 11-0996,KI,144,562,112,257,0,1
RNT 11-0997,KI,190,875,133,328,0,5
KEN 47-0753,KI,156,622,91,249,0,2
KEN 47-2709,KI,239,839,165,407,0,3
RNT 11-3643,KI,101,363,77,180,0,2
RNT 11-0998,KI,100,363,71,171,0,0
LINCOLN,KI,81,312,87,168,0,0
KEN 33-0583,KI,109,371,93,203,0,1
KEN 33-3644,KI,137,486,75,213,0,1
KEN 33-0581,KI,209,684,101,311,0,1
KEN 33-0587,KI,116,470,91,209,0,2
KEN 33-0586,KI,155,437,101,256,0,0
KEN 33-0585,KI,141,569,80,224,0,3
KEN 33-0588,KI,84,317,72,157,0,1
KEN 47-1076,KI,175,668,126,301,0,0
KEN 33-3362,KI,100,365,74,174,0,0
KEN 47-1170,KI,101,412,78,180,0,1
RNT 11-3224,KI,114,457,97,214,0,3
MCDIVITT,KI,16,57,16,32,0,0
RNT 11-2607,KI,110,631,86,196,0,0
KEN 33-2864,KI,148,463,93,243,0,2
SAWYER,KI,192,594,187,382,0,3
CARRIAGE,KI,125,399,103,230,0,2
KEN 47-3652,KI,141,463,76,219,0,2
BLACK RIVER,KI,52,320,23,77,0,2
KEN 47-2836,KI,143,531,115,259,0,1
KEN 47-2834,KI,155,564,96,255,0,4
KEN 47-2939,KI,73,314,46,121,0,2
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,191,473,107,298,0,0
MAY VALLEY,KI,120,492,123,246,0,3
BITTERROOT,KI,131,483,126,262,0,5
ARIA,KI,129,428,110,239,0,0
GRASS LAKE,KI,139,374,95,235,0,1
RNT 11-0456,KI,178,635,109,291,0,4
COV 47-2586,KI,139,588,104,243,0,0
COV 47-1127,KI,172,606,131,303,0,0
PAC 30-2856,KI,146,686,82,230,0,2
KEN 47-0246,KI,143,479,118,261,0,0
KEN 47-2599,KI,208,748,135,345,0,2
RED MILL,KI,125,418,91,217,0,1
AUB 31-3405,KI,196,662,125,322,0,1
FAIRMONT,KI,96,394,117,216,0,3
M-V 05-1218,KI,222,674,152,378,0,4
RNT 11-3604,KI,131,591,103,234,0,0
RNT 11-3609,KI,91,461,81,173,0,1
LAKE MORTON,KI,80,232,68,151,0,3
M-V 05-3536,KI,140,572,134,275,0,1
SWEENEY,KI,164,575,176,341,0,1
AUB 47-0328,KI,240,684,154,397,0,3
RUDDELL,KI,117,397,94,214,0,3
KEN 47-1034,KI,213,745,143,356,0,0
FAIRGLEN,KI,137,442,121,258,0,0
AUB 31-0047,KI,163,574,98,264,0,3
KEN 47-0662,KI,219,659,179,399,0,1
KEN 11-3403,KI,159,549,105,264,0,0
AUB 47-2551,KI,219,824,111,332,0,2
CARRIAGE LANE,KI,166,621,146,314,0,2
AUB 30-0046,KI,108,351,59,169,0,2
AUB 47-3538,KI,198,719,166,366,0,2
AUB 47-3539,KI,127,436,116,245,0,2
RNT 11-3287,KI,161,705,176,338,0,1
WHITE RIVER,KI,155,597,181,337,0,1
HANSEN,KI,166,505,141,308,0,1
CEDAR RIVER,KI,117,481,138,259,0,4
RNT 11-3162,KI,63,209,41,106,0,2
AUB 47-0072,KI,151,525,138,289,0,0
AUB 47-0073,KI,159,687,81,244,0,4
COALFIELD,KI,211,713,182,396,0,3
AUB 47-0074,KI,194,569,100,294,0,0
KEN 47-3300,KI,137,527,115,254,0,2
CORNELL,KI,167,557,148,316,0,1
BRYN MAWR,KI,106,365,95,201,0,0
KEN 33-3172,KI,106,571,32,142,0,4
M-V 05-2614,KI,243,831,175,422,0,4
KEN 33-3174,KI,196,652,118,315,0,1
VEAZIE,KI,187,619,167,356,0,2
AUB 31-0058,KI,98,290,73,172,0,1
FREEDOM,KI,194,726,182,378,0,2
AUB 31-0054,KI,145,527,64,214,0,5
AUB 31-0051,KI,116,530,49,166,0,1
AUB 31-0050,KI,111,421,74,188,0,3
FAIRMONT GLEN,KI,151,497,120,277,0,6
WALLACE,KI,105,454,89,194,0,0
KRAIN,KI,166,565,205,372,0,1
BRIAR,KI,160,521,119,283,0,4
M-V 05-3367,KI,202,763,152,358,0,4
M-V 05-3366,KI,108,446,63,172,0,1
COV 47-2711,KI,149,536,106,255,0,0
MUCKLESHOOT,KI,33,395,21,54,0,0
M-V 05-3369,KI,243,680,137,383,0,3
M-V 05-3368,KI,173,748,175,350,0,2
KEN 33-0582,KI,204,843,151,359,0,4
HOLM LAKE,KI,216,710,198,415,0,1
COV 47-2390,KI,131,505,71,204,0,2
KEN 47-2568,KI,242,866,159,403,0,2
RNT 11-3563,KI,136,625,140,277,0,1
KEN 47-0910,KI,172,765,130,309,0,7
AUB 47-3276,KI,150,610,91,247,0,6
KEN 33-2570,KI,151,582,110,265,0,4
MCCOY,KI,160,646,202,368,0,6
COV 47-3581,KI,100,385,80,180,0,0
KEN 11-3331,KI,101,456,63,166,0,2
RNT 11-0738,KI,80,444,60,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STACY,KI,37,173,52,89,0,0
AUB 47-2700,KI,48,212,21,73,0,4
AUB 47-2701,KI,89,486,55,146,0,2
VALENCIA,KI,134,501,122,258,0,2
KEN 47-3352,KI,0,0,0,0,0,0
KEN 33-3553,KI,122,557,72,194,0,0
KEN 33-0590,KI,216,755,148,372,0,8
KEN 33-0591,KI,88,274,52,140,0,0
KEN 33-0592,KI,48,208,32,81,0,1
KEN 33-0593,KI,90,231,49,140,0,1
KEN 33-0594,KI,87,366,100,189,0,2
KEN 33-0595,KI,86,488,53,139,0,0
KEN 33-0596,KI,153,550,135,289,0,1
KEN 33-0597,KI,140,688,95,239,0,4
KEN 33-0598,KI,127,473,72,201,0,2
KEN 33-0453,KI,201,815,159,364,0,4
AUB 47-3456,KI,189,795,113,305,0,3
PINE,KI,30,139,45,76,0,1
KEN 47-1102,KI,207,759,174,382,0,1
DORRE DON,KI,220,793,256,477,0,1
KEN 47-3189,KI,135,732,70,206,0,1
KEN 47-3184,KI,234,776,148,384,0,2
LITTLE SOOS,KI,164,463,103,268,0,1
KEN 47-3180,KI,116,541,71,187,0,0
RNT 11-1109,KI,99,484,77,180,0,4
RNT 11-0354,KI,143,491,83,227,0,1
CEDAR PARK,KI,73,245,43,118,0,2
RENHILL,KI,117,406,85,204,0,2
EASTWOOD,KI,162,487,117,281,0,2
GREEN VALLEY,KI,108,370,115,223,0,0
NATHAN,KI,147,507,146,297,0,4
M-V 05-0697,KI,206,673,179,385,0,0
MORRIS,KI,178,736,177,359,0,4
KEN 47-3136,KI,69,293,48,119,0,2
M-V 05-3322,KI,101,382,87,189,0,1
FAIRHAVEN,KI,211,808,228,439,0,0
M-V 05-3242,KI,139,588,122,262,0,1
AUB 47-0041,KI,197,735,104,303,0,2
KELSEY,KI,122,439,87,209,0,0
AUB 47-0045,KI,229,674,119,351,0,3
M-V 05-3245,KI,172,636,191,367,0,4
SELLECK,KI,219,784,200,420,0,1
AUB 30-3477,KI,38,203,27,65,0,0
AUB 30-3476,KI,56,264,30,86,0,0
GRIFFITH,KI,168,576,120,288,0,0
RNT 33-1204,KI,290,851,170,461,0,1
KEN 47-0482,KI,173,671,127,301,0,1
RNT 33-3535,KI,181,697,100,282,0,1
COV 47-2982,KI,145,553,105,251,0,1
TAHOMA,KI,146,571,165,313,0,2
KEN 47-2585,KI,240,819,191,431,0,0
RAVENSDALE,KI,133,497,116,252,0,3
AUB 47-2839,KI,237,692,190,430,1,2
KEN 33-0270,KI,51,271,35,87,0,1
RNT 11-3575,KI,169,600,146,318,0,3
PLAINS,KI,231,742,195,430,0,4
KEN 47-2485,KI,184,616,100,288,0,4
SIERRA,KI,204,690,166,373,0,3
KEN 47-1151,KI,131,398,98,229,0,0
RNT 11-3619,KI,119,472,104,225,0,2
MERGANSER,KI,189,627,160,351,0,2
DIAMOND,KI,65,227,55,120,0,0
RNT 37-3154,KI,183,770,126,311,0,2
TANNER,KI,160,695,183,343,0,0
RNT 11-3683,KI,76,320,51,128,0,1
M-V 05-0528,KI,168,344,97,266,0,1
FAIRWOOD,KI,95,267,81,176,0,0
KEN 47-3579,KI,55,273,45,100,0,0
AUB 30-0053,KI,117,437,65,185,0,3
KEN 33-2443,KI,57,303,24,82,0,1
IDA,KI,81,260,63,146,0,2
B-D 05-3310,KI,147,492,125,273,0,1
KEN 33-2699,KI,105,401,90,198,0,3
ELIZABETH,KI,148,601,124,273,0,1
RNT 37-3650,KI,89,474,113,204,0,2
COV 47-3365,KI,86,286,78,164,0,0
ENM 31-0413,KI,176,655,186,363,0,1
ENM 31-0411,KI,245,765,161,410,0,4
ENM 31-0410,KI,166,644,127,297,0,4
ENM 31-0417,KI,77,249,65,143,0,1
ENM 31-0416,KI,205,695,193,402,0,4
ENM 31-0415,KI,68,259,73,142,0,1
ENM 31-0419,KI,120,480,107,231,0,4
ENM 31-0418,KI,186,565,135,322,0,1
FOUR LAKES,KI,184,733,216,403,1,2
RNT 11-0031,KI,169,660,129,298,0,0
RNT 11-0404,KI,170,598,109,281,0,2
COV 47-0566,KI,172,724,131,308,0,5
RNT 41-1017,KI,108,370,75,183,0,0
RNT 41-1010,KI,107,416,112,219,0,0
AUB 31-3335,KI,201,732,148,351,0,2
RNT 41-1018,KI,237,868,225,464,0,2
AUB 31-0042,KI,137,509,102,240,0,1
SUNSET,KI,53,230,68,121,0,0
FRANKLIN,KI,34,160,29,63,0,0
KEN 47-3676,KI,38,127,26,64,0,0
AUB 31-0048,KI,44,210,34,78,0,0
AUB 31-0049,KI,126,450,64,195,0,5
KEN 47-3408,KI,95,374,46,141,0,0
M-V 05-3373,KI,175,662,177,360,0,8
KEN 47-3402,KI,173,669,145,322,0,4
M-V 05-3272,KI,242,878,188,436,0,6
COV 47-0313,KI,140,428,101,241,0,0
LANGSTON,KI,151,587,102,254,0,1
FAIRVILLE,KI,153,575,141,298,0,4
RNT 11-0539,KI,121,475,57,178,0,0
KEN 47-3493,KI,153,554,115,269,0,1
COV 47-3279,KI,195,713,145,342,0,2
FOREST,KI,177,572,136,313,0,0
KENTLAKE,KI,176,647,111,290,0,3
RNT 11-2854,KI,136,583,87,225,0,2
AUB 47-3260,KI,273,886,210,485,0,2
RNT 11-0981,KI,244,794,151,399,0,4
OSCEOLA,KI,179,557,154,336,0,3
COV 47-1145,KI,177,696,139,318,0,2
NEUWAUKUM,KI,97,356,101,199,0,1
KEN 47-0229,KI,185,695,110,296,0,1
RNT 11-0983,KI,127,525,86,215,0,2
HOBART,KI,189,621,182,374,0,3
MADISON,KI,80,305,76,157,0,1
COV 47-3597,KI,77,293,68,150,0,5
M-V 05-2857,KI,193,703,198,394,0,3
AUB 47-1066,KI,114,370,96,211,0,1
RNT 11-3404,KI,122,556,109,232,0,1
BRINN,KI,251,848,260,513,0,2
