Row Label,County,Gerry Pollet,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 46-2619,KI,179,539,95,279,0,5
SEA 46-2268,KI,144,330,61,205,0,0
KMR 46-2444,KI,167,418,69,237,0,1
SEA 46-2266,KI,161,494,122,288,0,5
SEA 46-2348,KI,108,274,52,161,0,1
SEA 46-2264,KI,383,768,96,487,0,8
SEA 46-2263,KI,287,599,105,396,0,4
SEA 46-2261,KI,131,256,43,175,0,1
SEA 46-2260,KI,378,722,123,511,0,10
SEA 46-2340,KI,263,680,115,381,0,3
SEA 46-2341,KI,239,569,107,349,0,3
SEA 46-2342,KI,139,406,46,187,0,2
SEA 46-2343,KI,139,341,55,194,0,0
SEA 46-2344,KI,247,760,77,329,0,5
SEA 46-2345,KI,133,294,60,196,0,3
SEA 46-2269,KI,157,305,39,197,0,1
SEA 46-2253,KI,227,521,90,322,0,5
SEA 46-2500,KI,163,360,40,209,0,6
SEA 46-2364,KI,129,355,55,185,0,1
SEA 46-1980,KI,142,381,109,257,0,6
SEA 46-2307,KI,162,313,52,215,0,1
SEA 46-2128,KI,172,542,73,247,0,2
KMR 46-0340,KI,174,443,129,306,0,3
KMR 46-1147,KI,233,764,130,368,0,5
SEA 46-2274,KI,126,256,41,167,0,0
SEA 46-2249,KI,127,250,41,170,0,2
SEA 46-2276,KI,165,382,82,250,0,3
SEA 46-2277,KI,279,568,85,368,0,4
SEA 46-2270,KI,157,290,43,202,0,2
SEA 46-2271,KI,223,476,90,319,0,6
SEA 46-2272,KI,167,367,78,247,0,2
SEA 46-2375,KI,152,312,56,210,0,2
SEA 46-2377,KI,269,574,116,391,0,6
SEA 46-2371,KI,272,656,94,371,0,5
SEA 46-2370,KI,107,428,29,137,0,1
SEA 46-2373,KI,257,683,71,331,0,3
LFP 46-1089,KI,207,554,110,321,0,4
KMR 46-3594,KI,95,322,59,155,0,1
KMR 46-3592,KI,132,396,54,190,0,4
SEA 46-2350,KI,152,407,63,217,0,2
SEA 46-2283,KI,153,348,54,214,0,7
LFP 46-0092,KI,233,646,104,341,0,4
KMR 46-1171,KI,192,588,84,281,0,5
SEA 46-2322,KI,205,532,69,281,0,7
KMR 46-2754,KI,118,344,93,211,0,0
SEA 46-2240,KI,213,431,75,290,0,2
SEA 46-2243,KI,238,514,115,359,0,6
KMR 46-2462,KI,102,258,60,164,0,2
SEA 46-2244,KI,135,268,53,191,0,3
SEA 46-2247,KI,308,630,106,421,0,7
SEA 46-2363,KI,154,380,57,213,0,2
SEA 46-2360,KI,154,469,46,202,0,2
SEA 46-2361,KI,138,359,63,206,0,5
SEA 46-2366,KI,171,451,68,241,0,2
SEA 46-2367,KI,167,449,61,229,0,1
SEA 46-2056,KI,172,330,54,228,0,2
SEA 46-2057,KI,213,443,95,310,0,2
SEA 46-2245,KI,244,409,72,322,0,6
SEA 46-2143,KI,116,285,43,163,0,4
SEA 46-2369,KI,189,419,70,262,0,3
LFP 46-0397,KI,136,397,64,204,0,4
SEA 46-2320,KI,143,350,76,222,0,3
SEA 46-1312,KI,125,326,55,181,0,1
SEA 46-1313,KI,125,280,43,168,0,0
SEA 46-1310,KI,171,397,52,229,0,6
SEA 46-1311,KI,133,427,64,198,0,1
SEA 46-1314,KI,146,330,63,210,0,1
SEA 46-1400,KI,157,425,60,221,0,4
SEA 46-1401,KI,225,686,82,311,0,4
SEA 46-1404,KI,168,441,44,217,0,5
LFP 46-0400,KI,199,519,111,315,0,5
KMR 46-2765,KI,223,715,130,363,0,10
KMR 46-2764,KI,108,269,46,155,0,1
KMR 46-0677,KI,169,552,102,274,0,3
SEA 46-2257,KI,367,799,139,509,0,3
SEA 46-2252,KI,128,261,41,172,0,3
LFP 46-1075,KI,131,366,86,217,0,0
SEA 46-2251,KI,235,555,108,352,0,9
SEA 46-2317,KI,205,433,60,269,0,4
SEA 46-2316,KI,176,411,61,239,0,2
SEA 46-2314,KI,171,337,41,217,0,5
SEA 46-2313,KI,182,538,63,248,0,3
SEA 46-2153,KI,160,492,65,231,0,6
SEA 46-2311,KI,192,451,63,256,0,1
SEA 46-2310,KI,207,386,67,277,0,3
KMR 46-3148,KI,195,671,115,320,0,10
SEA 46-2152,KI,126,378,64,192,0,2
KMR 46-0572,KI,250,629,101,356,0,5
KMR 46-0573,KI,253,726,98,361,0,10
SEA 46-2319,KI,214,506,108,323,0,1
SEA 46-2318,KI,147,277,38,188,0,3
LFP 46-2763,KI,128,276,54,186,0,4
KMR 46-0473,KI,169,438,78,253,0,6
SEA 46-2285,KI,165,286,41,211,0,5
LFP 46-0655,KI,325,679,96,426,0,5
LFP 46-0654,KI,227,471,75,307,0,5
LFP 46-0653,KI,206,412,74,285,0,5
LFP 46-0652,KI,111,230,45,156,0,0
LFP 46-1143,KI,197,436,100,299,0,2
