Row Label,County,Lisa L. Sutton
Luhr Beach,TH,240
Berry Valley,TH,181
Freedom,TH,285
Morris,TH,234
Lacey 07,TH,164
Lacey 04,TH,104
Lacey 05,TH,132
Lacey 02,TH,143
Lacey 03,TH,169
Deschutes,TH,239
Olympia 50,TH,162
Tumwater 28,TH,283
Tumwater 29,TH,0
Friendly Grove,TH,114
Olympia 51,TH,45
Fair Oaks,TH,145
Woodard Creek,TH,180
Pines,TH,175
Scott Lake North,TH,100
Mushroom Corner,TH,230
Tumwater 14,TH,100
Yelm 2,TH,212
Deerbrush,TH,252
Henness,TH,317
Lacey 09,TH,105
Kinwood,TH,181
Rainier 02,TH,126
Summit Lake,TH,186
Lacey 19,TH,135
Lacey 18,TH,231
Simmons 9,TH,5
Lacey 11,TH,202
Simmons 4,TH,11
Lacey 13,TH,106
Lacey 01,TH,85
Lacey 15,TH,188
Gull Harbor,TH,138
Simmons 3,TH,9
Simmons 2,TH,4
Spurgeon Creek,TH,93
Black River,TH,309
Forest,TH,313
Olympia 24,TH,190
Quince,TH,4
Meadows,TH,167
Pattison,TH,224
Olympia 54,TH,128
Olympia 55,TH,113
Olympia 56,TH,193
Olympia 57,TH,93
Tykle Cove,TH,201
Mcallister Creek,TH,195
Olympia 52,TH,106
Mcintosh,TH,356
Tenino 02,TH,139
Olympia 39,TH,191
Steamboat Island,TH,188
Olympia 20,TH,93
Lacey 08,TH,127
Lacey 41,TH,191
Delta,TH,0
Ames,TH,181
Jones Beach,TH,123
Pleasant Glade,TH,139
Lacey 35,TH,75
Evergreen Shores,TH,185
Hewitt Lake,TH,272
Tumwater 08,TH,230
Olympia 60,TH,131
Tumwater 06,TH,338
Tumwater 07,TH,167
Tumwater 04,TH,147
Beach Crest,TH,178
Tumwater 02,TH,201
Tumwater 03,TH,246
Roosevelt,TH,247
Tumwater 01,TH,156
University North,TH,88
Olympia 49,TH,198
Olympia 48,TH,242
Bush Prairie,TH,55
Olympia 43,TH,219
Olympia 42,TH,128
Olympia 41,TH,183
Olympia 40,TH,166
Olympia 47,TH,229
Olympia 46,TH,200
Olympia 45,TH,133
Olympia 44,TH,98
Holmes,TH,191
Cooper Point,TH,206
Ruth Prairie,TH,106
Hawks Ridge,TH,103
Weir Prairie,TH,211
Wilderness,TH,299
Lacey 32,TH,219
Camelot,TH,140
University South,TH,121
Lacey 24,TH,273
Gallagher Cove,TH,330
Lacey 17,TH,205
Total,TH,50824
College,TH,36
Bigelow,TH,188
Lacey 37,TH,66
Olympia 08,TH,188
Beaver Creek,TH,392
Oyster Bay,TH,232
Eaton Creek,TH,131
Lacey 28,TH,118
Olympia 25,TH,157
Four Corners,TH,319
South Bay,TH,256
Indian Summer,TH,248
Longmire,TH,152
Tumwater 24,TH,145
Olympia 59,TH,172
Clear Lake,TH,344
Airport,TH,20
Thompson,TH,145
Bucoda,TH,96
Glen Terra,TH,71
Frye Cove,TH,238
Cougar Mountain,TH,49
Mckinley,TH,69
Olympia 37,TH,136
Gibson Valley,TH,27
Olympia 35,TH,381
Black Lake,TH,270
Scheller,TH,100
Olympia 30,TH,170
Olympia 31,TH,157
Sunwood Lakes,TH,332
Lydia Hawk,TH,376
Lacey 23,TH,86
Olympia 32,TH,265
Michigan Hill,TH,98
Tumwater 09,TH,140
Yelm 4,TH,230
Lacey 48,TH,139
Zangle,TH,186
Fish Trap,TH,159
East Olympia,TH,206
Munn Lake,TH,122
Sunset Beach,TH,249
Olympia 27,TH,95
Lacey 43,TH,253
Lacey 40,TH,259
Fristoe,TH,158
Lacey 46,TH,456
Lacey 47,TH,352
Lacey 44,TH,97
Hicks,TH,35
Salmon Creek,TH,135
Lacey 49,TH,118
Wards,TH,98
South Union,TH,276
Boston Harbor,TH,264
Olympia 29,TH,222
Olympia 28,TH,197
Trails End,TH,395
Hartwood,TH,371
Waddell Creek,TH,175
Fleetwood,TH,284
Olympia 26,TH,164
Olympia 21,TH,284
Bald Hills,TH,57
Olympia 23,TH,217
Violet Prairie,TH,250
Lacey 20,TH,84
Hawk Acres,TH,138
Tumwater 27,TH,220
Lacey 21,TH,108
Lakeside,TH,120
Lacey 22,TH,134
Olympia 36,TH,77
Glenwood,TH,81
Chambers,TH,352
Nisqually,TH,180
