Row Label,County,Registered Voters,Richard Bathum,Times Blank Voted,Times Counted,Times Over Voted,Write-in
FARLEY,KI,739,199,212,414,0,3
KEN 11-0893,KI,580,117,90,209,0,2
AUB 47-2723,KI,346,150,83,234,0,1
AUB 47-0671,KI,785,177,150,329,0,2
RNT 11-0988,KI,437,108,61,172,0,3
RNT 11-0985,KI,325,87,78,167,0,2
RNT 11-0984,KI,279,79,61,140,0,0
RNT 11-0986,KI,719,199,145,349,0,5
AUB 47-2478,KI,490,193,133,328,0,2
RNT 11-0980,KI,333,56,33,90,0,1
AUB 47-2573,KI,679,247,140,391,0,4
KEN 33-3670,KI,288,76,43,120,0,1
GREEN RIVER,KI,482,135,123,261,0,3
KEN 33-0578,KI,501,130,76,207,0,1
KEN 33-0576,KI,394,96,67,165,0,2
KEN 33-0577,KI,371,105,64,170,0,1
KEN 33-0575,KI,413,105,48,153,0,0
BERRYDALE,KI,505,129,148,277,0,0
AUB 47-3413,KI,758,189,133,323,0,1
LOUIE,KI,512,130,106,236,0,0
PIPELINE,KI,153,45,35,82,0,2
M-V 05-3601,KI,496,146,91,239,0,2
MORGAN,KI,631,152,152,305,0,1
KEN 47-0842,KI,796,202,165,368,0,1
ENM 31-0409,KI,379,104,90,196,0,2
LAKE RETREAT,KI,654,159,181,347,0,7
CLOVER,KI,594,164,130,299,0,5
RNT 11-1125,KI,661,157,109,268,0,2
MERRIHILL,KI,687,192,126,324,0,6
RNT 33-2472,KI,587,146,102,252,0,4
HUSKY,KI,650,162,178,340,0,0
CHINOOK,KI,671,211,144,357,0,2
RNT 11-2739,KI,274,81,56,140,0,3
AUB 31-3299,KI,248,65,89,155,0,1
SHADOW LAKE,KI,610,172,161,334,0,1
KEN 33-1055,KI,424,75,47,123,0,1
BROKEN HILL,KI,639,150,117,268,0,1
LAKE DESIRE,KI,605,173,149,323,0,1
NAILA,KI,798,210,202,416,0,4
KEN 47-0601,KI,733,198,89,291,0,4
KEN 47-0600,KI,131,26,20,46,0,0
ALG 30-0014,KI,486,159,68,229,0,2
KEN 47-0439,KI,585,166,141,309,0,2
M-V 05-3461,KI,779,188,160,352,0,4
COV 47-3517,KI,263,79,89,168,0,0
CALHOUN,KI,574,154,79,236,0,3
RNT 11-2844,KI,845,198,153,354,0,3
RNT 11-2845,KI,548,151,70,221,0,0
SHAMROCK,KI,693,176,150,332,0,6
KEN 47-0026,KI,357,120,49,169,0,0
ROWAN,KI,356,96,98,195,0,1
ANGEL CITY,KI,745,162,132,299,0,5
ENM 31-3248,KI,732,263,175,442,0,4
ENM 31-3247,KI,682,188,132,323,0,3
ENM 31-3246,KI,264,74,49,127,0,4
RNT 11-0502,KI,703,203,139,346,0,4
KEN 47-0028,KI,533,147,126,275,0,2
AUB 30-0067,KI,430,104,59,164,0,1
EARLINGTON,KI,357,85,62,150,0,3
KEN 47-3483,KI,606,173,111,285,0,1
KEN 05-3375,KI,0,0,0,0,0,0
KEN 47-3323,KI,459,128,89,218,0,1
WOODSIDE,KI,580,133,123,259,0,3
COV 47-1153,KI,626,184,98,284,0,2
ROYAL,KI,320,81,82,163,0,0
RNT 41-0989,KI,693,136,131,270,0,3
AUB 47-3187,KI,432,94,106,201,0,1
KEN 33-0603,KI,649,191,155,347,0,1
KELLY,KI,375,105,84,189,0,0
KEN 47-0238,KI,723,202,140,349,0,7
B-D 05-2413,KI,466,131,149,284,0,4
KEN 11-0918,KI,605,159,96,257,0,2
CUMBERLAND,KI,345,107,80,195,0,8
LAKE YOUNGS,KI,669,201,182,390,0,7
COV 47-3244,KI,466,132,68,204,0,4
ARTHUR,KI,863,245,262,510,0,3
DANIEL,KI,574,165,150,323,0,8
RNT 11-3555,KI,477,118,100,219,0,1
CANDLEWOOD,KI,412,58,61,120,0,1
AUB 47-3591,KI,445,128,77,206,0,1
KEN 11-3663,KI,387,134,90,225,0,1
RNT 11-3588,KI,481,74,44,120,0,2
AUB 47-3455,KI,439,120,107,229,0,2
AUB 47-3324,KI,577,220,140,360,0,0
AUB 31-0082,KI,403,114,85,203,0,4
AUB 31-0083,KI,487,127,101,229,0,1
AUB 31-0080,KI,830,242,168,414,0,4
AUB 31-0081,KI,457,122,76,199,0,1
FALCON,KI,456,150,132,288,0,6
RNT 11-0978,KI,506,130,92,223,0,1
RNT 11-0979,KI,284,61,39,100,0,0
RNT 11-0975,KI,861,195,141,339,0,3
M-V 05-3482,KI,870,245,194,441,0,2
RNT 11-0970,KI,246,54,54,108,0,0
RNT 11-0971,KI,579,147,143,291,0,1
RNT 11-0973,KI,542,151,92,245,0,2
HONEY,KI,102,31,26,57,0,0
KEN 33-3332,KI,863,223,210,437,0,4
KEN 47-0798,KI,742,221,173,394,0,0
BRIGID,KI,320,103,64,168,0,1
KEN 33-3445,KI,375,110,76,188,0,2
KEN 33-2426,KI,550,163,134,298,0,1
B-D 05-2407,KI,838,235,212,447,0,0
LYNN,KI,433,124,89,214,0,1
ALG 30-0013,KI,467,102,49,153,0,2
RUSS,KI,24,3,8,11,0,0
RNT 11-1015,KI,443,98,95,194,0,1
RNT 11-1011,KI,881,212,173,391,0,6
KEN 47-3275,KI,854,170,118,288,0,0
LOIS,KI,566,126,106,237,0,5
LUND,KI,740,209,198,409,0,2
RIVERSIDE,KI,396,97,122,220,0,1
LEAH,KI,661,166,151,319,0,2
AUB 31-0069,KI,314,101,58,159,0,0
WABASH,KI,320,103,86,189,0,0
AUB 31-0062,KI,660,205,123,332,0,4
AUB 31-0063,KI,279,87,42,130,0,1
AUB 31-0064,KI,408,83,42,125,0,0
AUB 31-0065,KI,288,76,48,125,0,1
KEN 47-2403,KI,466,97,70,171,0,4
B-D 05-3463,KI,0,0,0,0,0,0
CAMPBELL HILL,KI,642,144,103,250,0,3
RNT 11-2815,KI,677,129,85,215,0,1
WYNOCHE,KI,397,131,125,257,0,1
RNT 11-2816,KI,578,154,138,297,0,5
KEN 47-2477,KI,535,192,168,361,0,1
RNT 37-0991,KI,619,136,111,250,0,3
MILWAUKEE,KI,50,8,16,24,0,0
RNT 11-2475,KI,654,158,131,292,0,3
HAM LAKE,KI,467,140,125,267,0,2
KEN 47-2708,KI,485,123,103,226,0,0
BRYAN,KI,351,85,101,188,0,2
ALG 30-3141,KI,523,141,79,222,0,2
HUCKLEBERRY,KI,420,116,111,227,0,0
RNT 11-3223,KI,294,71,41,114,0,2
RNT 11-3222,KI,581,156,136,295,0,3
COV 47-1203,KI,885,238,181,421,0,2
KEN 47-2704,KI,773,259,169,430,0,2
RNT 11-1002,KI,332,73,68,142,0,1
KEN 33-2567,KI,369,97,89,187,0,1
KEN 47-2490,KI,673,208,122,331,0,1
KEN 33-2569,KI,856,236,153,390,0,1
MORTON,KI,723,212,208,425,0,5
LAKERIDGE,KI,751,208,200,411,0,3
ENM 31-3492,KI,333,89,70,164,0,5
RNT 41-0995,KI,740,200,142,346,0,4
RNT 41-0994,KI,488,154,96,250,0,0
RNT 41-0993,KI,703,161,160,321,0,0
MCDONALD,KI,525,147,136,285,0,2
RNT 37-1000,KI,532,71,70,142,0,1
RNT 11-3359,KI,487,130,56,188,0,2
RNT 37-0999,KI,760,195,147,343,0,1
RNT 11-0992,KI,295,79,48,127,0,0
RNT 11-0990,KI,448,126,72,199,0,1
RNT 11-0996,KI,562,141,115,257,0,1
RNT 11-0997,KI,875,190,134,328,0,4
KEN 47-0753,KI,622,156,91,249,0,2
KEN 47-2709,KI,839,239,166,407,0,2
RNT 11-3643,KI,363,99,79,180,0,2
RNT 11-0998,KI,363,97,74,171,0,0
LINCOLN,KI,312,93,71,168,0,4
KEN 33-0583,KI,371,109,93,203,0,1
KEN 33-3644,KI,486,136,76,213,0,1
KEN 33-0581,KI,684,207,104,311,0,0
KEN 33-0587,KI,470,116,92,209,0,1
KEN 33-0586,KI,437,149,107,256,0,0
KEN 33-0585,KI,569,135,86,224,0,3
KEN 33-0588,KI,317,87,69,157,0,1
KEN 47-1076,KI,668,177,124,301,0,0
KEN 33-3362,KI,365,98,76,174,0,0
KEN 47-1170,KI,412,102,77,180,0,1
RNT 11-3224,KI,457,113,98,214,0,3
MCDIVITT,KI,57,16,16,32,0,0
RNT 11-2607,KI,631,109,86,196,0,1
KEN 33-2864,KI,463,146,95,243,0,2
SAWYER,KI,594,191,187,382,0,4
CARRIAGE,KI,399,124,104,230,0,2
KEN 47-3652,KI,463,145,73,219,0,1
BLACK RIVER,KI,320,51,24,77,0,2
KEN 47-2836,KI,531,144,114,259,0,1
KEN 47-2834,KI,564,159,94,255,0,2
KEN 47-2939,KI,314,73,46,121,0,2
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,473,187,108,298,0,3
MAY VALLEY,KI,492,120,123,246,0,3
BITTERROOT,KI,483,135,122,262,0,5
ARIA,KI,428,129,109,239,0,1
GRASS LAKE,KI,374,139,95,235,0,1
RNT 11-0456,KI,635,179,109,291,0,3
COV 47-2586,KI,588,139,103,243,0,1
COV 47-1127,KI,606,170,133,303,0,0
PAC 30-2856,KI,686,147,81,230,0,2
KEN 47-0246,KI,479,142,119,261,0,0
KEN 47-2599,KI,748,210,132,345,0,3
RED MILL,KI,418,116,99,217,0,2
AUB 31-3405,KI,662,198,123,322,0,1
FAIRMONT,KI,394,98,114,216,0,4
M-V 05-1218,KI,674,225,152,378,0,1
RNT 11-3604,KI,591,125,108,234,0,1
RNT 11-3609,KI,461,91,80,173,0,2
LAKE MORTON,KI,232,81,68,151,0,2
M-V 05-3536,KI,572,139,135,275,0,1
SWEENEY,KI,575,159,180,341,0,2
AUB 47-0328,KI,684,237,156,397,0,4
RUDDELL,KI,397,119,93,214,0,2
KEN 47-1034,KI,745,208,147,356,0,1
FAIRGLEN,KI,442,134,124,258,0,0
AUB 31-0047,KI,574,159,102,264,0,3
KEN 47-0662,KI,659,216,182,399,0,1
KEN 11-3403,KI,549,155,109,264,0,0
AUB 47-2551,KI,824,221,109,332,0,2
CARRIAGE LANE,KI,621,164,148,314,0,2
AUB 30-0046,KI,351,109,59,169,0,1
AUB 47-3538,KI,719,202,164,366,0,0
AUB 47-3539,KI,436,125,117,245,0,3
RNT 11-3287,KI,705,159,177,338,0,2
WHITE RIVER,KI,597,169,168,337,0,0
HANSEN,KI,505,164,143,308,0,1
CEDAR RIVER,KI,481,117,137,259,0,5
RNT 11-3162,KI,209,62,41,106,0,3
AUB 47-0072,KI,525,153,135,289,0,1
AUB 47-0073,KI,687,156,82,244,0,6
COALFIELD,KI,713,211,182,396,0,3
AUB 47-0074,KI,569,195,99,294,0,0
KEN 47-3300,KI,527,135,116,254,0,3
CORNELL,KI,557,164,150,316,0,2
BRYN MAWR,KI,365,104,97,201,0,0
KEN 33-3172,KI,571,106,32,142,0,4
M-V 05-2614,KI,831,241,177,422,0,4
KEN 33-3174,KI,652,193,121,315,0,1
VEAZIE,KI,619,211,143,356,0,2
AUB 31-0058,KI,290,97,74,172,0,1
FREEDOM,KI,726,195,181,378,0,2
AUB 31-0054,KI,527,144,65,214,0,5
AUB 31-0051,KI,530,113,51,166,0,2
AUB 31-0050,KI,421,111,74,188,0,3
FAIRMONT GLEN,KI,497,148,123,277,0,6
WALLACE,KI,454,105,89,194,0,0
KRAIN,KI,565,182,189,372,0,1
BRIAR,KI,521,162,117,283,0,4
M-V 05-3367,KI,763,202,152,358,0,4
M-V 05-3366,KI,446,109,62,172,0,1
COV 47-2711,KI,536,146,108,255,0,1
MUCKLESHOOT,KI,395,33,21,54,0,0
M-V 05-3369,KI,680,242,138,383,0,3
M-V 05-3368,KI,748,166,182,350,0,2
KEN 33-0582,KI,843,205,149,359,0,5
HOLM LAKE,KI,710,217,197,415,0,1
COV 47-2390,KI,505,131,71,204,0,2
KEN 47-2568,KI,866,238,163,403,0,2
RNT 11-3563,KI,625,134,142,277,0,1
KEN 47-0910,KI,765,168,134,309,0,7
AUB 47-3276,KI,610,151,90,247,0,6
KEN 33-2570,KI,582,151,108,265,0,6
MCCOY,KI,646,159,204,368,0,5
COV 47-3581,KI,385,97,83,180,0,0
KEN 11-3331,KI,456,97,67,166,0,2
RNT 11-0738,KI,444,75,65,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STACY,KI,173,37,52,89,0,0
AUB 47-2700,KI,212,50,19,73,0,4
AUB 47-2701,KI,486,85,59,146,0,2
VALENCIA,KI,501,134,122,258,0,2
KEN 47-3352,KI,0,0,0,0,0,0
KEN 33-3553,KI,557,119,75,194,0,0
KEN 33-0590,KI,755,214,151,372,0,7
KEN 33-0591,KI,274,87,53,140,0,0
KEN 33-0592,KI,208,49,32,81,0,0
KEN 33-0593,KI,231,90,49,140,0,1
KEN 33-0594,KI,366,88,99,189,0,2
KEN 33-0595,KI,488,88,51,139,0,0
KEN 33-0596,KI,550,153,136,289,0,0
KEN 33-0597,KI,688,137,96,239,0,6
KEN 33-0598,KI,473,122,77,201,0,2
KEN 33-0453,KI,815,202,160,364,0,2
AUB 47-3456,KI,795,184,118,305,0,3
PINE,KI,139,33,42,76,0,1
KEN 47-1102,KI,759,207,175,382,0,0
DORRE DON,KI,793,220,256,477,0,1
KEN 47-3189,KI,732,135,70,206,0,1
KEN 47-3184,KI,776,236,146,384,0,2
LITTLE SOOS,KI,463,165,102,268,0,1
KEN 47-3180,KI,541,118,69,187,0,0
RNT 11-1109,KI,484,98,78,180,0,4
RNT 11-0354,KI,491,143,83,227,0,1
CEDAR PARK,KI,245,72,44,118,0,2
RENHILL,KI,406,114,88,204,0,2
EASTWOOD,KI,487,160,119,281,0,2
GREEN VALLEY,KI,370,109,113,223,0,1
NATHAN,KI,507,148,144,297,1,4
M-V 05-0697,KI,673,207,178,385,0,0
MORRIS,KI,736,179,176,359,0,4
KEN 47-3136,KI,293,70,47,119,0,2
M-V 05-3322,KI,382,104,84,189,0,1
FAIRHAVEN,KI,808,209,229,439,0,1
M-V 05-3242,KI,588,140,121,262,0,1
AUB 47-0041,KI,735,190,109,303,0,4
KELSEY,KI,439,119,89,209,0,1
AUB 47-0045,KI,674,223,126,351,0,2
M-V 05-3245,KI,636,169,193,367,0,5
SELLECK,KI,784,217,201,420,0,2
AUB 30-3477,KI,203,40,25,65,0,0
AUB 30-3476,KI,264,57,29,86,0,0
GRIFFITH,KI,576,169,119,288,0,0
RNT 33-1204,KI,851,286,174,461,0,1
KEN 47-0482,KI,671,169,130,301,0,2
RNT 33-3535,KI,697,179,102,282,0,1
COV 47-2982,KI,553,144,106,251,0,1
TAHOMA,KI,571,146,165,313,0,2
KEN 47-2585,KI,819,243,188,431,0,0
RAVENSDALE,KI,497,135,115,252,0,2
AUB 47-2839,KI,692,234,194,430,0,2
KEN 33-0270,KI,271,50,35,87,0,2
RNT 11-3575,KI,600,170,145,318,0,3
PLAINS,KI,742,229,196,430,0,5
KEN 47-2485,KI,616,180,106,288,0,2
SIERRA,KI,690,236,131,373,0,6
KEN 47-1151,KI,398,131,98,229,0,0
RNT 11-3619,KI,472,115,107,225,0,3
MERGANSER,KI,627,193,158,351,0,0
DIAMOND,KI,227,63,56,120,0,1
RNT 37-3154,KI,770,180,129,311,0,2
TANNER,KI,695,162,181,343,0,0
RNT 11-3683,KI,320,75,52,128,0,1
M-V 05-0528,KI,344,169,96,266,0,1
FAIRWOOD,KI,267,97,79,176,0,0
KEN 47-3579,KI,273,52,47,100,0,1
AUB 30-0053,KI,437,115,66,185,0,4
KEN 33-2443,KI,303,56,25,82,0,1
IDA,KI,260,80,64,146,0,2
B-D 05-3310,KI,492,157,116,273,0,0
KEN 33-2699,KI,401,103,90,198,0,5
ELIZABETH,KI,601,148,123,273,0,2
RNT 37-3650,KI,474,85,117,204,0,2
COV 47-3365,KI,286,83,81,164,0,0
ENM 31-0413,KI,655,206,155,363,0,2
ENM 31-0411,KI,765,255,151,410,0,4
ENM 31-0410,KI,644,180,112,297,0,5
ENM 31-0417,KI,249,87,52,143,0,4
ENM 31-0416,KI,695,239,158,402,0,5
ENM 31-0415,KI,259,73,67,142,0,2
ENM 31-0419,KI,480,138,89,231,0,4
ENM 31-0418,KI,565,202,118,322,0,2
FOUR LAKES,KI,733,185,215,403,0,3
RNT 11-0031,KI,660,165,133,298,0,0
RNT 11-0404,KI,598,167,112,281,0,2
COV 47-0566,KI,724,176,128,308,0,4
RNT 41-1017,KI,370,107,76,183,0,0
RNT 41-1010,KI,416,103,116,219,0,0
AUB 31-3335,KI,732,198,150,351,0,3
RNT 41-1018,KI,868,237,226,464,0,1
AUB 31-0042,KI,509,139,100,240,0,1
SUNSET,KI,230,52,69,121,0,0
FRANKLIN,KI,160,34,29,63,0,0
KEN 47-3676,KI,127,37,27,64,0,0
AUB 31-0048,KI,210,44,34,78,0,0
AUB 31-0049,KI,450,121,66,195,0,8
KEN 47-3408,KI,374,95,46,141,0,0
M-V 05-3373,KI,662,174,179,360,0,7
KEN 47-3402,KI,669,174,145,322,0,3
M-V 05-3272,KI,878,246,186,436,0,4
COV 47-0313,KI,428,142,99,241,0,0
LANGSTON,KI,587,147,106,254,0,1
FAIRVILLE,KI,575,155,141,298,0,2
RNT 11-0539,KI,475,120,57,178,0,1
KEN 47-3493,KI,554,154,115,269,0,0
COV 47-3279,KI,713,195,144,342,0,3
FOREST,KI,572,173,140,313,0,0
KENTLAKE,KI,647,171,116,290,0,3
RNT 11-2854,KI,583,135,88,225,0,2
AUB 47-3260,KI,886,274,208,485,0,3
RNT 11-0981,KI,794,242,153,399,0,4
OSCEOLA,KI,557,195,135,336,0,6
COV 47-1145,KI,696,172,144,318,0,2
NEUWAUKUM,KI,356,103,95,199,0,1
KEN 47-0229,KI,695,183,112,296,0,1
RNT 11-0983,KI,525,127,87,215,0,1
HOBART,KI,621,190,181,374,0,3
MADISON,KI,305,93,64,157,0,0
COV 47-3597,KI,293,78,69,150,0,3
M-V 05-2857,KI,703,190,201,394,0,3
AUB 47-1066,KI,370,111,99,211,0,1
RNT 11-3404,KI,556,123,109,232,0,0
BRINN,KI,848,261,250,513,0,2
