Row Label,County,John Lovick,Carolyn Eslick
BRIER 6,SN,138,77
BRIER 5,SN,235,161
BRIER 4,SN,220,114
MUKILTEO 12,SN,302,172
POPLAR,SN,98,72
FOUR CORNERS,SN,176,136
KACKMAN,SN,101,125
PILOT,SN,117,207
MUKILTEO  5,SN,260,181
MUKILTEO  4,SN,148,97
MUKILTEO  7,SN,138,115
MUKILTEO  6,SN,184,150
MUKILTEO  1,SN,265,152
MUKILTEO  3,SN,141,121
OHLDE,SN,146,174
MARYSVILLE 49,SN,111,124
MUKILTEO  9,SN,183,134
MUKILTEO  8,SN,154,84
COVE,SN,155,124
SILVER LAKE,SN,163,107
JORDAN TRAILS,SN,72,95
SOUTH LAKE STEVENS,SN,160,163
WINTER LAKE,SN,82,106
SUNDAY LAKE,SN,190,213
HAPPY VALLEY,SN,97,115
TUALCO,SN,123,116
RIDGEVIEW,SN,106,51
WINDSONG,SN,166,93
LAKE STEVENS 17,SN,146,160
MISTY,SN,201,130
LAKE STEVENS 15,SN,209,165
REES,SN,60,71
LAKE STEVENS 13,SN,161,113
LAKE STEVENS 12,SN,142,92
LAKE STEVENS 11,SN,107,84
LAKE STEVENS 10,SN,141,168
ROYAL,SN,215,209
LAKE STEVENS 19,SN,151,170
LAKE STEVENS 18,SN,131,138
MANORDALE,SN,145,114
POPPY,SN,104,91
CLEARVIEW,SN,192,194
LIND,SN,198,89
HAMPTON,SN,179,133
PARKSHORE,SN,133,108
MILL CREEK 10,SN,155,88
DUBUQUE,SN,142,158
IVERSON,SN,102,102
KEELER,SN,147,89
MILL CREEK 13,SN,159,117
MARTHA LAKE,SN,172,143
PARK PLACE,SN,51,88
BLUFF,SN,117,193
SISCO,SN,162,191
THOMAS CREEK,SN,152,130
TULALIP 3,SN,169,113
OLNEY,SN,147,180
TULALIP 1,SN,185,140
TULALIP 6,SN,111,39
TULALIP 4,SN,171,150
TULALIP 5,SN,113,81
EVERETT  60,SN,151,101
EVERETT  61,SN,33,20
EVERETT  62,SN,123,70
EVERETT  63,SN,111,110
SHOECRAFT,SN,158,220
EVERETT  65,SN,134,111
EVERETT  66,SN,193,88
EVERETT  67,SN,165,95
EVERETT  68,SN,207,152
ROSE,SN,122,109
LAKE,SN,193,188
HIPOINT,SN,129,63
MILL CREEK  3,SN,133,84
MILL CREEK  2,SN,165,115
MILL CREEK  1,SN,264,137
MILL CREEK  7,SN,14,11
MILL CREEK  6,SN,214,196
MILL CREEK  5,SN,286,158
MILL CREEK  4,SN,150,103
HEARTHSTONE,SN,143,88
MILL CREEK  9,SN,207,120
MILL CREEK  8,SN,239,165
CLIFF,SN,117,104
MARYSVILLE 54,SN,151,169
MARYSVILLE 55,SN,100,114
HEMLOCK,SN,239,157
MARYSVILLE 53,SN,90,111
BROCKLIN,SN,126,193
MARYSVILLE 51,SN,62,64
COUNTRY,SN,134,96
WITHERS,SN,228,144
PIONEER,SN,166,112
ELWOOD,SN,165,121
PEAK,SN,7,7
HOLLY,SN,230,100
CHAIN LAKE,SN,189,205
BRYANT,SN,63,61
WOODWAY 1,SN,195,150
WOODWAY 2,SN,97,113
MUKILTEO  2,SN,308,158
KENSINGTON,SN,103,60
FALLS,SN,24,18
HILL,SN,156,99
VILLAGE,SN,224,202
MARYSVILLE 36,SN,116,90
SHELTON,SN,174,222
PACKWOOD,SN,76,100
POST,SN,162,119
BOULDER,SN,201,212
FIRGROVE,SN,133,79
RICHLAND,SN,54,59
FLORENCE,SN,48,78
MC DONALD,SN,87,145
NORTH CREEK,SN,168,98
GREENWOOD,SN,170,151
CRAWFORD,SN,63,33
HAVEN,SN,206,148
LYNNWOOD 30,SN,206,117
LYNNWOOD 31,SN,89,77
LYNNWOOD 33,SN,168,130
LYNNWOOD 34,SN,96,60
MALTBY,SN,155,156
STONE GATE,SN,162,75
MARYSVILLE 45,SN,149,232
BOSTIAN,SN,122,97
SILER,SN,99,90
MAPLEWOOD,SN,157,141
MOUNTLAKE TERRACE 19,SN,217,102
MOUNTLAKE TERRACE 18,SN,185,95
MOUNTLAKE TERRACE 17,SN,255,117
MOUNTLAKE TERRACE 16,SN,154,52
MOUNTLAKE TERRACE 15,SN,177,73
MOUNTLAKE TERRACE 14,SN,209,94
MOUNTLAKE TERRACE 13,SN,221,83
MOUNTLAKE TERRACE 12,SN,161,95
MOUNTLAKE TERRACE 11,SN,176,82
MOUNTLAKE TERRACE 10,SN,258,147
ARLINGTON  8,SN,125,177
ARLINGTON  9,SN,142,168
ARLINGTON  4,SN,230,210
EVERETT   1,SN,226,146
ARLINGTON  6,SN,159,158
ASH,SN,230,155
EDMONDS 43,SN,254,113
ARLINGTON  1,SN,125,168
ARLINGTON  2,SN,129,104
ARLINGTON  3,SN,131,112
SHADOW WOOD,SN,190,86
HUCKLEBERRY,SN,82,89
SHORTS,SN,217,197
PIONEER TRAILS,SN,170,132
CREEKSIDE,SN,136,95
LYNNWOOD 29,SN,223,147
EVERETT  28,SN,131,97
EVERETT  29,SN,114,97
ARLINGTON  5,SN,196,200
EVERETT  24,SN,184,108
EVERETT  25,SN,147,97
PETERSON,SN,220,174
EVERETT  27,SN,183,107
EVERETT  20,SN,169,88
EVERETT  21,SN,238,137
EVERETT  22,SN,152,89
EVERETT  23,SN,27,31
EVERETT  18,SN,242,123
ARLINGTON  7,SN,171,212
ADMIRALTY,SN,133,79
EDMONDS 49,SN,175,110
GLEN ACRES(*),SN,0,0
EDMONDS 47,SN,119,49
EDMONDS 44,SN,213,90
EVERETT  89,SN,127,85
EDMONDS 42,SN,142,95
LAKE STEVENS  6,SN,165,154
WOODGATE,SN,88,79
EDMONDS 41,SN,142,78
EVERETT  86,SN,126,113
THOMPSON,SN,183,179
BUTTERNUT,SN,170,111
MONROE  4,SN,184,163
EVERETT  82,SN,115,106
STILLAGUAMISH,SN,62,58
BOTHELL 31,SN,215,139
BOTHELL 33,SN,158,125
GLENWOOD,SN,109,105
BOTHELL 35,SN,149,119
BOTHELL 34,SN,214,143
BOTHELL 37,SN,201,185
BOTHELL 36,SN,143,128
BOTHELL 39,SN,130,110
BOTHELL 38,SN,176,116
ALDERCREST,SN,29,34
MC FARLAND,SN,160,211
QUEENS,SN,187,109
EVERETT  91,SN,122,77
LUPINE,SN,129,132
EVERETT  93,SN,98,74
HAZEL,SN,189,200
EVERETT  95,SN,77,56
EVERETT  94,SN,95,79
OAKS,SN,190,158
GIBSON,SN,124,78
HIGH ROCK,SN,105,179
BEECHER,SN,190,166
BERKSHIRE,SN,247,170
PORTAGE,SN,50,94
STICKNEY,SN,153,144
MARYSVILLE 50,SN,165,119
STOCK SHOW,SN,88,66
HENNING,SN,191,227
PILCHUCK RIVER,SN,11,11
MILL,SN,156,183
WOODS CREEK,SN,99,174
LOMA,SN,136,151
WILLOWDALE,SN,209,126
MARYSVILLE 18,SN,164,196
MARYSVILLE 19,SN,137,124
MARYSVILLE 12,SN,175,147
MARYSVILLE 13,SN,112,130
MARYSVILLE 10,SN,108,110
MARYSVILLE 11,SN,195,175
MARYSVILLE 16,SN,168,191
OSBORN,SN,148,113
SUNRISE,SN,178,97
MARYSVILLE 15,SN,163,125
MEADOW,SN,118,141
LAKE STEVENS 16,SN,111,109
SLIVER(*),SN,0,0
ROOSEVELT,SN,79,94
LAKE STEVENS 14,SN,142,133
RAINIER,SN,74,101
DOUGLAS FIRS,SN,147,112
TROMBLEY,SN,154,154
RUGGS LAKE,SN,186,153
EVERETT   6,SN,129,79
EVERETT   7,SN,87,43
LAKE GOODWIN,SN,242,247
EVERETT   5,SN,165,79
EVERETT   2,SN,214,82
EVERETT   3,SN,154,78
SHELBY,SN,156,87
MAGNOLIA,SN,155,82
WHEELER,SN,132,157
VALMONT,SN,105,71
EDMONDS 13,SN,287,122
EVERETT   8,SN,151,88
EVERETT   9,SN,256,189
GETCHELL,SN,131,133
ARLINGTON 17(*),SN,0,0
SEXTON,SN,203,193
EDMONDS 15,SN,167,80
RIVERCREST,SN,118,98
LYNNWOOD  2,SN,135,81
STAR CREEK,SN,83,106
EDMONDS 19,SN,249,100
CASSIDY,SN,134,162
EDMONDS 18,SN,221,81
TRANGEN,SN,133,145
WOODRIDGE,SN,221,167
MACHIAS,SN,230,235
FIRTREE,SN,105,139
SNOHOMISH 10,SN,58,85
EAST SHORE,SN,167,127
ALMA,SN,18,18
CASCADIAN,SN,214,157
ALDER,SN,148,110
EDMONDS 46,SN,319,223
LYNNWOOD 32(*),SN,0,0
INDEX,SN,44,22
EDMONDS 45,SN,161,107
LYNNWOOD 22,SN,135,62
JORDAN BRIDGE,SN,45,37
WELLINGTON,SN,237,184
FREEWAY,SN,180,124
SHORE,SN,198,135
LYNNWOOD 20,SN,178,98
EDMONDS 40,SN,209,98
SILVANA,SN,103,117
LYNNWOOD 26,SN,187,108
EVERETT  55,SN,46,29
EVERETT  54,SN,138,132
EVERETT  57,SN,170,104
EVERETT  56,SN,133,107
EVERETT  51,SN,139,128
EVERETT  50,SN,159,119
EVERETT  53,SN,166,119
EVERETT  52,SN,159,92
SAMOEA,SN,179,142
STORM LAKE,SN,187,236
EVERETT  59,SN,139,77
EVERETT  58,SN,17,13
EDMONDS 11,SN,231,154
EDMONDS 10,SN,252,142
EVERETT  72,SN,91,53
EDMONDS 12,SN,125,63
MOUNTLAKE TERRACE  8,SN,179,80
MOUNTLAKE TERRACE  9,SN,118,73
EDMONDS 17,SN,197,88
EDMONDS 16,SN,162,86
MOUNTLAKE TERRACE  4,SN,144,65
MOUNTLAKE TERRACE  5,SN,174,93
MOUNTLAKE TERRACE  6,SN,143,73
MOUNTLAKE TERRACE  7,SN,83,77
MOUNTLAKE TERRACE  1,SN,180,73
MOUNTLAKE TERRACE  2,SN,165,84
MOUNTLAKE TERRACE  3,SN,162,88
LYNNWOOD 28,SN,101,80
WELANGDON,SN,4,15
RONCREST,SN,50,77
PANTHER CREEK,SN,170,138
HIGH BRIDGE,SN,219,255
EDMONDS  6,SN,263,175
AVALON,SN,98,50
MINOR,SN,188,130
KETCHUM,SN,130,166
PUGET,SN,176,92
HAT ISLAND,SN,16,20
ANN,SN,172,90
EDMONDS  5,SN,136,77
WOODLAND,SN,87,74
DARRINGTON,SN,152,164
NORTHROAD,SN,229,149
NEWTON,SN,134,98
NEWBERG,SN,122,130
FAIRVIEW,SN,123,128
SLEEPY HOLLOW,SN,134,141
MARYSVILLE 52,SN,180,183
STANBY,SN,33,56
MARYSVILLE 27,SN,163,210
BOEING,SN,106,130
MANOR,SN,173,101
SANDMAN,SN,102,126
WEST FORK,SN,34,70
SKYKOMISH,SN,67,42
LOCHSLOY,SN,149,246
AIRPARK,SN,20,65
WALLACE,SN,98,128
EDMONDS 29,SN,249,103
FIRCREST,SN,119,87
PICNIC POINT,SN,141,101
FIELD,SN,160,127
HARTFORD,SN,82,81
YORK,SN,172,148
MARKS,SN,175,155
BOSWORTH,SN,186,198
GREGORY,SN,116,124
NORTH FORK,SN,75,107
MORNING RISE,SN,170,115
BOTHELL 32,SN,123,94
MEADOWDALE,SN,181,94
PARADISE,SN,152,197
MARYSVILLE 28,SN,82,99
WINGATE,SN,183,143
MARYSVILLE  9,SN,69,66
MARYSVILLE  8,SN,141,115
LAKEWOOD,SN,112,165
MARYSVILLE  1,SN,98,110
MARYSVILLE  3,SN,163,169
MARYSVILLE  2,SN,67,63
MARYSVILLE  5,SN,214,171
MARYSVILLE  4,SN,125,100
MARYSVILLE  7,SN,85,112
MARYSVILLE  6,SN,105,112
EVERETT  11,SN,220,129
LARCH,SN,171,116
EVERETT  13,SN,144,81
EVERETT  12,SN,165,84
EVERETT  15,SN,162,100
EVERETT  14,SN,183,85
EVERETT  17,SN,107,53
EVERETT  16,SN,138,75
EVERETT  19,SN,163,85
SEATTLE HILL,SN,139,123
WHALEBACK,SN,15,8
EDMONDS 51,SN,217,95
EDMONDS 50,SN,139,70
EDMONDS 52,SN,194,82
SULTAN 1,SN,149,165
SULTAN 3,SN,115,146
SULTAN 2,SN,128,159
SULTAN 4,SN,107,119
MERIDIAN,SN,179,158
BROOK,SN,250,133
SILVANA TERRACE,SN,96,123
MARION,SN,118,141
MUKILTEO 13,SN,172,158
HILLMAN,SN,155,112
EASTMONT,SN,159,79
MARYSVILLE 46,SN,187,209
EVERETT  88,SN,172,115
CRYSTAL,SN,178,101
BATTERY,SN,122,98
EVERETT  87,SN,90,93
EVERETT  84,SN,58,28
EVERETT  85,SN,109,102
BEAR CREEK,SN,143,103
EVERETT  83,SN,120,102
EVERETT  80,SN,157,158
EVERETT  81,SN,102,44
SUMMIT,SN,166,103
LAKE HOWARD,SN,163,142
Total,SN,111837,89095
TYEE,SN,150,130
MILLARD,SN,78,104
MEADOWCREST,SN,171,113
TULALIP 2,SN,198,72
OLIVIA,SN,32,11
PUGET PARK,SN,167,103
SPRUCE,SN,95,91
RAILROAD,SN,90,125
HIWAY,SN,23,9
EDMONDS  2,SN,214,146
EDMONDS  3,SN,259,122
OUTLOOK,SN,147,142
EDMONDS  1,SN,184,140
EDGECOMB,SN,121,150
EDMONDS  7,SN,295,129
EDMONDS  4,SN,215,94
FILBERT,SN,205,162
EDMONDS  8,SN,281,172
EDMONDS  9,SN,140,93
WANDERING CREEK,SN,197,148
SNOCADE,SN,239,192
MARYSVILLE 26,SN,184,150
MARYSVILLE 25,SN,87,75
MARYSVILLE 24,SN,135,123
MARYSVILLE 23,SN,226,182
TERRACE,SN,46,24
MARYSVILLE 21,SN,220,235
MARYSVILLE 20,SN,159,128
VALLEY,SN,44,52
LUDWIG,SN,143,141
MARYSVILLE 29,SN,81,80
CRYSTAL CREEK,SN,114,62
GROVE,SN,204,136
JIM CREEK,SN,185,219
GRANNIS,SN,173,121
RIVERVIEW,SN,182,155
EVERETT  64,SN,74,59
ROWLAND,SN,109,105
LANTERN,SN,158,143
STITCH,SN,54,40
WINDROSE,SN,244,149
WENBERG,SN,154,153
SNOHOMISH  2,SN,144,97
SNOHOMISH  3,SN,200,93
SNOHOMISH  1,SN,184,167
SNOHOMISH  6,SN,125,106
SNOHOMISH  7,SN,190,123
SNOHOMISH  4,SN,172,124
SNOHOMISH  5,SN,255,167
LAURA,SN,210,137
SNOHOMISH  8,SN,229,185
SNOHOMISH  9,SN,113,87
HUNT,SN,2,2
SUNNYSIDE,SN,42,62
EVERETT  37,SN,171,102
CATHCART,SN,105,124
PENNANT,SN,199,199
EVERETT  35,SN,166,132
KAYAK,SN,145,148
EVERETT  34,SN,113,81
TRAIL,SN,86,76
WOODSHIRE,SN,122,143
ROB,SN,133,79
MERWIN,SN,111,103
OSO,SN,95,115
OLDMARK,SN,215,195
BOTHELL 40,SN,219,142
BOTHELL 41,SN,209,140
BOTHELL 42,SN,234,154
BOTHELL 43,SN,131,113
BOTHELL 44,SN,145,92
BURN HILL,SN,161,175
BOTHELL 46,SN,153,141
BOTHELL 47,SN,188,146
EMERALD,SN,149,120
GRAND FIRS,SN,230,181
EVERETT  48,SN,124,96
EVERETT  49,SN,200,137
EVERETT  42,SN,111,102
EVERETT  43,SN,77,89
EVERETT  40,SN,70,58
WILLOW,SN,117,120
EVERETT  46,SN,141,80
EVERETT  47,SN,165,96
EVERETT  44,SN,116,77
EVERETT  45,SN,136,88
EBEY,SN,17,20
EVERETT  26,SN,254,155
CYPRESS,SN,169,129
SYLVAN,SN,11,13
EDMONDS 24,SN,163,79
EDMONDS 25,SN,196,91
EDMONDS 26,SN,154,92
EDMONDS 27,SN,179,93
EDMONDS 21,SN,246,189
EDMONDS 22,SN,216,112
EDMONDS 23,SN,213,202
WELCH,SN,171,223
JORDAN,SN,256,191
HIGHLAND,SN,116,134
EDMONDS 28,SN,204,115
FAIRWOOD,SN,84,59
SILVER CREEK,SN,156,67
TRAFTON,SN,96,136
MARYSVILLE 48,SN,136,113
JEFFERSON,SN,123,86
FERNWOOD,SN,166,118
EDMONDS 35,SN,160,117
THRASHERS,SN,166,97
HILLTOP,SN,228,175
TURNER,SN,201,257
HOLIDAY,SN,82,59
CHAPEL,SN,145,86
EDMONDS 48,SN,186,103
KENTISH,SN,125,101
EDMONDS 38,SN,209,143
TOTEM FALLS,SN,232,191
KATTENHORN,SN,259,179
CEDARHOME,SN,138,167
CASCADE,SN,125,76
MARSH,SN,178,198
CENTENNIAL,SN,229,207
TOWER,SN,178,112
MONROE 12,SN,93,97
VILLE,SN,60,74
MONROE 10,SN,140,197
MONROE 11,SN,51,67
GRANITE FALLS 3,SN,63,58
GRANITE FALLS 2,SN,162,178
GRANITE FALLS 1,SN,154,153
LOCUST,SN,162,136
OLYMPUS,SN,141,111
SUNSET,SN,231,171
DOGWOOD,SN,155,99
SOUTH ALDERWOOD,SN,235,142
DALE,SN,171,118
SERENE,SN,161,128
REDHAWK,SN,200,164
JEFF,SN,133,84
ALICIA,SN,191,144
HILLSIDE,SN,58,65
POINTE,SN,35,16
ARMSTRONG,SN,98,147
STRAWBERRY,SN,184,138
NORMA,SN,152,84
DUMAS,SN,146,147
GOLD BAR 2,SN,96,123
GOLD BAR 1,SN,119,136
GLENBAR,SN,146,88
FOREST,SN,188,127
SAUK,SN,57,73
EMANDER,SN,185,106
PILCHUCK,SN,148,129
ARLINGTON 13,SN,168,222
HEIGHTS,SN,130,173
DAMSON,SN,235,132
TAMBARK,SN,168,106
ECHO LAKE,SN,184,202
MADISON,SN,229,166
EVERETT  10,SN,144,70
GATEWAY,SN,179,157
EVERETT  92(*),SN,0,0
LYNNWOOD 18,SN,174,117
LYNNWOOD 19,SN,182,118
MARYSVILLE 14,SN,180,219
LYNNWOOD 12,SN,190,96
LYNNWOOD 13,SN,128,95
LYNNWOOD 10,SN,102,64
LYNNWOOD 11,SN,174,108
LYNNWOOD 16,SN,161,93
LYNNWOOD 17,SN,236,129
LYNNWOOD 14,SN,131,93
LYNNWOOD 15,SN,124,83
