Row Label,County,Jeanne Kohl-Welles,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Sarina Forbes
SEA 36-2510,KI,177,352,12,221,0,0,32
SEA 36-2118,KI,210,383,8,250,0,0,32
SEA 36-2517,KI,290,613,28,382,0,0,64
SEA 36-2514,KI,139,298,12,193,0,0,42
SEA 36-2515,KI,184,361,18,233,0,0,31
SEA 36-2503,KI,153,305,11,196,0,0,32
SEA 36-2527,KI,144,294,8,195,0,0,43
SEA 36-1741,KI,164,325,15,207,0,0,28
SEA 36-3345,KI,196,517,20,260,0,0,44
SEA 36-1324,KI,409,779,34,477,1,1,32
SEA 36-1325,KI,200,465,20,246,0,1,25
SEA 36-1326,KI,356,693,23,436,0,0,57
SEA 36-1730,KI,180,385,14,222,0,0,28
SEA 36-1320,KI,184,362,18,234,0,0,32
SEA 36-1321,KI,221,416,15,258,0,0,22
SEA 36-1322,KI,247,479,15,286,0,1,23
SEA 36-1668,KI,175,443,12,244,0,0,57
SEA 36-2750,KI,159,458,13,198,0,0,26
SEA 36-1739,KI,159,309,12,207,0,2,34
SEA 36-1738,KI,163,295,11,190,0,0,16
SEA 36-1328,KI,318,756,26,390,0,0,46
SEA 36-1329,KI,201,410,23,254,0,0,30
