Row Label,County,Chris Bugbee,Sara B. Derr
PCT 6000,SP,122,143
PCT 6003,SP,197,205
PCT 6002,SP,49,53
PCT 6005,SP,166,176
PCT 6004,SP,99,158
PCT 6007,SP,141,197
PCT 6006,SP,142,222
PCT 3301,SP,237,279
PCT 3100(*),SP,0,0
PCT 3303,SP,131,238
PCT 3302,SP,168,218
PCT 3305,SP,139,169
PCT 3304,SP,178,210
PCT 3307,SP,116,149
PCT 3306,SP,156,222
PCT 3309,SP,158,207
PCT 3308,SP,177,201
PCT 6500,SP,28,57
PCT 6218,SP,152,209
PCT 6219,SP,181,205
PCT 6210,SP,204,281
PCT 6211,SP,128,174
PCT 6212,SP,117,134
PCT 6213,SP,193,267
PCT 6214,SP,189,172
PCT 6215,SP,200,254
PCT 6216,SP,156,225
PCT 6217,SP,194,247
PCT 3110,SP,102,147
PCT 3111,SP,84,156
PCT 3112,SP,9,8
PCT 3113,SP,152,203
PCT 3114,SP,147,202
PCT 3115,SP,144,187
PCT 3116,SP,146,207
PCT 3117,SP,98,145
PCT 3118,SP,92,140
PCT 3119,SP,116,160
PCT 4429,SP,176,283
PCT 4428,SP,118,165
PCT 4425,SP,109,192
PCT 4424,SP,138,233
PCT 4427,SP,194,312
PCT 4426,SP,112,110
PCT 4421,SP,131,173
PCT 4420,SP,83,106
PCT 4423,SP,197,333
PCT 4422,SP,174,251
PCT 7033,SP,107,161
PCT 7032,SP,170,238
PCT 7031,SP,168,195
PCT 7030,SP,179,225
PCT 7036,SP,131,166
PCT 7035,SP,96,145
PCT 7034,SP,88,160
PCT 6602,SP,177,190
PCT 6601,SP,137,184
PCT 6600,SP,136,223
PCT 6030,SP,250,275
PCT 6031,SP,112,177
PCT 6032,SP,108,99
PCT 6033,SP,244,278
PCT 6034,SP,187,221
PCT 6035,SP,106,120
PCT 6036,SP,107,132
PCT 6037,SP,115,98
PCT 4450,SP,89,117
PCT 4451,SP,132,187
PCT 4452,SP,137,173
PCT 4453,SP,184,206
PCT 4454,SP,119,166
PCT 4455,SP,111,205
PCT 3300,SP,172,164
PCT 4029,SP,163,192
PCT 4028,SP,217,272
PCT 4021,SP,211,216
PCT 4020,SP,175,266
PCT 4023,SP,75,83
PCT 4022,SP,144,196
PCT 4025,SP,153,193
PCT 4024,SP,125,149
PCT 4027,SP,151,200
PCT 4026,SP,149,155
PCT 4431,SP,142,199
PCT 4414,SP,199,291
PCT 4415,SP,127,197
PCT 4416,SP,137,257
PCT 4417,SP,96,166
PCT 4410,SP,187,254
PCT 4411,SP,173,252
PCT 4412,SP,144,172
PCT 4413,SP,168,228
PCT 4418,SP,152,243
PCT 4419,SP,170,248
PCT 4201,SP,76,114
PCT 4200,SP,122,181
PCT 9600,SP,30,29
PCT 6100,SP,80,141
PCT 6101,SP,126,203
PCT 6102,SP,151,197
PCT 6103,SP,51,88
PCT 6104,SP,99,151
PCT 6105,SP,105,189
PCT 6106,SP,171,263
PCT 6107,SP,100,140
PCT 6108,SP,104,180
PCT 6109,SP,83,118
PCT 3208,SP,155,209
PCT 3209,SP,183,258
PCT 3200,SP,95,160
PCT 3201,SP,153,259
PCT 3202,SP,94,133
PCT 3203,SP,145,199
PCT 3204,SP,115,149
PCT 3205,SP,126,176
PCT 3206,SP,108,171
PCT 3207,SP,74,107
PCT 6209,SP,147,232
PCT 6208,SP,212,254
PCT 6203,SP,195,257
PCT 6202,SP,136,266
PCT 6201,SP,127,180
PCT 6200,SP,202,281
PCT 6207,SP,193,267
PCT 6206,SP,197,262
PCT 6205,SP,213,232
PCT 6204,SP,277,268
PCT 3103,SP,99,136
PCT 3102,SP,78,125
PCT 3101,SP,107,147
PCT 3107,SP,113,213
PCT 3106,SP,129,166
PCT 3105,SP,98,186
PCT 3104,SP,127,207
PCT 3109,SP,112,171
PCT 3108,SP,101,143
PCT 4010,SP,156,203
PCT 4011,SP,219,324
PCT 4012,SP,252,325
PCT 4013,SP,165,183
PCT 4014,SP,109,169
PCT 4015,SP,132,147
PCT 4016,SP,149,237
PCT 4017,SP,206,282
PCT 4018,SP,116,151
PCT 4019,SP,124,183
PCT 6704,SP,149,188
PCT 6702,SP,93,145
PCT 6703,SP,139,175
PCT 6700,SP,136,200
PCT 6701,SP,150,191
PCT 7008,SP,189,260
PCT 7009,SP,232,309
PCT 7006,SP,157,243
PCT 7007,SP,148,218
PCT 7004,SP,188,204
PCT 7005,SP,268,311
PCT 7002,SP,149,158
PCT 7003,SP,185,240
PCT 7000,SP,245,288
PCT 7001,SP,142,164
PCT 6023,SP,113,101
PCT 6022,SP,188,192
PCT 6021,SP,153,198
PCT 6020,SP,243,324
PCT 6027,SP,143,214
PCT 6026,SP,215,341
PCT 6025,SP,118,177
PCT 6024,SP,110,111
PCT 6029,SP,149,208
PCT 6028,SP,134,167
PCT 4449,SP,94,140
PCT 3328,SP,149,226
PCT 4443,SP,107,117
PCT 4442,SP,119,173
PCT 4441,SP,146,162
PCT 4440,SP,166,245
PCT 4447,SP,65,122
PCT 4446,SP,94,152
PCT 4445,SP,133,214
PCT 4444,SP,190,238
Total,SP,49925,66914
PCT 7301,SP,132,174
PCT 7300,SP,156,175
PCT 7302,SP,106,176
PCT 4407,SP,169,240
PCT 4406,SP,144,239
PCT 4405,SP,188,276
PCT 4404,SP,182,272
PCT 4403,SP,164,280
PCT 4402,SP,144,240
PCT 4401,SP,161,281
PCT 4400,SP,159,221
PCT 4409,SP,255,302
PCT 4408,SP,215,285
PCT 3219,SP,172,179
PCT 3218,SP,207,228
PCT 3213,SP,194,220
PCT 3212,SP,134,148
PCT 3211,SP,161,189
PCT 3210,SP,138,192
PCT 3217,SP,198,265
PCT 3216,SP,216,270
PCT 3215,SP,97,129
PCT 3214,SP,168,204
PCT 4300,SP,129,156
PCT 4301,SP,98,96
PCT 4302,SP,161,212
PCT 4303,SP,180,205
PCT 4304,SP,109,154
PCT 4305,SP,104,132
PCT 4306,SP,179,192
PCT 4307,SP,37,39
PCT 9500,SP,55,75
PCT 4003,SP,265,290
PCT 4002,SP,172,210
PCT 4001,SP,107,178
PCT 4007,SP,125,165
PCT 4006,SP,207,274
PCT 4005,SP,141,190
PCT 4004,SP,196,245
PCT 4009,SP,175,202
PCT 4008,SP,121,163
PCT 6302,SP,121,138
PCT 6303,SP,245,304
PCT 6300,SP,268,350
PCT 6301,SP,260,308
PCT 6306,SP,166,186
PCT 6307,SP,86,100
PCT 6304,SP,222,289
PCT 6305,SP,117,121
PCT 6308,SP,86,139
PCT 6309,SP,165,220
PCT 7011,SP,98,132
PCT 7010,SP,155,167
PCT 7013,SP,163,186
PCT 7012,SP,151,221
PCT 7015,SP,152,198
PCT 7014,SP,148,189
PCT 7017,SP,183,185
PCT 7016,SP,217,286
PCT 7019,SP,139,240
PCT 7018,SP,186,272
PCT 9300,SP,29,38
PCT 6401,SP,70,95
PCT 6400,SP,142,165
PCT 6402,SP,157,190
PCT 6016,SP,117,129
PCT 6017,SP,245,311
PCT 6014,SP,82,115
PCT 6015,SP,95,121
PCT 6012,SP,119,118
PCT 6013,SP,123,163
PCT 6010,SP,20,37
PCT 6011,SP,148,179
PCT 6018,SP,241,270
PCT 6019,SP,227,280
PCT 3318,SP,158,198
PCT 3319,SP,139,176
PCT 3316,SP,188,260
PCT 3317,SP,229,292
PCT 3314,SP,102,223
PCT 3315,SP,156,245
PCT 3312,SP,187,268
PCT 3313,SP,214,287
PCT 3310,SP,144,250
PCT 3311,SP,111,136
PCT 9008,SP,27,33
PCT 9004,SP,180,176
PCT 9005,SP,60,64
PCT 9006,SP,166,217
PCT 9007,SP,50,63
PCT 9000,SP,190,208
PCT 9001,SP,133,161
PCT 9002,SP,131,125
PCT 9003,SP,95,93
