Row Label,County,Jim McDermott,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Craig Keller
SEA 46-1953,KI,146,236,8,175,0,2,19
SEA 46-1954,KI,157,282,7,203,0,4,35
SEA 46-1955,KI,238,558,21,289,0,1,29
SEA 36-1308,KI,170,298,4,193,0,0,19
SEA 36-1309,KI,275,556,16,328,0,1,36
SEA 36-1306,KI,211,381,14,240,0,3,12
SEA 36-1307,KI,147,276,6,174,0,1,20
SEA 36-1304,KI,208,333,4,234,0,0,22
SEA 36-1305,KI,182,301,10,206,0,1,13
SEA 36-1303,KI,233,411,7,269,0,2,27
SEA 36-1300,KI,183,383,11,214,0,0,20
SEA 36-1301,KI,192,319,4,218,0,0,22
SEA 36-1715,KI,147,355,9,172,0,0,16
SEA 36-1714,KI,267,526,13,321,0,3,38
SEA 36-1717,KI,110,251,3,134,0,0,21
SEA 36-1716,KI,150,357,6,177,0,0,21
SEA 36-1711,KI,302,760,24,379,0,2,51
SEA 36-1710,KI,126,351,8,157,0,0,23
SEA 36-1713,KI,143,362,12,176,0,1,20
SEA 36-1712,KI,207,463,9,269,0,1,52
SEA 36-2147,KI,293,489,15,338,0,1,29
SEA 36-1719,KI,241,510,15,299,0,0,43
SEA 36-1718,KI,125,318,4,155,0,4,22
BERNICE,KI,185,601,8,240,0,0,47
LFP 46-2439,KI,145,311,5,200,0,0,50
SEA 46-1404,KI,180,441,11,217,0,0,26
SEA 34-3263,KI,133,415,9,194,0,1,51
SEA 34-3265,KI,124,353,10,168,0,0,34
SEA 34-3264,KI,137,340,8,180,0,2,33
SEA 34-3266,KI,90,311,5,117,0,0,22
BUR 34-1104,KI,111,325,10,186,0,0,65
SEA 11-1928,KI,123,298,4,145,0,1,17
SEA 43-2850,KI,164,359,6,182,0,0,12
SEA 46-2280,KI,322,645,26,396,1,1,46
SEA 46-2283,KI,186,348,6,214,0,0,22
SEA 36-2146,KI,160,338,16,199,0,1,22
SEA 46-2326,KI,206,574,16,271,0,2,47
SEA 46-2327,KI,150,381,9,190,0,1,30
SEA 46-2324,KI,201,432,6,237,0,0,30
SEA 46-2325,KI,157,405,11,242,0,0,74
SEA 46-2289,KI,172,338,18,203,0,1,12
SEA 46-2323,KI,246,554,21,310,0,1,42
LFP 46-1186,KI,182,436,15,250,0,3,50
LFP 46-0517,KI,209,445,20,273,0,1,43
SHL 32-0335,KI,147,414,6,195,0,0,42
SEA 43-1826,KI,321,567,12,354,0,1,20
SEA 46-2338,KI,198,543,12,260,0,0,50
SEA 43-1368,KI,153,292,15,184,0,1,15
SEA 34-1461,KI,187,399,12,268,0,0,69
SEA 36-1273,KI,170,279,12,201,0,0,19
SEA 34-1508,KI,124,295,9,182,0,1,48
SEA 34-1509,KI,141,281,8,177,0,0,28
SEA 34-1465,KI,194,372,11,251,0,0,46
SEA 34-1464,KI,192,359,14,245,0,2,37
SEA 34-1467,KI,276,551,10,339,0,1,52
SEA 34-1466,KI,139,303,6,179,0,0,34
SEA 34-1502,KI,171,342,15,223,0,0,37
SEA 34-1468,KI,187,448,12,256,0,2,55
SEA 34-1500,KI,269,584,16,328,0,4,39
SEA 34-1501,KI,194,369,9,248,0,0,45
SEA 34-1506,KI,128,299,13,183,0,0,42
SEA 34-1507,KI,176,357,10,230,0,0,44
SEA 34-1504,KI,219,418,12,267,0,3,33
SEA 46-2291,KI,167,387,11,204,0,1,25
SEA 43-1821,KI,104,233,8,144,0,2,30
SEA 43-2016,KI,182,333,8,197,0,1,6
SEA 46-2296,KI,182,391,14,237,0,2,39
SEA 43-2015,KI,131,333,5,195,0,2,57
SEA 46-2297,KI,140,283,7,169,0,1,21
SEA 34-1489,KI,271,744,16,338,0,0,51
SEA 34-1488,KI,231,692,15,284,0,0,38
LFP 46-1237,KI,192,419,19,275,0,0,64
REGAL,KI,233,788,16,321,0,1,71
SEA 34-1482,KI,151,321,8,180,0,0,21
BUR 34-1032,KI,178,511,14,263,0,1,70
SEA 34-1480,KI,281,594,18,339,0,0,40
SEA 34-1487,KI,166,335,14,205,0,0,25
SEA 34-1486,KI,161,364,13,201,0,0,27
SEA 34-1485,KI,239,708,27,307,0,0,41
SEA 34-1484,KI,144,345,11,180,0,2,23
SEA 36-3153,KI,162,390,8,187,0,0,17
SEA 46-2358,KI,387,846,26,494,0,4,77
SEA 46-2302,KI,207,408,22,265,0,2,34
SEA 36-3252,KI,155,477,12,211,0,1,43
SEA 36-1703,KI,263,530,14,340,0,1,62
SEA 37-1916,KI,226,357,13,261,0,1,21
BUR 34-0913,KI,160,599,12,225,0,0,53
SEA 37-1910,KI,290,513,18,329,0,1,20
SEA 37-1911,KI,127,284,14,191,0,2,48
SEA 46-2355,KI,151,354,12,224,0,7,54
SEA 37-1913,KI,209,338,10,239,0,0,20
SEA 43-1849,KI,153,323,1,161,0,0,7
SEA 43-1845,KI,248,575,9,277,1,2,17
SEA 43-1847,KI,203,484,11,227,0,1,12
SEA 43-1846,KI,143,345,8,158,0,0,7
SEA 43-1843,KI,223,551,11,251,0,0,17
SEA 43-1842,KI,242,521,21,282,0,0,19
BUR 34-0033,KI,201,682,18,309,0,1,89
SEA 46-2309,KI,146,300,13,184,0,2,23
SEA 46-2142,KI,291,674,6,357,0,1,59
SEA 43-1262,KI,252,468,19,308,0,2,35
SEA 36-2795,KI,173,479,14,209,0,1,21
SEA 43-1265,KI,120,256,7,148,0,0,21
SUNNYWOOD,KI,194,629,10,287,0,0,83
SEA 43-1264,KI,209,361,13,248,0,3,23
SEA 36-1732,KI,213,449,21,278,0,1,43
SEA 43-1267,KI,218,386,17,264,0,0,29
SEA 34-3637,KI,213,567,13,309,0,0,83
SHL 32-0319,KI,93,284,6,141,0,1,41
SEA 43-1266,KI,169,351,14,213,0,0,30
SHL 32-0861,KI,251,696,11,331,0,0,69
SHL 32-0454,KI,124,300,10,173,0,1,38
SHL 32-2552,KI,184,444,10,247,0,2,51
SEALTH,KI,186,378,12,229,0,1,30
SHL 32-0866,KI,153,432,8,215,0,0,54
SEA 46-2145,KI,233,497,9,297,0,2,53
SEA 36-1731,KI,190,404,8,230,0,0,32
BUR 33-0562,KI,139,403,11,194,0,0,44
SHL 32-1021,KI,218,550,16,309,0,2,73
SHL 32-0462,KI,143,421,7,207,0,0,57
EVERGREEN,KI,199,716,14,261,0,1,47
SEA 36-1750,KI,256,493,11,296,0,0,29
SEA 36-1752,KI,200,437,13,244,0,0,31
SEA 36-1755,KI,130,272,9,158,0,2,17
SEA 36-1754,KI,189,387,21,252,0,3,39
SEA 36-1757,KI,134,262,5,166,0,0,27
SEA 36-1756,KI,306,682,12,393,0,0,75
SEA 36-1759,KI,135,274,8,169,0,2,24
SEA 36-1758,KI,188,351,22,246,0,0,36
SEA 43-2043,KI,173,292,7,193,0,0,13
SEA 43-2044,KI,165,350,10,186,0,0,11
SEA 43-2045,KI,163,315,9,189,0,0,17
SEA 43-2047,KI,340,662,27,403,0,4,32
SHL 32-0917,KI,182,537,16,252,0,0,54
SHL 32-0914,KI,190,495,20,289,0,0,79
SEA 36-1737,KI,141,416,16,193,0,0,36
SEA 34-1533,KI,120,229,6,159,0,1,32
SEA 34-1532,KI,105,237,2,138,0,0,31
SEA 43-1263,KI,198,350,6,230,0,1,25
SEA 34-1530,KI,276,619,8,367,0,0,83
SEA 34-1537,KI,131,289,8,156,0,0,17
SEA 34-1536,KI,162,304,6,191,0,0,23
SEA 34-1535,KI,108,239,6,146,0,0,32
SEA 34-1534,KI,160,362,17,238,0,2,59
SEA 43-1269,KI,200,357,7,234,0,2,25
SEA 43-1268,KI,215,352,11,254,0,1,27
SEA 34-1539,KI,156,356,9,198,0,1,32
SEA 34-1538,KI,154,378,13,202,0,1,34
SYLVAN,KI,247,744,14,336,0,2,73
SEA 43-2048,KI,171,376,10,214,0,3,30
SEA 43-2084,KI,388,668,17,445,0,2,38
SHL 32-1020,KI,105,341,8,178,0,0,65
SEA 36-2505,KI,166,324,12,228,0,3,47
SEA 36-2504,KI,182,303,6,213,0,0,25
SEA 36-2507,KI,143,283,6,180,0,2,29
SEA 36-2506,KI,176,311,8,202,0,0,18
SEA 36-2503,KI,158,305,6,196,0,0,32
SEA 36-2502,KI,247,378,15,284,0,0,22
SEA 36-2134,KI,216,490,18,266,0,0,32
SEA 46-3677,KI,131,320,13,181,0,2,35
SHL 32-0470,KI,169,413,15,258,0,1,73
SEA 36-2130,KI,215,388,8,243,0,0,20
SEA 36-2131,KI,362,851,19,453,0,3,69
SEA 36-2133,KI,282,698,18,348,0,1,47
SEA 34-1546,KI,181,385,15,257,0,1,60
SEA 43-1787,KI,228,564,17,277,0,3,29
SEA 43-1784,KI,252,500,14,308,0,1,41
SEA 34-1545,KI,164,422,7,224,0,0,53
SEA 34-1543,KI,134,327,15,218,0,0,69
SEA 34-1540,KI,132,333,11,176,0,0,33
SEA 34-1541,KI,164,380,12,235,0,1,58
SEA 46-1312,KI,144,326,8,181,0,1,28
SEA 46-1313,KI,146,280,10,168,0,0,12
SEA 46-1310,KI,195,397,10,229,0,0,24
SEA 46-1311,KI,161,427,16,198,0,1,20
SEA 43-1788,KI,486,807,22,580,0,1,71
SEA 36-1808,KI,139,275,3,156,0,1,13
SEA 36-1805,KI,185,473,18,239,0,0,36
SEA 36-1806,KI,225,598,16,281,0,1,39
SEA 36-1801,KI,309,896,19,391,0,3,60
SHL 32-0001,KI,133,439,9,175,0,0,33
SEA 36-1803,KI,129,298,13,178,0,3,33
SEA 36-3586,KI,351,801,22,407,0,3,31
SEA 36-3587,KI,214,590,17,273,0,0,42
COLVOS,KI,118,250,9,153,0,0,26
SEA 36-3669,KI,123,349,9,157,0,4,21
SEA 46-2257,KI,427,799,23,509,0,1,58
SEA 43-2083,KI,190,422,15,215,0,2,8
SEA 46-2252,KI,147,261,10,172,0,0,15
LFP 46-1075,KI,137,366,17,217,0,0,63
SEA 46-2251,KI,285,555,13,352,0,1,53
SEA 32-2206,KI,212,412,14,266,0,1,39
SEA 46-2316,KI,187,411,10,239,0,0,42
SEA 32-2204,KI,177,339,9,230,0,1,43
SEA 46-2314,KI,183,337,6,217,0,0,28
SEA 32-2202,KI,198,436,6,250,0,2,44
SEA 32-2203,KI,335,758,19,422,0,3,65
SEA 32-2200,KI,203,385,11,263,0,1,48
SEA 32-2201,KI,249,463,12,315,0,0,54
MAURY,KI,199,413,9,292,0,2,82
SEA 46-2619,KI,207,539,21,279,0,1,50
SEA 32-2208,KI,173,350,12,224,0,0,39
SEA 32-2209,KI,283,599,18,402,0,1,100
SEA 36-2592,KI,179,352,10,205,0,1,15
SEA 36-2593,KI,141,289,6,174,1,0,26
SEA 34-1438,KI,156,328,9,209,0,1,43
SEA 34-1439,KI,142,369,12,220,0,1,65
SEA 34-1432,KI,167,331,17,218,0,1,33
SEA 34-1433,KI,158,319,13,208,0,0,37
SEA 34-1430,KI,157,322,7,190,0,0,26
SEA 34-1431,KI,155,308,7,203,0,0,41
SEA 34-1436,KI,122,362,9,156,0,0,25
SEA 34-1437,KI,200,498,19,254,0,1,34
SEA 34-1434,KI,120,271,13,183,0,2,48
SEA 34-1435,KI,130,299,8,178,0,1,39
BUR 34-0377,KI,204,607,11,293,0,0,78
SEA 36-2509,KI,217,403,11,260,0,2,30
SEA 36-2508,KI,218,427,11,293,0,5,59
SHL 32-0897,KI,176,446,12,233,0,0,45
SEA 46-2352,KI,141,338,11,181,0,1,28
SEA 46-2228,KI,186,486,15,234,0,2,31
SEA 46-2221,KI,242,513,15,298,0,0,41
SEA 43-1280,KI,272,669,26,337,0,1,38
SEA 46-2796,KI,172,456,13,229,0,1,43
SEA 36-3267,KI,173,548,16,219,0,0,30
LFP 46-0003,KI,178,477,7,273,0,1,87
SEA 36-2116,KI,173,299,8,202,0,3,18
SEA 46-2351,KI,175,314,8,200,2,0,15
SEA 43-1783,KI,202,455,15,243,0,1,25
SEA 43-1780,KI,161,350,10,208,0,1,36
SHL 32-1197,KI,138,352,10,191,0,0,43
SHL 32-0423,KI,156,389,7,224,0,0,61
SHL 32-1210,KI,224,535,7,284,0,1,52
SEA 43-1781,KI,145,326,5,164,0,0,14
SEA 46-2292,KI,237,505,15,288,0,1,35
SEA 36-1386,KI,150,315,11,213,0,0,52
SEA 36-1387,KI,214,462,12,289,0,1,62
SEA 36-1384,KI,186,309,9,228,0,2,31
SEA 36-1385,KI,138,243,9,175,0,1,27
SEA 36-1382,KI,191,374,10,233,0,0,32
SEA 36-2117,KI,195,336,9,223,0,1,18
SEA 36-1388,KI,200,337,10,220,0,0,10
SEA 36-1389,KI,134,259,5,163,0,1,23
SEA 43-2004,KI,175,356,11,206,0,2,18
SEA 43-2006,KI,132,298,7,169,0,0,30
SEA 43-2007,KI,132,256,8,164,0,0,24
SEA 43-2000,KI,252,550,18,294,0,0,24
SEA 43-2001,KI,357,648,22,433,0,2,52
SEA 43-2002,KI,351,587,14,391,0,1,25
SEA 46-2293,KI,235,441,18,292,0,3,36
SEA 46-1957,KI,201,553,20,354,0,6,127
BUR 33-0289,KI,122,412,6,188,0,1,59
SEA 43-2009,KI,282,487,16,329,0,1,30
SEA 46-1314,KI,167,330,13,210,0,1,29
SEA 46-1959,KI,334,703,37,491,0,5,115
SEA 36-3566,KI,234,579,14,307,0,0,59
SEA 34-3682,KI,159,386,16,192,0,0,17
SEA 46-2357,KI,241,472,21,309,0,1,46
SEA 43-1347,KI,376,726,16,435,0,2,41
SEA 43-1344,KI,257,452,18,292,0,1,16
SEA 43-1345,KI,220,424,22,274,0,0,32
SEA 43-1342,KI,205,366,12,237,0,2,18
BUR 34-1219,KI,180,530,17,345,0,1,147
SEA 43-1341,KI,292,499,15,351,0,3,41
NPK 33-0849,KI,144,380,15,254,0,0,95
SEA 43-1348,KI,288,555,10,317,0,1,18
SEA 43-1349,KI,205,359,5,231,0,2,19
SEA 46-1284,KI,115,278,9,140,0,0,16
SEA 46-1285,KI,144,303,9,182,0,0,29
SEA 43-1975,KI,42,439,6,63,0,0,15
SEA 46-1282,KI,316,656,21,399,0,3,59
SEA 43-1976,KI,65,242,18,94,0,0,11
SHL 32-1106,KI,217,585,17,299,0,0,65
SEA 43-3320,KI,187,515,14,241,0,2,38
SHL 32-1101,KI,105,301,10,157,0,0,42
SEA 36-1661,KI,130,277,10,193,0,0,53
SEA 43-2014,KI,221,352,7,260,0,5,27
BUR 33-0805,KI,188,591,13,270,0,1,68
SEA 36-1662,KI,159,450,26,291,0,1,105
SEA 36-1665,KI,238,515,21,356,0,2,95
SEA 36-1664,KI,137,326,10,218,0,1,70
SEA 46-1963,KI,123,278,10,152,0,0,19
SEA 36-1666,KI,247,572,18,360,0,3,92
SEA 36-1702,KI,283,606,18,372,0,2,69
SEA 36-1668,KI,173,443,12,244,0,0,59
SEA 36-1700,KI,160,383,12,208,0,0,36
DOLPHIN,KI,142,275,3,183,0,2,36
SEA 46-1969,KI,118,278,12,169,0,2,37
SEA 46-1968,KI,141,297,3,177,0,0,33
SEA 36-1704,KI,201,640,16,251,0,1,33
SHL 32-0357,KI,171,501,7,264,0,1,85
SEA 46-2094,KI,159,283,4,178,0,1,14
SEA 46-2095,KI,157,279,11,187,0,1,18
SEA 36-3319,KI,285,867,25,365,0,1,54
SEA 36-3318,KI,372,680,16,428,0,0,40
SEA 46-2090,KI,212,494,18,262,0,0,32
SEA 46-2091,KI,205,451,20,265,0,1,39
BUR 34-0295,KI,181,479,12,269,0,0,76
SEA 46-2093,KI,285,462,10,317,0,1,21
SHL 32-0921,KI,111,260,10,176,0,0,55
BUR 34-0298,KI,220,668,16,322,0,0,86
SEA 36-3317,KI,304,595,33,383,0,0,46
SEA 46-2099,KI,235,437,18,293,0,1,39
SEA 43-2853,KI,183,440,11,206,0,1,11
SEA 43-2852,KI,201,501,13,226,0,0,12
SEA 36-1689,KI,226,484,18,313,0,0,69
SEA 36-1688,KI,116,273,7,179,0,1,55
SEA 43-2113,KI,122,393,7,140,0,2,9
SEA 36-1683,KI,145,305,10,205,0,3,47
SEA 36-1682,KI,127,309,13,190,0,2,48
SEA 34-1409,KI,200,422,10,270,0,0,60
SEA 34-1408,KI,299,708,29,481,0,2,151
SEA 36-1687,KI,233,644,23,309,0,5,48
SEA 36-1686,KI,276,768,17,352,0,2,57
SEA 36-1685,KI,176,418,10,220,0,0,34
BUR 34-1136,KI,89,218,2,137,0,0,46
SEA 43-1333,KI,199,340,11,229,0,1,18
SEA 43-1332,KI,226,385,15,267,0,1,25
SEA 43-1331,KI,207,366,3,224,0,1,13
SEA 43-1330,KI,210,404,8,238,0,3,17
SHL 32-0538,KI,160,425,7,219,0,1,51
SEA 43-1335,KI,329,637,11,377,0,2,35
SEA 43-1334,KI,224,446,10,262,0,1,27
SEA 36-1768,KI,165,331,10,201,0,1,25
SEA 43-1339,KI,161,298,7,187,1,0,18
SEA 43-1271,KI,213,473,14,260,0,1,32
SHL 32-0530,KI,96,282,6,179,0,0,77
LISABEULA,KI,252,467,7,309,0,1,49
SHL 32-1178,KI,128,393,7,186,0,0,51
SHL 32-1077,KI,164,471,12,225,0,1,48
SEA 36-2172,KI,170,319,13,214,0,1,30
SEA 43-2115,KI,102,527,16,134,0,0,16
SEA 34-1476,KI,134,273,7,170,0,1,28
SEA 34-1477,KI,141,307,10,200,1,2,46
SEA 34-1474,KI,192,402,13,227,0,0,22
SEA 34-1475,KI,140,311,9,176,0,1,26
SEA 34-1472,KI,142,239,9,171,0,0,20
SEA 34-1473,KI,156,319,3,180,0,2,19
SEA 34-1470,KI,280,677,23,352,0,1,48
SEA 34-1471,KI,248,492,16,305,0,0,41
SEA 43-3424,KI,198,407,8,219,0,0,13
SEA 36-2149,KI,214,367,14,261,0,2,31
SEA 36-2148,KI,196,359,12,229,1,0,20
SEA 34-1478,KI,112,253,11,163,0,2,38
SEA 34-1479,KI,159,313,10,200,0,0,31
SEA 43-2050,KI,188,442,10,222,0,1,23
SHL 32-1236,KI,116,268,9,148,0,0,23
SHL 32-0832,KI,156,343,5,225,0,0,64
SEA 46-1978,KI,208,501,20,328,0,3,97
SHL 32-0277,KI,90,241,5,132,0,0,37
SEA 37-3617,KI,191,553,9,235,0,4,31
SEA 46-2295,KI,258,481,16,310,0,2,34
SEA 36-1761,KI,145,309,13,193,0,0,35
SEA 34-1498,KI,256,668,18,330,0,1,55
SEA 34-1499,KI,236,483,11,289,0,2,40
SEA 36-1762,KI,159,306,11,207,0,0,37
SEA 34-1490,KI,198,437,8,235,0,1,28
SEA 34-1493,KI,261,722,19,320,0,0,40
SEA 34-1494,KI,213,536,11,265,0,2,39
SEA 34-1496,KI,322,826,25,389,0,2,40
SEA 34-1497,KI,243,728,21,336,0,1,71
SEA 46-2267,KI,178,518,13,241,0,1,49
SEA 46-2266,KI,148,494,30,288,0,1,109
SEA 46-2264,KI,424,768,17,487,0,3,43
SEA 46-2263,KI,324,599,20,396,0,2,50
SEA 46-2261,KI,143,256,4,175,0,0,28
SEA 46-2260,KI,430,722,23,511,0,0,58
SEA 46-2340,KI,294,680,29,381,0,0,58
SEA 43-3570,KI,352,1056,22,429,0,5,50
SEA 46-2342,KI,151,406,10,187,0,0,26
SEA 46-2343,KI,159,341,13,194,0,0,22
SEA 46-2344,KI,264,760,10,329,0,4,51
SEA 46-2345,KI,144,294,5,196,0,1,46
SEA 46-2269,KI,156,305,10,197,0,0,31
SEA 46-2253,KI,257,521,16,322,0,4,45
SEA 43-1999,KI,226,439,16,270,0,1,27
SEA 43-1851,KI,375,694,17,413,0,0,21
SEA 43-1856,KI,301,579,5,322,0,1,15
SEA 43-1857,KI,225,528,14,251,0,3,9
SEA 43-1855,KI,307,619,17,337,0,1,12
SEA 43-1993,KI,128,238,7,147,0,0,12
SEA 43-1992,KI,165,652,29,410,0,1,215
SEA 43-1858,KI,190,335,2,203,0,4,7
SEA 43-1859,KI,260,553,9,286,0,0,17
SEA 43-1997,KI,148,295,13,194,0,0,33
SEA 43-1996,KI,145,298,12,193,0,3,33
SEA 43-1995,KI,143,244,5,163,0,0,15
SEA 43-1994,KI,170,295,10,197,0,0,17
SEA 46-1967,KI,272,497,12,320,0,2,34
SEA 46-2317,KI,220,433,11,269,0,1,37
BUR 34-0025,KI,229,734,14,352,0,1,108
BUR 34-0381,KI,153,486,11,243,0,1,78
SHL 32-0241,KI,206,612,16,291,0,0,69
SEA 43-3685,KI,135,258,8,158,0,0,15
SEA 46-2346,KI,157,364,8,193,0,1,27
SEA 43-2052,KI,123,445,3,143,0,2,15
SEA 46-2127,KI,216,494,14,278,0,1,47
SEA 43-1991,KI,335,839,33,487,0,3,116
VASHON,KI,176,390,8,215,0,0,31
SEA 46-2285,KI,189,286,4,211,0,2,16
SEA 43-1990,KI,186,458,15,260,0,0,59
SEA 43-2064,KI,120,370,10,148,0,0,18
MARIAN,KI,236,776,13,323,0,1,73
SEA 46-2310,KI,238,386,3,277,0,0,36
SEA 46-2298,KI,173,321,13,205,0,0,19
SEA 46-2286,KI,226,437,15,279,0,1,37
SEA 36-3689,KI,130,398,17,166,0,1,18
SEA 43-1378,KI,198,308,10,219,0,0,11
SEA 46-2305,KI,189,364,14,253,0,0,50
SEA 36-3686,KI,178,501,15,254,0,1,60
SHL 32-0692,KI,216,554,11,299,0,5,67
SEA 46-2328,KI,107,299,12,147,0,0,28
SEA 43-2040,KI,199,476,7,214,0,1,7
SHL 32-0537,KI,137,337,11,212,0,0,64
SHL 32-1140,KI,106,240,5,130,0,0,19
SEA 46-2282,KI,356,653,22,429,0,2,49
BUR 34-0560,KI,158,474,13,223,0,0,52
SHL 32-0527,KI,185,626,16,274,0,4,69
SEA 46-2319,KI,235,506,12,323,0,0,76
SHL 32-0494,KI,194,468,11,252,0,0,47
SEA 46-2098,KI,234,436,15,285,0,0,36
SHL 32-0499,KI,146,462,6,288,0,0,136
SEA 46-2318,KI,163,277,8,188,0,2,15
SEA 36-1746,KI,168,313,3,203,0,1,31
SEA 36-1747,KI,157,296,13,195,0,1,24
SEA 36-1744,KI,199,393,8,228,0,0,21
SEA 36-1742,KI,145,296,9,185,0,0,31
SEA 36-1743,KI,162,391,14,206,0,0,30
SEA 36-1740,KI,165,323,13,208,0,0,30
SEA 36-1741,KI,168,325,11,207,0,0,28
SEA 43-2075,KI,122,458,15,163,0,1,25
SEA 43-2074,KI,266,564,25,316,0,2,23
SEA 43-2076,KI,115,403,7,137,0,1,14
SEA 43-2071,KI,234,371,11,260,0,1,14
LFP 46-0397,KI,146,397,8,204,0,0,50
SEA 36-1698,KI,120,278,10,167,0,0,37
BUR 33-0251,KI,103,386,8,174,0,0,63
SEA 46-2274,KI,145,256,6,167,0,1,15
SEA 43-1376,KI,268,541,11,312,0,2,31
SEA 46-2320,KI,158,350,5,222,0,0,59
SHL 32-3363,KI,120,373,8,164,0,3,33
SEA 46-2349,KI,167,382,15,220,0,0,38
SEA 43-2110,KI,163,452,14,186,0,0,9
SHL 32-0844,KI,194,431,7,276,0,0,75
SEA 34-1520,KI,143,314,6,190,0,1,40
SEA 34-1521,KI,124,266,14,181,0,0,43
SEA 34-1522,KI,126,261,6,171,0,1,38
SEA 34-1523,KI,134,296,9,193,0,0,50
SEA 34-1524,KI,162,291,5,199,0,1,31
SEA 34-1526,KI,125,248,8,156,0,1,22
SEA 34-1527,KI,270,684,12,351,0,0,69
SEA 43-1377,KI,183,330,9,207,0,0,15
SEA 34-1529,KI,105,266,8,132,0,0,19
SEA 43-1375,KI,185,327,9,222,0,4,24
SEA 43-1374,KI,187,295,5,205,0,0,13
SEA 32-3568,KI,303,849,22,383,0,0,58
SEA 43-1372,KI,203,335,14,224,0,0,7
SEA 43-1278,KI,273,588,11,308,0,3,21
SEA 43-1279,KI,355,684,23,406,1,1,26
SEA 43-2862,KI,283,736,18,360,0,0,59
LFP 46-0400,KI,219,519,7,315,0,0,89
SEA 43-1887,KI,324,648,15,365,0,0,26
SEA 36-2512,KI,279,505,12,331,0,0,40
SEA 36-2513,KI,248,434,13,301,0,2,38
SEA 36-2510,KI,183,352,10,221,0,0,28
SEA 36-2511,KI,228,430,18,311,0,1,64
SEA 36-2517,KI,293,613,21,382,0,2,66
SEA 36-2514,KI,143,298,9,193,0,1,40
SEA 36-2515,KI,188,361,10,233,0,0,35
WHITE CENTER,KI,214,788,11,297,0,2,70
LFP 46-0653,KI,211,412,5,285,0,0,69
SHL 32-0407,KI,238,661,12,386,0,1,135
SEA 36-1324,KI,418,779,25,477,0,4,30
SEA 36-1325,KI,208,465,11,246,0,1,26
SEA 36-1326,KI,353,693,26,436,0,1,56
SEA 36-1730,KI,175,385,16,222,0,3,28
SEA 36-1320,KI,194,362,11,234,0,0,29
SEA 36-1321,KI,226,416,8,258,0,0,24
SEA 36-1322,KI,255,479,11,286,0,2,18
SEA 36-1323,KI,216,401,11,243,0,0,16
SEA 46-2128,KI,201,542,15,247,0,1,30
SEA 36-1739,KI,158,309,13,207,0,4,32
SEA 36-1738,KI,164,295,8,190,0,0,18
SEA 36-1328,KI,319,756,24,390,0,0,47
SEA 36-1329,KI,203,410,18,254,0,0,33
SEA 43-3665,KI,144,379,8,184,0,0,32
