Row Label,County,Claire R. Sussman
29-625,PI,5
29-622,PI,232
29-623,PI,70
29-620,PI,172
29-621,PI,0
02-159,PI,195
02-158,PI,264
02-151,PI,109
02-150,PI,284
02-153,PI,264
02-152,PI,335
02-155,PI,329
02-154,PI,256
02-157,PI,388
02-156,PI,394
27-408,PI,398
27-409,PI,381
27-401,PI,193
27-404,PI,126
27-405,PI,385
27-406,PI,472
27-407,PI,375
28-520,PI,423
28-521,PI,425
28-522,PI,437
28-523,PI,426
28-524,PI,463
28-525,PI,485
28-526,PI,304
28-527,PI,510
28-528,PI,423
28-529,PI,330
31-818,PI,78
31-819,PI,126
31-813,PI,137
31-810,PI,157
31-816,PI,245
31-817,PI,310
31-814,PI,39
31-815,PI,211
26-351,PI,360
26-350,PI,374
26-352,PI,360
31-926,PI,7
31-927,PI,224
31-924,PI,164
31-925,PI,73
25-248,PI,424
25-249,PI,373
31-920,PI,205
31-921,PI,214
25-244,PI,434
25-245,PI,2
25-246,PI,32
25-247,PI,332
25-240,PI,152
25-241,PI,202
25-242,PI,407
25-243,PI,297
02-110,PI,199
29-668,PI,244
29-669,PI,314
29-662,PI,0
29-663,PI,287
29-660,PI,371
29-661,PI,261
29-667,PI,322
29-664,PI,302
28-565,PI,317
28-566,PI,332
28-567,PI,344
28-560,PI,436
28-561,PI,252
28-562,PI,220
28-563,PI,120
28-568,PI,351
02-148,PI,340
02-120,PI,277
02-121,PI,345
02-122,PI,358
02-123,PI,355
02-124,PI,281
02-125,PI,264
02-126,PI,343
02-127,PI,201
02-128,PI,362
02-129,PI,210
02-142,PI,233
26-315,PI,424
26-317,PI,395
26-316,PI,450
26-319,PI,333
26-318,PI,331
27-448,PI,11
27-449,PI,336
27-444,PI,297
27-445,PI,287
27-446,PI,295
27-447,PI,317
27-440,PI,343
27-441,PI,292
27-442,PI,231
27-443,PI,245
31-845,PI,236
31-844,PI,172
31-847,PI,134
31-846,PI,110
31-841,PI,137
31-840,PI,125
31-843,PI,179
31-842,PI,228
31-849,PI,97
31-848,PI,40
25-217,PI,414
25-216,PI,251
25-215,PI,355
25-213,PI,429
25-212,PI,393
25-211,PI,356
25-210,PI,489
25-219,PI,385
25-218,PI,385
29-671,PI,273
29-670,PI,332
29-675,PI,325
29-677,PI,309
29-676,PI,301
29-635,PI,80
31-883,PI,335
29-637,PI,278
29-636,PI,367
29-633,PI,26
29-639,PI,287
29-638,PI,152
31-882,PI,245
28-538,PI,357
28-537,PI,423
28-536,PI,395
28-535,PI,425
28-531,PI,379
28-530,PI,190
30-713,PI,4
31-809,PI,263
31-808,PI,246
31-801,PI,183
31-803,PI,288
31-802,PI,257
31-805,PI,281
31-804,PI,261
31-807,PI,3
31-806,PI,317
25-293,PI,344
27-417,PI,399
27-416,PI,383
27-415,PI,416
27-414,PI,393
27-413,PI,373
27-412,PI,360
27-411,PI,435
27-410,PI,394
31-898,PI,287
31-899,PI,161
27-419,PI,359
27-418,PI,353
25-292,PI,374
25-259,PI,353
25-258,PI,375
25-253,PI,231
25-252,PI,335
25-251,PI,306
25-250,PI,151
25-257,PI,308
25-256,PI,331
25-255,PI,226
25-254,PI,217
Total,PI,134029
29-679,PI,261
29-678,PI,250
25-228,PI,377
25-226,PI,261
25-227,PI,202
29-673,PI,337
29-672,PI,194
25-222,PI,283
29-674,PI,106
25-220,PI,2
25-221,PI,361
30-708,PI,224
28-573,PI,226
28-572,PI,341
28-571,PI,5
28-570,PI,5
28-577,PI,12
28-576,PI,334
28-575,PI,2
28-574,PI,79
28-579,PI,62
28-578,PI,72
02-139,PI,308
02-138,PI,415
02-137,PI,164
02-136,PI,56
02-135,PI,358
02-134,PI,380
02-133,PI,95
02-131,PI,394
02-130,PI,187
27-428,PI,321
27-429,PI,344
27-426,PI,340
27-427,PI,326
27-424,PI,347
27-425,PI,320
27-422,PI,480
27-423,PI,393
27-420,PI,426
27-421,PI,311
26-328,PI,307
26-329,PI,389
26-324,PI,407
26-325,PI,348
26-326,PI,426
26-327,PI,403
26-320,PI,375
26-321,PI,468
26-322,PI,443
26-323,PI,406
28-506,PI,429
28-507,PI,347
28-504,PI,392
28-505,PI,415
28-502,PI,425
28-503,PI,436
28-501,PI,401
28-508,PI,193
28-509,PI,0
27-459,PI,205
27-458,PI,212
27-453,PI,238
27-452,PI,310
27-451,PI,263
27-450,PI,373
27-457,PI,307
27-456,PI,252
27-455,PI,283
27-454,PI,326
31-873,PI,61
31-874,PI,0
31-875,PI,322
31-876,PI,22
31-877,PI,126
31-879,PI,70
25-283,PI,209
25-262,PI,333
25-263,PI,284
25-260,PI,369
25-261,PI,274
25-266,PI,370
25-267,PI,175
25-264,PI,398
25-265,PI,383
25-268,PI,197
25-269,PI,233
29-600,PI,0
29-601,PI,254
29-602,PI,215
29-603,PI,298
29-604,PI,289
29-605,PI,228
29-606,PI,311
29-607,PI,367
29-608,PI,249
29-609,PI,210
31-881,PI,161
28-548,PI,328
28-549,PI,365
31-880,PI,109
28-542,PI,365
28-543,PI,336
28-540,PI,501
28-541,PI,372
28-546,PI,370
28-547,PI,499
28-545,PI,405
02-106,PI,362
30-709,PI,248
02-105,PI,120
02-101,PI,113
31-885,PI,110
30-701,PI,12
30-707,PI,156
30-706,PI,241
30-705,PI,169
31-884,PI,290
31-834,PI,217
31-835,PI,422
31-836,PI,251
31-837,PI,228
31-830,PI,114
31-887,PI,215
31-833,PI,267
31-886,PI,247
31-838,PI,202
31-839,PI,22
27-462,PI,373
27-463,PI,285
27-460,PI,327
27-461,PI,392
27-466,PI,315
27-467,PI,302
27-464,PI,310
27-465,PI,275
31-888,PI,231
27-468,PI,288
