Row Label,County,Patti Connolly Walker
PCT 4010,SP,294
PCT 4011,SP,383
PCT 4012,SP,445
PCT 4013,SP,272
PCT 4014,SP,212
PCT 4015,SP,206
PCT 4016,SP,322
PCT 4017,SP,391
PCT 4018,SP,220
PCT 4019,SP,246
PCT 6704,SP,293
PCT 6702,SP,210
PCT 6703,SP,262
PCT 6700,SP,293
PCT 6701,SP,280
PCT 7008,SP,339
PCT 7009,SP,428
PCT 7006,SP,338
PCT 7007,SP,296
PCT 7004,SP,325
PCT 7005,SP,449
PCT 7002,SP,241
PCT 7003,SP,370
PCT 7000,SP,407
PCT 7001,SP,232
PCT 6023,SP,169
PCT 6022,SP,302
PCT 6021,SP,293
PCT 6020,SP,456
PCT 6027,SP,285
PCT 6026,SP,449
PCT 6025,SP,234
PCT 6024,SP,150
PCT 6029,SP,281
PCT 6028,SP,242
PCT 4449,SP,184
PCT 3328,SP,288
PCT 4443,SP,184
PCT 4442,SP,230
PCT 4441,SP,252
PCT 4440,SP,338
PCT 4447,SP,150
PCT 4446,SP,202
PCT 4445,SP,285
PCT 4444,SP,341
Total,SP,93042
PCT 7301,SP,231
PCT 7300,SP,266
PCT 7302,SP,219
PCT 4407,SP,323
PCT 4406,SP,318
PCT 4405,SP,386
PCT 4404,SP,365
PCT 4403,SP,385
PCT 4402,SP,327
PCT 4401,SP,334
PCT 4400,SP,312
PCT 4409,SP,437
PCT 4408,SP,385
PCT 3219,SP,270
PCT 3218,SP,316
PCT 3213,SP,316
PCT 3212,SP,194
PCT 3211,SP,239
PCT 3210,SP,239
PCT 3217,SP,376
PCT 3216,SP,333
PCT 3215,SP,162
PCT 3214,SP,261
PCT 4300,SP,234
PCT 4301,SP,157
PCT 4302,SP,317
PCT 4303,SP,293
PCT 4304,SP,217
PCT 4305,SP,205
PCT 4306,SP,282
PCT 4307,SP,70
PCT 9500,SP,102
PCT 4003,SP,440
PCT 4002,SP,283
PCT 4001,SP,247
PCT 4007,SP,221
PCT 4006,SP,401
PCT 4005,SP,242
PCT 4004,SP,315
PCT 4009,SP,274
PCT 4008,SP,215
PCT 6302,SP,232
PCT 6303,SP,441
PCT 6300,SP,479
PCT 6301,SP,433
PCT 6306,SP,270
PCT 6307,SP,150
PCT 6304,SP,374
PCT 6305,SP,196
PCT 6308,SP,187
PCT 6309,SP,317
PCT 3000,SP,4
PCT 7011,SP,193
PCT 7010,SP,230
PCT 7013,SP,275
PCT 7012,SP,256
PCT 7015,SP,272
PCT 7014,SP,259
PCT 7017,SP,300
PCT 7016,SP,418
PCT 7019,SP,289
PCT 7018,SP,370
PCT 9300,SP,52
PCT 6401,SP,148
PCT 6400,SP,253
PCT 6402,SP,313
PCT 6016,SP,194
PCT 6017,SP,422
PCT 6014,SP,150
PCT 6015,SP,165
PCT 6012,SP,194
PCT 6013,SP,218
PCT 6010,SP,41
PCT 6011,SP,264
PCT 6018,SP,364
PCT 6019,SP,407
PCT 3318,SP,280
PCT 3319,SP,244
PCT 3316,SP,332
PCT 3317,SP,397
PCT 3314,SP,266
PCT 3315,SP,344
PCT 3312,SP,372
PCT 3313,SP,399
PCT 3310,SP,294
PCT 3311,SP,199
PCT 9008,SP,39
PCT 9004,SP,277
PCT 9005,SP,99
PCT 9006,SP,295
PCT 9007,SP,79
PCT 9000,SP,329
PCT 9001,SP,227
PCT 9002,SP,202
PCT 9003,SP,146
