Row Label,County,Vicky M. Dalton,Alene Lindstrand
PCT 4421,SP,237,146
PCT 4420,SP,133,86
PCT 4423,SP,398,273
PCT 4422,SP,296,198
PCT 7033,SP,191,147
PCT 7032,SP,295,216
PCT 7031,SP,250,210
PCT 7030,SP,280,267
PCT 7036,SP,226,151
PCT 7035,SP,144,179
PCT 7034,SP,187,120
PCT 6602,SP,267,196
PCT 6601,SP,197,188
PCT 6600,SP,281,164
PCT 6030,SP,337,355
PCT 6031,SP,208,166
PCT 6032,SP,139,165
PCT 6033,SP,385,351
PCT 6034,SP,271,275
PCT 6035,SP,178,135
PCT 6036,SP,166,133
PCT 6037,SP,118,158
PCT 4450,SP,149,93
PCT 4451,SP,209,163
PCT 4452,SP,192,190
PCT 4453,SP,245,247
PCT 4454,SP,233,119
PCT 4455,SP,223,171
PCT 4029,SP,276,207
PCT 4028,SP,392,270
PCT 4021,SP,263,248
PCT 4020,SP,290,262
PCT 4023,SP,99,86
PCT 4022,SP,239,212
PCT 4025,SP,190,274
PCT 4024,SP,194,172
PCT 4027,SP,204,235
PCT 4026,SP,176,239
PCT 4431,SP,227,184
PCT 4414,SP,322,245
PCT 4415,SP,240,175
PCT 4416,SP,283,190
PCT 4417,SP,199,108
PCT 4410,SP,329,242
PCT 4411,SP,282,240
PCT 4412,SP,217,166
PCT 4413,SP,291,186
PCT 4418,SP,268,218
PCT 4419,SP,297,220
PCT 4201,SP,141,78
PCT 4200,SP,237,142
PCT 9600,SP,36,37
PCT 6100,SP,181,107
PCT 6101,SP,242,159
PCT 6102,SP,250,161
PCT 6103,SP,118,54
PCT 6104,SP,223,99
PCT 6105,SP,241,141
PCT 6106,SP,345,204
PCT 6107,SP,203,107
PCT 6108,SP,232,116
PCT 6109,SP,169,88
PCT 3208,SP,301,131
PCT 3209,SP,311,203
PCT 3200,SP,279,79
PCT 3201,SP,378,121
PCT 3202,SP,195,71
PCT 3203,SP,313,101
PCT 3204,SP,270,70
PCT 3205,SP,291,101
PCT 3206,SP,262,83
PCT 3207,SP,159,72
PCT 6209,SP,359,121
PCT 6208,SP,442,183
PCT 6203,SP,519,123
PCT 6202,SP,345,182
PCT 6201,SP,264,172
PCT 6200,SP,438,171
PCT 6207,SP,393,242
PCT 6206,SP,485,168
PCT 6205,SP,480,149
PCT 6204,SP,579,151
PCT 3103,SP,184,96
PCT 3102,SP,156,77
PCT 3101,SP,216,102
PCT 3100,SP,230,123
PCT 3107,SP,252,133
PCT 3106,SP,231,119
PCT 3105,SP,233,98
PCT 3104,SP,249,148
PCT 3109,SP,219,121
PCT 3108,SP,188,91
PCT 4010,SP,215,240
PCT 4011,SP,307,369
PCT 4012,SP,352,416
PCT 4013,SP,205,244
PCT 4014,SP,192,132
PCT 4015,SP,210,161
PCT 4016,SP,277,244
PCT 4017,SP,317,288
PCT 4018,SP,191,149
PCT 4019,SP,208,161
PCT 6704,SP,276,162
PCT 6702,SP,198,119
PCT 6703,SP,296,115
PCT 6700,SP,263,161
PCT 6701,SP,286,136
PCT 7008,SP,299,307
PCT 7009,SP,353,348
PCT 7006,SP,274,273
PCT 7007,SP,217,255
PCT 7004,SP,235,282
PCT 7005,SP,364,384
PCT 7002,SP,184,192
PCT 7003,SP,256,278
PCT 7000,SP,328,384
PCT 7001,SP,196,208
PCT 6023,SP,134,148
PCT 6022,SP,324,185
PCT 6021,SP,270,181
PCT 6020,SP,503,228
PCT 6027,SP,278,194
PCT 6026,SP,365,336
PCT 6025,SP,195,183
PCT 6024,SP,177,129
PCT 6029,SP,249,221
PCT 6028,SP,218,171
PCT 4449,SP,197,105
PCT 3328,SP,337,108
PCT 4443,SP,141,139
PCT 4442,SP,192,157
PCT 4441,SP,203,165
PCT 4440,SP,293,232
PCT 4447,SP,138,95
PCT 4446,SP,175,109
PCT 4445,SP,241,199
PCT 4444,SP,292,242
Total,SP,87776,61431
PCT 7301,SP,181,171
PCT 7300,SP,202,214
PCT 7302,SP,182,156
PCT 4407,SP,299,205
PCT 4406,SP,293,168
PCT 4405,SP,310,233
PCT 4404,SP,274,255
PCT 4403,SP,321,203
PCT 4402,SP,265,188
PCT 4401,SP,311,235
PCT 4400,SP,286,186
PCT 4409,SP,385,319
PCT 4408,SP,319,336
PCT 3219,SP,320,141
PCT 3218,SP,429,165
PCT 3213,SP,412,125
PCT 3212,SP,311,73
PCT 3211,SP,354,91
PCT 3210,SP,338,97
PCT 3217,SP,384,213
PCT 3216,SP,431,198
PCT 3215,SP,238,81
PCT 3214,SP,341,134
PCT 4300,SP,204,202
PCT 4301,SP,94,161
PCT 4302,SP,270,217
PCT 4303,SP,228,260
PCT 4304,SP,199,137
PCT 4305,SP,166,166
PCT 4306,SP,236,274
PCT 4307,SP,54,52
PCT 9500,SP,84,75
PCT 4003,SP,315,395
PCT 4002,SP,238,262
PCT 4001,SP,173,190
PCT 4007,SP,181,185
PCT 4006,SP,326,306
PCT 4005,SP,219,229
PCT 4004,SP,250,306
PCT 4009,SP,241,240
PCT 4008,SP,163,202
PCT 6302,SP,210,148
PCT 6303,SP,437,289
PCT 6300,SP,464,314
PCT 6301,SP,448,295
PCT 6306,SP,241,235
PCT 6307,SP,130,139
PCT 6304,SP,410,251
PCT 6305,SP,169,162
PCT 6308,SP,186,115
PCT 6309,SP,338,175
PCT 3000,SP,3,4
PCT 7011,SP,139,180
PCT 7010,SP,200,216
PCT 7013,SP,180,296
PCT 7012,SP,235,258
PCT 7015,SP,233,248
PCT 7014,SP,256,218
PCT 7017,SP,243,280
PCT 7016,SP,344,311
PCT 7019,SP,235,235
PCT 7018,SP,313,282
PCT 9300,SP,55,38
PCT 6401,SP,122,84
PCT 6400,SP,207,148
PCT 6402,SP,235,184
PCT 6016,SP,162,154
PCT 6017,SP,434,373
PCT 6014,SP,144,125
PCT 6015,SP,158,130
PCT 6012,SP,142,151
PCT 6013,SP,204,154
PCT 6010,SP,30,35
PCT 6011,SP,185,211
PCT 6018,SP,418,248
PCT 6019,SP,449,230
PCT 3318,SP,283,148
PCT 3319,SP,269,133
PCT 3316,SP,415,153
PCT 3317,SP,441,217
PCT 3314,SP,253,145
PCT 3315,SP,340,181
PCT 3312,SP,367,211
PCT 3313,SP,388,228
PCT 3310,SP,292,186
PCT 3311,SP,185,120
PCT 9008,SP,34,52
PCT 9004,SP,172,286
PCT 9005,SP,58,122
PCT 9006,SP,219,311
PCT 9007,SP,55,85
PCT 9000,SP,239,270
PCT 9001,SP,224,180
PCT 9002,SP,153,210
PCT 9003,SP,101,152
