Row Label,County,Gary L. Simpson
POINT NO POINT 416,KP,537
VINLAND 412,KP,412
LINCOLN 440,KP,287
BREMERTON 032,KP,52
OVERLOOK 267,KP,319
BREMERTON 030,KP,287
BREMERTON 031,KP,171
BREMERTON 037,KP,431
APPLE TREE 422,KP,396
ERLANDS POINT 130,KP,262
RIDGEPOINT 141,KP,248
PERRY 073,KP,218
CRYSTAL SPRINGS 312,KP,520
CRESCENT VALLEY 266,KP,327
SHERMAN HEIGHTS 278,KP,10
SPINNAKER 146,KP,250
SINCLAIR 275,KP,179
PORT ORCHARD 215,KP,0
BLUE HERON 301,KP,590
SYMINGTON 151,KP,180
PORT ORCHARD 210,KP,235
FRONTIER 102,KP,385
RIDGEWAY 084,KP,85
WING POINT 305,KP,298
PEARSON 445,KP,459
BREMERTON 114,KP,0
SEABOLD 335,KP,449
TIBARDIS 139,KP,160
BREMERTON 007,KP,6
BREMERTON 006,KP,219
BREMERTON 005,KP,231
SUQUAMISH 460,KP,288
BREMERTON 003,KP,314
BREMERTON 002,KP,129
BREMERTON 001,KP,194
BUCKLIN 121,KP,374
MADRONA 269,KP,281
DRIVE-IN 283,KP,8
MILLER BAY 458,KP,424
CONVERSE 252,KP,303
LONG LAKE 245,KP,223
BREMERTON 088,KP,52
BREMERTON 159,KP,189
SUTTON 165,KP,237
OLYMPIC VIEW 103,KP,268
Total,KP,58759
