Row Label,County,Jessyn Farrell,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Branden Curtis
KMR 46-0686,KI,200,478,24,283,0,0,59
SEA 46-2267,KI,174,518,24,241,0,0,43
SEA 46-2298,KI,165,321,21,205,0,0,19
SEA 46-2299,KI,194,393,17,229,0,0,18
SEA 46-2349,KI,163,382,19,220,0,1,37
SEA 46-2292,KI,240,505,18,288,0,0,30
SEA 46-2293,KI,237,441,28,292,0,0,27
SEA 46-2290,KI,149,289,21,195,0,0,25
SEA 46-2291,KI,160,387,19,204,0,1,24
SEA 46-2296,KI,174,391,23,237,0,1,39
SEA 46-2297,KI,132,283,15,169,0,1,21
SEA 46-2295,KI,243,481,32,310,0,2,33
SEA 46-1978,KI,214,501,34,328,0,1,79
SEA 46-2228,KI,175,486,27,234,0,1,31
LFP 46-1237,KI,201,419,24,275,0,0,50
SEA 46-2142,KI,283,674,23,357,0,1,50
KMR 46-0036,KI,248,649,26,383,0,0,109
SEA 46-1970,KI,124,250,10,161,0,0,27
SEA 46-1971,KI,132,325,15,200,0,0,53
SEA 46-1977,KI,147,321,16,217,0,0,54
SEA 46-1974,KI,203,415,34,269,0,0,32
SEA 46-2145,KI,222,497,27,297,0,0,48
SEA 46-2359,KI,163,341,15,203,0,0,25
SEA 46-2358,KI,377,846,40,494,0,2,75
SEA 46-2353,KI,159,488,11,199,0,1,28
SEA 46-2352,KI,139,338,13,181,0,0,29
SEA 46-2351,KI,174,314,14,200,1,0,11
SEA 46-2303,KI,217,422,27,284,0,0,40
SEA 46-2357,KI,241,472,33,309,0,1,34
SEA 46-2355,KI,162,354,18,224,0,0,44
KMR 46-0535,KI,169,610,40,324,0,0,115
LFP 46-0309,KI,266,582,33,386,0,0,87
SEA 46-2100,KI,205,370,18,246,0,0,23
LFP 46-0734,KI,256,575,23,349,0,0,70
SEA 46-2378,KI,165,322,19,212,0,0,28
KMR 46-1095,KI,230,785,40,421,0,1,150
SEA 46-2346,KI,152,364,13,193,0,0,28
LFP 46-0650,KI,167,354,16,221,0,0,38
SEA 46-2619,KI,204,539,28,279,0,1,46
SEA 46-2268,KI,161,330,15,205,0,0,29
KMR 46-2444,KI,156,418,19,237,0,0,62
SEA 46-2266,KI,159,494,45,288,0,1,83
SEA 46-2348,KI,124,274,16,161,0,0,21
SEA 46-2264,KI,407,768,40,487,0,0,40
SEA 46-2263,KI,322,599,35,396,0,1,38
SEA 46-2261,KI,138,256,10,175,0,0,27
SEA 46-2260,KI,416,722,38,511,0,1,56
SEA 46-2340,KI,286,680,36,381,0,0,59
SEA 46-2341,KI,254,569,34,349,0,2,59
SEA 46-2342,KI,145,406,15,187,0,0,27
SEA 46-2343,KI,156,341,18,194,0,0,20
SEA 46-2344,KI,265,760,18,329,0,1,45
SEA 46-2345,KI,144,294,15,196,0,0,37
SEA 46-2269,KI,152,305,21,197,0,0,24
SEA 46-2253,KI,255,521,27,322,0,1,39
SEA 46-2500,KI,161,360,19,209,0,2,27
SEA 46-2364,KI,133,355,21,185,0,0,31
SEA 46-1980,KI,155,381,29,257,0,0,73
SEA 46-2307,KI,185,313,15,215,0,0,15
SEA 46-2128,KI,189,542,27,247,0,0,31
KMR 46-0340,KI,171,443,24,306,1,0,110
KMR 46-1147,KI,238,764,30,368,0,0,100
SEA 46-2274,KI,137,256,19,167,0,0,11
SEA 46-2249,KI,127,250,11,170,0,1,31
SEA 46-2276,KI,200,382,26,250,0,0,24
SEA 46-2277,KI,300,568,27,368,0,1,40
SEA 46-2270,KI,178,290,11,202,0,0,13
SEA 46-2271,KI,259,476,31,319,0,1,28
SEA 46-2272,KI,183,367,26,247,0,0,38
SEA 46-2375,KI,170,312,20,210,0,0,20
SEA 46-2377,KI,313,574,28,391,0,1,49
SEA 46-2371,KI,286,656,31,371,0,0,54
SEA 46-2370,KI,101,428,10,137,0,0,26
SEA 46-2373,KI,257,683,32,331,0,0,42
LFP 46-1089,KI,223,554,30,321,0,0,68
KMR 46-3594,KI,84,322,7,155,0,0,64
KMR 46-3592,KI,123,396,10,190,0,1,56
SEA 46-2350,KI,164,407,13,217,0,2,38
SEA 46-2283,KI,170,348,24,214,0,0,20
LFP 46-0092,KI,239,646,25,341,0,0,77
KMR 46-1171,KI,189,588,20,281,0,0,72
SEA 46-2322,KI,229,532,23,281,0,1,28
KMR 46-2754,KI,109,344,31,211,0,0,71
SEA 46-2240,KI,231,431,33,290,0,1,25
SEA 46-2243,KI,260,514,47,359,0,3,49
KMR 46-2462,KI,107,258,16,164,0,0,41
SEA 46-2244,KI,147,268,21,191,0,0,23
SEA 46-2247,KI,334,630,40,421,0,1,46
SEA 46-2363,KI,165,380,23,213,0,0,25
SEA 46-2360,KI,163,469,15,202,0,1,23
SEA 46-2361,KI,144,359,24,206,0,0,38
SEA 46-2366,KI,183,451,26,241,0,1,31
SEA 46-2367,KI,166,449,16,229,0,0,47
SEA 46-2056,KI,186,330,16,228,0,0,26
SEA 46-2057,KI,213,443,38,310,0,1,58
SEA 46-2245,KI,249,409,31,322,0,0,42
SEA 46-2143,KI,121,285,19,163,0,0,23
SEA 46-2369,KI,189,419,29,262,0,0,44
LFP 46-0397,KI,146,397,17,204,0,0,41
SEA 46-2320,KI,151,350,14,222,0,0,57
SEA 46-1312,KI,137,326,19,181,0,0,25
SEA 46-1313,KI,150,280,11,168,0,0,7
SEA 46-1310,KI,186,397,21,229,0,0,22
SEA 46-1311,KI,153,427,23,198,0,0,22
SEA 46-1314,KI,164,330,21,210,0,0,25
SEA 46-1400,KI,177,425,19,221,0,0,25
SEA 46-1401,KI,235,686,36,311,0,0,40
SEA 46-1404,KI,178,441,15,217,0,0,24
LFP 46-0400,KI,211,519,28,315,0,0,76
KMR 46-2765,KI,230,715,39,363,0,1,93
KMR 46-2764,KI,119,269,7,155,0,0,29
KMR 46-0677,KI,177,552,28,274,0,0,69
SEA 46-2257,KI,411,799,50,509,0,1,47
SEA 46-2252,KI,145,261,14,172,0,0,13
LFP 46-1075,KI,138,366,19,217,0,0,60
SEA 46-2251,KI,278,555,29,352,0,0,45
SEA 46-2317,KI,220,433,21,269,0,2,26
SEA 46-2316,KI,179,411,25,239,0,0,35
SEA 46-2314,KI,179,337,11,217,0,1,26
SEA 46-2313,KI,180,538,24,248,0,2,42
SEA 46-2153,KI,178,492,19,231,0,1,33
SEA 46-2311,KI,212,451,15,256,0,0,29
SEA 46-2310,KI,233,386,15,277,0,0,29
KMR 46-3148,KI,189,671,27,320,0,1,103
SEA 46-2152,KI,138,378,21,192,0,2,31
KMR 46-0572,KI,241,629,27,356,0,0,88
KMR 46-0573,KI,252,726,28,361,0,0,81
SEA 46-2319,KI,238,506,28,323,0,0,57
SEA 46-2318,KI,166,277,8,188,0,2,12
LFP 46-2763,KI,134,276,14,186,0,0,38
KMR 46-0473,KI,167,438,17,253,0,1,68
SEA 46-2285,KI,187,286,8,211,0,0,16
LFP 46-0655,KI,332,679,29,426,0,0,65
LFP 46-0654,KI,227,471,22,307,0,0,58
LFP 46-0653,KI,209,412,18,285,0,0,58
LFP 46-0652,KI,114,230,12,156,0,0,30
LFP 46-1143,KI,196,436,28,299,0,0,75
