Row Label,County,Roger Goodman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Joel Hussey
WOD 45-3530,KI,219,692,13,364,0,0,132
RED 45-3547,KI,230,711,25,388,0,0,133
KIR 45-0630,KI,169,518,11,259,0,2,77
KIR 45-0631,KI,187,585,19,308,0,0,102
KIR 45-1019,KI,198,767,15,364,0,0,151
ELSOM,KI,177,586,16,353,0,0,160
FOX,KI,114,434,7,247,0,0,126
RED 45-3315,KI,279,705,22,503,0,0,202
SAM 45-2693,KI,232,796,32,414,0,1,149
KIR 45-3668,KI,124,428,9,206,0,0,73
KIR 45-2760,KI,204,618,18,386,0,0,164
KIR 45-2761,KI,178,601,21,342,0,0,143
KIR 45-2917,KI,138,603,21,254,0,1,94
KIR 45-2916,KI,97,321,6,175,0,0,72
KIR 45-2912,KI,98,419,8,165,0,0,59
KIR 45-2911,KI,93,309,11,139,0,0,35
KIR 45-2910,KI,150,421,7,248,0,0,91
CAMAS,KI,239,719,23,442,0,0,180
WOD 45-2680,KI,220,627,17,384,0,0,147
DUV 45-0389,KI,232,817,23,414,0,0,159
CLEVELAND,KI,95,344,12,212,0,0,105
HAPPY VALLEY,KI,44,141,6,82,0,0,32
SALAL,KI,100,359,12,225,0,0,113
KIR 45-3198,KI,108,492,15,182,0,1,58
KIR 45-3199,KI,147,416,16,241,0,0,78
ADAIR,KI,362,928,21,756,0,0,373
GROUSEMONT,KI,193,593,15,396,0,0,188
RED 45-2410,KI,313,822,33,533,0,1,186
ALDERWOOD,KI,149,440,11,284,0,0,124
RED 45-2643,KI,147,433,16,254,0,0,91
HOLLYWOOD,KI,178,538,22,359,0,0,159
RED 45-2492,KI,118,356,13,214,0,1,82
KIR 45-3612,KI,70,211,2,116,0,0,44
WOD 45-0926,KI,205,859,24,370,0,0,141
WELCOME LAKE,KI,249,735,22,578,0,0,307
BROOKSIDE,KI,169,548,11,345,1,1,163
BRONSON,KI,266,785,25,499,0,0,208
MOUNT CLARE,KI,189,571,19,348,0,1,139
RING HILL,KI,241,757,27,488,0,0,220
RED 45-2659,KI,41,154,6,89,0,0,42
KIR 45-2560,KI,167,705,14,308,0,0,127
KIR 45-3109,KI,146,469,13,230,0,0,71
WOD 45-3193,KI,97,462,17,209,0,0,95
KIR 45-3450,KI,73,251,11,125,0,0,41
KIR 45-0442,KI,154,557,7,286,0,0,125
KIR 45-0610,KI,150,552,14,322,0,2,156
KIR 45-0616,KI,183,557,19,297,0,0,95
KIR 45-0618,KI,166,454,19,315,0,2,128
KIR 45-0619,KI,108,296,9,190,0,0,73
SWAN LAKE,KI,206,684,15,378,0,0,157
WOD 45-2734,KI,154,583,17,328,0,1,156
KIR 45-2931,KI,120,409,7,191,0,1,63
KIR 45-2933,KI,97,350,14,167,0,1,55
KIR 45-2932,KI,143,472,19,266,0,0,104
KIR 45-2423,KI,226,726,21,453,0,0,206
KIR 45-2934,KI,108,368,14,196,0,0,74
KIR 45-2421,KI,143,515,12,274,0,0,119
SAM 45-2791,KI,226,637,31,411,0,0,154
SAM 45-3454,KI,41,233,11,116,0,0,64
MILLIKIN,KI,229,650,26,422,0,1,166
SAM 45-3386,KI,136,784,32,398,0,1,229
SAM 45-3387,KI,129,402,11,244,0,0,104
TWINBERRY,KI,278,656,23,547,0,0,246
WINTERGREEN,KI,73,279,9,161,0,0,79
SHEFFIELD,KI,143,447,11,288,0,0,134
KIR 45-0925,KI,101,312,6,167,0,0,60
KIR 45-3200,KI,123,455,14,209,0,0,72
SPRINKLE,KI,37,107,0,66,0,0,29
RED 45-2580,KI,143,384,15,262,0,0,104
CORWIN,KI,267,817,26,498,0,1,204
SAM 45-2965,KI,150,586,27,324,0,0,147
KIR 45-2924,KI,190,718,16,322,0,1,115
KIR 45-2471,KI,247,720,15,453,0,1,190
RIDGE,KI,218,669,18,393,0,1,156
AVONDALE,KI,88,293,10,169,0,0,71
KIR 45-2730,KI,184,686,20,298,0,0,94
STILLWATER,KI,138,523,15,292,0,1,138
WEEKS,KI,171,713,29,390,0,0,190
ASPEN GLEN,KI,98,396,9,232,0,2,123
MINK ROAD,KI,124,424,15,260,0,2,119
BROOKTRAILS,KI,183,564,27,347,0,1,136
RED 45-3281,KI,190,633,17,312,1,2,102
SAM 45-2564,KI,240,749,24,418,0,0,154
BOT 45-3620,KI,23,149,4,63,0,0,36
LAKE LEOTA,KI,167,562,17,313,0,0,129
QUAIL,KI,45,235,10,131,0,1,75
SALISH,KI,222,674,16,418,0,0,180
HOLIDAY LAKE,KI,71,299,4,193,0,0,118
UNION HILL,KI,183,628,27,374,0,1,163
RED 45-0936,KI,154,476,11,275,0,0,110
SAM 45-3505,KI,178,573,26,329,0,0,125
WOD 45-1225,KI,137,478,14,279,0,0,128
RED 45-3584,KI,141,449,17,259,0,2,99
EASTRIDGE,KI,248,818,29,474,0,0,197
WOD 45-2597,KI,217,647,18,350,0,1,114
WOD 45-3270,KI,155,612,13,298,0,0,130
KIR 45-2722,KI,164,626,21,296,0,0,111
CHERRY VALLEY,KI,121,514,14,304,0,0,169
CHURCHILL,KI,148,425,13,262,0,1,100
MICHAEL,KI,186,582,14,353,0,0,153
WOD 45-1205,KI,169,507,5,340,0,0,166
REINTREE,KI,189,565,19,353,0,1,144
ALDER SPRINGS,KI,150,550,20,349,0,0,179
BEAR CREEK,KI,142,452,12,275,0,1,120
SAM 45-3388,KI,190,698,26,389,0,0,173
WOD 45-0676,KI,164,502,16,304,0,1,123
SAM 45-3389,KI,242,762,19,460,0,1,198
RED 45-3282,KI,230,707,18,425,0,0,177
SAM 45-0536,KI,219,758,32,444,0,0,193
RED 45-2638,KI,140,442,17,235,0,1,77
