Row Label,County,Damon Shadid,Fred Bonner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-1306,KI,151,22,381,67,240,0,0
SEA 36-1307,KI,112,22,276,40,174,0,0
SEA 36-1304,KI,139,29,333,65,234,0,1
SEA 36-1305,KI,134,14,301,58,206,0,0
SEA 37-1631,KI,71,51,301,64,187,0,1
SEA 36-1303,KI,162,24,411,82,269,0,1
SEA 36-1300,KI,116,27,383,71,214,0,0
SEA 36-1301,KI,127,28,319,63,218,0,0
SEA 36-1715,KI,105,18,355,47,172,0,2
SEA 36-1714,KI,184,44,526,92,321,0,1
SEA 36-1717,KI,77,19,251,38,134,0,0
SEA 36-1716,KI,97,18,357,62,177,0,0
SEA 36-1711,KI,181,74,760,123,379,0,1
SEA 36-1710,KI,85,25,351,47,157,0,0
SEA 36-1713,KI,85,31,362,60,176,0,0
SEA 36-1712,KI,147,43,463,79,269,0,0
SEA 36-2147,KI,200,37,489,99,338,0,2
SEA 36-1719,KI,159,42,510,98,299,0,0
SEA 36-1718,KI,87,19,318,47,155,0,2
SEA 37-1834,KI,110,33,386,44,188,0,1
SEA 46-1404,KI,117,23,441,74,217,0,3
SEA 46-2371,KI,182,82,656,106,371,0,1
SEA 34-3263,KI,96,37,415,61,194,0,0
SEA 34-3265,KI,86,38,353,44,168,0,0
SEA 34-3264,KI,94,47,340,38,180,0,1
SEA 34-3266,KI,57,35,311,25,117,0,0
SEA 46-2285,KI,134,24,286,53,211,0,0
SEA 11-1928,KI,85,22,298,38,145,0,0
SEA 43-2850,KI,117,13,359,52,182,0,0
SEA 37-1938,KI,155,30,394,62,247,0,0
SEA 46-2283,KI,120,27,348,66,214,0,1
SEA 36-1398,KI,156,38,503,71,265,0,0
SEA 46-2326,KI,130,56,574,85,271,0,0
SEA 46-2327,KI,85,34,381,71,190,0,0
SEA 46-2324,KI,117,47,432,73,237,0,0
SEA 43-2047,KI,257,37,662,107,403,0,2
SEA 46-2289,KI,99,21,338,82,203,0,1
SEA 46-2323,KI,168,42,554,99,310,0,1
SEA 46-2320,KI,106,44,350,71,222,0,1
SEA 46-2321,KI,131,27,333,67,225,0,0
SEA 37-3694,KI,28,9,92,7,44,0,0
SEA 43-1368,KI,111,11,292,62,184,0,0
SEA 34-1461,KI,146,43,399,77,268,0,2
SEA 36-1273,KI,113,23,279,65,201,0,0
SEA 34-1508,KI,87,27,295,68,182,0,0
SEA 34-1509,KI,77,31,281,69,177,0,0
SEA 34-1465,KI,144,38,372,69,251,0,0
SEA 34-1464,KI,121,41,359,83,245,0,0
SEA 34-1467,KI,184,37,551,118,339,0,0
SEA 34-1466,KI,99,26,303,54,179,0,0
SEA 34-1502,KI,136,23,342,62,223,0,2
SEA 34-1468,KI,131,45,448,80,256,0,0
SEA 34-1500,KI,165,43,584,120,328,0,0
SEA 34-1501,KI,148,33,369,66,248,0,1
SEA 34-1506,KI,94,37,299,52,183,0,0
SEA 34-1507,KI,109,40,357,80,230,0,1
SEA 34-1504,KI,136,49,418,82,267,0,0
SEA 46-2291,KI,128,28,387,46,204,1,1
SEA 43-1821,KI,86,14,233,44,144,0,0
SEA 43-1869,KI,173,34,465,63,270,0,0
SEA 46-2296,KI,131,41,391,65,237,0,0
SEA 46-2277,KI,218,40,568,109,368,0,1
SEA 43-1369,KI,95,16,285,54,165,0,0
SEA 43-2015,KI,90,27,333,78,195,0,0
SEA 37-1950,KI,39,21,187,6,67,0,1
SEA 34-1489,KI,154,84,744,97,338,0,3
SEA 34-1488,KI,127,69,692,88,284,0,0
SEA 34-1482,KI,101,29,321,49,180,0,1
SEA 34-1481,KI,104,51,479,69,227,0,3
SEA 34-1480,KI,177,52,594,110,339,0,0
SEA 34-1487,KI,122,33,335,50,205,0,0
SEA 34-1486,KI,111,30,364,60,201,0,0
SEA 34-1485,KI,149,68,708,88,307,0,2
SEA 34-1484,KI,87,50,345,42,180,0,1
SEA 36-3153,KI,95,31,390,61,187,0,0
SEA 46-2358,KI,257,90,846,146,494,0,1
SEA 37-1918,KI,124,27,347,61,212,0,0
SEA 37-1919,KI,98,39,378,69,207,0,1
SEA 37-2686,KI,146,68,604,73,291,0,4
SEA 36-3252,KI,100,43,477,67,211,0,1
SEA 37-1915,KI,153,28,384,77,260,0,2
SEA 37-1916,KI,160,16,357,84,261,0,1
SEA 37-1917,KI,201,48,454,62,311,0,0
SEA 37-1910,KI,188,53,513,87,329,0,1
SEA 37-1911,KI,108,14,284,69,191,0,0
SEA 46-2355,KI,133,27,354,64,224,0,0
SEA 37-1913,KI,139,40,338,59,239,0,1
SEA 37-1854,KI,98,46,386,46,190,0,0
SEA 43-1330,KI,139,38,404,60,238,0,1
SEA 43-1849,KI,103,13,323,43,161,0,2
SEA 37-1850,KI,206,51,650,88,346,0,1
SEA 37-1853,KI,64,24,281,32,120,0,0
SEA 43-1845,KI,155,44,575,78,277,0,0
SEA 43-1847,KI,142,15,484,70,227,0,0
SEA 43-1846,KI,102,19,345,36,158,0,1
SEA 43-1843,KI,152,33,551,66,251,0,0
SEA 43-1842,KI,157,40,521,84,282,0,1
SEA 43-2104,KI,162,29,379,69,260,0,0
SEA 43-2029,KI,330,40,706,116,488,0,2
SEA 46-2309,KI,109,23,300,51,184,0,1
SEA 46-2142,KI,201,63,674,92,357,0,1
SEA 43-1262,KI,183,31,468,94,308,0,0
SEA 36-2795,KI,97,39,479,72,209,0,1
SEA 43-1265,KI,90,16,256,40,148,0,2
SEA 37-1637,KI,137,91,760,63,295,0,4
SEA 43-1264,KI,155,22,361,71,248,0,0
SEA 37-1651,KI,119,86,736,51,256,0,0
SEA 43-2025,KI,225,46,556,88,360,0,1
SEA 37-1930,KI,248,66,738,77,391,0,0
SEA 43-1266,KI,115,15,351,82,213,0,1
SEA 46-2145,KI,159,50,497,88,297,0,0
SEA 36-1751,KI,112,28,368,72,212,0,0
SEA 36-1750,KI,160,39,493,97,296,0,0
SEA 36-1752,KI,130,29,437,84,244,0,1
SEA 36-1755,KI,68,23,272,66,158,0,1
SEA 36-1754,KI,127,24,387,100,252,0,1
SEA 36-1757,KI,83,17,262,66,166,0,0
SEA 36-1756,KI,226,67,682,100,393,0,0
SEA 36-1759,KI,89,15,274,64,169,0,1
SEA 36-1758,KI,137,26,351,82,246,0,1
SEA 43-2043,KI,115,24,292,53,193,0,1
SEA 43-2044,KI,117,16,350,52,186,0,1
SEA 43-2045,KI,122,16,315,51,189,0,0
SEA 11-1256,KI,105,73,627,64,242,0,0
SEA 34-1533,KI,77,28,229,54,159,0,0
SEA 34-1532,KI,88,23,237,27,138,0,0
SEA 43-1263,KI,141,20,350,67,230,1,1
SEA 34-1530,KI,192,57,619,116,367,0,2
SEA 34-1537,KI,94,21,289,40,156,0,1
SEA 34-1536,KI,103,35,304,53,191,0,0
SEA 34-1535,KI,84,26,239,36,146,0,0
SEA 34-1534,KI,107,51,362,78,238,0,2
SEA 43-1269,KI,129,28,357,77,234,0,0
SEA 43-1268,KI,170,24,352,60,254,0,0
SEA 34-1539,KI,98,41,356,57,198,0,2
SEA 34-1538,KI,93,40,378,67,202,0,2
SEA 43-2048,KI,133,17,376,64,214,0,0
SEA 46-2343,KI,107,36,341,51,194,0,0
SEA 46-2298,KI,123,19,321,62,205,0,1
SEA 36-2505,KI,131,33,324,62,228,0,2
SEA 36-2504,KI,131,21,303,60,213,0,1
SEA 36-2507,KI,101,15,283,60,180,0,4
SEA 36-2506,KI,113,26,311,63,202,0,0
SEA 36-2503,KI,101,33,305,62,196,0,0
SEA 36-2502,KI,171,26,378,87,284,0,0
SEA 36-2134,KI,160,38,490,68,266,0,0
SEA 46-3677,KI,89,33,320,56,181,0,3
SEA 36-2130,KI,153,33,388,57,243,0,0
SEA 36-2131,KI,223,78,851,152,453,0,0
SEA 36-2133,KI,178,64,698,105,348,0,1
SEA 34-1546,KI,132,40,385,85,257,0,0
SEA 43-1787,KI,155,44,564,76,277,0,2
SEA 11-1602,KI,165,52,598,69,288,0,2
SEA 34-1545,KI,117,44,422,62,224,0,1
SEA 34-1543,KI,122,29,327,67,218,0,0
SEA 34-1540,KI,90,24,333,62,176,0,0
SEA 34-1541,KI,114,36,380,84,235,0,1
SEA 46-1312,KI,104,21,326,56,181,0,0
SEA 46-1313,KI,98,24,280,45,168,0,1
SEA 46-1310,KI,133,31,397,65,229,0,0
SEA 46-1311,KI,112,29,427,57,198,0,0
SEA 43-1788,KI,355,83,807,142,580,0,0
SEA 37-3666,KI,71,36,422,20,128,0,1
SEA 36-1808,KI,91,31,275,34,156,0,0
SEA 36-1805,KI,119,30,473,88,239,0,2
SEA 36-1806,KI,154,32,598,93,281,0,2
SEA 36-1801,KI,212,58,896,121,391,0,0
SEA 36-1803,KI,88,17,298,73,178,0,0
SEA 36-3586,KI,239,56,801,112,407,0,0
SEA 36-3587,KI,140,44,590,86,273,0,3
SEA 37-1563,KI,48,39,323,24,111,0,0
SEA 37-1565,KI,90,39,331,42,172,0,1
SEA 37-1564,KI,113,61,396,52,227,0,1
SEA 36-3669,KI,78,25,349,51,157,1,2
SEA 37-1566,KI,75,54,327,47,176,0,0
SEA 37-1568,KI,88,59,434,32,179,0,0
SEA 43-2083,KI,125,25,422,65,215,0,0
SEA 46-2252,KI,96,23,261,53,172,0,0
SEA 46-2253,KI,175,50,521,96,322,0,1
SEA 46-2251,KI,183,56,555,113,352,0,0
SEA 32-2206,KI,152,41,412,73,266,0,0
SEA 46-2316,KI,119,36,411,84,239,0,0
SEA 32-2204,KI,128,37,339,65,230,0,0
SEA 46-2314,KI,136,33,337,48,217,0,0
SEA 32-2202,KI,135,37,436,77,250,0,1
SEA 32-2203,KI,203,87,758,130,422,0,2
SEA 32-2200,KI,139,48,385,76,263,0,0
SEA 32-2201,KI,188,40,463,87,315,0,0
SEA 46-2619,KI,151,51,539,76,279,0,1
SEA 43-2545,KI,220,41,699,113,375,0,1
SEA 32-2208,KI,105,36,350,83,224,0,0
SEA 32-2209,KI,207,67,599,127,402,0,1
SEA 36-2592,KI,122,28,352,53,205,0,2
SEA 36-2593,KI,104,20,289,50,174,0,0
SEA 34-1438,KI,103,43,328,63,209,0,0
SEA 34-1439,KI,99,40,369,80,220,1,0
SEA 34-1432,KI,106,41,331,70,218,0,1
SEA 34-1433,KI,116,27,319,65,208,0,0
SEA 34-1430,KI,112,22,322,56,190,0,0
SEA 34-1431,KI,109,37,308,56,203,0,1
SEA 34-1436,KI,78,27,362,51,156,0,0
SEA 34-1437,KI,111,38,498,104,254,0,1
SEA 34-1434,KI,99,30,271,53,183,0,1
SEA 34-1435,KI,76,30,299,72,178,0,0
SEA 36-2509,KI,151,31,403,78,260,0,0
SEA 36-2508,KI,175,52,427,66,293,0,0
SEA 46-2352,KI,95,36,338,50,181,0,0
SEA 46-1955,KI,162,35,558,92,289,0,0
SEA 11-1600,KI,128,50,550,78,257,0,1
SEA 46-2228,KI,128,33,486,70,234,0,3
SEA 46-2221,KI,127,67,513,104,298,0,0
SEA 43-1280,KI,199,31,669,106,337,0,1
SEA 43-1784,KI,184,37,500,85,308,1,1
SEA 36-3267,KI,118,39,548,61,219,0,1
SEA 37-1886,KI,214,25,523,53,293,0,1
SEA 37-1884,KI,242,48,643,95,385,0,0
SEA 37-1885,KI,128,33,398,61,223,0,1
SEA 37-1882,KI,136,22,395,35,193,0,0
SEA 37-1883,KI,120,32,423,52,204,0,0
SEA 37-1880,KI,187,36,514,52,276,0,1
SEA 37-1881,KI,117,26,396,45,188,0,0
SEA 43-1780,KI,106,38,350,64,208,0,0
SEA 43-1781,KI,88,33,326,43,164,0,0
SEA 46-2292,KI,178,46,505,64,288,0,0
SEA 36-1386,KI,114,27,315,71,213,0,1
SEA 36-1387,KI,169,50,462,69,289,0,1
SEA 36-1384,KI,140,34,309,52,228,0,2
SEA 36-1385,KI,95,26,243,54,175,0,0
SEA 36-1382,KI,136,31,374,66,233,0,0
SEA 36-1388,KI,130,28,337,62,220,0,0
SEA 36-1389,KI,101,13,259,49,163,0,0
SEA 43-1274,KI,124,26,302,66,216,0,0
SEA 43-2006,KI,88,25,298,56,169,0,0
SEA 43-2007,KI,91,13,256,60,164,0,0
SEA 43-2000,KI,172,45,550,77,294,0,0
SEA 43-2001,KI,240,61,648,130,433,0,2
SEA 43-2002,KI,230,54,587,106,391,0,1
SEA 46-2293,KI,180,35,441,76,292,0,1
SEA 46-1957,KI,202,32,553,119,354,0,1
SEA 37-2861,KI,146,33,391,64,243,0,0
SEA 43-2009,KI,235,30,487,61,329,0,3
SEA 37-1635,KI,69,70,524,57,199,0,3
SEA 37-1589,KI,141,30,290,44,217,0,2
SEA 37-1588,KI,103,19,244,37,159,0,0
SEA 46-1314,KI,106,29,330,75,210,0,0
SEA 37-1634,KI,85,55,473,49,191,0,2
SEA 37-1583,KI,177,110,700,93,382,0,2
SEA 37-1582,KI,146,74,715,69,291,1,1
SEA 37-1580,KI,92,40,333,27,160,1,0
SEA 37-1587,KI,107,43,311,45,195,0,0
SEA 37-1586,KI,182,22,373,44,251,0,3
SEA 36-3566,KI,160,47,579,100,307,0,0
SEA 36-1299,KI,161,18,425,78,260,0,3
SEA 43-1347,KI,281,44,726,109,435,0,1
SEA 43-1344,KI,172,39,452,81,292,0,0
SEA 37-1636,KI,95,85,586,36,217,0,1
SEA 43-1342,KI,161,15,366,61,237,0,0
SEA 43-1343,KI,136,17,355,62,215,0,0
SEA 43-1341,KI,237,27,499,85,351,0,2
SEA 46-2290,KI,128,16,289,51,195,0,0
SEA 46-2272,KI,123,31,367,93,247,0,0
SEA 43-1348,KI,197,29,555,90,317,0,1
SEA 37-1630,KI,81,40,309,48,169,0,0
SEA 46-1284,KI,81,18,278,41,140,0,0
SEA 46-1285,KI,110,20,303,52,182,0,0
SEA 43-1975,KI,23,18,439,22,63,0,0
SEA 37-1633,KI,91,31,329,41,163,0,0
SEA 46-1282,KI,223,37,656,138,399,0,1
SEA 43-1976,KI,37,12,242,42,94,0,3
SEA 37-1632,KI,101,24,292,47,173,0,1
SEA 43-3320,KI,136,36,515,69,241,0,0
SEA 36-1661,KI,99,23,277,70,193,0,1
SEA 43-2014,KI,160,23,352,77,260,0,0
SEA 36-1663,KI,93,33,275,78,205,0,1
SEA 36-1709,KI,76,25,359,53,154,0,0
SEA 36-1665,KI,177,45,515,132,356,0,2
SEA 36-1664,KI,108,38,326,72,218,0,0
SEA 46-1963,KI,86,11,278,55,152,0,0
SEA 36-1666,KI,204,54,572,101,360,0,1
SEA 36-1702,KI,190,54,606,127,372,0,1
SEA 36-1668,KI,121,47,443,73,244,0,3
SEA 36-1700,KI,101,37,383,67,208,0,3
SEA 36-1701,KI,127,42,331,61,231,0,1
SEA 46-1969,KI,82,26,278,61,169,0,0
SEA 11-1641,KI,73,63,539,46,183,0,1
SEA 36-1704,KI,128,44,640,77,251,0,2
SEA 46-2094,KI,114,11,283,53,178,0,0
SEA 46-2095,KI,112,19,279,55,187,0,1
SEA 36-3319,KI,174,62,867,128,365,0,1
SEA 36-3318,KI,226,64,680,138,428,0,0
SEA 46-2090,KI,148,35,494,79,262,0,0
SEA 46-2091,KI,173,24,451,67,265,0,1
SEA 46-2092,KI,142,20,311,63,225,0,0
SEA 46-2093,KI,225,21,462,71,317,0,0
SEA 34-1411,KI,107,27,307,63,197,0,0
SEA 46-2099,KI,153,43,437,96,293,0,1
SEA 43-2853,KI,140,14,440,52,206,0,0
SEA 43-2852,KI,140,23,501,62,226,0,1
SEA 36-1689,KI,151,61,484,101,313,0,0
SEA 36-1688,KI,92,30,273,57,179,0,0
SEA 43-2113,KI,79,21,393,39,140,0,1
SEA 36-1683,KI,90,35,305,80,205,0,0
SEA 36-1682,KI,91,25,309,71,190,1,2
SEA 34-1409,KI,139,50,422,81,270,0,0
SEA 34-1408,KI,229,106,708,145,481,0,1
SEA 36-1687,KI,126,66,644,116,309,0,1
SEA 36-1686,KI,175,55,768,121,352,0,1
SEA 36-1685,KI,118,34,418,68,220,0,0
SEA 36-1684,KI,88,31,338,54,173,0,0
SEA 43-1333,KI,118,35,340,76,229,0,0
SEA 43-1332,KI,155,27,385,85,267,0,0
SEA 43-1331,KI,134,30,366,60,224,0,0
SEA 37-1647,KI,165,93,669,90,349,0,1
SEA 43-1335,KI,240,31,637,105,377,0,1
SEA 43-1334,KI,152,45,446,63,262,0,2
SEA 36-1768,KI,97,33,331,71,201,0,0
SEA 43-1339,KI,104,19,298,63,187,0,1
SEA 43-1338,KI,218,18,449,66,302,0,0
SEA 43-1861,KI,295,31,750,106,432,0,0
SEA 46-2297,KI,95,23,283,50,169,0,1
SEA 46-2261,KI,101,21,256,53,175,0,0
SEA 36-2172,KI,114,24,319,75,214,0,1
SEA 37-1643,KI,82,85,682,60,228,0,1
SEA 34-1476,KI,89,21,273,60,170,0,0
SEA 34-1477,KI,100,35,307,65,200,0,0
SEA 34-1474,KI,119,32,402,76,227,0,0
SEA 34-1475,KI,82,28,311,66,176,0,0
SEA 34-1472,KI,102,25,239,44,171,0,0
SEA 34-1473,KI,98,29,319,53,180,0,0
SEA 34-1470,KI,156,85,677,108,352,0,3
SEA 34-1471,KI,153,56,492,96,305,0,0
SEA 43-3424,KI,127,34,407,57,219,0,1
SEA 36-2149,KI,138,29,367,93,261,0,1
SEA 36-2148,KI,115,26,359,88,229,0,0
SEA 34-1478,KI,105,17,253,41,163,0,0
SEA 34-1479,KI,104,38,313,58,200,0,0
SEA 34-1259,KI,97,46,328,62,205,0,0
SEA 43-2050,KI,114,41,442,63,222,0,4
SEA 37-1567,KI,71,60,332,25,156,0,0
SEA 37-1648,KI,151,95,695,81,327,0,0
SEA 37-3617,KI,135,30,553,68,235,0,2
SEA 46-2295,KI,158,42,481,110,310,0,0
SEA 34-1498,KI,193,62,668,74,330,0,1
SEA 34-1499,KI,151,48,483,89,289,0,1
SEA 34-1258,KI,117,43,341,65,225,0,0
SEA 46-2257,KI,280,74,799,154,509,0,1
SEA 34-1490,KI,128,42,437,64,235,0,1
SEA 34-1493,KI,166,68,722,85,320,0,1
SEA 34-1494,KI,155,46,536,63,265,0,1
SEA 34-1496,KI,207,68,826,113,389,0,1
SEA 34-1497,KI,161,82,728,91,336,0,2
SEA 46-2267,KI,127,48,518,66,241,0,0
SEA 37-1920,KI,201,55,574,82,339,1,0
SEA 46-2264,KI,273,70,768,143,487,0,1
SEA 37-1925,KI,78,29,319,45,153,0,1
SEA 37-1927,KI,119,45,409,51,216,0,1
SEA 46-2260,KI,332,47,722,131,511,0,1
SEA 46-2340,KI,217,51,680,113,381,0,0
SEA 11-1942,KI,145,57,526,67,271,0,2
SEA 11-1941,KI,114,39,431,71,224,0,0
SEA 37-1841,KI,242,64,813,88,396,0,2
SEA 11-1947,KI,114,42,453,47,204,0,1
SEA 46-2345,KI,111,30,294,55,196,0,0
SEA 11-1945,KI,175,73,703,93,341,0,0
SEA 46-2268,KI,121,23,330,61,205,0,0
SEA 43-1999,KI,155,34,439,80,270,0,1
SEA 43-1851,KI,271,36,694,106,413,0,0
SEA 43-1856,KI,224,39,579,57,322,0,2
SEA 37-1621,KI,88,24,342,39,151,0,0
SEA 43-1855,KI,198,20,619,117,337,0,2
SEA 43-1993,KI,88,27,238,32,147,0,0
SEA 43-1992,KI,179,62,652,168,410,0,1
SEA 43-1858,KI,128,15,335,60,203,0,0
SEA 43-1859,KI,177,29,553,79,286,0,1
SEA 43-1997,KI,95,39,295,59,194,0,1
SEA 43-1996,KI,111,13,298,69,193,0,0
SEA 43-1995,KI,103,17,244,43,163,0,0
SEA 43-1857,KI,161,25,528,64,251,0,1
SEA 46-2317,KI,146,45,433,76,269,0,2
SEA 43-3685,KI,96,16,258,46,158,0,0
SEA 46-2346,KI,117,22,364,53,193,0,1
SEA 43-2052,KI,79,17,445,47,143,0,0
SEA 46-2127,KI,156,55,494,67,278,0,0
SEA 43-1991,KI,246,75,839,165,487,0,1
SEA 43-1990,KI,131,45,458,84,260,0,0
SEA 43-2064,KI,77,27,370,44,148,0,0
SEA 46-2310,KI,168,35,386,72,277,0,2
SEA 46-2286,KI,167,28,437,84,279,0,0
SEA 36-3689,KI,91,16,398,58,166,0,1
SEA 43-1378,KI,152,20,308,47,219,0,0
SEA 46-2305,KI,138,41,364,73,253,0,1
SEA 36-3686,KI,117,58,501,79,254,0,0
SEA 46-2280,KI,222,50,645,124,396,0,0
SEA 43-2543,KI,115,12,313,26,153,0,0
SEA 46-2369,KI,114,75,419,73,262,0,0
SEA 46-2328,KI,77,21,299,48,147,0,1
SEA 43-2040,KI,135,15,476,64,214,0,0
SEA 46-2282,KI,254,52,653,122,429,0,1
SEA 46-2319,KI,187,41,506,95,323,0,0
SEA 46-2098,KI,161,33,436,91,285,0,0
SEA 46-2318,KI,118,24,277,45,188,0,1
SEA 36-1746,KI,121,33,313,49,203,0,0
SEA 36-1747,KI,131,10,296,54,195,0,0
SEA 36-1744,KI,111,33,393,84,228,0,0
SEA 46-2325,KI,99,81,405,61,242,0,1
SEA 36-1742,KI,91,34,296,59,185,0,1
SEA 36-1743,KI,122,22,391,62,206,0,0
SEA 36-1740,KI,107,30,323,71,208,0,0
SEA 36-1741,KI,118,27,325,62,207,0,0
SEA 43-2075,KI,85,24,458,54,163,0,0
SEA 43-2074,KI,196,32,564,87,316,0,1
SEA 43-2076,KI,77,23,403,35,137,0,2
SEA 43-2071,KI,162,26,371,70,260,0,2
SEA 36-2590,KI,128,31,364,54,213,0,0
SEA 36-1748,KI,96,22,261,51,169,0,0
SEA 36-1749,KI,206,61,681,102,370,0,1
SEA 46-2274,KI,96,8,256,63,167,0,0
SEA 46-2349,KI,120,38,382,62,220,0,0
SEA 43-2110,KI,104,25,452,57,186,0,0
SEA 34-1520,KI,107,32,314,51,190,0,0
SEA 34-1521,KI,91,30,266,60,181,0,0
SEA 34-1522,KI,90,31,261,50,171,0,0
SEA 34-1523,KI,92,28,296,73,193,0,0
SEA 34-1524,KI,93,42,291,63,199,0,1
SEA 34-1526,KI,90,21,248,45,156,0,0
SEA 34-1527,KI,207,59,684,81,351,0,4
SEA 43-1377,KI,136,24,330,47,207,0,0
SEA 34-1529,KI,55,31,266,46,132,0,0
SEA 43-1375,KI,148,21,327,51,222,0,2
SEA 43-1374,KI,124,17,295,64,205,0,0
SEA 32-3568,KI,152,114,849,116,383,1,0
SEA 43-1372,KI,132,12,335,80,224,0,0
SEA 43-1278,KI,177,34,588,95,308,0,2
SEA 43-1279,KI,246,47,684,113,406,0,0
SEA 43-2862,KI,188,63,736,109,360,0,0
SEA 36-2518,KI,138,39,425,68,246,0,1
SEA 43-1887,KI,197,61,648,105,365,0,2
SEA 36-2512,KI,185,42,505,101,331,0,3
SEA 36-2513,KI,153,33,434,114,301,0,1
SEA 36-2510,KI,129,26,352,66,221,0,0
SEA 36-2118,KI,155,44,383,51,250,0,0
SEA 36-2517,KI,206,64,613,111,382,0,1
SEA 36-2514,KI,90,30,298,72,193,0,1
SEA 36-2515,KI,119,33,361,81,233,0,0
SEA 37-1619,KI,135,48,449,72,256,0,1
SEA 37-1618,KI,109,43,389,36,188,0,0
SEA 37-1613,KI,103,36,292,58,200,0,3
SEA 37-1612,KI,107,30,288,54,191,0,0
SEA 37-1611,KI,114,27,289,49,191,0,1
SEA 37-1610,KI,142,22,331,42,206,0,0
SEA 37-1617,KI,136,29,323,36,201,0,0
SEA 37-1616,KI,134,35,351,37,207,0,1
SEA 37-1615,KI,123,31,343,49,205,0,2
SEA 37-1614,KI,94,24,260,37,155,0,0
SEA 36-1324,KI,266,67,779,143,477,0,1
SEA 36-1732,KI,164,30,449,84,278,0,0
SEA 36-1731,KI,138,22,404,70,230,0,0
SEA 36-1730,KI,135,20,385,67,222,0,0
SEA 36-1737,KI,105,23,416,64,193,0,1
SEA 36-1736,KI,111,24,341,74,209,0,0
SEA 36-1735,KI,95,20,252,45,160,0,0
SEA 36-1734,KI,151,39,497,96,286,0,0
SEA 46-2128,KI,124,42,542,80,247,0,1
SEA 36-1739,KI,129,18,309,60,207,0,0
SEA 36-1738,KI,114,17,295,59,190,0,0
SEA 11-1639,KI,78,67,551,48,193,0,0
SEA 36-1329,KI,140,30,410,84,254,0,0
SEA 43-3665,KI,94,41,379,49,184,0,0
SEA 36-1812,KI,134,31,469,86,251,0,0
SEA 36-1813,KI,81,35,330,58,174,0,0
SEA 11-1550,KI,140,43,563,37,222,0,2
SEA 46-2299,KI,147,25,393,56,229,0,1
SEA 11-1552,KI,68,35,379,61,166,0,2
SEA 36-1815,KI,146,58,453,69,273,0,0
SEA 43-2928,KI,201,33,639,105,339,0,0
SEA 37-1576,KI,70,82,435,34,186,0,0
SEA 37-1574,KI,66,65,417,47,179,0,1
SEA 37-1575,KI,36,48,377,40,124,0,0
SEA 37-1572,KI,89,41,307,49,180,0,1
SEA 36-3679,KI,65,23,314,48,137,0,1
SEA 37-1570,KI,93,130,659,81,304,0,0
SEA 37-1571,KI,99,84,432,65,250,0,2
