Row Label,County,J. Robert Leach
MILL CREEK  6,SN,271
MILL CREEK  5,SN,290
MILL CREEK  4,SN,169
HEARTHSTONE,SN,162
MILL CREEK  9,SN,222
MILL CREEK  8,SN,262
CLIFF,SN,129
MARYSVILLE 54,SN,222
MARYSVILLE 55,SN,147
HEMLOCK,SN,280
MARYSVILLE 53,SN,147
BROCKLIN,SN,196
MARYSVILLE 51,SN,94
COUNTRY,SN,147
WITHERS,SN,246
PIONEER,SN,199
ELWOOD,SN,206
PEAK,SN,13
HOLLY,SN,223
CHAIN LAKE,SN,251
BRYANT,SN,89
WOODWAY 1,SN,191
WOODWAY 2,SN,127
MUKILTEO  2,SN,316
KENSINGTON,SN,107
FALLS,SN,26
HILL,SN,171
VILLAGE,SN,267
MARYSVILLE 36,SN,146
SHELTON,SN,268
PACKWOOD,SN,110
POST,SN,208
BOULDER,SN,260
FIRGROVE,SN,147
RICHLAND,SN,77
FLORENCE,SN,79
MC DONALD,SN,149
NORTH CREEK,SN,181
GREENWOOD,SN,234
CRAWFORD,SN,60
HAVEN,SN,236
LYNNWOOD 30,SN,228
LYNNWOOD 31,SN,123
LYNNWOOD 32,SN,0
LYNNWOOD 33,SN,203
LYNNWOOD 34,SN,110
MALTBY,SN,222
STONE GATE,SN,163
MARYSVILLE 45,SN,264
BOSTIAN,SN,150
SILER,SN,122
MAPLEWOOD,SN,187
MOUNTLAKE TERRACE 19,SN,199
MOUNTLAKE TERRACE 18,SN,205
MOUNTLAKE TERRACE 17,SN,269
MOUNTLAKE TERRACE 16,SN,158
MOUNTLAKE TERRACE 15,SN,168
MOUNTLAKE TERRACE 14,SN,226
MOUNTLAKE TERRACE 13,SN,229
MOUNTLAKE TERRACE 12,SN,205
MOUNTLAKE TERRACE 11,SN,190
MOUNTLAKE TERRACE 10,SN,265
ARLINGTON  8,SN,197
ARLINGTON  9,SN,240
ARLINGTON  4,SN,323
EVERETT   1,SN,246
ARLINGTON  6,SN,245
ASH,SN,273
EDMONDS 43,SN,262
ARLINGTON  1,SN,207
ARLINGTON  2,SN,153
ARLINGTON  3,SN,171
SHADOW WOOD,SN,198
HUCKLEBERRY,SN,108
SHORTS,SN,242
GLEN ACRES,SN,2
PIONEER TRAILS,SN,204
CREEKSIDE,SN,162
LYNNWOOD 29,SN,292
EVERETT  28,SN,146
EVERETT  29,SN,146
ARLINGTON  5,SN,252
EVERETT  24,SN,209
EVERETT  25,SN,160
PETERSON,SN,267
EVERETT  27,SN,219
EVERETT  20,SN,197
EVERETT  21,SN,264
EVERETT  22,SN,182
EVERETT  23,SN,32
EVERETT  18,SN,253
ARLINGTON  7,SN,265
ADMIRALTY,SN,153
EDMONDS 49,SN,184
EDMONDS 46,SN,357
EDMONDS 47,SN,120
EDMONDS 44,SN,200
EVERETT  89,SN,167
EDMONDS 42,SN,153
LAKE STEVENS  6,SN,206
WOODGATE,SN,117
EDMONDS 41,SN,157
EVERETT  86,SN,187
THOMPSON,SN,235
BUTTERNUT,SN,199
SPENCER,SN,0
MONROE  4,SN,245
EVERETT  82,SN,139
STILLAGUAMISH,SN,98
BOTHELL 31,SN,208
BOTHELL 33,SN,193
GLENWOOD,SN,152
BOTHELL 35,SN,173
BOTHELL 34,SN,229
BOTHELL 37,SN,255
BOTHELL 36,SN,193
BOTHELL 39,SN,158
BOTHELL 38,SN,192
ALDERCREST,SN,44
MC FARLAND,SN,235
QUEENS,SN,198
EVERETT  91,SN,156
LUPINE,SN,172
EVERETT  93,SN,132
HAZEL,SN,262
EVERETT  95,SN,96
EVERETT  94,SN,113
OAKS,SN,250
GIBSON,SN,161
HIGH ROCK,SN,177
BEECHER,SN,210
BERKSHIRE,SN,305
PORTAGE,SN,81
STICKNEY,SN,206
MARYSVILLE 50,SN,218
STOCK SHOW,SN,98
HENNING,SN,258
PILCHUCK RIVER,SN,20
MILL,SN,225
WOODS CREEK,SN,160
LOMA,SN,191
WILLOWDALE,SN,238
MARYSVILLE 18,SN,250
MARYSVILLE 19,SN,182
MARYSVILLE 12,SN,221
MARYSVILLE 13,SN,153
MARYSVILLE 10,SN,163
MARYSVILLE 11,SN,294
MARYSVILLE 16,SN,260
OSBORN,SN,183
SUNRISE,SN,200
MARYSVILLE 15,SN,225
MEADOW,SN,170
LAKE STEVENS 16,SN,150
ROOSEVELT,SN,111
LAKE STEVENS 14,SN,193
RAINIER,SN,113
DOUGLAS FIRS,SN,173
TROMBLEY,SN,203
RUGGS LAKE,SN,213
EVERETT   6,SN,157
EVERETT   7,SN,92
LAKE GOODWIN,SN,320
EVERETT   5,SN,189
EVERETT   2,SN,202
EVERETT   3,SN,158
SHELBY,SN,167
MAGNOLIA,SN,168
WHEELER,SN,171
VALMONT,SN,109
EDMONDS 13,SN,254
EVERETT   8,SN,183
EVERETT   9,SN,308
GETCHELL,SN,183
SEXTON,SN,246
EDMONDS 15,SN,171
RIVERCREST,SN,145
LYNNWOOD  2,SN,157
STAR CREEK,SN,113
EDMONDS 19,SN,247
CASSIDY,SN,191
EDMONDS 18,SN,215
TRANGEN,SN,176
WOODRIDGE,SN,294
MACHIAS,SN,306
FIRTREE,SN,146
SNOHOMISH 10,SN,94
EAST SHORE,SN,193
ALMA,SN,23
CASCADIAN,SN,251
ALDER,SN,193
INDEX,SN,33
EDMONDS 45,SN,171
LYNNWOOD 22,SN,148
JORDAN BRIDGE,SN,62
WELLINGTON,SN,271
FREEWAY,SN,217
SHORE,SN,232
LYNNWOOD 20,SN,206
EDMONDS 40,SN,202
SILVANA,SN,151
LYNNWOOD 26,SN,200
EVERETT  55,SN,60
EVERETT  54,SN,187
EVERETT  57,SN,204
EVERETT  56,SN,187
EVERETT  51,SN,186
EVERETT  50,SN,196
EVERETT  53,SN,199
EVERETT  52,SN,188
SAMOEA,SN,204
STORM LAKE,SN,255
EVERETT  59,SN,173
EVERETT  58,SN,27
EDMONDS 11,SN,235
EDMONDS 10,SN,256
EVERETT  72,SN,106
EDMONDS 12,SN,135
MOUNTLAKE TERRACE  8,SN,190
MOUNTLAKE TERRACE  9,SN,135
EDMONDS 17,SN,186
EDMONDS 16,SN,169
MOUNTLAKE TERRACE  4,SN,137
MOUNTLAKE TERRACE  5,SN,172
MOUNTLAKE TERRACE  6,SN,139
MOUNTLAKE TERRACE  7,SN,105
MOUNTLAKE TERRACE  1,SN,194
MOUNTLAKE TERRACE  2,SN,174
MOUNTLAKE TERRACE  3,SN,180
LYNNWOOD 28,SN,121
WELANGDON,SN,16
RONCREST,SN,93
PANTHER CREEK,SN,209
HIGH BRIDGE,SN,279
EDMONDS  6,SN,279
AVALON,SN,107
MINOR,SN,211
KETCHUM,SN,204
PUGET,SN,177
HAT ISLAND,SN,20
ANN,SN,173
EDMONDS  5,SN,146
WOODLAND,SN,91
DARRINGTON,SN,249
NORTHROAD,SN,265
NEWTON,SN,151
NEWBERG,SN,173
FAIRVIEW,SN,157
SLEEPY HOLLOW,SN,179
MARYSVILLE 52,SN,279
STANBY,SN,58
MARYSVILLE 27,SN,274
BOEING,SN,159
MANOR,SN,196
SANDMAN,SN,134
WEST FORK,SN,61
SKYKOMISH,SN,54
SLIVER,SN,1
LOCHSLOY,SN,270
AIRPARK,SN,52
WALLACE,SN,142
EDMONDS 29,SN,231
FIRCREST,SN,152
PICNIC POINT,SN,174
FIELD,SN,212
HARTFORD,SN,101
YORK,SN,237
MARKS,SN,190
BOSWORTH,SN,241
GREGORY,SN,159
NORTH FORK,SN,107
MORNING RISE,SN,199
BOTHELL 32,SN,153
MEADOWDALE,SN,167
PARADISE,SN,199
MARYSVILLE 28,SN,132
WINGATE,SN,225
MARYSVILLE  9,SN,98
MARYSVILLE  8,SN,199
LAKEWOOD,SN,167
MARYSVILLE  1,SN,134
MARYSVILLE  3,SN,249
MARYSVILLE  2,SN,91
MARYSVILLE  5,SN,279
MARYSVILLE  4,SN,179
MARYSVILLE  7,SN,132
MARYSVILLE  6,SN,169
EVERETT  11,SN,243
LARCH,SN,191
EVERETT  13,SN,165
EVERETT  12,SN,170
EVERETT  15,SN,187
EVERETT  14,SN,182
EVERETT  17,SN,117
EVERETT  16,SN,148
EVERETT  19,SN,188
SEATTLE HILL,SN,201
WHALEBACK,SN,14
EDMONDS 51,SN,226
EDMONDS 50,SN,150
EDMONDS 52,SN,195
SULTAN 1,SN,213
SULTAN 3,SN,185
SULTAN 2,SN,206
SULTAN 4,SN,151
MERIDIAN,SN,228
BROOK,SN,252
SILVANA TERRACE,SN,136
MARION,SN,180
MUKILTEO 13,SN,197
HILLMAN,SN,178
EASTMONT,SN,172
MARYSVILLE 46,SN,284
EVERETT  88,SN,197
CRYSTAL,SN,205
BATTERY,SN,150
EVERETT  87,SN,121
EVERETT  84,SN,65
EVERETT  85,SN,131
BEAR CREEK,SN,150
EVERETT  83,SN,167
EVERETT  80,SN,217
EVERETT  81,SN,102
SUMMIT,SN,185
LAKE HOWARD,SN,199
Total,SN,137229
TYEE,SN,200
EVERETT  92,SN,3
MILLARD,SN,120
MEADOWCREST,SN,190
TULALIP 2,SN,196
OLIVIA,SN,27
PUGET PARK,SN,176
SPRUCE,SN,115
RAILROAD,SN,161
HIWAY,SN,28
EDMONDS  2,SN,228
EDMONDS  3,SN,257
OUTLOOK,SN,208
EDMONDS  1,SN,210
EDGECOMB,SN,172
EDMONDS  7,SN,250
EDMONDS  4,SN,215
FILBERT,SN,262
EDMONDS  8,SN,293
EDMONDS  9,SN,158
WANDERING CREEK,SN,243
SNOCADE,SN,278
MARYSVILLE 26,SN,235
MARYSVILLE 25,SN,131
MARYSVILLE 24,SN,192
MARYSVILLE 23,SN,292
TERRACE,SN,44
MARYSVILLE 21,SN,308
MARYSVILLE 20,SN,209
VALLEY,SN,60
LUDWIG,SN,195
MARYSVILLE 29,SN,124
CRYSTAL CREEK,SN,121
GROVE,SN,254
JIM CREEK,SN,261
GRANNIS,SN,192
RIVERVIEW,SN,213
EVERETT  64,SN,100
ROWLAND,SN,131
LANTERN,SN,214
STITCH,SN,68
WINDROSE,SN,293
WENBERG,SN,207
SNOHOMISH  2,SN,143
SNOHOMISH  3,SN,184
SNOHOMISH  1,SN,220
SNOHOMISH  6,SN,150
SNOHOMISH  7,SN,220
SNOHOMISH  4,SN,192
SNOHOMISH  5,SN,272
LAURA,SN,242
SNOHOMISH  8,SN,295
SNOHOMISH  9,SN,135
HUNT,SN,3
SUNNYSIDE,SN,57
EVERETT  37,SN,203
CATHCART,SN,136
PENNANT,SN,256
EVERETT  35,SN,205
KAYAK,SN,172
EVERETT  34,SN,142
TRAIL,SN,107
WOODSHIRE,SN,170
ROB,SN,135
MERWIN,SN,129
OSO,SN,118
OLDMARK,SN,273
BOTHELL 40,SN,223
BOTHELL 41,SN,238
BOTHELL 42,SN,266
BOTHELL 43,SN,159
BOTHELL 44,SN,162
BURN HILL,SN,212
BOTHELL 46,SN,206
BOTHELL 47,SN,218
EMERALD,SN,204
GRAND FIRS,SN,273
EVERETT  48,SN,147
EVERETT  49,SN,234
EVERETT  42,SN,160
EVERETT  43,SN,127
EVERETT  40,SN,86
WILLOW,SN,175
EVERETT  46,SN,155
EVERETT  47,SN,204
EVERETT  44,SN,135
EVERETT  45,SN,162
EBEY,SN,27
EVERETT  26,SN,286
CYPRESS,SN,205
SYLVAN,SN,13
EDMONDS 24,SN,159
EDMONDS 25,SN,206
EDMONDS 26,SN,142
EDMONDS 27,SN,175
EDMONDS 21,SN,285
EDMONDS 22,SN,201
EDMONDS 23,SN,266
WELCH,SN,238
JORDAN,SN,342
HIGHLAND,SN,165
EDMONDS 28,SN,190
FAIRWOOD,SN,106
SILVER CREEK,SN,165
TRAFTON,SN,159
MARYSVILLE 48,SN,171
JEFFERSON,SN,149
FERNWOOD,SN,185
EDMONDS 35,SN,183
THRASHERS,SN,186
HILLTOP,SN,259
TURNER,SN,287
HOLIDAY,SN,108
CHAPEL,SN,146
EDMONDS 48,SN,194
KENTISH,SN,160
EDMONDS 38,SN,241
TOTEM FALLS,SN,292
KATTENHORN,SN,284
CEDARHOME,SN,197
CASCADE,SN,147
MARSH,SN,266
CENTENNIAL,SN,283
TOWER,SN,211
MONROE 12,SN,135
VILLE,SN,80
MONROE 10,SN,216
MONROE 11,SN,76
GRANITE FALLS 3,SN,95
GRANITE FALLS 2,SN,260
GRANITE FALLS 1,SN,229
LOCUST,SN,199
OLYMPUS,SN,168
SUNSET,SN,276
DOGWOOD,SN,178
SOUTH ALDERWOOD,SN,268
DALE,SN,221
SERENE,SN,192
REDHAWK,SN,257
JEFF,SN,166
ALICIA,SN,240
HILLSIDE,SN,85
POINTE,SN,32
ARMSTRONG,SN,157
STRAWBERRY,SN,238
NORMA,SN,178
DUMAS,SN,185
GOLD BAR 2,SN,151
GOLD BAR 1,SN,156
GLENBAR,SN,149
FOREST,SN,209
SAUK,SN,92
EMANDER,SN,228
PILCHUCK,SN,157
ARLINGTON 13,SN,286
HEIGHTS,SN,197
DAMSON,SN,254
TAMBARK,SN,186
ECHO LAKE,SN,234
MADISON,SN,268
EVERETT  10,SN,151
GATEWAY,SN,236
LYNNWOOD 18,SN,194
LYNNWOOD 19,SN,196
MARYSVILLE 14,SN,281
LYNNWOOD 12,SN,200
LYNNWOOD 13,SN,143
LYNNWOOD 10,SN,107
LYNNWOOD 11,SN,205
LYNNWOOD 16,SN,186
LYNNWOOD 17,SN,252
LYNNWOOD 14,SN,167
LYNNWOOD 15,SN,154
