Row Label,County,John Snaza
Hartwood,TH,446
Waddell Creek,TH,223
Fleetwood,TH,334
Olympia 26,TH,174
Olympia 21,TH,281
Bald Hills,TH,77
Olympia 23,TH,226
Violet Prairie,TH,317
Lacey 20,TH,91
Hawk Acres,TH,189
Tumwater 27,TH,245
Lacey 21,TH,118
Lakeside,TH,130
Lacey 22,TH,159
Olympia 36,TH,85
Glenwood,TH,90
Chambers,TH,418
Nisqually,TH,208
