Row Label,County,Registered Voters,Susan Mahoney,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SUNNYWOOD,KI,629,153,133,287,0,1
BUR 34-0824,KI,577,162,107,272,0,3
BRITTANY,KI,592,177,140,321,0,4
BUR 33-0251,KI,386,93,79,174,0,2
FED 30-3052,KI,494,160,83,243,0,0
FED 30-3053,KI,472,136,81,218,0,1
FED 30-3050,KI,222,55,43,98,0,0
FED 30-3051,KI,400,94,58,152,0,0
FED 30-3056,KI,323,92,74,166,0,0
BUR 33-1067,KI,866,255,165,427,0,7
FED 30-3054,KI,386,101,66,168,0,1
BINGAMAN,KI,565,210,100,313,0,3
FED 30-3077,KI,339,116,85,202,0,1
DILWORTH,KI,438,121,155,277,0,1
DES 33-0864,KI,317,104,100,204,0,0
JOVITA,KI,454,126,101,232,0,5
SET 33-1031,KI,925,226,170,398,0,2
FED 30-3395,KI,272,86,54,143,0,3
QUARTERMASTER,KI,342,99,127,229,0,3
FED 30-3021,KI,566,161,87,249,0,1
PORTAGE,KI,396,132,134,270,0,4
DES 33-2672,KI,577,139,91,231,0,1
DOCKTON,KI,696,221,223,446,0,2
COLVOS,KI,250,78,75,153,0,0
DES 33-0437,KI,271,88,67,155,0,0
DES 33-0668,KI,273,70,53,123,0,0
WYNONA,KI,462,119,91,211,0,1
ANGELO,KI,425,119,112,232,0,1
WHITE CENTER,KI,788,207,84,297,0,6
BUR 34-0485,KI,583,160,141,302,0,1
FED 30-3080,KI,499,117,52,172,1,2
MAURY,KI,413,141,150,292,0,1
TUK 11-3127,KI,280,61,45,109,0,3
BUR 34-0489,KI,445,152,173,327,0,2
FED 30-3027,KI,654,177,108,288,0,3
DES 33-2674,KI,552,143,106,250,0,1
FED 30-3025,KI,506,152,152,307,0,3
FED 30-3024,KI,349,123,96,222,0,3
DES 33-2671,KI,834,294,192,488,0,2
FED 30-3022,KI,216,77,55,132,0,0
DES 33-2673,KI,366,103,64,167,0,0
BUR 34-0311,KI,464,173,95,268,0,0
MCKINLEY,KI,351,68,47,118,0,3
BUR 34-0402,KI,390,132,107,241,0,2
LAKELAND,KI,527,140,105,248,0,3
FED 30-3029,KI,309,88,27,117,0,2
FED 30-3028,KI,510,159,91,250,0,0
