Row Label,County,Art Chapman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-2147,KI,150,489,186,338,0,2
SEA 36-1719,KI,148,510,148,299,0,3
SEA 36-1718,KI,69,318,86,155,0,0
SEA 37-1834,KI,92,386,93,188,0,3
SEA 46-1404,KI,115,441,101,217,0,1
SEA 46-2371,KI,192,656,177,371,0,2
SEA 34-3263,KI,99,415,94,194,0,1
SEA 34-3265,KI,89,353,78,168,0,1
SEA 34-3264,KI,108,340,72,180,0,0
SEA 34-3266,KI,66,311,50,117,0,1
SEA 46-2285,KI,108,286,103,211,0,0
SEA 11-1928,KI,58,298,85,145,0,2
SEA 43-2850,KI,82,359,99,182,0,1
SEA 37-1938,KI,98,394,148,247,0,1
SEA 46-2283,KI,100,348,110,214,0,4
SEA 36-1398,KI,130,503,133,265,0,2
SEA 46-2326,KI,127,574,144,271,0,0
SEA 46-2327,KI,98,381,91,190,0,1
SEA 46-2324,KI,115,432,120,237,0,2
SEA 43-2047,KI,184,662,217,403,0,2
SEA 46-2289,KI,74,338,127,203,0,2
SEA 46-2323,KI,141,554,168,310,0,1
SEA 46-2320,KI,104,350,117,222,0,1
SEA 46-2321,KI,106,333,118,225,0,1
SEA 37-3694,KI,17,92,27,44,0,0
SEA 43-1368,KI,73,292,110,184,0,1
SEA 34-1461,KI,139,399,127,268,0,2
SEA 36-1273,KI,71,279,130,201,0,0
SEA 34-1508,KI,91,295,91,182,0,0
SEA 34-1509,KI,79,281,96,177,0,2
SEA 34-1465,KI,144,372,107,251,0,0
SEA 34-1464,KI,107,359,137,245,0,1
SEA 34-1467,KI,159,551,179,339,0,1
SEA 34-1466,KI,97,303,81,179,0,1
SEA 34-1502,KI,94,342,127,223,0,2
SEA 34-1468,KI,131,448,125,256,0,0
SEA 34-1500,KI,152,584,175,328,0,1
SEA 34-1501,KI,129,369,117,248,0,2
SEA 34-1506,KI,101,299,82,183,0,0
SEA 34-1507,KI,100,357,128,230,0,2
SEA 34-1504,KI,133,418,133,267,0,1
SEA 46-2291,KI,115,387,87,204,0,2
SEA 43-1821,KI,83,233,61,144,0,0
SEA 43-1869,KI,132,465,136,270,0,2
SEA 46-2296,KI,116,391,118,237,0,3
SEA 46-2277,KI,158,568,207,368,0,3
SEA 43-1369,KI,58,285,106,165,0,1
SEA 43-2015,KI,89,333,106,195,0,0
SEA 37-1950,KI,45,187,20,67,0,2
SEA 34-1489,KI,175,744,162,338,0,1
SEA 34-1488,KI,155,692,128,284,0,1
SEA 34-1482,KI,93,321,86,180,0,1
SEA 34-1481,KI,121,479,102,227,0,4
SEA 34-1480,KI,174,594,162,339,1,2
SEA 34-1487,KI,106,335,98,205,0,1
SEA 34-1486,KI,97,364,103,201,0,1
SEA 34-1485,KI,177,708,128,307,0,2
SEA 34-1484,KI,101,345,78,180,0,1
SEA 36-3153,KI,104,390,82,187,0,1
SEA 46-2358,KI,263,846,228,494,0,3
SEA 37-1918,KI,94,347,117,212,0,1
SEA 37-1919,KI,95,378,111,207,0,1
SEA 37-2686,KI,167,604,119,291,0,5
SEA 36-3252,KI,107,477,102,211,0,2
SEA 37-1915,KI,120,384,138,260,0,2
SEA 37-1916,KI,112,357,148,261,0,1
SEA 37-1917,KI,170,454,141,311,0,0
SEA 37-1910,KI,148,513,180,329,0,1
SEA 37-1911,KI,103,284,88,191,0,0
SEA 46-2355,KI,101,354,123,224,0,0
SEA 37-1913,KI,122,338,116,239,0,1
SEA 37-1854,KI,107,386,80,190,0,3
SEA 43-1330,KI,124,404,110,238,0,4
SEA 43-1849,KI,65,323,95,161,0,1
SEA 37-1850,KI,158,650,183,346,0,5
SEA 37-1853,KI,65,281,55,120,0,0
SEA 43-1845,KI,147,575,129,277,0,1
SEA 43-1847,KI,108,484,118,227,0,1
SEA 43-1846,KI,73,345,83,158,0,2
SEA 43-1843,KI,120,551,131,251,0,0
SEA 43-1842,KI,137,521,142,282,0,3
SEA 43-2104,KI,128,379,130,260,0,2
SEA 43-2029,KI,243,706,244,488,0,1
SEA 46-2309,KI,93,300,90,184,0,1
SEA 46-2142,KI,202,674,151,357,0,4
SEA 43-1262,KI,140,468,165,308,0,3
SEA 36-2795,KI,100,479,107,209,0,2
SEA 43-1265,KI,60,256,87,148,0,1
SEA 37-1637,KI,185,760,105,295,0,5
SEA 43-1264,KI,112,361,135,248,0,1
SEA 37-1651,KI,157,736,96,256,0,3
SEA 43-2025,KI,174,556,183,360,0,3
SEA 37-1930,KI,188,738,201,391,0,2
SEA 43-1266,KI,96,351,117,213,0,0
SEA 46-2145,KI,146,497,151,297,0,0
SEA 36-1751,KI,102,368,109,212,0,1
SEA 36-1750,KI,124,493,172,296,0,0
SEA 36-1752,KI,106,437,137,244,0,1
SEA 36-1755,KI,72,272,85,158,0,1
SEA 36-1754,KI,107,387,144,252,0,1
SEA 36-1757,KI,64,262,102,166,0,0
SEA 36-1756,KI,195,682,198,393,0,0
SEA 36-1759,KI,56,274,112,169,0,1
SEA 36-1758,KI,124,351,122,246,0,0
SEA 43-2043,KI,87,292,106,193,0,0
SEA 43-2044,KI,84,350,100,186,0,2
SEA 43-2045,KI,89,315,98,189,0,2
SEA 11-1256,KI,143,627,98,242,0,1
SEA 34-1533,KI,71,229,87,159,0,1
SEA 34-1532,KI,71,237,66,138,0,1
SEA 43-1263,KI,103,350,125,230,0,2
SEA 34-1530,KI,175,619,189,367,0,3
SEA 34-1537,KI,92,289,63,156,0,1
SEA 34-1536,KI,100,304,90,191,0,1
SEA 34-1535,KI,71,239,75,146,0,0
SEA 34-1534,KI,110,362,128,238,0,0
SEA 43-1269,KI,110,357,123,234,0,1
SEA 43-1268,KI,115,352,139,254,0,0
SEA 34-1539,KI,89,356,105,198,0,4
SEA 34-1538,KI,99,378,102,202,0,1
SEA 43-2048,KI,98,376,115,214,0,1
SEA 46-2343,KI,100,341,94,194,0,0
SEA 46-2298,KI,101,321,103,205,0,1
SEA 36-2505,KI,114,324,113,228,0,1
SEA 36-2504,KI,95,303,117,213,0,1
SEA 36-2507,KI,75,283,100,180,0,5
SEA 36-2506,KI,86,311,116,202,0,0
SEA 36-2503,KI,93,305,103,196,0,0
SEA 36-2502,KI,146,378,138,284,0,0
SEA 36-2134,KI,136,490,129,266,0,1
SEA 46-3677,KI,82,320,95,181,0,4
SEA 36-2130,KI,118,388,123,243,0,2
SEA 36-2131,KI,214,851,238,453,0,1
SEA 36-2133,KI,168,698,177,348,0,3
SEA 34-1546,KI,108,385,149,257,0,0
SEA 43-1787,KI,140,564,135,277,0,2
SEA 11-1602,KI,132,598,149,288,0,7
SEA 34-1545,KI,117,422,107,224,0,0
SEA 34-1543,KI,106,327,111,218,0,1
SEA 34-1540,KI,80,333,96,176,0,0
SEA 34-1541,KI,92,380,142,235,0,1
SEA 46-1312,KI,80,326,101,181,0,0
SEA 46-1313,KI,75,280,92,168,0,1
SEA 46-1310,KI,116,397,109,229,0,4
SEA 46-1311,KI,102,427,95,198,0,1
SEA 43-1788,KI,327,807,252,580,0,1
SEA 37-3666,KI,84,422,42,128,0,2
SEA 36-1808,KI,98,275,58,156,0,0
SEA 36-1805,KI,104,473,134,239,0,1
SEA 36-1806,KI,144,598,136,281,0,1
SEA 36-1801,KI,188,896,203,391,0,0
SEA 36-1803,KI,68,298,110,178,0,0
SEA 36-3586,KI,215,801,189,407,0,3
SEA 36-3587,KI,129,590,142,273,0,2
SEA 37-1563,KI,65,323,45,111,0,1
SEA 37-1565,KI,85,331,85,172,0,2
SEA 37-1564,KI,128,396,98,227,0,1
SEA 36-3669,KI,71,349,83,157,0,3
SEA 37-1566,KI,87,327,87,176,2,0
SEA 37-1568,KI,98,434,81,179,0,0
SEA 43-2083,KI,91,422,124,215,0,0
SEA 46-2252,KI,81,261,91,172,0,0
SEA 46-2253,KI,140,521,180,322,0,2
SEA 46-2251,KI,151,555,200,352,0,1
SEA 32-2206,KI,133,412,132,266,0,1
SEA 46-2316,KI,114,411,125,239,0,0
SEA 32-2204,KI,114,339,114,230,0,2
SEA 46-2314,KI,116,337,100,217,0,1
SEA 32-2202,KI,116,436,130,250,0,4
SEA 32-2203,KI,201,758,217,422,0,4
SEA 32-2200,KI,131,385,132,263,0,0
SEA 32-2201,KI,160,463,154,315,0,1
SEA 46-2619,KI,140,539,138,279,0,1
SEA 43-2545,KI,162,699,210,375,0,3
SEA 32-2208,KI,95,350,129,224,0,0
SEA 32-2209,KI,181,599,219,402,0,2
SEA 36-2592,KI,86,352,118,205,0,1
SEA 36-2593,KI,86,289,88,174,0,0
SEA 34-1438,KI,110,328,99,209,0,0
SEA 34-1439,KI,100,369,116,220,1,3
SEA 34-1432,KI,100,331,117,218,0,1
SEA 34-1433,KI,100,319,108,208,0,0
SEA 34-1430,KI,95,322,95,190,0,0
SEA 34-1431,KI,104,308,99,203,0,0
SEA 34-1436,KI,73,362,83,156,0,0
SEA 34-1437,KI,103,498,147,254,0,4
SEA 34-1434,KI,90,271,92,183,0,1
SEA 34-1435,KI,61,299,115,178,0,2
SEA 36-2509,KI,114,403,146,260,0,0
SEA 36-2508,KI,141,427,151,293,0,1
SEA 46-2352,KI,85,338,93,181,0,3
SEA 46-1955,KI,149,558,138,289,0,2
SEA 11-1600,KI,129,550,127,257,0,1
SEA 46-2228,KI,112,486,118,234,0,4
SEA 46-2221,KI,138,513,159,298,0,1
SEA 43-1280,KI,162,669,174,337,0,1
SEA 43-1784,KI,143,500,162,308,0,3
SEA 36-3267,KI,129,548,89,219,0,1
SEA 37-1886,KI,154,523,139,293,0,0
SEA 37-1884,KI,171,643,214,385,0,0
SEA 37-1885,KI,111,398,110,223,0,2
SEA 37-1882,KI,105,395,87,193,0,1
SEA 37-1883,KI,92,423,109,204,0,3
SEA 37-1880,KI,133,514,138,276,0,5
SEA 37-1881,KI,85,396,103,188,0,0
SEA 43-1780,KI,107,350,101,208,0,0
SEA 43-1781,KI,94,326,69,164,0,1
SEA 46-2292,KI,147,505,141,288,0,0
SEA 36-1386,KI,97,315,116,213,0,0
SEA 36-1387,KI,137,462,150,289,0,2
SEA 36-1384,KI,109,309,114,228,0,5
SEA 36-1385,KI,69,243,104,175,0,2
SEA 36-1382,KI,109,374,124,233,0,0
SEA 36-1388,KI,96,337,124,220,0,0
SEA 36-1389,KI,75,259,88,163,0,0
SEA 43-1274,KI,101,302,114,216,0,1
SEA 43-2006,KI,68,298,101,169,0,0
SEA 43-2007,KI,80,256,84,164,0,0
SEA 43-2000,KI,150,550,143,294,0,1
SEA 43-2001,KI,216,648,215,433,0,2
SEA 43-2002,KI,193,587,198,391,0,0
SEA 46-2293,KI,125,441,166,292,0,1
SEA 46-1957,KI,178,553,176,354,0,0
SEA 37-2861,KI,107,391,135,243,0,1
SEA 43-2009,KI,176,487,151,329,0,2
SEA 37-1635,KI,109,524,87,199,0,3
SEA 37-1589,KI,98,290,117,217,0,2
SEA 37-1588,KI,74,244,85,159,0,0
SEA 46-1314,KI,90,330,120,210,0,0
SEA 37-1634,KI,90,473,99,191,0,2
SEA 37-1583,KI,221,700,158,382,0,3
SEA 37-1582,KI,170,715,119,291,0,2
SEA 37-1580,KI,97,333,60,160,0,3
SEA 37-1587,KI,95,311,99,195,0,1
SEA 37-1586,KI,117,373,131,251,0,3
SEA 36-3566,KI,168,579,138,307,0,1
SEA 36-1299,KI,104,425,153,260,0,3
SEA 43-1347,KI,199,726,234,435,0,2
SEA 43-1344,KI,128,452,164,292,0,0
SEA 37-1636,KI,144,586,68,217,0,5
SEA 43-1342,KI,118,366,118,237,0,1
SEA 43-1343,KI,83,355,131,215,0,1
SEA 43-1341,KI,171,499,180,351,0,0
SEA 46-2290,KI,82,289,113,195,0,0
SEA 46-2272,KI,103,367,143,247,0,1
SEA 43-1348,KI,150,555,164,317,0,3
SEA 37-1630,KI,74,309,95,169,0,0
SEA 46-1284,KI,71,278,69,140,0,0
SEA 46-1285,KI,83,303,99,182,0,0
SEA 43-1975,KI,36,439,25,63,0,2
SEA 37-1633,KI,78,329,85,163,0,0
SEA 46-1282,KI,167,656,231,399,0,1
SEA 43-1976,KI,53,242,41,94,0,0
SEA 37-1632,KI,81,292,90,173,0,2
SEA 43-3320,KI,130,515,110,241,0,1
SEA 36-1661,KI,95,277,98,193,0,0
SEA 43-2014,KI,115,352,145,260,0,0
SEA 36-1663,KI,91,275,114,205,0,0
SEA 36-1709,KI,74,359,77,154,0,3
SEA 36-1665,KI,161,515,194,356,0,1
SEA 36-1664,KI,102,326,115,218,0,1
SEA 46-1963,KI,70,278,82,152,0,0
SEA 36-1666,KI,198,572,161,360,0,1
SEA 36-1702,KI,156,606,214,372,0,2
SEA 36-1668,KI,120,443,121,244,0,3
SEA 36-1700,KI,119,383,88,208,0,1
SEA 36-1701,KI,117,331,113,231,0,1
SEA 46-1969,KI,80,278,89,169,0,0
SEA 11-1641,KI,110,539,73,183,0,0
SEA 36-1704,KI,132,640,117,251,0,2
SEA 46-2094,KI,85,283,93,178,0,0
SEA 46-2095,KI,80,279,106,187,0,1
SEA 36-3319,KI,181,867,184,365,0,0
SEA 36-3318,KI,205,680,221,428,0,2
SEA 46-2090,KI,142,494,120,262,0,0
SEA 46-2091,KI,133,451,132,265,0,0
SEA 46-2092,KI,111,311,114,225,0,0
SEA 46-2093,KI,134,462,183,317,0,0
SEA 34-1411,KI,99,307,98,197,0,0
SEA 46-2099,KI,142,437,146,293,0,5
SEA 43-2853,KI,101,440,105,206,0,0
SEA 43-2852,KI,106,501,117,226,0,3
SEA 36-1689,KI,156,484,157,313,0,0
SEA 36-1688,KI,87,273,92,179,0,0
SEA 43-2113,KI,80,393,58,140,0,2
SEA 36-1683,KI,96,305,109,205,0,0
SEA 36-1682,KI,93,309,95,190,0,2
SEA 34-1409,KI,114,422,155,270,0,1
SEA 34-1408,KI,244,708,236,481,0,1
SEA 36-1687,KI,158,644,148,309,0,3
SEA 36-1686,KI,186,768,164,352,0,2
SEA 36-1685,KI,108,418,112,220,0,0
SEA 36-1684,KI,88,338,85,173,0,0
SEA 43-1333,KI,104,340,123,229,0,2
SEA 43-1332,KI,108,385,158,267,0,1
SEA 43-1331,KI,114,366,110,224,0,0
SEA 37-1647,KI,186,669,161,349,0,2
SEA 43-1335,KI,183,637,193,377,0,1
SEA 43-1334,KI,119,446,140,262,0,3
SEA 36-1768,KI,88,331,113,201,0,0
SEA 43-1339,KI,80,298,104,187,0,3
SEA 43-1338,KI,128,449,173,302,0,1
SEA 43-1861,KI,190,750,239,432,0,3
SEA 46-2297,KI,81,283,87,169,0,1
SEA 46-2261,KI,77,256,98,175,0,0
SEA 36-2172,KI,97,319,117,214,0,0
SEA 37-1643,KI,135,682,90,228,0,3
SEA 34-1476,KI,76,273,93,170,0,1
SEA 34-1477,KI,86,307,114,200,0,0
SEA 34-1474,KI,101,402,125,227,0,1
SEA 34-1475,KI,82,311,94,176,0,0
SEA 34-1472,KI,84,239,87,171,0,0
SEA 34-1473,KI,98,319,82,180,0,0
SEA 34-1470,KI,185,677,162,352,0,5
SEA 34-1471,KI,155,492,148,305,0,2
SEA 43-3424,KI,106,407,112,219,0,1
SEA 36-2149,KI,121,367,139,261,0,1
SEA 36-2148,KI,91,359,138,229,0,0
SEA 34-1478,KI,79,253,82,163,0,2
SEA 34-1479,KI,100,313,98,200,0,2
SEA 34-1259,KI,108,328,95,205,0,2
SEA 43-2050,KI,120,442,99,222,0,3
SEA 37-1567,KI,83,332,73,156,0,0
SEA 37-1648,KI,178,695,147,327,0,2
SEA 37-3617,KI,113,553,119,235,0,3
SEA 46-2295,KI,138,481,172,310,0,0
SEA 34-1498,KI,172,668,155,330,0,3
SEA 34-1499,KI,124,483,162,289,0,3
SEA 34-1258,KI,127,341,97,225,0,1
SEA 46-2257,KI,228,799,281,509,0,0
SEA 34-1490,KI,123,437,110,235,0,2
SEA 34-1493,KI,180,722,138,320,0,2
SEA 34-1494,KI,139,536,124,265,0,2
SEA 34-1496,KI,200,826,185,389,0,4
SEA 34-1497,KI,182,728,150,336,0,4
SEA 46-2267,KI,124,518,117,241,0,0
SEA 37-1920,KI,179,574,160,339,0,0
SEA 46-2264,KI,236,768,245,487,0,6
SEA 37-1925,KI,70,319,81,153,0,2
SEA 37-1927,KI,101,409,115,216,0,0
SEA 46-2260,KI,237,722,270,511,0,4
SEA 46-2340,KI,165,680,213,381,0,3
SEA 11-1942,KI,124,526,144,271,0,3
SEA 11-1941,KI,86,431,136,224,0,2
SEA 37-1841,KI,182,813,206,396,0,8
SEA 11-1947,KI,100,453,102,204,0,2
SEA 46-2345,KI,84,294,112,196,0,0
SEA 11-1945,KI,172,703,168,341,0,1
SEA 46-2268,KI,95,330,110,205,0,0
SEA 43-1999,KI,131,439,138,270,0,1
SEA 43-1851,KI,195,694,216,413,0,2
SEA 43-1856,KI,165,579,154,322,0,3
SEA 37-1621,KI,80,342,71,151,0,0
SEA 43-1855,KI,131,619,202,337,0,4
SEA 43-1993,KI,79,238,67,147,0,1
SEA 43-1992,KI,182,652,226,410,0,2
SEA 43-1858,KI,90,335,108,203,0,5
SEA 43-1859,KI,126,553,158,286,0,2
SEA 43-1997,KI,92,295,100,194,0,2
SEA 43-1996,KI,89,298,103,193,0,1
SEA 43-1995,KI,80,244,82,163,0,1
SEA 43-1857,KI,115,528,135,251,0,1
SEA 46-2317,KI,125,433,141,269,0,3
SEA 43-3685,KI,81,258,75,158,0,2
SEA 46-2346,KI,96,364,94,193,0,3
SEA 43-2052,KI,74,445,68,143,0,1
SEA 46-2127,KI,143,494,134,278,0,1
SEA 43-1991,KI,246,839,239,487,0,2
SEA 43-1990,KI,126,458,134,260,0,0
SEA 43-2064,KI,63,370,83,148,0,2
SEA 46-2310,KI,148,386,127,277,0,2
SEA 46-2286,KI,141,437,136,279,0,2
SEA 36-3689,KI,73,398,91,166,0,2
SEA 43-1378,KI,94,308,124,219,0,1
SEA 46-2305,KI,115,364,137,253,0,1
SEA 36-3686,KI,136,501,116,254,0,2
SEA 46-2280,KI,178,645,216,396,0,2
SEA 43-2543,KI,80,313,72,153,0,1
SEA 46-2369,KI,151,419,109,262,0,2
SEA 46-2328,KI,63,299,84,147,0,0
SEA 43-2040,KI,97,476,115,214,0,2
SEA 46-2282,KI,210,653,219,429,0,0
SEA 46-2319,KI,134,506,189,323,0,0
SEA 46-2098,KI,136,436,149,285,0,0
SEA 46-2318,KI,93,277,93,188,0,2
SEA 36-1746,KI,108,313,95,203,0,0
SEA 36-1747,KI,88,296,107,195,0,0
SEA 36-1744,KI,91,393,137,228,0,0
SEA 46-2325,KI,147,405,93,242,0,2
SEA 36-1742,KI,97,296,87,185,0,1
SEA 36-1743,KI,97,391,109,206,0,0
SEA 36-1740,KI,88,323,117,208,0,3
SEA 36-1741,KI,91,325,116,207,0,0
SEA 43-2075,KI,77,458,86,163,0,0
SEA 43-2074,KI,132,564,183,316,0,1
SEA 43-2076,KI,63,403,72,137,0,2
SEA 43-2071,KI,126,371,134,260,0,0
SEA 36-2590,KI,111,364,100,213,0,2
SEA 36-1748,KI,80,261,88,169,0,1
SEA 36-1749,KI,182,681,186,370,0,2
SEA 46-2274,KI,71,256,96,167,0,0
SEA 46-2349,KI,107,382,113,220,0,0
SEA 43-2110,KI,90,452,94,186,0,2
SEA 34-1520,KI,89,314,100,190,0,1
SEA 34-1521,KI,86,266,94,181,0,1
SEA 34-1522,KI,89,261,82,171,0,0
SEA 34-1523,KI,89,296,104,193,0,0
SEA 34-1524,KI,96,291,103,199,0,0
SEA 34-1526,KI,71,248,83,156,0,2
SEA 34-1527,KI,196,684,153,351,0,2
SEA 43-1377,KI,105,330,101,207,0,1
SEA 34-1529,KI,62,266,69,132,0,1
SEA 43-1375,KI,97,327,122,222,0,3
SEA 43-1374,KI,79,295,125,205,0,1
SEA 32-3568,KI,237,849,144,383,1,1
SEA 43-1372,KI,81,335,142,224,0,1
SEA 43-1278,KI,157,588,149,308,0,2
SEA 43-1279,KI,181,684,224,406,0,1
SEA 43-2862,KI,192,736,164,360,0,4
SEA 36-2518,KI,115,425,131,246,0,0
SEA 43-1887,KI,178,648,184,365,0,3
SEA 36-2512,KI,140,505,188,331,0,3
SEA 36-2513,KI,131,434,169,301,0,1
SEA 36-2510,KI,127,352,93,221,0,1
SEA 36-2118,KI,118,383,130,250,0,2
SEA 36-2517,KI,172,613,207,382,0,3
SEA 36-2514,KI,79,298,114,193,0,0
SEA 36-2515,KI,107,361,126,233,0,0
SEA 37-1619,KI,119,449,136,256,0,1
SEA 37-1618,KI,93,389,95,188,0,0
SEA 37-1613,KI,99,292,101,200,0,0
SEA 37-1612,KI,88,288,103,191,0,0
SEA 37-1611,KI,88,289,102,191,0,1
SEA 37-1610,KI,90,331,114,206,0,2
SEA 37-1617,KI,88,323,109,201,0,4
SEA 37-1616,KI,87,351,119,207,0,1
SEA 37-1615,KI,106,343,97,205,0,2
SEA 37-1614,KI,67,260,88,155,0,0
SEA 36-1324,KI,213,779,263,477,0,1
SEA 36-1732,KI,134,449,143,278,0,1
SEA 36-1731,KI,108,404,122,230,0,0
SEA 36-1730,KI,93,385,129,222,0,0
SEA 36-1737,KI,102,416,89,193,0,2
SEA 36-1736,KI,94,341,114,209,0,1
SEA 36-1735,KI,75,252,85,160,0,0
SEA 36-1734,KI,145,497,141,286,0,0
SEA 46-2128,KI,122,542,122,247,0,3
SEA 36-1739,KI,105,309,101,207,0,1
SEA 36-1738,KI,93,295,97,190,0,0
SEA 11-1639,KI,101,551,91,193,0,1
SEA 36-1329,KI,109,410,143,254,0,2
SEA 43-3665,KI,104,379,76,184,0,4
SEA 36-1812,KI,120,469,131,251,0,0
SEA 36-1813,KI,77,330,97,174,0,0
SEA 11-1550,KI,126,563,95,222,0,1
SEA 46-2299,KI,117,393,110,229,0,2
SEA 11-1552,KI,75,379,88,166,0,3
SEA 36-1815,KI,168,453,105,273,0,0
SEA 43-2928,KI,143,639,193,339,0,3
SEA 37-1576,KI,128,435,57,186,0,1
SEA 37-1574,KI,97,417,80,179,0,2
SEA 37-1575,KI,69,377,55,124,0,0
SEA 37-1572,KI,89,307,87,180,0,4
SEA 36-3679,KI,66,314,71,137,0,0
SEA 37-1570,KI,150,659,153,304,0,1
SEA 37-1571,KI,135,432,111,250,0,4
SEA 34-1511,KI,80,320,90,172,0,2
SEA 37-1578,KI,85,413,84,172,0,3
SEA 37-1579,KI,53,247,51,108,0,4
SEA 46-2304,KI,108,369,125,233,0,0
SEA 36-2170,KI,124,450,160,285,0,1
SEA 46-2306,KI,95,307,99,195,0,1
SEA 46-2307,KI,106,313,108,215,0,1
SEA 46-2300,KI,160,490,167,327,0,0
SEA 43-1818,KI,93,295,102,196,0,1
SEA 34-1460,KI,96,324,112,209,0,1
SEA 43-1817,KI,74,264,60,134,0,0
SEA 46-2308,KI,97,377,133,230,0,0
SEA 34-1463,KI,87,259,90,178,0,1
SEA 34-1462,KI,86,339,113,199,0,0
SEA 34-1449,KI,88,367,124,213,0,1
SEA 34-1448,KI,96,270,81,181,0,4
SEA 34-1446,KI,101,398,135,237,0,1
SEA 34-1444,KI,193,595,170,365,0,2
SEA 34-1443,KI,129,380,137,266,0,0
SEA 34-1442,KI,107,380,99,207,0,1
SEA 34-1441,KI,77,264,77,156,0,2
SEA 34-1440,KI,61,242,88,149,0,0
SEA 43-2088,KI,179,694,181,361,0,1
SEA 43-2089,KI,32,341,32,65,0,1
SEA 43-2084,KI,215,668,227,445,0,3
SEA 43-1360,KI,201,622,176,379,0,2
SEA 46-1283,KI,112,391,91,204,0,1
SEA 43-2081,KI,23,385,12,35,0,0
SEA 43-1361,KI,105,417,132,238,0,1
SEA 34-1469,KI,92,362,90,182,0,0
SEA 43-2544,KI,283,887,251,537,0,3
SEA 43-2058,KI,64,247,86,150,0,0
SEA 46-2342,KI,92,406,93,187,0,2
SEA 43-2547,KI,101,461,103,204,0,0
SEA 43-2546,KI,90,324,83,176,0,3
SEA 36-2536,KI,143,567,185,329,0,1
SEA 43-1291,KI,224,684,263,487,0,0
SEA 46-2234,KI,82,274,98,182,0,2
SEA 46-2236,KI,105,350,113,218,0,0
SEA 46-2796,KI,111,456,116,229,0,2
SEA 37-1872,KI,169,581,183,359,0,7
SEA 37-1871,KI,170,629,216,389,0,3
SEA 43-1868,KI,117,353,114,233,0,2
SEA 37-1876,KI,189,766,254,444,0,1
SEA 37-1875,KI,165,525,120,288,0,3
