Row Label,County,Peter L. Nault,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
ISS 05-0547,KI,94,327,97,191,0,0
ISS 05-0546,KI,72,220,49,121,0,0
ISS 05-0545,KI,96,316,73,172,0,3
ISS 05-0544,KI,169,647,124,295,0,2
DUV 45-2959,KI,148,514,119,267,0,0
SNQ 05-1097,KI,93,402,83,177,0,1
ISS 05-0548,KI,200,772,196,398,0,2
MOUNT SI,KI,68,274,97,166,0,1
M-I 41-0796,KI,149,561,116,268,0,3
M-I 41-0797,KI,115,373,84,199,0,0
M-I 41-0794,KI,137,399,120,257,0,0
M-I 41-0795,KI,166,508,150,319,0,3
M-I 41-0792,KI,82,297,104,186,0,0
M-I 41-0793,KI,173,596,193,366,0,0
MABEL,KI,108,331,101,212,0,3
M-I 41-0791,KI,82,259,72,156,0,2
KIR 45-2489,KI,166,559,124,295,0,5
M-I 41-0777,KI,145,492,146,291,0,0
KIR 48-3439,KI,171,531,151,324,0,2
SAM 45-3216,KI,220,710,137,362,0,5
SAM 45-3217,KI,233,641,189,424,0,2
KIR 01-0421,KI,241,724,226,468,0,1
THRUSH,KI,73,275,71,144,0,0
LAKE LEOTA,KI,165,562,146,313,0,2
GRIZZLY,KI,154,653,198,353,0,1
LAKE JOY,KI,226,845,249,478,0,3
BEL 48-2715,KI,146,471,150,298,0,2
BEL 48-2716,KI,128,593,100,230,0,2
M-I 41-0778,KI,97,320,117,215,0,1
M-I 41-0779,KI,144,497,185,331,0,2
BACUS,KI,140,443,130,271,0,1
BEL 48-3143,KI,104,377,96,202,0,2
M-I 41-0771,KI,73,258,76,149,0,0
M-I 41-0773,KI,81,315,99,180,0,0
M-I 41-0774,KI,142,453,145,288,0,1
M-I 41-0775,KI,140,491,173,313,0,0
M-I 41-0776,KI,103,331,106,213,0,4
BEL 48-3144,KI,160,481,108,274,0,6
BEL 41-3140,KI,95,286,75,172,0,2
KIR 45-3646,KI,61,276,39,101,0,1
KIR 01-2561,KI,196,649,140,340,0,4
NEW 41-0248,KI,102,380,76,180,0,2
SI VIEW,KI,132,433,126,259,0,1
MERLOT,KI,172,527,176,349,0,1
ROSE,KI,135,409,143,280,0,2
KIR 48-3337,KI,234,809,228,463,0,1
KIR 45-1040,KI,235,783,195,433,0,3
DUV 45-3502,KI,124,398,118,243,0,1
RED 48-0939,KI,137,457,115,255,0,3
ISS 05-3651,KI,91,396,79,170,0,0
RED 48-0937,KI,60,223,64,125,0,1
DIANE,KI,0,0,0,0,0,0
RED 48-0935,KI,155,591,130,291,0,6
DOUGLAS,KI,164,568,171,337,0,2
SNQ 05-3514,KI,180,648,176,358,0,2
KIR 45-2962,KI,115,453,91,208,0,2
BEL 48-0125,KI,109,405,91,201,0,1
BEL 41-0460,KI,162,506,126,289,0,1
BEL 48-0127,KI,101,393,58,161,0,2
DUV 45-3481,KI,244,692,155,400,0,1
SAM 45-2620,KI,158,491,145,305,0,2
SAM 45-2963,KI,234,774,208,448,0,6
SAM 45-2726,KI,137,479,141,278,0,0
KIR 48-0615,KI,161,542,141,307,0,5
KIR 48-0614,KI,203,751,181,384,0,0
ISS 41-1208,KI,193,649,173,369,0,3
SAM 45-2684,KI,94,304,75,169,0,0
M-I 41-3655,KI,136,457,120,258,0,2
KIR 45-0630,KI,143,518,108,259,0,8
KIR 45-0631,KI,153,585,153,308,0,2
KIR 45-0632,KI,155,475,116,273,0,2
BEL 41-3680,KI,112,413,126,239,0,1
MICHAEL,KI,199,582,152,353,0,2
BEL 41-3684,KI,44,240,77,122,0,1
BEL 48-0694,KI,171,556,107,279,0,1
WOD 45-3530,KI,211,692,152,364,0,1
BEL 48-0198,KI,203,846,172,375,0,0
KIR 48-2919,KI,117,412,89,207,0,1
BEL 48-0191,KI,70,300,76,146,0,0
BEL 48-0190,KI,94,443,97,192,0,1
BEL 48-0193,KI,105,407,99,205,0,1
BEL 48-0192,KI,101,364,105,207,0,1
CAMAS,KI,204,719,229,442,0,9
BEL 48-0194,KI,95,287,64,159,0,0
BEL 48-0196,KI,93,302,81,174,0,0
BOT 01-3398,KI,170,656,179,350,0,1
CLEVELAND,KI,93,344,116,212,0,3
HAPPY VALLEY,KI,41,141,41,82,0,0
RED 48-3147,KI,94,439,81,175,0,0
BEL 41-0815,KI,74,405,78,155,0,3
SNQ 05-3560,KI,136,502,123,263,0,4
ADAIR,KI,426,928,328,756,0,2
