Row Label,County,Carol Barber,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Joe Fain
BERRYDALE,KI,60,505,19,277,0,0,198
COV 47-0566,KI,101,724,16,308,0,1,190
LOUIE,KI,66,512,22,236,0,1,147
PIPELINE,KI,28,153,6,82,0,0,48
COV 47-2390,KI,74,505,12,204,0,0,118
KEN 47-2568,KI,170,866,16,403,0,0,217
KEN 47-0842,KI,137,796,15,368,1,0,215
KEN 47-3676,KI,15,127,5,64,0,0,44
KEN 47-0910,KI,117,765,14,309,0,0,178
KEN 47-3408,KI,58,374,4,141,0,0,79
CLOVER,KI,78,594,16,299,0,0,205
KEN 47-0753,KI,99,622,12,249,0,0,138
AUB 47-0671,KI,108,785,18,329,0,1,202
FREEDOM,KI,108,726,15,378,0,1,254
KEN 47-3402,KI,82,669,12,322,0,1,227
AUB 47-3276,KI,98,610,9,247,0,0,140
COV 47-0313,KI,93,428,12,241,0,0,136
HUCKLEBERRY,KI,67,420,16,227,0,0,144
COV 47-3581,KI,64,385,10,180,0,0,106
KEN 47-3493,KI,98,554,9,269,0,0,162
KEN 47-3652,KI,83,463,8,219,0,0,128
FOREST,KI,90,572,17,313,0,0,206
AUB 47-2700,KI,37,212,5,73,0,1,30
AUB 47-2701,KI,64,486,7,146,0,0,75
KEN 47-1170,KI,63,412,11,180,0,0,106
KEN 47-3352,KI,0,0,0,0,0,0,0
KEN 47-0601,KI,140,733,13,291,0,0,138
KEN 47-0600,KI,15,131,1,46,0,0,30
KEN 47-0439,KI,116,585,22,309,0,1,170
AUB 47-3260,KI,123,886,19,485,0,0,343
KEN 47-2704,KI,156,773,16,430,0,0,258
COV 47-3517,KI,47,263,3,168,0,0,118
CALHOUN,KI,82,574,8,236,0,2,144
COV 47-1145,KI,107,696,15,318,0,0,196
KEN 47-0026,KI,69,357,6,169,0,0,94
KEN 47-0229,KI,121,695,8,296,0,0,167
AUB 47-3456,KI,102,795,16,305,0,2,185
KEN 47-0028,KI,120,533,22,275,0,0,133
COV 47-3597,KI,43,293,12,150,0,1,94
GLENN,KI,36,255,4,126,0,0,86
AUB 47-1066,KI,77,370,13,211,0,0,121
SAWYER,KI,105,594,25,382,0,0,252
KEN 47-3483,KI,114,606,10,285,0,1,160
KEN 47-3323,KI,83,459,11,218,0,1,123
KEN 47-1102,KI,113,759,16,382,0,0,253
KEN 47-2709,KI,138,839,22,407,0,2,245
