Row Label,County,Frank Chopp,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jessica Spear
SEA 43-2007,KI,139,256,14,164,0,1,10
SEA 43-2000,KI,211,550,23,294,0,1,59
SEA 43-2001,KI,337,648,49,433,0,3,44
SEA 43-1370,KI,173,332,14,237,0,2,48
SEA 43-3230,KI,218,626,40,309,0,5,46
SEA 43-1291,KI,401,684,28,487,0,2,56
SEA 43-2008,KI,141,257,13,169,0,1,14
SEA 43-2009,KI,279,487,21,329,0,0,29
SEA 43-1869,KI,197,465,17,270,0,1,55
SEA 43-1868,KI,185,353,12,233,0,0,36
SEA 43-1863,KI,169,475,14,255,0,1,71
SEA 43-1862,KI,171,476,15,234,0,3,45
SEA 43-1861,KI,318,750,34,432,0,0,80
SEA 43-1860,KI,264,745,21,368,0,1,82
SEA 43-1867,KI,209,546,25,299,0,2,63
SEA 43-1347,KI,338,726,33,435,0,2,62
SEA 43-1344,KI,225,452,24,292,0,1,42
SEA 43-1345,KI,198,424,34,274,0,1,41
SEA 43-1342,KI,176,366,24,237,0,1,36
SEA 43-1343,KI,167,355,17,215,0,1,30
SEA 43-1341,KI,268,499,32,351,0,1,50
SEA 43-2002,KI,303,587,28,391,0,1,59
SEA 43-1348,KI,241,555,24,317,0,3,49
SEA 43-1349,KI,169,359,14,231,0,2,46
SEA 43-2039,KI,163,328,10,199,0,1,25
SEA 43-2038,KI,284,560,23,355,0,0,48
SEA 43-2850,KI,136,359,12,182,0,0,34
SEA 43-1975,KI,37,439,14,63,0,1,11
SEA 43-1976,KI,47,242,20,94,0,0,27
SEA 43-2033,KI,217,438,24,276,0,0,35
SEA 43-2035,KI,216,668,30,301,0,4,51
SEA 43-2034,KI,204,424,14,253,0,2,33
SEA 43-2037,KI,199,551,17,274,0,0,58
SEA 43-3497,KI,151,532,26,218,0,1,40
SEA 43-1378,KI,170,308,16,219,0,1,32
SEA 43-2549,KI,237,718,21,339,0,1,80
SEA 43-1870,KI,202,466,10,273,0,0,61
SEA 43-2544,KI,431,887,55,537,0,4,47
SEA 43-2547,KI,146,461,13,204,0,1,44
SEA 43-2546,KI,139,324,5,176,0,2,30
SEA 43-1874,KI,258,608,26,343,0,2,57
SEA 43-2543,KI,99,313,9,153,0,1,44
SEA 43-2542,KI,112,275,7,146,0,0,27
SEA 43-2853,KI,145,440,13,206,0,1,47
SEA 43-2852,KI,149,501,21,226,0,0,56
SEA 43-1406,KI,208,398,28,264,0,0,28
SEA 43-2110,KI,117,452,19,186,0,1,49
SEA 43-1333,KI,171,340,24,229,0,0,34
SEA 43-1332,KI,209,385,32,267,0,1,25
SEA 43-1331,KI,169,366,17,224,0,0,38
SEA 43-1330,KI,177,404,18,238,0,1,42
SEA 43-1278,KI,221,588,28,308,0,1,58
SEA 43-1335,KI,275,637,36,377,0,1,65
SEA 43-1334,KI,196,446,20,262,0,0,46
SEA 43-2026,KI,194,356,18,239,0,0,27
SEA 43-2027,KI,170,292,13,202,0,0,19
SEA 43-1339,KI,149,298,11,187,1,0,26
SEA 43-1338,KI,249,449,19,302,0,0,34
SEA 43-2023,KI,159,388,20,224,0,1,44
SEA 43-2020,KI,211,374,19,249,0,3,16
SEA 43-2021,KI,377,797,30,506,0,5,94
SEA 43-2109,KI,127,478,25,212,0,4,56
SEA 43-2011,KI,159,278,16,189,0,5,9
SEA 43-2105,KI,282,628,29,361,0,1,49
SEA 43-2104,KI,218,379,17,260,0,0,25
SEA 43-1819,KI,247,457,43,303,0,3,10
SEA 43-2550,KI,120,342,8,157,0,1,28
SEA 43-2541,KI,74,268,8,115,0,1,32
SEA 43-1849,KI,115,323,7,161,0,1,38
SEA 43-1845,KI,204,575,12,277,0,2,59
SEA 43-3424,KI,168,407,14,219,0,1,36
SEA 43-1847,KI,173,484,20,227,0,1,33
SEA 43-1846,KI,106,345,9,158,0,1,42
SEA 43-1843,KI,167,551,22,251,0,0,62
SEA 43-1842,KI,210,521,33,282,0,1,38
SEA 43-2028,KI,240,423,11,280,0,1,28
SEA 43-2029,KI,396,706,35,488,0,1,56
SEA 43-2024,KI,148,336,13,201,0,0,40
SEA 43-2113,KI,98,393,11,140,0,0,31
SEA 43-2059,KI,186,424,16,252,0,1,49
SEA 43-2025,KI,275,556,22,360,0,3,60
SEA 43-3262,KI,118,306,19,177,0,0,40
SEA 43-2115,KI,75,527,26,134,0,2,31
SEA 43-2052,KI,85,445,8,143,0,2,48
SEA 43-2050,KI,148,442,15,222,0,2,57
SEA 43-2055,KI,72,322,9,113,0,1,31
SEA 43-1999,KI,216,439,24,270,0,2,28
SEA 43-1851,KI,323,694,19,413,0,1,70
SEA 43-1856,KI,249,579,13,322,0,1,59
SEA 43-1857,KI,179,528,18,251,0,0,54
SEA 43-1855,KI,247,619,22,337,1,2,65
SEA 43-1993,KI,124,238,5,147,0,1,17
SEA 43-1992,KI,305,652,84,410,0,2,19
SEA 43-1858,KI,141,335,7,203,0,1,54
SEA 43-1859,KI,202,553,23,286,0,1,60
SEA 43-1997,KI,144,295,23,194,0,1,26
SEA 43-1996,KI,151,298,19,193,0,3,20
SEA 43-1995,KI,134,244,7,163,0,2,20
SEA 43-1994,KI,155,295,15,197,0,0,27
SEA 43-3685,KI,124,258,14,158,0,1,19
SEA 43-2239,KI,304,566,33,389,0,0,52
SEA 43-2238,KI,420,813,40,539,0,6,73
SEA 43-2237,KI,259,568,30,352,0,4,59
SEA 43-1991,KI,376,839,71,487,0,4,36
SEA 43-2048,KI,156,376,20,214,0,2,36
SEA 43-2049,KI,154,453,11,208,0,3,40
SEA 43-1990,KI,193,458,41,260,0,1,25
SEA 43-2040,KI,152,476,18,214,0,0,44
SEA 43-2043,KI,144,292,16,193,0,2,31
SEA 43-2044,KI,124,350,12,186,0,0,50
SEA 43-2045,KI,147,315,14,189,0,1,27
SEA 43-2047,KI,299,662,39,403,0,3,62
SEA 43-1826,KI,276,567,18,354,1,1,58
SEA 43-1821,KI,118,233,16,144,0,1,9
SEA 43-1982,KI,198,501,27,266,0,4,37
SEA 43-1983,KI,262,497,28,313,0,5,18
SEA 43-1986,KI,134,278,10,163,0,0,19
SEA 43-1263,KI,179,350,19,230,0,1,31
SEA 43-1262,KI,224,468,34,308,0,2,48
SEA 43-1265,KI,118,256,14,148,0,0,16
SEA 43-1264,KI,184,361,19,248,0,1,44
SEA 43-1267,KI,210,386,24,264,0,0,30
SEA 43-1266,KI,168,351,28,213,0,1,16
SEA 43-1269,KI,194,357,16,234,0,2,22
SEA 43-1268,KI,202,352,24,254,0,1,27
SEA 43-1779,KI,91,377,15,147,0,0,41
SEA 43-3692,KI,0,0,0,0,0,0,0
SEA 43-3690,KI,13,38,3,17,0,1,0
SEA 43-2987,KI,58,673,14,97,0,1,24
SEA 43-2084,KI,371,668,32,445,0,3,39
SEA 43-2088,KI,260,694,30,361,0,0,71
SEA 43-1776,KI,267,673,49,375,0,6,53
SEA 43-3320,KI,169,515,32,241,0,3,37
SEA 43-2089,KI,39,341,12,65,0,2,12
SEA 43-3595,KI,245,535,31,322,0,0,46
SEA 43-1380,KI,142,301,9,183,0,1,31
SEA 43-2075,KI,103,458,26,163,0,2,32
SEA 43-2074,KI,230,564,35,316,0,1,50
SEA 43-2076,KI,91,403,12,137,0,3,31
SEA 43-2071,KI,219,371,14,260,0,2,25
SEA 43-1835,KI,300,688,47,417,0,2,68
SEA 43-1784,KI,237,500,31,308,0,3,37
SEA 43-1783,KI,165,455,34,243,0,1,43
SEA 43-1780,KI,167,350,18,208,0,0,23
SEA 43-1781,KI,115,326,16,164,0,0,33
SEA 43-1788,KI,440,807,54,580,0,2,84
SEA 43-1277,KI,225,541,27,282,0,3,27
SEA 43-1274,KI,153,302,26,216,0,3,34
SEA 43-1275,KI,153,275,19,200,0,4,24
SEA 43-1272,KI,230,437,28,285,0,0,27
SEA 43-1379,KI,147,263,10,187,0,0,30
SEA 43-1271,KI,177,473,20,260,1,5,57
SEA 43-1377,KI,157,330,12,207,0,2,36
SEA 43-1376,KI,237,541,24,312,0,0,51
SEA 43-1375,KI,164,327,16,222,0,3,39
SEA 43-1374,KI,162,295,15,205,0,3,25
SEA 43-1373,KI,188,335,13,243,0,0,42
SEA 43-1372,KI,187,335,11,224,0,0,26
SEA 43-1371,KI,111,288,13,166,0,0,42
SEA 43-1279,KI,315,684,35,406,0,2,54
SEA 43-1887,KI,273,648,22,365,0,1,69
SEA 43-1889,KI,212,483,22,288,0,1,53
SEA 43-1888,KI,262,633,30,373,0,2,79
SEA 43-2061,KI,148,476,21,207,0,2,36
SEA 43-2064,KI,96,370,15,148,0,0,37
SEA 43-2065,KI,105,547,27,179,0,2,45
SEA 43-2068,KI,138,425,8,191,0,1,44
SEA 43-2069,KI,284,652,27,399,0,2,86
SEA 43-2928,KI,236,639,28,339,0,2,73
SEA 43-2862,KI,274,736,40,360,0,3,43
SEA 43-3628,KI,211,536,26,290,0,0,53
SEA 43-3665,KI,134,379,25,184,0,4,21
