Row Label,County,Greg Sandstrom,Jeff Wallis
NEW BROOKLYN 322,KP,180,103
TOLO 333,KP,271,133
FERNCLIFF 315,KP,360,250
S&#39;KLALLAM 418,KP,12,27
PORT ORCHARD 202,KP,368,150
NAVY YARD CITY 095,KP,255,168
PORT ORCHARD 200,KP,154,74
SANTA FE 148,KP,267,122
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,221,89
PORT ORCHARD 204,KP,256,138
PORT ORCHARD 205,KP,734,213
HUNTER 219,KP,302,104
CONIFER 271,KP,186,73
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,430,145
SCANDIA 455,KP,345,150
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,215,122
ALPINE 111,KP,282,107
LUNDBERG 250,KP,334,149
POINT NO POINT 416,KP,481,238
VINLAND 412,KP,418,151
LINCOLN 440,KP,296,131
BREMERTON 032,KP,24,31
OVERLOOK 267,KP,253,131
BREMERTON 030,KP,257,115
BREMERTON 031,KP,155,62
BREMERTON 037,KP,404,143
APPLE TREE 422,KP,342,191
ERLANDS POINT 130,KP,242,101
RIDGEPOINT 141,KP,240,105
PERRY 073,KP,191,84
CRYSTAL SPRINGS 312,KP,382,225
CRESCENT VALLEY 266,KP,347,143
SHERMAN HEIGHTS 278,KP,11,6
SPINNAKER 146,KP,215,105
SINCLAIR 275,KP,161,83
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,328,298
SYMINGTON 151,KP,186,71
PORT ORCHARD 210,KP,206,93
FRONTIER 102,KP,387,152
RIDGEWAY 084,KP,99,28
WING POINT 305,KP,254,117
PEARSON 445,KP,453,193
BREMERTON 114,KP,0,0
SEABOLD 335,KP,326,212
TIBARDIS 139,KP,147,63
BREMERTON 007,KP,5,5
BREMERTON 006,KP,136,119
BREMERTON 005,KP,144,118
SUQUAMISH 460,KP,186,164
BREMERTON 003,KP,226,153
BREMERTON 002,KP,97,84
BREMERTON 001,KP,130,102
BUCKLIN 121,KP,369,142
MADRONA 269,KP,247,94
DRIVE-IN 283,KP,9,3
MILLER BAY 458,KP,382,194
CONVERSE 252,KP,281,137
LONG LAKE 245,KP,245,86
BREMERTON 088,KP,44,25
BREMERTON 159,KP,165,87
SUTTON 165,KP,216,90
OLYMPIC VIEW 103,KP,293,89
Total,KP,52492,24812
