Row Label,County,Dave Aldrich,Bruce King
LAKE STEVENS  7,SN,136,158
LAKE STEVENS  1,SN,173,165
LAKE STEVENS  2,SN,117,132
LAKE STEVENS  3,SN,162,167
PRIEST POINT,SN,102,61
LAKE STEVENS  8,SN,137,109
LAKE STEVENS  9,SN,99,99
BOTHELL 45,SN,70,64
MONROE  1,SN,163,137
MONROE  3,SN,116,132
EVERETT  90,SN,40,34
STANWOOD 2,SN,133,113
SOUTH SNOHOMISH,SN,107,92
STANWOOD 5,SN,175,143
STANWOOD 4,SN,176,151
LYNNWOOD 23,SN,122,107
CAVALRY,SN,139,128
LYNNWOOD 21,SN,129,128
SULTAN RIVER,SN,109,129
STANWOOD 7,SN,65,76
LYNNWOOD 25,SN,170,107
LYNNWOOD 24,SN,103,85
WATERS,SN,150,160
MONROE  6,SN,116,106
EVERETT   4,SN,149,98
MARYSVILLE 22,SN,175,160
EVERETT  75,SN,78,81
KENWOOD,SN,126,98
ELFIN,SN,74,70
KENNARD,SN,105,97
ROBINHOOD,SN,102,97
EDMONDS 14,SN,105,85
HAINES,SN,149,124
SPENCER(*),SN,0,0
HILTONS LAKE,SN,142,116
TUCKER,SN,167,93
EVERETT  39,SN,112,112
EVERETT  38,SN,29,36
BEVERLY,SN,134,108
EVERETT  36,SN,86,117
KNOX,SN,6,10
MARINER,SN,103,102
EVERETT  33,SN,174,152
EVERETT  32,SN,119,135
EVERETT  31,SN,91,81
EVERETT  30,SN,154,138
EDMONDS 39,SN,220,119
EVERETT  41,SN,94,95
EDMONDS 33,SN,126,97
EDMONDS 32,SN,143,99
EDMONDS 31,SN,154,120
EDMONDS 30,SN,121,95
EDMONDS 37,SN,126,117
EDMONDS 36,SN,147,97
PACIFIC,SN,37,26
EDMONDS 34,SN,171,99
TRONSON,SN,106,76
LAKE STEVENS 28,SN,129,105
LAKE STEVENS 26,SN,69,69
LAKE STEVENS 27,SN,82,56
LAKE STEVENS 24,SN,92,96
LAKE STEVENS 25,SN,33,38
LAKE STEVENS 22,SN,105,110
LAKE STEVENS 23,SN,97,89
LAKE STEVENS 20,SN,118,144
LAKE STEVENS 21,SN,162,145
ARLINGTON 18,SN,0,0
ARLINGTON 17,SN,5,2
ARLINGTON 16,SN,80,89
ARLINGTON 15,SN,40,45
ARLINGTON 14,SN,101,97
VINE,SN,116,112
ARLINGTON 12,SN,86,104
ARLINGTON 11,SN,84,55
ARLINGTON 10,SN,141,175
PELLERIN,SN,141,98
KOKANEE,SN,83,53
TIMBER,SN,0,0
EVERGREEN,SN,83,75
PIPELINE,SN,130,119
CREEK,SN,150,140
EVERETT  69,SN,109,113
LYNNWOOD  7,SN,157,119
WALNUT,SN,100,77
STANWOOD 1,SN,69,48
STANWOOD 3,SN,100,97
MONROE  2,SN,133,137
MONROE  5,SN,154,161
PINEWOOD,SN,152,88
MONROE  7,SN,124,122
STANWOOD 6,SN,84,77
MONROE  9,SN,141,114
MONROE  8,SN,70,75
CLOVER,SN,117,88
COHO,SN,54,47
OWEN,SN,86,115
MARYSVILLE 47,SN,104,142
FERN,SN,41,47
LYNNWOOD  5,SN,76,61
LYNNWOOD  4,SN,114,79
MUKILTEO 21,SN,100,58
MUKILTEO 20,SN,180,123
LYNNWOOD  1,SN,62,54
LYNNWOOD  3,SN,126,86
POND,SN,128,112
ATLAS,SN,148,151
LYNNWOOD  9,SN,166,113
LYNNWOOD  8,SN,97,74
SPADA(*),SN,0,0
BRIER 8,SN,104,85
MILL CREEK 21,SN,76,49
MILL CREEK 20,SN,122,84
MILL CREEK 22,SN,88,77
BRIER 3,SN,224,145
BRIER 2,SN,119,75
BRIER 1,SN,128,131
OVERLOOK,SN,158,151
BRIER 7,SN,111,94
BRIER 6,SN,97,81
BRIER 5,SN,201,125
BRIER 4,SN,160,113
MUKILTEO 12,SN,230,140
POPLAR,SN,77,57
FOUR CORNERS,SN,121,141
KACKMAN,SN,102,99
PILOT,SN,144,132
MUKILTEO  5,SN,178,178
MUKILTEO  4,SN,107,91
MUKILTEO  7,SN,124,88
MUKILTEO  6,SN,140,133
MUKILTEO  1,SN,176,166
MUKILTEO  3,SN,117,102
OHLDE,SN,131,121
MARYSVILLE 49,SN,93,110
MUKILTEO  9,SN,131,116
MUKILTEO  8,SN,111,88
COVE,SN,102,120
SILVER LAKE,SN,117,108
JORDAN TRAILS,SN,62,86
SOUTH LAKE STEVENS,SN,145,128
WINTER LAKE,SN,72,72
SUNDAY LAKE,SN,169,164
HAPPY VALLEY,SN,95,78
TUALCO,SN,103,89
RIDGEVIEW,SN,69,48
WINDSONG,SN,105,105
LAKE STEVENS 17,SN,121,123
MISTY,SN,163,112
LAKE STEVENS 15,SN,156,130
REES,SN,47,54
LAKE STEVENS 13,SN,129,102
LAKE STEVENS 12,SN,87,105
LAKE STEVENS 11,SN,85,78
LAKE STEVENS 10,SN,115,132
ROYAL,SN,154,179
LAKE STEVENS 19,SN,132,140
LAKE STEVENS 18,SN,107,119
MANORDALE,SN,118,89
POPPY,SN,96,57
CLEARVIEW,SN,165,111
LIND,SN,137,118
HAMPTON,SN,130,130
PARKSHORE,SN,103,84
MILL CREEK 10,SN,115,77
DUBUQUE,SN,124,114
IVERSON,SN,96,71
KEELER,SN,100,89
MILL CREEK 13,SN,122,104
MARTHA LAKE,SN,142,112
PARK PLACE,SN,46,58
BLUFF,SN,141,125
SISCO,SN,153,152
THOMAS CREEK,SN,119,104
TULALIP 3,SN,123,126
OLNEY,SN,132,145
TULALIP 1,SN,139,124
TULALIP 6,SN,59,60
TULALIP 4,SN,126,131
TULALIP 5,SN,88,75
EVERETT  60,SN,119,112
EVERETT  61,SN,30,18
EVERETT  62,SN,91,84
EVERETT  63,SN,97,91
SHOECRAFT,SN,132,156
EVERETT  65,SN,109,110
EVERETT  66,SN,119,109
EVERETT  67,SN,117,91
EVERETT  68,SN,167,148
ROSE,SN,85,113
LAKE,SN,164,156
HIPOINT,SN,89,68
MILL CREEK  3,SN,91,66
MILL CREEK  2,SN,131,85
MILL CREEK  1,SN,177,143
MILL CREEK  7,SN,15,6
MILL CREEK  6,SN,197,140
MILL CREEK  5,SN,191,152
MILL CREEK  4,SN,108,89
HEARTHSTONE,SN,96,88
MILL CREEK  9,SN,150,93
MILL CREEK  8,SN,188,138
CLIFF,SN,94,83
MARYSVILLE 54,SN,139,153
MARYSVILLE 55,SN,80,93
HEMLOCK,SN,190,132
MARYSVILLE 53,SN,73,95
BROCKLIN,SN,126,131
MARYSVILLE 51,SN,55,52
COUNTRY,SN,95,79
WITHERS,SN,165,127
PIONEER,SN,130,104
ELWOOD,SN,133,111
PEAK,SN,6,7
HOLLY,SN,147,106
CHAIN LAKE,SN,153,158
BRYANT,SN,48,60
WOODWAY 1,SN,138,114
WOODWAY 2,SN,81,66
MUKILTEO  2,SN,229,155
KENSINGTON,SN,79,63
FALLS,SN,21,12
HILL,SN,107,98
VILLAGE,SN,187,177
MARYSVILLE 36,SN,95,95
SHELTON,SN,137,185
PACKWOOD,SN,74,65
POST,SN,126,117
BOULDER,SN,188,171
HUNT(*),SN,0,0
FIRGROVE,SN,92,90
RICHLAND,SN,51,40
FLORENCE,SN,52,63
MC DONALD,SN,95,84
NORTH CREEK,SN,105,112
EVERETT  70(*),SN,0,0
GREENWOOD,SN,143,138
CRAWFORD,SN,35,32
HAVEN,SN,138,146
LYNNWOOD 30,SN,129,141
LYNNWOOD 31,SN,86,64
LYNNWOOD 33,SN,136,105
LYNNWOOD 34,SN,72,58
MALTBY,SN,114,141
STONE GATE,SN,95,94
MARYSVILLE 45,SN,167,153
BOSTIAN,SN,98,87
SILER,SN,91,71
MAPLEWOOD,SN,102,122
MOUNTLAKE TERRACE 19,SN,141,111
MOUNTLAKE TERRACE 18,SN,117,120
MOUNTLAKE TERRACE 17,SN,182,132
MOUNTLAKE TERRACE 16,SN,99,69
MOUNTLAKE TERRACE 15,SN,112,92
MOUNTLAKE TERRACE 14,SN,132,129
MOUNTLAKE TERRACE 13,SN,146,117
MOUNTLAKE TERRACE 12,SN,122,100
MOUNTLAKE TERRACE 11,SN,111,102
MOUNTLAKE TERRACE 10,SN,172,144
ARLINGTON  8,SN,135,118
ARLINGTON  9,SN,121,143
ARLINGTON  4,SN,226,163
EVERETT   1,SN,188,110
ARLINGTON  6,SN,140,134
ASH,SN,168,140
EDMONDS 43,SN,157,138
ARLINGTON  1,SN,119,117
ARLINGTON  2,SN,88,98
ARLINGTON  3,SN,109,96
SHADOW WOOD,SN,133,100
HUCKLEBERRY,SN,50,86
SHORTS,SN,189,129
PIONEER TRAILS,SN,144,89
CREEKSIDE,SN,88,100
LYNNWOOD 29,SN,170,152
EVERETT  28,SN,115,81
EVERETT  29,SN,96,80
ARLINGTON  5,SN,180,145
EVERETT  24,SN,139,112
EVERETT  25,SN,120,92
PETERSON,SN,159,158
EVERETT  27,SN,137,121
EVERETT  20,SN,131,93
EVERETT  21,SN,193,139
EVERETT  22,SN,121,86
EVERETT  23,SN,29,20
EVERETT  18,SN,159,144
ARLINGTON  7,SN,153,171
ADMIRALTY,SN,84,90
EDMONDS 49,SN,138,96
GLEN ACRES(*),SN,0,0
EDMONDS 47,SN,73,63
EDMONDS 44,SN,132,106
EVERETT  89,SN,108,81
EDMONDS 42,SN,115,77
LAKE STEVENS  6,SN,143,112
WOODGATE,SN,78,64
EDMONDS 41,SN,118,77
EVERETT  86,SN,119,96
THOMPSON,SN,154,152
BUTTERNUT,SN,129,108
MONROE  4,SN,136,140
EVERETT  82,SN,93,83
STILLAGUAMISH,SN,48,61
BOTHELL 31,SN,157,121
BOTHELL 33,SN,122,102
GLENWOOD,SN,91,90
BOTHELL 35,SN,112,97
BOTHELL 34,SN,157,121
BOTHELL 37,SN,169,131
BOTHELL 36,SN,104,125
BOTHELL 39,SN,110,86
BOTHELL 38,SN,128,109
ALDERCREST,SN,30,22
MC FARLAND,SN,147,145
QUEENS,SN,127,113
EVERETT  91,SN,83,91
LUPINE,SN,110,88
EVERETT  93,SN,72,78
HAZEL,SN,167,153
EVERETT  95,SN,59,59
EVERETT  94,SN,80,61
OAKS,SN,165,123
GIBSON,SN,86,83
HIGH ROCK,SN,113,108
BEECHER,SN,143,135
BERKSHIRE,SN,200,153
PORTAGE,SN,54,61
STICKNEY,SN,122,133
MARYSVILLE 50,SN,121,138
STOCK SHOW,SN,65,63
HENNING,SN,161,193
PILCHUCK RIVER,SN,14,6
MILL,SN,128,149
WOODS CREEK,SN,90,128
LOMA,SN,114,117
WILLOWDALE,SN,164,107
MARYSVILLE 18,SN,166,137
MARYSVILLE 19,SN,117,103
MARYSVILLE 12,SN,147,125
MARYSVILLE 13,SN,102,100
MARYSVILLE 10,SN,84,102
MARYSVILLE 11,SN,155,175
MARYSVILLE 16,SN,155,155
OSBORN,SN,114,97
SUNRISE,SN,136,90
MARYSVILLE 15,SN,136,120
MEADOW,SN,113,96
LAKE STEVENS 16,SN,93,85
SLIVER(*),SN,0,0
ROOSEVELT,SN,61,77
LAKE STEVENS 14,SN,121,113
RAINIER,SN,70,66
DOUGLAS FIRS,SN,121,89
TROMBLEY,SN,114,127
RUGGS LAKE,SN,148,126
EVERETT   6,SN,93,89
EVERETT   7,SN,49,61
LAKE GOODWIN,SN,219,171
EVERETT   5,SN,114,100
EVERETT   2,SN,165,78
EVERETT   3,SN,98,96
SHELBY,SN,120,85
MAGNOLIA,SN,119,74
WHEELER,SN,117,113
VALMONT,SN,74,71
EDMONDS 13,SN,175,136
EVERETT   8,SN,88,123
EVERETT   9,SN,195,170
GETCHELL,SN,109,113
SEXTON,SN,170,151
EDMONDS 15,SN,118,90
RIVERCREST,SN,88,83
LYNNWOOD  2,SN,94,86
STAR CREEK,SN,77,71
EDMONDS 19,SN,174,114
CASSIDY,SN,112,143
EDMONDS 18,SN,145,100
TRANGEN,SN,121,107
WOODRIDGE,SN,181,156
MACHIAS,SN,181,179
FIRTREE,SN,100,111
SNOHOMISH 10,SN,53,65
EAST SHORE,SN,125,117
ALMA,SN,13,18
CASCADIAN,SN,161,138
ALDER,SN,123,90
EDMONDS 46,SN,242,196
LYNNWOOD 32(*),SN,0,0
INDEX,SN,19,27
EDMONDS 45,SN,118,89
LYNNWOOD 22,SN,101,62
JORDAN BRIDGE,SN,37,38
WELLINGTON,SN,166,146
FREEWAY,SN,127,121
SHORE,SN,138,144
LYNNWOOD 20,SN,144,86
EDMONDS 40,SN,135,120
SILVANA,SN,98,83
LYNNWOOD 26,SN,134,103
EVERETT  55,SN,37,32
EVERETT  54,SN,104,121
EVERETT  57,SN,125,116
EVERETT  56,SN,104,109
EVERETT  51,SN,125,105
EVERETT  50,SN,135,107
EVERETT  53,SN,148,101
EVERETT  52,SN,122,98
SAMOEA,SN,143,116
STORM LAKE,SN,169,166
EVERETT  59,SN,97,94
EVERETT  58,SN,13,14
EDMONDS 11,SN,171,133
EDMONDS 10,SN,175,127
EVERETT  72,SN,68,64
EDMONDS 12,SN,84,76
MOUNTLAKE TERRACE  8,SN,133,89
MOUNTLAKE TERRACE  9,SN,76,75
EDMONDS 17,SN,123,98
EDMONDS 16,SN,104,89
MOUNTLAKE TERRACE  4,SN,89,81
MOUNTLAKE TERRACE  5,SN,105,110
MOUNTLAKE TERRACE  6,SN,90,75
MOUNTLAKE TERRACE  7,SN,65,70
MOUNTLAKE TERRACE  1,SN,103,113
MOUNTLAKE TERRACE  2,SN,106,99
MOUNTLAKE TERRACE  3,SN,125,81
LYNNWOOD 28,SN,61,87
WELANGDON,SN,10,9
RONCREST,SN,48,59
PANTHER CREEK,SN,124,130
HIGH BRIDGE,SN,215,161
EDMONDS  6,SN,203,129
AVALON,SN,53,68
MINOR,SN,143,118
KETCHUM,SN,113,132
PUGET,SN,132,84
HAT ISLAND,SN,10,18
ANN,SN,104,104
EDMONDS  5,SN,88,90
WOODLAND,SN,76,65
DARRINGTON,SN,141,132
NORTHROAD,SN,160,152
NEWTON,SN,102,80
NEWBERG,SN,105,95
FAIRVIEW,SN,97,98
SLEEPY HOLLOW,SN,114,129
MARYSVILLE 52,SN,137,175
STANBY,SN,39,34
MARYSVILLE 27,SN,148,171
BOEING,SN,110,93
MANOR,SN,134,106
SANDMAN,SN,104,82
WEST FORK,SN,42,46
SKYKOMISH,SN,35,50
LOCHSLOY,SN,169,157
AIRPARK,SN,29,38
WALLACE,SN,79,101
EDMONDS 29,SN,177,108
FIRCREST,SN,104,72
PICNIC POINT,SN,117,89
FIELD,SN,124,121
HARTFORD,SN,65,66
YORK,SN,148,133
MARKS,SN,133,123
BOSWORTH,SN,167,154
GREGORY,SN,107,96
NORTH FORK,SN,72,72
MORNING RISE,SN,126,112
BOTHELL 32,SN,108,77
MEADOWDALE,SN,119,106
PARADISE,SN,169,117
MARYSVILLE 28,SN,61,97
WINGATE,SN,153,116
MARYSVILLE  9,SN,66,52
MARYSVILLE  8,SN,121,113
LAKEWOOD,SN,112,113
MARYSVILLE  1,SN,78,89
MARYSVILLE  3,SN,134,145
MARYSVILLE  2,SN,63,49
MARYSVILLE  5,SN,174,164
MARYSVILLE  4,SN,86,111
MARYSVILLE  7,SN,92,82
MARYSVILLE  6,SN,96,102
EVERETT  11,SN,172,120
LARCH,SN,128,95
EVERETT  13,SN,90,96
EVERETT  12,SN,114,99
EVERETT  15,SN,113,113
EVERETT  14,SN,119,103
EVERETT  17,SN,73,67
EVERETT  16,SN,90,92
EVERETT  19,SN,123,94
SEATTLE HILL,SN,120,90
WHALEBACK,SN,11,8
EDMONDS 51,SN,163,97
EDMONDS 50,SN,87,101
EDMONDS 52,SN,118,101
SULTAN 1,SN,99,160
SULTAN 3,SN,112,100
SULTAN 2,SN,89,136
SULTAN 4,SN,80,108
MERIDIAN,SN,141,123
BROOK,SN,157,125
SILVANA TERRACE,SN,97,80
MARION,SN,99,129
MUKILTEO 13,SN,150,112
HILLMAN,SN,124,87
EASTMONT,SN,105,90
MARYSVILLE 46,SN,161,182
EVERETT  88,SN,137,101
CRYSTAL,SN,147,81
BATTERY,SN,86,100
EVERETT  87,SN,81,73
EVERETT  84,SN,29,41
EVERETT  85,SN,106,71
BEAR CREEK,SN,97,100
EVERETT  83,SN,96,109
EVERETT  80,SN,136,141
EVERETT  81,SN,67,58
SUMMIT,SN,135,89
LAKE HOWARD,SN,115,119
Total,SN,87694,77822
TYEE,SN,135,115
EVERETT  92,SN,2,2
MILLARD,SN,80,71
MEADOWCREST,SN,122,117
TULALIP 2,SN,152,80
OLIVIA,SN,17,15
PUGET PARK,SN,116,92
SPRUCE,SN,82,64
RAILROAD,SN,91,96
HIWAY,SN,16,12
EDMONDS  2,SN,153,114
EDMONDS  3,SN,180,123
OUTLOOK,SN,135,123
EDMONDS  1,SN,168,102
EDGECOMB,SN,103,110
EDMONDS  7,SN,175,144
EDMONDS  4,SN,148,106
FILBERT,SN,153,149
EDMONDS  8,SN,197,157
EDMONDS  9,SN,108,85
WANDERING CREEK,SN,134,141
SNOCADE,SN,190,155
MARYSVILLE 26,SN,139,146
MARYSVILLE 25,SN,73,73
MARYSVILLE 24,SN,119,108
MARYSVILLE 23,SN,190,159
TERRACE,SN,26,24
MARYSVILLE 21,SN,211,176
MARYSVILLE 20,SN,122,136
VALLEY,SN,42,35
LUDWIG,SN,113,121
MARYSVILLE 29,SN,72,75
CRYSTAL CREEK,SN,64,74
GROVE,SN,147,138
JIM CREEK,SN,144,202
GRANNIS,SN,131,105
RIVERVIEW,SN,149,125
EVERETT  64,SN,54,58
ROWLAND,SN,97,79
LANTERN,SN,127,125
STITCH,SN,52,31
WINDROSE,SN,204,135
WENBERG,SN,118,129
SNOHOMISH  2,SN,91,106
SNOHOMISH  3,SN,138,94
SNOHOMISH  1,SN,137,145
SNOHOMISH  6,SN,87,94
SNOHOMISH  7,SN,137,126
SNOHOMISH  4,SN,115,131
SNOHOMISH  5,SN,177,150
LAURA,SN,168,131
SNOHOMISH  8,SN,178,175
SNOHOMISH  9,SN,80,77
SUNNYSIDE,SN,33,53
EVERETT  37,SN,128,115
CATHCART,SN,73,92
PENNANT,SN,178,137
EVERETT  35,SN,129,117
KAYAK,SN,122,109
EVERETT  34,SN,95,79
TRAIL,SN,61,70
WOODSHIRE,SN,92,117
ROB,SN,103,77
MERWIN,SN,89,71
OSO,SN,66,104
OLDMARK,SN,173,160
BOTHELL 40,SN,173,101
BOTHELL 41,SN,160,136
BOTHELL 42,SN,167,148
BOTHELL 43,SN,102,90
BOTHELL 44,SN,116,92
BURN HILL,SN,136,135
BOTHELL 46,SN,126,108
BOTHELL 47,SN,146,121
EMERALD,SN,111,130
GRAND FIRS,SN,181,133
EVERETT  48,SN,101,91
EVERETT  49,SN,161,126
EVERETT  42,SN,86,95
EVERETT  43,SN,59,82
EVERETT  40,SN,43,64
WILLOW,SN,82,123
EVERETT  46,SN,94,96
EVERETT  47,SN,122,116
EVERETT  44,SN,97,68
EVERETT  45,SN,110,78
EBEY,SN,6,22
EVERETT  26,SN,210,148
CYPRESS,SN,123,122
SYLVAN,SN,9,7
EDMONDS 24,SN,106,79
EDMONDS 25,SN,128,111
EDMONDS 26,SN,101,92
EDMONDS 27,SN,128,78
EDMONDS 21,SN,223,122
EDMONDS 22,SN,142,111
EDMONDS 23,SN,217,115
WELCH,SN,156,137
JORDAN,SN,202,188
HIGHLAND,SN,107,97
EDMONDS 28,SN,166,93
FAIRWOOD,SN,59,60
SILVER CREEK,SN,106,75
TRAFTON,SN,78,116
MARYSVILLE 48,SN,96,108
JEFFERSON,SN,79,95
FERNWOOD,SN,136,91
EDMONDS 35,SN,135,80
THRASHERS,SN,91,114
HILLTOP,SN,186,131
TURNER,SN,185,188
HOLIDAY,SN,66,61
CHAPEL,SN,72,100
EDMONDS 48,SN,144,95
KENTISH,SN,97,90
EDMONDS 38,SN,181,108
TOTEM FALLS,SN,207,131
KATTENHORN,SN,203,143
CEDARHOME,SN,117,136
CASCADE,SN,87,85
MARSH,SN,161,155
CENTENNIAL,SN,154,194
TOWER,SN,135,114
MONROE 12,SN,82,79
VILLE,SN,46,54
MONROE 10,SN,117,137
MONROE 11,SN,43,50
GRANITE FALLS 3,SN,45,54
GRANITE FALLS 2,SN,156,141
GRANITE FALLS 1,SN,127,132
LOCUST,SN,132,112
OLYMPUS,SN,109,89
SUNSET,SN,190,136
DOGWOOD,SN,113,73
SOUTH ALDERWOOD,SN,189,122
DALE,SN,123,123
SERENE,SN,115,117
REDHAWK,SN,176,125
JEFF,SN,101,90
ALICIA,SN,150,120
HILLSIDE,SN,53,57
POINTE,SN,29,13
ARMSTRONG,SN,91,122
STRAWBERRY,SN,131,132
MARYSVILLE 33(*),SN,0,0
NORMA,SN,108,99
DUMAS,SN,103,121
GOLD BAR 2,SN,94,93
GOLD BAR 1,SN,104,92
GLENBAR,SN,110,78
FOREST,SN,147,117
SAUK,SN,52,56
EMANDER,SN,141,118
PILCHUCK,SN,98,120
ARLINGTON 13,SN,146,173
HEIGHTS,SN,118,140
DAMSON,SN,189,117
TAMBARK,SN,135,92
ECHO LAKE,SN,188,127
MADISON,SN,172,155
EVERETT  10,SN,98,88
GATEWAY,SN,141,129
LYNNWOOD 18,SN,110,130
LYNNWOOD 19,SN,142,100
MARYSVILLE 14,SN,189,151
LYNNWOOD 12,SN,133,118
LYNNWOOD 13,SN,95,87
LYNNWOOD 10,SN,63,62
LYNNWOOD 11,SN,105,135
LYNNWOOD 16,SN,119,95
LYNNWOOD 17,SN,155,147
LYNNWOOD 14,SN,110,84
LYNNWOOD 15,SN,98,88
