Row Label,County,Eileen A. Kato,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-2861,KI,111,391,129,243,0,3
SEA 43-2009,KI,172,487,155,329,0,2
SEA 37-1635,KI,115,524,82,199,0,2
SEA 37-1589,KI,104,290,112,217,0,1
SEA 37-1588,KI,79,244,80,159,0,0
SEA 46-1314,KI,91,330,119,210,0,0
SEA 37-1634,KI,100,473,89,191,0,2
SEA 37-1583,KI,236,700,144,382,0,2
SEA 37-1582,KI,172,715,117,291,0,2
SEA 37-1580,KI,99,333,58,160,0,3
SEA 37-1587,KI,98,311,97,195,0,0
SEA 37-1586,KI,128,373,120,251,0,3
SEA 36-3566,KI,164,579,142,307,0,1
SEA 36-1299,KI,104,425,153,260,0,3
SEA 43-1347,KI,204,726,228,435,0,3
SEA 43-1344,KI,133,452,158,292,0,1
SEA 37-1636,KI,152,586,61,217,0,4
SEA 43-1342,KI,125,366,111,237,0,1
SEA 43-1343,KI,85,355,129,215,0,1
SEA 43-1341,KI,176,499,175,351,0,0
SEA 46-2290,KI,81,289,114,195,0,0
SEA 46-2272,KI,102,367,144,247,0,1
SEA 43-1348,KI,157,555,159,317,0,1
SEA 37-1630,KI,84,309,85,169,0,0
SEA 46-1284,KI,73,278,67,140,0,0
SEA 46-1285,KI,84,303,98,182,0,0
SEA 43-1975,KI,37,439,25,63,0,1
SEA 37-1633,KI,83,329,80,163,0,0
SEA 46-1282,KI,175,656,223,399,0,1
SEA 43-1976,KI,56,242,38,94,0,0
SEA 37-1632,KI,86,292,85,173,0,2
SEA 43-3320,KI,131,515,108,241,0,2
SEA 36-1661,KI,92,277,101,193,0,0
SEA 43-2014,KI,114,352,145,260,0,1
SEA 36-1663,KI,92,275,113,205,0,0
SEA 36-1709,KI,81,359,71,154,0,2
SEA 36-1665,KI,160,515,195,356,0,1
SEA 36-1664,KI,103,326,114,218,0,1
SEA 46-1963,KI,70,278,82,152,0,0
SEA 36-1666,KI,195,572,163,360,0,2
SEA 36-1702,KI,160,606,210,372,0,2
SEA 36-1668,KI,129,443,112,244,0,3
SEA 36-1700,KI,122,383,85,208,0,1
SEA 36-1701,KI,119,331,109,231,0,3
SEA 46-1969,KI,75,278,94,169,0,0
SEA 11-1641,KI,119,539,63,183,0,1
SEA 36-1704,KI,134,640,116,251,0,1
SEA 46-2094,KI,86,283,92,178,0,0
SEA 46-2095,KI,80,279,106,187,0,1
SEA 36-3319,KI,187,867,178,365,0,0
SEA 36-3318,KI,210,680,216,428,0,2
SEA 46-2090,KI,142,494,120,262,0,0
SEA 46-2091,KI,138,451,127,265,0,0
SEA 46-2092,KI,110,311,115,225,0,0
SEA 46-2093,KI,141,462,176,317,0,0
SEA 34-1411,KI,102,307,95,197,0,0
SEA 46-2099,KI,141,437,148,293,0,4
SEA 43-2853,KI,104,440,102,206,0,0
SEA 43-2852,KI,109,501,115,226,0,2
SEA 36-1689,KI,157,484,156,313,0,0
SEA 36-1688,KI,88,273,91,179,0,0
SEA 43-2113,KI,79,393,59,140,0,2
SEA 36-1683,KI,97,305,108,205,0,0
SEA 36-1682,KI,94,309,94,190,0,2
SEA 34-1409,KI,117,422,152,270,0,1
SEA 34-1408,KI,245,708,233,481,0,3
SEA 36-1687,KI,158,644,149,309,0,2
SEA 36-1686,KI,185,768,163,352,0,4
SEA 36-1685,KI,110,418,110,220,0,0
SEA 36-1684,KI,92,338,81,173,0,0
SEA 43-1333,KI,104,340,123,229,0,2
SEA 43-1332,KI,107,385,158,267,0,2
SEA 43-1331,KI,115,366,109,224,0,0
SEA 37-1647,KI,190,669,157,349,0,2
SEA 43-1335,KI,188,637,187,377,0,2
SEA 43-1334,KI,122,446,137,262,0,3
SEA 36-1768,KI,95,331,106,201,0,0
SEA 43-1339,KI,82,298,102,187,0,3
SEA 43-1338,KI,135,449,166,302,0,1
SEA 43-1861,KI,196,750,234,432,0,2
SEA 46-2297,KI,79,283,89,169,0,1
SEA 46-2261,KI,80,256,95,175,0,0
SEA 36-2172,KI,93,319,120,214,0,1
SEA 37-1643,KI,150,682,77,228,0,1
SEA 34-1476,KI,75,273,94,170,0,1
SEA 34-1477,KI,87,307,113,200,0,0
SEA 34-1474,KI,103,402,124,227,0,0
SEA 34-1475,KI,81,311,95,176,0,0
SEA 34-1472,KI,85,239,85,171,0,1
SEA 34-1473,KI,98,319,82,180,0,0
SEA 34-1470,KI,189,677,158,352,0,5
SEA 34-1471,KI,159,492,144,305,0,2
SEA 43-3424,KI,108,407,109,219,0,2
SEA 36-2149,KI,121,367,138,261,0,2
SEA 36-2148,KI,93,359,136,229,0,0
SEA 34-1478,KI,77,253,85,163,0,1
SEA 34-1479,KI,104,313,95,200,0,1
SEA 34-1259,KI,108,328,96,205,0,1
SEA 43-2050,KI,127,442,93,222,0,2
SEA 37-1567,KI,89,332,66,156,0,1
SEA 37-1648,KI,181,695,144,327,0,2
SEA 37-3617,KI,116,553,115,235,0,4
SEA 46-2295,KI,139,481,169,310,0,2
SEA 34-1498,KI,175,668,152,330,0,3
SEA 34-1499,KI,129,483,157,289,0,3
SEA 34-1258,KI,124,341,99,225,0,2
SEA 46-2257,KI,234,799,275,509,0,0
SEA 34-1490,KI,125,437,108,235,0,2
SEA 34-1493,KI,183,722,135,320,0,2
SEA 34-1494,KI,137,536,123,265,0,5
SEA 34-1496,KI,199,826,186,389,0,4
SEA 34-1497,KI,187,728,143,336,0,6
SEA 46-2267,KI,129,518,111,241,0,1
SEA 37-1920,KI,186,574,153,339,0,0
SEA 46-2264,KI,246,768,238,487,0,3
SEA 37-1925,KI,80,319,71,153,0,2
SEA 37-1927,KI,106,409,110,216,0,0
SEA 46-2260,KI,249,722,260,511,0,2
SEA 46-2340,KI,168,680,209,381,0,4
SEA 11-1942,KI,134,526,134,271,0,3
SEA 11-1941,KI,101,431,121,224,0,2
SEA 37-1841,KI,184,813,205,396,0,7
SEA 11-1947,KI,107,453,94,204,0,3
SEA 46-2345,KI,83,294,113,196,0,0
SEA 11-1945,KI,188,703,152,341,0,1
SEA 46-2268,KI,98,330,107,205,0,0
SEA 43-1999,KI,128,439,141,270,0,1
SEA 43-1851,KI,198,694,213,413,0,2
SEA 43-1856,KI,169,579,150,322,0,3
SEA 37-1621,KI,87,342,64,151,0,0
SEA 43-1855,KI,136,619,197,337,0,4
SEA 43-1993,KI,80,238,66,147,0,1
SEA 43-1992,KI,174,652,235,410,0,1
SEA 43-1858,KI,95,335,103,203,0,5
SEA 43-1859,KI,130,553,154,286,0,2
SEA 43-1997,KI,96,295,95,194,0,3
SEA 43-1996,KI,85,298,106,193,0,2
SEA 43-1995,KI,81,244,81,163,0,1
SEA 43-1857,KI,118,528,132,251,0,1
SEA 46-2317,KI,127,433,139,269,0,3
SEA 43-3685,KI,82,258,74,158,0,2
SEA 46-2346,KI,103,364,88,193,0,2
SEA 43-2052,KI,71,445,71,143,0,1
SEA 46-2127,KI,152,494,125,278,0,1
SEA 43-1991,KI,247,839,238,487,0,2
SEA 43-1990,KI,130,458,129,260,0,1
SEA 43-2064,KI,64,370,82,148,0,2
SEA 46-2310,KI,143,386,132,277,0,2
SEA 46-2286,KI,145,437,133,279,0,1
SEA 36-3689,KI,73,398,89,166,0,4
SEA 43-1378,KI,97,308,121,219,0,1
SEA 46-2305,KI,111,364,141,253,0,1
SEA 36-3686,KI,140,501,112,254,0,2
SEA 46-2280,KI,180,645,214,396,0,2
SEA 43-2543,KI,81,313,69,153,0,3
SEA 46-2369,KI,155,419,105,262,0,2
SEA 46-2328,KI,67,299,80,147,0,0
SEA 43-2040,KI,100,476,113,214,0,1
SEA 46-2282,KI,220,653,209,429,0,0
SEA 46-2319,KI,140,506,183,323,0,0
SEA 46-2098,KI,140,436,145,285,0,0
SEA 46-2318,KI,93,277,94,188,0,1
SEA 36-1746,KI,115,313,88,203,0,0
SEA 36-1747,KI,89,296,104,195,0,2
SEA 36-1744,KI,90,393,138,228,0,0
SEA 46-2325,KI,150,405,91,242,0,1
SEA 36-1742,KI,96,296,88,185,0,1
SEA 36-1743,KI,97,391,109,206,0,0
SEA 36-1740,KI,88,323,117,208,0,3
SEA 36-1741,KI,96,325,111,207,0,0
SEA 43-2075,KI,73,458,90,163,0,0
SEA 43-2074,KI,135,564,179,316,0,2
SEA 43-2076,KI,70,403,65,137,0,2
SEA 43-2071,KI,130,371,128,260,0,2
SEA 36-2590,KI,110,364,101,213,0,2
SEA 36-1748,KI,79,261,89,169,0,1
SEA 36-1749,KI,185,681,183,370,0,2
SEA 46-2274,KI,71,256,96,167,0,0
SEA 46-2349,KI,108,382,112,220,0,0
SEA 43-2110,KI,93,452,92,186,0,1
SEA 34-1520,KI,89,314,100,190,0,1
SEA 34-1521,KI,87,266,92,181,0,2
SEA 34-1522,KI,89,261,82,171,0,0
SEA 34-1523,KI,90,296,103,193,0,0
SEA 34-1524,KI,99,291,100,199,0,0
SEA 34-1526,KI,72,248,82,156,0,2
SEA 34-1527,KI,202,684,147,351,0,2
SEA 43-1377,KI,108,330,99,207,0,0
SEA 34-1529,KI,65,266,67,132,0,0
SEA 43-1375,KI,99,327,120,222,0,3
SEA 43-1374,KI,82,295,123,205,0,0
SEA 32-3568,KI,238,849,142,383,1,2
SEA 43-1372,KI,82,335,141,224,0,1
SEA 43-1278,KI,158,588,146,308,0,4
SEA 43-1279,KI,187,684,217,406,0,2
SEA 43-2862,KI,198,736,160,360,0,2
SEA 36-2518,KI,108,425,136,246,0,2
SEA 43-1887,KI,189,648,173,365,0,3
SEA 36-2512,KI,142,505,186,331,0,3
SEA 36-2513,KI,139,434,161,301,0,1
SEA 36-2510,KI,130,352,91,221,0,0
SEA 36-2118,KI,121,383,128,250,0,1
SEA 36-2517,KI,177,613,201,382,0,4
SEA 36-2514,KI,79,298,114,193,0,0
SEA 36-2515,KI,111,361,122,233,0,0
SEA 37-1619,KI,127,449,128,256,0,1
SEA 37-1618,KI,97,389,91,188,0,0
SEA 37-1613,KI,95,292,103,200,0,2
SEA 37-1612,KI,97,288,94,191,0,0
SEA 37-1611,KI,92,289,98,191,0,1
SEA 37-1610,KI,96,331,108,206,0,2
SEA 37-1617,KI,91,323,106,201,0,4
SEA 37-1616,KI,89,351,117,207,0,1
SEA 37-1615,KI,112,343,91,205,0,2
SEA 37-1614,KI,72,260,83,155,0,0
SEA 36-1324,KI,218,779,258,477,0,1
SEA 36-1732,KI,136,449,141,278,0,1
SEA 36-1731,KI,107,404,123,230,0,0
SEA 36-1730,KI,91,385,131,222,0,0
SEA 36-1737,KI,105,416,86,193,0,2
SEA 36-1736,KI,96,341,112,209,0,1
SEA 36-1735,KI,77,252,83,160,0,0
SEA 36-1734,KI,148,497,137,286,0,1
SEA 46-2128,KI,127,542,118,247,0,2
SEA 36-1739,KI,105,309,102,207,0,0
SEA 36-1738,KI,91,295,98,190,0,1
SEA 11-1639,KI,106,551,86,193,0,1
SEA 36-1329,KI,108,410,144,254,0,2
SEA 43-3665,KI,107,379,75,184,0,2
SEA 36-1812,KI,119,469,132,251,0,0
SEA 36-1813,KI,78,330,96,174,0,0
SEA 11-1550,KI,130,563,91,222,0,1
SEA 46-2299,KI,119,393,108,229,0,2
SEA 11-1552,KI,77,379,86,166,0,3
SEA 36-1815,KI,170,453,103,273,0,0
SEA 43-2928,KI,143,639,194,339,0,2
SEA 37-1576,KI,138,435,47,186,0,1
SEA 37-1574,KI,104,417,73,179,0,2
SEA 37-1575,KI,73,377,51,124,0,0
SEA 37-1572,KI,101,307,75,180,0,4
SEA 36-3679,KI,65,314,72,137,0,0
SEA 37-1570,KI,165,659,137,304,0,2
SEA 37-1571,KI,145,432,102,250,0,3
SEA 34-1511,KI,84,320,85,172,0,3
SEA 37-1578,KI,92,413,76,172,0,4
SEA 37-1579,KI,54,247,50,108,0,4
SEA 46-2304,KI,112,369,121,233,0,0
SEA 36-2170,KI,128,450,157,285,0,0
SEA 46-2306,KI,90,307,104,195,0,1
SEA 46-2307,KI,112,313,103,215,0,0
SEA 46-2300,KI,156,490,169,327,0,2
SEA 43-1818,KI,97,295,99,196,0,0
SEA 34-1460,KI,98,324,108,209,0,3
SEA 43-1817,KI,75,264,59,134,0,0
SEA 46-2308,KI,98,377,132,230,0,0
SEA 34-1463,KI,89,259,88,178,0,1
SEA 34-1462,KI,85,339,114,199,0,0
SEA 34-1449,KI,93,367,118,213,0,2
SEA 34-1448,KI,92,270,84,181,0,5
SEA 34-1446,KI,104,398,132,237,0,1
SEA 34-1444,KI,194,595,168,365,0,3
SEA 34-1443,KI,136,380,130,266,0,0
SEA 34-1442,KI,107,380,99,207,0,1
SEA 34-1441,KI,72,264,82,156,0,2
SEA 34-1440,KI,64,242,85,149,0,0
SEA 43-2088,KI,186,694,174,361,0,1
SEA 43-2089,KI,32,341,33,65,0,0
SEA 43-2084,KI,218,668,223,445,0,4
SEA 43-1360,KI,209,622,169,379,0,1
SEA 46-1283,KI,111,391,92,204,0,1
SEA 43-2081,KI,24,385,11,35,0,0
SEA 43-1361,KI,110,417,127,238,0,1
SEA 34-1469,KI,92,362,90,182,0,0
SEA 43-2544,KI,284,887,250,537,0,3
SEA 43-2058,KI,68,247,82,150,0,0
SEA 46-2342,KI,96,406,89,187,0,2
SEA 43-2547,KI,104,461,100,204,0,0
SEA 43-2546,KI,89,324,84,176,0,3
SEA 36-2536,KI,146,567,182,329,0,1
SEA 43-1291,KI,224,684,263,487,0,0
SEA 46-2234,KI,85,274,95,182,0,2
SEA 46-2236,KI,102,350,116,218,0,0
SEA 46-2796,KI,114,456,113,229,0,2
SEA 37-1872,KI,179,581,174,359,0,6
SEA 37-1871,KI,181,629,205,389,0,3
SEA 43-1868,KI,118,353,115,233,0,0
SEA 37-1876,KI,197,766,246,444,0,1
SEA 37-1875,KI,162,525,123,288,0,3
