Row Label,County,Frank Dacca
28-559,PI,315
28-558,PI,316
28-551,PI,469
28-550,PI,278
28-553,PI,421
28-552,PI,417
28-555,PI,437
28-554,PI,388
28-557,PI,310
28-556,PI,316
02-115,PI,278
02-114,PI,174
02-117,PI,337
02-116,PI,348
02-111,PI,259
25-291,PI,84
02-113,PI,237
02-112,PI,191
02-143,PI,246
25-290,PI,31
02-119,PI,209
02-118,PI,217
31-823,PI,191
31-822,PI,219
31-827,PI,73
31-826,PI,299
31-825,PI,251
31-824,PI,0
31-829,PI,245
31-828,PI,258
26-302,PI,517
26-303,PI,464
26-301,PI,141
26-304,PI,522
26-305,PI,489
31-892,PI,181
31-893,PI,0
31-890,PI,165
27-471,PI,13
31-891,PI,95
27-475,PI,291
27-477,PI,343
27-476,PI,243
31-896,PI,4
31-897,PI,126
31-894,PI,39
31-895,PI,214
31-856,PI,219
31-857,PI,137
31-854,PI,138
31-855,PI,179
31-853,PI,49
31-919,PI,260
31-917,PI,351
31-916,PI,244
31-915,PI,51
31-914,PI,202
31-913,PI,102
31-912,PI,200
31-911,PI,154
31-910,PI,227
29-653,PI,293
29-652,PI,30
29-651,PI,350
29-650,PI,310
29-657,PI,4
29-656,PI,285
29-655,PI,129
29-654,PI,328
29-659,PI,171
29-658,PI,279
25-208,PI,412
25-209,PI,389
25-201,PI,423
25-202,PI,337
25-203,PI,397
25-204,PI,339
25-205,PI,392
25-206,PI,247
28-590,PI,13
29-626,PI,7
29-627,PI,0
29-624,PI,0
29-625,PI,7
29-622,PI,233
29-623,PI,69
29-620,PI,168
29-621,PI,0
02-159,PI,197
02-158,PI,259
02-151,PI,111
02-150,PI,283
02-153,PI,265
02-152,PI,335
02-155,PI,325
02-154,PI,250
02-157,PI,398
02-156,PI,403
27-408,PI,397
27-409,PI,381
27-401,PI,192
27-404,PI,124
27-405,PI,383
27-406,PI,470
27-407,PI,369
28-520,PI,420
28-521,PI,425
28-522,PI,440
28-523,PI,423
28-524,PI,458
28-525,PI,468
28-526,PI,303
28-527,PI,511
28-528,PI,421
28-529,PI,326
31-818,PI,78
31-819,PI,125
31-813,PI,139
31-810,PI,154
31-816,PI,244
31-817,PI,309
31-814,PI,40
31-815,PI,214
26-351,PI,367
26-350,PI,378
26-352,PI,364
31-926,PI,7
31-927,PI,223
31-924,PI,161
31-925,PI,73
25-248,PI,429
25-249,PI,375
31-920,PI,206
31-921,PI,215
25-244,PI,443
25-245,PI,2
25-246,PI,32
25-247,PI,331
25-240,PI,156
25-241,PI,204
25-242,PI,406
25-243,PI,297
02-110,PI,198
29-668,PI,243
29-669,PI,313
29-662,PI,0
29-663,PI,288
29-660,PI,373
29-661,PI,266
29-667,PI,314
29-664,PI,296
28-565,PI,316
28-566,PI,332
28-567,PI,339
28-560,PI,434
28-561,PI,249
28-562,PI,216
28-563,PI,118
28-568,PI,349
02-148,PI,347
02-120,PI,277
02-121,PI,342
02-122,PI,359
02-123,PI,354
02-124,PI,283
02-125,PI,264
02-126,PI,342
02-127,PI,197
02-128,PI,363
02-129,PI,209
02-142,PI,232
26-315,PI,421
26-317,PI,394
26-316,PI,450
26-319,PI,337
26-318,PI,329
27-448,PI,10
27-449,PI,335
27-444,PI,296
27-445,PI,285
27-446,PI,295
27-447,PI,321
27-440,PI,339
27-441,PI,284
27-442,PI,230
27-443,PI,243
31-845,PI,234
31-844,PI,172
31-847,PI,136
31-846,PI,109
31-841,PI,135
31-840,PI,121
31-843,PI,177
31-842,PI,225
31-849,PI,100
31-848,PI,41
25-217,PI,413
25-216,PI,246
25-215,PI,353
25-213,PI,419
25-212,PI,392
25-211,PI,361
25-210,PI,485
25-219,PI,384
25-218,PI,380
29-671,PI,273
29-670,PI,333
29-675,PI,331
29-677,PI,305
29-676,PI,295
29-635,PI,77
31-883,PI,330
29-637,PI,275
29-636,PI,361
29-633,PI,25
29-639,PI,285
29-638,PI,144
31-882,PI,242
28-538,PI,346
28-537,PI,418
28-536,PI,385
28-535,PI,420
28-531,PI,366
28-530,PI,187
30-713,PI,4
31-809,PI,267
31-808,PI,245
31-801,PI,182
31-803,PI,295
31-802,PI,259
31-805,PI,285
31-804,PI,269
31-807,PI,3
31-806,PI,325
25-293,PI,343
27-417,PI,396
27-416,PI,389
27-415,PI,419
27-414,PI,395
27-413,PI,373
27-412,PI,365
27-411,PI,443
27-410,PI,390
31-898,PI,286
31-899,PI,165
27-419,PI,351
27-418,PI,345
25-292,PI,375
25-259,PI,357
25-258,PI,376
25-253,PI,230
25-252,PI,338
25-251,PI,310
25-250,PI,151
25-257,PI,309
25-256,PI,327
25-255,PI,235
25-254,PI,213
Total,PI,133784
29-679,PI,258
29-678,PI,244
25-228,PI,383
25-226,PI,273
25-227,PI,195
29-673,PI,336
29-672,PI,192
25-222,PI,279
29-674,PI,105
25-220,PI,2
25-221,PI,360
30-708,PI,236
28-573,PI,220
28-572,PI,338
28-571,PI,5
28-570,PI,5
28-577,PI,12
28-576,PI,326
28-575,PI,2
28-574,PI,81
28-579,PI,63
28-578,PI,75
02-139,PI,306
02-138,PI,412
02-137,PI,162
02-136,PI,58
02-135,PI,362
02-134,PI,378
02-133,PI,96
02-131,PI,392
02-130,PI,181
27-428,PI,317
27-429,PI,342
27-426,PI,337
27-427,PI,323
27-424,PI,338
27-425,PI,316
27-422,PI,484
27-423,PI,389
27-420,PI,424
27-421,PI,312
26-328,PI,309
26-329,PI,395
26-324,PI,408
26-325,PI,347
26-326,PI,426
26-327,PI,403
26-320,PI,375
26-321,PI,474
26-322,PI,447
26-323,PI,401
28-506,PI,425
28-507,PI,347
28-504,PI,388
28-505,PI,416
28-502,PI,422
28-503,PI,436
28-501,PI,402
28-508,PI,190
28-509,PI,0
27-459,PI,200
27-458,PI,208
27-453,PI,233
27-452,PI,315
27-451,PI,266
27-450,PI,368
27-457,PI,305
27-456,PI,248
27-455,PI,282
27-454,PI,329
31-873,PI,61
31-874,PI,0
31-875,PI,315
31-876,PI,22
31-877,PI,130
31-879,PI,69
25-283,PI,209
25-262,PI,334
25-263,PI,293
25-260,PI,373
25-261,PI,270
25-266,PI,376
25-267,PI,175
25-264,PI,405
25-265,PI,384
25-268,PI,198
25-269,PI,232
29-600,PI,0
29-601,PI,254
29-602,PI,217
29-603,PI,294
29-604,PI,292
29-605,PI,235
29-606,PI,309
29-607,PI,368
29-608,PI,245
29-609,PI,210
31-881,PI,162
28-548,PI,329
28-549,PI,359
31-880,PI,108
28-542,PI,358
28-543,PI,342
28-540,PI,491
28-541,PI,361
28-546,PI,367
28-547,PI,497
28-545,PI,400
02-106,PI,361
30-709,PI,250
02-105,PI,122
02-101,PI,113
31-885,PI,109
30-701,PI,12
30-707,PI,156
30-706,PI,253
30-705,PI,176
31-884,PI,284
31-834,PI,213
31-835,PI,425
31-836,PI,248
31-837,PI,226
31-830,PI,116
31-887,PI,215
31-833,PI,274
31-886,PI,247
31-838,PI,201
31-839,PI,22
27-462,PI,371
27-463,PI,284
27-460,PI,331
27-461,PI,381
27-466,PI,314
27-467,PI,298
27-464,PI,312
27-465,PI,274
31-888,PI,231
27-468,PI,294
