Row Label,County,Ed McKenna,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 43-2047,KI,183,662,218,403,0,2
SEA 46-2289,KI,74,338,127,203,0,2
SEA 46-2323,KI,140,554,169,310,0,1
SEA 46-2320,KI,103,350,116,222,0,3
SEA 46-2321,KI,109,333,115,225,0,1
SEA 37-3694,KI,16,92,28,44,0,0
SEA 43-1368,KI,77,292,106,184,0,1
SEA 34-1461,KI,136,399,130,268,0,2
SEA 36-1273,KI,75,279,126,201,0,0
SEA 34-1508,KI,91,295,91,182,0,0
SEA 34-1509,KI,83,281,93,177,0,1
SEA 34-1465,KI,145,372,106,251,0,0
SEA 34-1464,KI,107,359,136,245,0,2
SEA 34-1467,KI,158,551,180,339,0,1
SEA 34-1466,KI,98,303,80,179,0,1
SEA 34-1502,KI,102,342,119,223,0,2
SEA 34-1468,KI,133,448,122,256,0,1
SEA 34-1500,KI,158,584,169,328,0,1
SEA 34-1501,KI,133,369,113,248,0,2
SEA 34-1506,KI,105,299,77,183,0,1
SEA 34-1507,KI,97,357,131,230,0,2
SEA 34-1504,KI,137,418,128,267,0,2
SEA 46-2291,KI,114,387,87,204,0,3
SEA 43-1821,KI,80,233,64,144,0,0
SEA 43-1869,KI,135,465,134,270,0,1
SEA 46-2296,KI,121,391,112,237,0,4
SEA 46-2277,KI,168,568,200,368,0,0
SEA 43-1369,KI,67,285,97,165,0,1
SEA 43-2015,KI,94,333,101,195,0,0
SEA 37-1950,KI,45,187,21,67,0,1
SEA 34-1489,KI,181,744,156,338,0,1
SEA 34-1488,KI,159,692,124,284,0,1
SEA 34-1482,KI,97,321,82,180,0,1
SEA 34-1481,KI,123,479,101,227,0,3
SEA 34-1480,KI,186,594,153,339,0,0
SEA 34-1487,KI,112,335,93,205,0,0
SEA 34-1486,KI,99,364,100,201,0,2
SEA 34-1485,KI,186,708,119,307,0,2
SEA 34-1484,KI,100,345,77,180,0,3
SEA 36-3153,KI,106,390,81,187,0,0
SEA 46-2358,KI,261,846,228,494,0,5
SEA 37-1918,KI,99,347,111,212,0,2
SEA 37-1919,KI,96,378,109,207,0,2
SEA 37-2686,KI,169,604,115,291,0,7
SEA 36-3252,KI,111,477,98,211,0,2
SEA 37-1915,KI,119,384,140,260,0,1
SEA 37-1916,KI,117,357,143,261,0,1
SEA 37-1917,KI,170,454,141,311,0,0
SEA 37-1910,KI,158,513,170,329,0,1
SEA 37-1911,KI,103,284,88,191,0,0
SEA 46-2355,KI,114,354,108,224,0,2
SEA 37-1913,KI,124,338,114,239,0,1
SEA 37-1854,KI,113,386,75,190,0,2
SEA 43-1330,KI,127,404,108,238,0,3
SEA 43-1849,KI,65,323,94,161,0,2
SEA 37-1850,KI,165,650,174,346,0,7
SEA 37-1853,KI,68,281,52,120,0,0
SEA 43-1845,KI,147,575,130,277,0,0
SEA 43-1847,KI,106,484,121,227,0,0
SEA 43-1846,KI,74,345,83,158,0,1
SEA 43-1843,KI,119,551,132,251,0,0
SEA 43-1842,KI,142,521,138,282,0,2
SEA 43-2104,KI,131,379,127,260,0,2
SEA 43-2029,KI,240,706,246,488,0,2
SEA 46-2309,KI,91,300,92,184,0,1
SEA 46-2142,KI,204,674,149,357,0,4
SEA 43-1262,KI,155,468,151,308,0,2
SEA 36-2795,KI,104,479,105,209,0,0
SEA 43-1265,KI,70,256,77,148,0,1
SEA 37-1637,KI,191,760,102,295,0,2
SEA 43-1264,KI,112,361,134,248,0,2
SEA 37-1651,KI,169,736,86,256,0,1
SEA 43-2025,KI,175,556,181,360,0,4
SEA 37-1930,KI,186,738,204,391,0,1
SEA 43-1266,KI,98,351,115,213,0,0
SEA 46-2145,KI,153,497,144,297,0,0
SEA 36-1751,KI,100,368,111,212,0,1
SEA 36-1750,KI,128,493,168,296,0,0
SEA 36-1752,KI,106,437,137,244,0,1
SEA 36-1755,KI,73,272,84,158,0,1
SEA 36-1754,KI,113,387,138,252,0,1
SEA 36-1757,KI,65,262,101,166,0,0
SEA 36-1756,KI,200,682,193,393,0,0
SEA 36-1759,KI,59,274,109,169,0,1
SEA 36-1758,KI,128,351,118,246,0,0
SEA 43-2043,KI,91,292,102,193,0,0
SEA 43-2044,KI,88,350,96,186,0,2
SEA 43-2045,KI,91,315,96,189,0,2
SEA 11-1256,KI,143,627,97,242,0,2
SEA 34-1533,KI,74,229,85,159,0,0
SEA 34-1532,KI,74,237,64,138,0,0
SEA 43-1263,KI,110,350,118,230,0,2
SEA 34-1530,KI,181,619,185,367,0,1
SEA 34-1537,KI,91,289,64,156,0,1
SEA 34-1536,KI,102,304,88,191,0,1
SEA 34-1535,KI,70,239,76,146,0,0
SEA 34-1534,KI,114,362,124,238,0,0
SEA 43-1269,KI,118,357,116,234,0,0
SEA 43-1268,KI,119,352,135,254,0,0
SEA 34-1539,KI,100,356,93,198,0,5
SEA 34-1538,KI,110,378,92,202,0,0
SEA 43-2048,KI,97,376,115,214,0,2
SEA 46-2343,KI,104,341,89,194,0,1
SEA 46-2298,KI,105,321,98,205,0,2
SEA 36-2505,KI,116,324,111,228,0,1
SEA 36-2504,KI,98,303,114,213,0,1
SEA 36-2507,KI,74,283,100,180,0,6
SEA 36-2506,KI,89,311,112,202,0,1
SEA 36-2503,KI,94,305,102,196,0,0
SEA 36-2502,KI,145,378,139,284,0,0
SEA 36-2134,KI,135,490,130,266,0,1
SEA 46-3677,KI,83,320,92,181,0,6
SEA 36-2130,KI,120,388,122,243,0,1
SEA 36-2131,KI,214,851,238,453,0,1
SEA 36-2133,KI,175,698,171,348,0,2
SEA 34-1546,KI,107,385,150,257,0,0
SEA 43-1787,KI,142,564,133,277,0,2
SEA 11-1602,KI,138,598,144,288,0,6
SEA 34-1545,KI,120,422,102,224,0,2
SEA 34-1543,KI,107,327,111,218,0,0
SEA 34-1540,KI,85,333,91,176,0,0
SEA 34-1541,KI,95,380,139,235,0,1
SEA 46-1312,KI,86,326,95,181,0,0
SEA 46-1313,KI,78,280,89,168,0,1
SEA 46-1310,KI,117,397,107,229,0,5
SEA 46-1311,KI,101,427,96,198,0,1
SEA 43-1788,KI,344,807,236,580,0,0
SEA 37-3666,KI,87,422,39,128,0,2
SEA 36-1808,KI,100,275,56,156,0,0
SEA 36-1805,KI,109,473,129,239,0,1
SEA 36-1806,KI,149,598,130,281,0,2
SEA 36-1801,KI,194,896,197,391,0,0
SEA 36-1803,KI,68,298,110,178,0,0
SEA 36-3586,KI,216,801,188,407,0,3
SEA 36-3587,KI,137,590,134,273,0,2
SEA 37-1563,KI,72,323,39,111,0,0
SEA 37-1565,KI,89,331,81,172,0,2
SEA 37-1564,KI,126,396,100,227,0,1
SEA 36-3669,KI,71,349,81,157,0,5
SEA 37-1566,KI,94,327,82,176,0,0
SEA 37-1568,KI,99,434,80,179,0,0
SEA 43-2083,KI,95,422,120,215,0,0
SEA 46-2252,KI,79,261,92,172,0,1
SEA 46-2253,KI,142,521,178,322,0,2
SEA 46-2251,KI,150,555,201,352,0,1
SEA 32-2206,KI,137,412,128,266,0,1
SEA 46-2316,KI,119,411,120,239,0,0
SEA 32-2204,KI,119,339,108,230,0,3
SEA 46-2314,KI,127,337,89,217,0,1
SEA 32-2202,KI,123,436,123,250,0,4
SEA 32-2203,KI,201,758,217,422,0,4
SEA 32-2200,KI,128,385,135,263,0,0
SEA 32-2201,KI,165,463,150,315,0,0
SEA 46-2619,KI,145,539,132,279,0,2
SEA 43-2545,KI,165,699,209,375,0,1
SEA 32-2208,KI,97,350,127,224,0,0
SEA 32-2209,KI,183,599,217,402,0,2
SEA 36-2592,KI,88,352,116,205,0,1
SEA 36-2593,KI,86,289,88,174,0,0
SEA 34-1438,KI,111,328,98,209,0,0
SEA 34-1439,KI,107,369,110,220,1,2
SEA 34-1432,KI,110,331,107,218,0,1
SEA 34-1433,KI,95,319,111,208,0,2
SEA 34-1430,KI,97,322,93,190,0,0
SEA 34-1431,KI,108,308,95,203,0,0
SEA 34-1436,KI,73,362,83,156,0,0
SEA 34-1437,KI,105,498,145,254,0,4
SEA 34-1434,KI,92,271,91,183,0,0
SEA 34-1435,KI,70,299,108,178,0,0
SEA 36-2509,KI,119,403,141,260,0,0
SEA 36-2508,KI,144,427,148,293,0,1
SEA 46-2352,KI,87,338,91,181,0,3
SEA 46-1955,KI,152,558,135,289,0,2
SEA 11-1600,KI,132,550,123,257,0,2
SEA 46-2228,KI,118,486,112,234,0,4
SEA 46-2221,KI,143,513,154,298,0,1
SEA 43-1280,KI,165,669,171,337,0,1
SEA 43-1784,KI,148,500,157,308,0,3
SEA 36-3267,KI,127,548,90,219,0,2
SEA 37-1886,KI,150,523,142,293,0,1
SEA 37-1884,KI,174,643,209,385,0,2
SEA 37-1885,KI,112,398,109,223,0,2
SEA 37-1882,KI,102,395,90,193,0,1
SEA 37-1883,KI,91,423,110,204,0,3
SEA 37-1880,KI,136,514,136,276,0,4
SEA 37-1881,KI,86,396,101,188,0,1
SEA 43-1780,KI,106,350,102,208,0,0
SEA 43-1781,KI,96,326,67,164,0,1
SEA 46-2292,KI,146,505,142,288,0,0
SEA 36-1386,KI,95,315,118,213,0,0
SEA 36-1387,KI,145,462,144,289,0,0
SEA 36-1384,KI,113,309,112,228,0,3
SEA 36-1385,KI,69,243,104,175,0,2
SEA 36-1382,KI,113,374,120,233,0,0
SEA 36-1388,KI,102,337,118,220,0,0
SEA 36-1389,KI,71,259,91,163,0,1
SEA 43-1274,KI,100,302,114,216,0,2
SEA 43-2006,KI,70,298,99,169,0,0
SEA 43-2007,KI,80,256,84,164,0,0
SEA 43-2000,KI,151,550,143,294,0,0
SEA 43-2001,KI,222,648,208,433,0,3
SEA 43-2002,KI,188,587,203,391,0,0
SEA 46-2293,KI,133,441,158,292,0,1
SEA 46-1957,KI,182,553,172,354,0,0
SEA 37-2861,KI,108,391,134,243,0,1
SEA 43-2009,KI,175,487,152,329,0,2
SEA 37-1635,KI,116,524,80,199,0,3
SEA 37-1589,KI,99,290,117,217,0,1
SEA 37-1588,KI,73,244,83,159,0,3
SEA 46-1314,KI,89,330,120,210,0,1
SEA 37-1634,KI,93,473,96,191,0,2
SEA 37-1583,KI,228,700,151,382,0,3
SEA 37-1582,KI,172,715,117,291,0,2
SEA 37-1580,KI,100,333,57,160,0,3
SEA 37-1587,KI,94,311,101,195,0,0
SEA 37-1586,KI,123,373,125,251,0,3
SEA 36-3566,KI,168,579,138,307,0,1
SEA 36-1299,KI,101,425,155,260,0,4
SEA 43-1347,KI,207,726,226,435,0,2
SEA 43-1344,KI,137,452,155,292,0,0
SEA 37-1636,KI,150,586,64,217,0,3
SEA 43-1342,KI,120,366,116,237,0,1
SEA 43-1343,KI,91,355,123,215,0,1
SEA 43-1341,KI,180,499,171,351,0,0
SEA 46-2290,KI,86,289,109,195,0,0
SEA 46-2272,KI,109,367,137,247,0,1
SEA 43-1348,KI,152,555,163,317,0,2
SEA 37-1630,KI,78,309,91,169,0,0
SEA 46-1284,KI,75,278,65,140,0,0
SEA 46-1285,KI,92,303,90,182,0,0
SEA 43-1975,KI,36,439,26,63,0,1
SEA 37-1633,KI,76,329,87,163,0,0
SEA 46-1282,KI,172,656,225,399,0,2
SEA 43-1976,KI,52,242,42,94,0,0
SEA 37-1632,KI,84,292,87,173,0,2
SEA 43-3320,KI,130,515,110,241,0,1
SEA 36-1661,KI,97,277,96,193,0,0
SEA 43-2014,KI,120,352,140,260,0,0
SEA 36-1663,KI,90,275,115,205,0,0
SEA 36-1709,KI,75,359,76,154,0,3
SEA 36-1665,KI,157,515,198,356,0,1
SEA 36-1664,KI,103,326,114,218,0,1
SEA 46-1963,KI,72,278,80,152,0,0
SEA 36-1666,KI,197,572,162,360,0,1
SEA 36-1702,KI,165,606,205,372,0,2
SEA 36-1668,KI,121,443,119,244,0,4
SEA 36-1700,KI,117,383,89,208,0,2
SEA 36-1701,KI,120,331,110,231,0,1
SEA 46-1969,KI,77,278,90,169,0,2
SEA 11-1641,KI,116,539,67,183,0,0
SEA 36-1704,KI,132,640,117,251,0,2
SEA 46-2094,KI,92,283,86,178,0,0
SEA 46-2095,KI,85,279,101,187,0,1
SEA 36-3319,KI,185,867,180,365,0,0
SEA 36-3318,KI,199,680,225,428,0,4
SEA 46-2090,KI,139,494,122,262,0,1
SEA 46-2091,KI,141,451,123,265,0,1
SEA 46-2092,KI,120,311,105,225,0,0
SEA 46-2093,KI,150,462,167,317,0,0
SEA 34-1411,KI,104,307,93,197,0,0
SEA 46-2099,KI,146,437,145,293,0,2
SEA 43-2853,KI,100,440,106,206,0,0
SEA 43-2852,KI,108,501,114,226,0,4
SEA 36-1689,KI,161,484,152,313,0,0
SEA 36-1688,KI,91,273,88,179,0,0
SEA 43-2113,KI,82,393,56,140,0,2
SEA 36-1683,KI,99,305,106,205,0,0
SEA 36-1682,KI,90,309,98,190,0,2
SEA 34-1409,KI,117,422,152,270,0,1
SEA 34-1408,KI,249,708,230,481,0,2
SEA 36-1687,KI,162,644,145,309,0,2
SEA 36-1686,KI,186,768,162,352,0,4
SEA 36-1685,KI,111,418,109,220,0,0
SEA 36-1684,KI,93,338,80,173,0,0
SEA 43-1333,KI,105,340,124,229,0,0
SEA 43-1332,KI,118,385,147,267,0,2
SEA 43-1331,KI,119,366,105,224,0,0
SEA 37-1647,KI,196,669,152,349,0,1
SEA 43-1335,KI,185,637,191,377,0,1
SEA 43-1334,KI,119,446,140,262,0,3
SEA 36-1768,KI,93,331,108,201,0,0
SEA 43-1339,KI,85,298,100,187,0,2
SEA 43-1338,KI,139,449,161,302,0,2
SEA 43-1861,KI,195,750,235,432,0,2
SEA 46-2297,KI,83,283,84,169,0,2
SEA 46-2261,KI,79,256,96,175,0,0
SEA 36-2172,KI,97,319,116,214,0,1
SEA 37-1643,KI,144,682,83,228,0,1
SEA 34-1476,KI,78,273,91,170,0,1
SEA 34-1477,KI,89,307,111,200,0,0
SEA 34-1474,KI,103,402,124,227,0,0
SEA 34-1475,KI,80,311,94,176,0,2
SEA 34-1472,KI,88,239,83,171,0,0
SEA 34-1473,KI,100,319,80,180,0,0
SEA 34-1470,KI,189,677,158,352,0,5
SEA 34-1471,KI,159,492,144,305,0,2
SEA 43-3424,KI,108,407,110,219,0,1
SEA 36-2149,KI,121,367,139,261,0,1
SEA 36-2148,KI,93,359,136,229,0,0
SEA 34-1478,KI,82,253,80,163,0,1
SEA 34-1479,KI,107,313,93,200,0,0
SEA 34-1259,KI,112,328,91,205,0,2
SEA 43-2050,KI,124,442,95,222,0,3
SEA 37-1567,KI,86,332,70,156,0,0
SEA 37-1648,KI,178,695,145,327,1,3
SEA 37-3617,KI,118,553,114,235,0,3
SEA 46-2295,KI,144,481,166,310,0,0
SEA 34-1498,KI,169,668,158,330,0,3
SEA 34-1499,KI,130,483,157,289,0,2
SEA 34-1258,KI,125,341,98,225,0,2
SEA 46-2257,KI,235,799,272,509,0,2
SEA 34-1490,KI,123,437,110,235,0,2
SEA 34-1493,KI,187,722,132,320,0,1
SEA 34-1494,KI,141,536,119,265,0,5
SEA 34-1496,KI,198,826,189,389,0,2
SEA 34-1497,KI,187,728,145,336,0,4
SEA 46-2267,KI,131,518,110,241,0,0
SEA 37-1920,KI,185,574,154,339,0,0
SEA 46-2264,KI,259,768,226,487,0,2
SEA 37-1925,KI,73,319,77,153,0,3
SEA 37-1927,KI,100,409,115,216,0,1
SEA 46-2260,KI,258,722,250,511,0,3
SEA 46-2340,KI,175,680,203,381,0,3
SEA 11-1942,KI,129,526,139,271,0,3
SEA 11-1941,KI,91,431,130,224,0,3
SEA 37-1841,KI,189,813,202,396,0,5
SEA 11-1947,KI,105,453,95,204,0,4
SEA 46-2345,KI,90,294,106,196,0,0
SEA 11-1945,KI,177,703,162,341,0,2
SEA 46-2268,KI,97,330,108,205,0,0
SEA 43-1999,KI,130,439,140,270,0,0
SEA 43-1851,KI,194,694,219,413,0,0
SEA 43-1856,KI,168,579,151,322,0,3
SEA 37-1621,KI,86,342,65,151,0,0
SEA 43-1855,KI,138,619,197,337,0,2
SEA 43-1993,KI,81,238,65,147,0,1
SEA 43-1992,KI,175,652,233,410,0,2
SEA 43-1858,KI,93,335,105,203,0,5
SEA 43-1859,KI,122,553,162,286,0,2
SEA 43-1997,KI,97,295,96,194,0,1
SEA 43-1996,KI,90,298,102,193,0,1
SEA 43-1995,KI,80,244,82,163,0,1
SEA 43-1857,KI,114,528,135,251,0,2
SEA 46-2317,KI,131,433,137,269,0,1
SEA 43-3685,KI,88,258,69,158,0,1
SEA 46-2346,KI,97,364,95,193,0,1
SEA 43-2052,KI,71,445,69,143,0,3
SEA 46-2127,KI,152,494,126,278,0,0
SEA 43-1991,KI,249,839,235,487,0,3
SEA 43-1990,KI,135,458,125,260,0,0
SEA 43-2064,KI,63,370,84,148,0,1
SEA 46-2310,KI,150,386,126,277,0,1
SEA 46-2286,KI,143,437,135,279,0,1
SEA 36-3689,KI,77,398,86,166,0,3
SEA 43-1378,KI,97,308,121,219,0,1
SEA 46-2305,KI,113,364,139,253,0,1
SEA 36-3686,KI,143,501,107,254,0,4
SEA 46-2280,KI,185,645,210,396,0,1
SEA 43-2543,KI,83,313,69,153,0,1
SEA 46-2369,KI,157,419,103,262,0,2
SEA 46-2328,KI,68,299,79,147,0,0
SEA 43-2040,KI,96,476,116,214,0,2
SEA 46-2282,KI,220,653,208,429,0,1
SEA 46-2319,KI,147,506,176,323,0,0
SEA 46-2098,KI,138,436,147,285,0,0
SEA 46-2318,KI,99,277,86,188,0,3
SEA 36-1746,KI,111,313,91,203,0,1
SEA 36-1747,KI,91,296,104,195,0,0
SEA 36-1744,KI,91,393,137,228,0,0
SEA 46-2325,KI,157,405,83,242,0,2
SEA 36-1742,KI,101,296,83,185,0,1
SEA 36-1743,KI,95,391,110,206,0,1
SEA 36-1740,KI,91,323,115,208,0,2
SEA 36-1741,KI,90,325,117,207,0,0
SEA 43-2075,KI,77,458,86,163,0,0
SEA 43-2074,KI,143,564,172,316,0,1
SEA 43-2076,KI,67,403,67,137,0,3
SEA 43-2071,KI,127,371,133,260,0,0
SEA 36-2590,KI,113,364,98,213,0,2
SEA 36-1748,KI,86,261,82,169,0,1
SEA 36-1749,KI,189,681,179,370,0,2
SEA 46-2274,KI,75,256,92,167,0,0
SEA 46-2349,KI,110,382,110,220,0,0
SEA 43-2110,KI,94,452,91,186,0,1
SEA 34-1520,KI,95,314,94,190,0,1
SEA 34-1521,KI,91,266,89,181,0,1
SEA 34-1522,KI,92,261,78,171,0,1
SEA 34-1523,KI,94,296,99,193,0,0
SEA 34-1524,KI,99,291,99,199,0,1
SEA 34-1526,KI,71,248,84,156,0,1
SEA 34-1527,KI,192,684,155,351,0,4
SEA 43-1377,KI,105,330,101,207,0,1
SEA 34-1529,KI,64,266,67,132,0,1
SEA 43-1375,KI,98,327,121,222,0,3
SEA 43-1374,KI,85,295,119,205,0,1
SEA 32-3568,KI,243,849,136,383,1,3
SEA 43-1372,KI,80,335,144,224,0,0
SEA 43-1278,KI,154,588,148,308,0,6
SEA 43-1279,KI,190,684,215,406,0,1
SEA 43-2862,KI,196,736,160,360,0,4
SEA 36-2518,KI,109,425,135,246,0,2
SEA 43-1887,KI,183,648,180,365,0,2
SEA 36-2512,KI,141,505,186,331,0,4
SEA 36-2513,KI,136,434,164,301,0,1
SEA 36-2510,KI,134,352,87,221,0,0
SEA 36-2118,KI,119,383,129,250,0,2
SEA 36-2517,KI,180,613,198,382,0,4
SEA 36-2514,KI,80,298,112,193,0,1
SEA 36-2515,KI,109,361,124,233,0,0
SEA 37-1619,KI,123,449,131,256,0,2
SEA 37-1618,KI,100,389,88,188,0,0
SEA 37-1613,KI,98,292,100,200,0,2
SEA 37-1612,KI,91,288,100,191,0,0
SEA 37-1611,KI,88,289,102,191,0,1
SEA 37-1610,KI,98,331,104,206,0,4
SEA 37-1617,KI,88,323,108,201,0,5
SEA 37-1616,KI,94,351,112,207,0,1
SEA 37-1615,KI,107,343,96,205,0,2
SEA 37-1614,KI,66,260,89,155,0,0
SEA 36-1324,KI,209,779,267,477,0,1
SEA 36-1732,KI,135,449,142,278,0,1
SEA 36-1731,KI,108,404,122,230,0,0
SEA 36-1730,KI,90,385,132,222,0,0
SEA 36-1737,KI,108,416,83,193,0,2
SEA 36-1736,KI,91,341,118,209,0,0
SEA 36-1735,KI,72,252,88,160,0,0
SEA 36-1734,KI,148,497,137,286,0,1
SEA 46-2128,KI,123,542,122,247,0,2
SEA 36-1739,KI,108,309,99,207,0,0
SEA 36-1738,KI,87,295,101,190,0,2
SEA 11-1639,KI,110,551,83,193,0,0
SEA 36-1329,KI,111,410,142,254,0,1
SEA 43-3665,KI,104,379,77,184,0,3
SEA 36-1812,KI,120,469,129,251,0,2
SEA 36-1813,KI,82,330,92,174,0,0
SEA 11-1550,KI,130,563,91,222,0,1
SEA 46-2299,KI,122,393,105,229,0,2
SEA 11-1552,KI,74,379,88,166,0,4
SEA 36-1815,KI,169,453,104,273,0,0
SEA 43-2928,KI,142,639,195,339,0,2
SEA 37-1576,KI,132,435,53,186,0,1
SEA 37-1574,KI,103,417,74,179,0,2
SEA 37-1575,KI,72,377,52,124,0,0
SEA 37-1572,KI,93,307,82,180,0,5
SEA 36-3679,KI,68,314,69,137,0,0
SEA 37-1570,KI,166,659,137,304,0,1
SEA 37-1571,KI,140,432,106,250,0,4
SEA 34-1511,KI,85,320,85,172,0,2
SEA 37-1578,KI,88,413,82,172,0,2
SEA 37-1579,KI,54,247,50,108,0,4
SEA 46-2304,KI,113,369,120,233,0,0
SEA 36-2170,KI,128,450,156,285,0,1
SEA 46-2306,KI,98,307,96,195,0,1
SEA 46-2307,KI,115,313,100,215,0,0
SEA 46-2300,KI,164,490,161,327,0,2
SEA 43-1818,KI,96,295,100,196,0,0
SEA 34-1460,KI,97,324,111,209,0,1
SEA 43-1817,KI,78,264,56,134,0,0
SEA 46-2308,KI,103,377,127,230,0,0
SEA 34-1463,KI,89,259,88,178,0,1
SEA 34-1462,KI,86,339,113,199,0,0
SEA 34-1449,KI,92,367,120,213,0,1
SEA 34-1448,KI,96,270,82,181,0,3
SEA 34-1446,KI,101,398,135,237,0,1
SEA 34-1444,KI,192,595,169,365,0,4
SEA 34-1443,KI,136,380,128,266,0,2
SEA 34-1442,KI,106,380,101,207,0,0
SEA 34-1441,KI,76,264,80,156,0,0
SEA 34-1440,KI,65,242,84,149,0,0
SEA 43-2088,KI,187,694,173,361,0,1
SEA 43-2089,KI,32,341,32,65,0,1
SEA 43-2084,KI,218,668,224,445,0,3
SEA 43-1360,KI,217,622,160,379,0,2
SEA 46-1283,KI,112,391,91,204,0,1
SEA 43-2081,KI,23,385,12,35,0,0
SEA 43-1361,KI,109,417,128,238,0,1
SEA 34-1469,KI,94,362,88,182,0,0
SEA 43-2544,KI,286,887,249,537,1,1
SEA 43-2058,KI,68,247,82,150,0,0
SEA 46-2342,KI,102,406,85,187,0,0
SEA 43-2547,KI,103,461,101,204,0,0
SEA 43-2546,KI,89,324,83,176,0,4
SEA 36-2536,KI,149,567,179,329,0,1
SEA 43-1291,KI,291,684,196,487,0,0
SEA 46-2234,KI,82,274,98,182,0,2
SEA 46-2236,KI,109,350,109,218,0,0
SEA 46-2796,KI,112,456,115,229,0,2
SEA 37-1872,KI,166,581,187,359,0,6
SEA 37-1871,KI,180,629,206,389,0,3
SEA 43-1868,KI,116,353,117,233,0,0
SEA 37-1876,KI,195,766,248,444,0,1
SEA 37-1875,KI,166,525,118,288,0,4
