Row Label,County,Donna Wilson
PCT 6035,SP,199
PCT 6036,SP,198
PCT 6037,SP,174
PCT 4450,SP,176
PCT 4451,SP,267
PCT 4452,SP,254
PCT 4453,SP,298
PCT 4454,SP,245
PCT 4455,SP,254
PCT 4029,SP,278
PCT 4028,SP,399
PCT 4021,SP,356
PCT 4020,SP,353
PCT 4023,SP,124
PCT 4022,SP,272
PCT 4025,SP,283
PCT 4024,SP,212
PCT 4027,SP,290
PCT 4026,SP,268
PCT 4431,SP,283
PCT 4414,SP,401
PCT 4415,SP,263
PCT 4416,SP,329
PCT 4417,SP,228
PCT 4410,SP,344
PCT 4411,SP,330
PCT 4412,SP,247
PCT 4413,SP,334
PCT 4418,SP,333
PCT 4419,SP,350
PCT 4201,SP,153
PCT 4200,SP,237
PCT 9600,SP,38
PCT 6100,SP,201
PCT 6101,SP,294
PCT 6102,SP,289
PCT 6103,SP,121
PCT 6104,SP,210
PCT 6105,SP,242
PCT 6106,SP,382
PCT 6107,SP,188
PCT 6108,SP,236
PCT 6109,SP,183
PCT 3208,SP,292
PCT 3209,SP,364
PCT 3200,SP,220
PCT 3201,SP,309
PCT 3202,SP,183
PCT 3203,SP,268
PCT 3204,SP,200
PCT 3205,SP,246
PCT 3206,SP,209
PCT 3207,SP,141
PCT 6209,SP,293
PCT 6208,SP,385
PCT 6203,SP,327
PCT 6202,SP,315
PCT 6201,SP,259
PCT 6200,SP,402
PCT 6207,SP,357
PCT 6206,SP,344
PCT 6205,SP,314
PCT 6204,SP,386
PCT 3103,SP,208
PCT 3102,SP,166
PCT 3101,SP,226
PCT 3100,SP,266
PCT 3107,SP,286
PCT 3106,SP,257
PCT 3105,SP,245
PCT 3104,SP,291
PCT 3109,SP,239
PCT 3108,SP,209
PCT 4010,SP,297
PCT 4011,SP,380
PCT 4012,SP,453
PCT 4013,SP,278
PCT 4014,SP,213
PCT 4015,SP,206
PCT 4016,SP,324
PCT 4017,SP,396
PCT 4018,SP,224
PCT 4019,SP,253
PCT 6704,SP,296
PCT 6702,SP,210
PCT 6703,SP,262
PCT 6700,SP,293
PCT 6701,SP,289
PCT 7008,SP,336
PCT 7009,SP,428
PCT 7006,SP,347
PCT 7007,SP,311
PCT 7004,SP,329
PCT 7005,SP,459
PCT 7002,SP,245
PCT 7003,SP,373
PCT 7000,SP,415
PCT 7001,SP,236
PCT 6023,SP,162
PCT 6022,SP,303
PCT 6021,SP,298
PCT 6020,SP,462
PCT 6027,SP,289
PCT 6026,SP,458
PCT 6025,SP,236
PCT 6024,SP,150
PCT 6029,SP,282
PCT 6028,SP,247
PCT 4449,SP,186
PCT 3328,SP,288
PCT 4443,SP,184
PCT 4442,SP,233
PCT 4441,SP,256
PCT 4440,SP,345
PCT 4447,SP,153
PCT 4446,SP,201
PCT 4445,SP,290
PCT 4444,SP,349
Total,SP,93958
PCT 7301,SP,233
PCT 7300,SP,263
PCT 7302,SP,228
PCT 4407,SP,330
PCT 4406,SP,325
PCT 4405,SP,390
PCT 4404,SP,371
PCT 4403,SP,387
PCT 4402,SP,332
PCT 4401,SP,334
PCT 4400,SP,311
PCT 4409,SP,439
PCT 4408,SP,387
PCT 3219,SP,274
PCT 3218,SP,318
PCT 3213,SP,317
PCT 3212,SP,198
PCT 3211,SP,241
PCT 3210,SP,247
PCT 3217,SP,378
PCT 3216,SP,338
PCT 3215,SP,160
PCT 3214,SP,263
PCT 4300,SP,233
PCT 4301,SP,160
PCT 4302,SP,321
PCT 4303,SP,292
PCT 4304,SP,221
PCT 4305,SP,210
PCT 4306,SP,277
PCT 4307,SP,71
PCT 9500,SP,103
PCT 4003,SP,441
PCT 4002,SP,288
PCT 4001,SP,246
PCT 4007,SP,231
PCT 4006,SP,402
PCT 4005,SP,238
PCT 4004,SP,316
PCT 4009,SP,277
PCT 4008,SP,214
PCT 6302,SP,236
PCT 6303,SP,448
PCT 6300,SP,475
PCT 6301,SP,440
PCT 6306,SP,270
PCT 6307,SP,145
PCT 6304,SP,380
PCT 6305,SP,191
PCT 6308,SP,188
PCT 6309,SP,330
PCT 3000,SP,4
PCT 7011,SP,192
PCT 7010,SP,233
PCT 7013,SP,277
PCT 7012,SP,268
PCT 7015,SP,270
PCT 7014,SP,256
PCT 7017,SP,297
PCT 7016,SP,420
PCT 7019,SP,297
PCT 7018,SP,370
PCT 9300,SP,54
PCT 6401,SP,151
PCT 6400,SP,256
PCT 6402,SP,312
PCT 6016,SP,196
PCT 6017,SP,430
PCT 6014,SP,153
PCT 6015,SP,167
PCT 6012,SP,198
PCT 6013,SP,219
PCT 6010,SP,39
PCT 6011,SP,267
PCT 6018,SP,373
PCT 6019,SP,414
PCT 3318,SP,278
PCT 3319,SP,245
PCT 3316,SP,342
PCT 3317,SP,405
PCT 3314,SP,264
PCT 3315,SP,343
PCT 3312,SP,376
PCT 3313,SP,401
PCT 3310,SP,300
PCT 3311,SP,201
PCT 9008,SP,39
PCT 9004,SP,279
PCT 9005,SP,103
PCT 9006,SP,298
PCT 9007,SP,82
PCT 9000,SP,328
PCT 9001,SP,226
PCT 9002,SP,200
PCT 9003,SP,150
