Row Label,County,"Charles J. Delaurenti, II",Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KEN 47-0028,KI,148,533,125,275,0,2
AUB 30-0067,KI,107,430,56,164,0,1
EARLINGTON,KI,89,357,58,150,0,3
KEN 47-3483,KI,174,606,110,285,0,1
KEN 05-3375,KI,0,0,0,0,0,0
KEN 47-3323,KI,130,459,87,218,0,1
WOODSIDE,KI,149,580,107,259,0,3
COV 47-1153,KI,183,626,99,284,0,2
ROYAL,KI,84,320,79,163,0,0
RNT 41-0989,KI,152,693,114,270,0,4
AUB 47-3187,KI,96,432,104,201,0,1
KEN 33-0603,KI,195,649,151,347,0,1
KELLY,KI,115,375,72,189,0,2
KEN 47-0238,KI,203,723,140,349,0,6
B-D 05-2413,KI,152,466,129,284,0,3
KEN 11-0918,KI,171,605,84,257,0,2
CUMBERLAND,KI,112,345,79,195,0,4
LAKE YOUNGS,KI,207,669,175,390,0,8
COV 47-3244,KI,133,466,67,204,0,4
ARTHUR,KI,270,863,237,510,0,3
DANIEL,KI,181,574,133,323,0,9
RNT 11-3555,KI,131,477,87,219,0,1
CANDLEWOOD,KI,71,412,48,120,0,1
AUB 47-3591,KI,130,445,75,206,0,1
KEN 11-3663,KI,146,387,78,225,0,1
RNT 11-3588,KI,83,481,35,120,0,2
AUB 47-3455,KI,124,439,102,229,0,3
AUB 47-3324,KI,219,577,140,360,0,1
AUB 31-0082,KI,113,403,84,203,0,6
AUB 31-0083,KI,128,487,99,229,0,2
AUB 31-0080,KI,240,830,169,414,0,5
AUB 31-0081,KI,122,457,76,199,0,1
FALCON,KI,138,456,148,288,0,2
RNT 11-0978,KI,142,506,81,223,0,0
RNT 11-0979,KI,65,284,35,100,0,0
RNT 11-0975,KI,219,861,117,339,0,3
M-V 05-3482,KI,259,870,181,441,0,1
RNT 11-0970,KI,62,246,46,108,0,0
RNT 11-0971,KI,164,579,126,291,0,1
RNT 11-0973,KI,159,542,85,245,0,1
HONEY,KI,31,102,26,57,0,0
KEN 33-3332,KI,225,863,208,437,0,4
KEN 47-0798,KI,222,742,172,394,0,0
BRIGID,KI,112,320,55,168,0,1
KEN 33-3445,KI,112,375,73,188,0,3
KEN 33-2426,KI,165,550,132,298,0,1
B-D 05-2407,KI,253,838,193,447,0,1
LYNN,KI,134,433,79,214,0,1
ALG 30-0013,KI,100,467,50,153,0,3
RUSS,KI,3,24,8,11,0,0
RNT 11-1015,KI,112,443,80,194,0,2
RNT 11-1011,KI,240,881,146,391,0,5
KEN 47-3275,KI,173,854,115,288,0,0
LOIS,KI,134,566,99,237,0,4
LUND,KI,224,740,184,409,0,1
RIVERSIDE,KI,114,396,105,220,0,1
LEAH,KI,182,661,134,319,0,3
AUB 31-0069,KI,102,314,57,159,0,0
WABASH,KI,103,320,86,189,0,0
AUB 31-0062,KI,209,660,120,332,0,3
AUB 31-0063,KI,88,279,41,130,0,1
AUB 31-0064,KI,82,408,42,125,0,1
AUB 31-0065,KI,77,288,47,125,0,1
KEN 47-2403,KI,99,466,69,171,0,3
B-D 05-3463,KI,0,0,0,0,0,0
CAMPBELL HILL,KI,145,642,102,250,0,3
RNT 11-2815,KI,138,677,75,215,0,2
WYNOCHE,KI,134,397,123,257,0,0
RNT 11-2816,KI,172,578,122,297,0,3
KEN 47-2477,KI,206,535,154,361,0,1
RNT 37-0991,KI,145,619,101,250,0,4
MILWAUKEE,KI,9,50,15,24,0,0
RNT 11-2475,KI,172,654,117,292,0,3
HAM LAKE,KI,139,467,126,267,0,2
KEN 47-2708,KI,122,485,103,226,0,1
BRYAN,KI,84,351,103,188,0,1
ALG 30-3141,KI,147,523,74,222,0,1
HUCKLEBERRY,KI,115,420,111,227,0,1
RNT 11-3223,KI,73,294,39,114,0,2
RNT 11-3222,KI,171,581,121,295,0,3
COV 47-1203,KI,244,885,176,421,0,1
KEN 47-2704,KI,269,773,159,430,0,2
RNT 11-1002,KI,76,332,64,142,1,1
KEN 33-2567,KI,100,369,86,187,0,1
KEN 47-2490,KI,212,673,118,331,0,1
KEN 33-2569,KI,238,856,151,390,0,1
MORTON,KI,213,723,207,425,0,5
LAKERIDGE,KI,224,751,187,411,0,0
ENM 31-3492,KI,85,333,77,164,0,2
RNT 41-0995,KI,215,740,127,346,0,4
RNT 41-0994,KI,161,488,88,250,0,1
RNT 41-0993,KI,180,703,141,321,0,0
MCDONALD,KI,160,525,123,285,0,2
RNT 37-1000,KI,72,532,68,142,0,2
RNT 11-3359,KI,141,487,45,188,0,2
RNT 37-0999,KI,201,760,141,343,0,1
RNT 11-0992,KI,80,295,47,127,0,0
RNT 11-0990,KI,146,448,53,199,0,0
RNT 11-0996,KI,158,562,99,257,0,0
RNT 11-0997,KI,202,875,124,328,0,2
KEN 47-0753,KI,154,622,90,249,1,4
KEN 47-2709,KI,245,839,159,407,0,3
RNT 11-3643,KI,110,363,69,180,0,1
RNT 11-0998,KI,106,363,64,171,0,1
LINCOLN,KI,81,312,87,168,0,0
KEN 33-0583,KI,113,371,89,203,0,1
KEN 33-3644,KI,137,486,75,213,0,1
KEN 33-0581,KI,210,684,99,311,0,2
KEN 33-0587,KI,116,470,92,209,0,1
KEN 33-0586,KI,149,437,106,256,0,1
KEN 33-0585,KI,137,569,84,224,0,3
KEN 33-0588,KI,86,317,70,157,0,1
KEN 47-1076,KI,175,668,125,301,0,1
KEN 33-3362,KI,101,365,73,174,0,0
KEN 47-1170,KI,102,412,77,180,0,1
RNT 11-3224,KI,122,457,88,214,0,4
MCDIVITT,KI,21,57,11,32,0,0
RNT 11-2607,KI,115,631,79,196,0,2
KEN 33-2864,KI,148,463,93,243,0,2
SAWYER,KI,200,594,178,382,0,4
CARRIAGE,KI,137,399,90,230,0,3
KEN 47-3652,KI,142,463,76,219,0,1
BLACK RIVER,KI,53,320,21,77,0,3
KEN 47-2836,KI,146,531,113,259,0,0
KEN 47-2834,KI,162,564,91,255,0,2
KEN 47-2939,KI,74,314,45,121,0,2
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,189,473,106,298,0,3
MAY VALLEY,KI,138,492,105,246,0,3
BITTERROOT,KI,147,483,110,262,0,5
ARIA,KI,139,428,100,239,0,0
GRASS LAKE,KI,139,374,95,235,0,1
RNT 11-0456,KI,192,635,93,291,0,6
COV 47-2586,KI,143,588,100,243,0,0
COV 47-1127,KI,172,606,131,303,0,0
PAC 30-2856,KI,147,686,81,230,0,2
KEN 47-0246,KI,141,479,120,261,0,0
KEN 47-2599,KI,210,748,133,345,0,2
RED MILL,KI,127,418,88,217,0,2
AUB 31-3405,KI,200,662,121,322,0,1
FAIRMONT,KI,105,394,106,216,0,5
M-V 05-1218,KI,236,674,141,378,0,1
RNT 11-3604,KI,132,591,101,234,0,1
RNT 11-3609,KI,95,461,77,173,0,1
LAKE MORTON,KI,82,232,67,151,0,2
M-V 05-3536,KI,145,572,129,275,0,1
SWEENEY,KI,174,575,166,341,0,1
AUB 47-0328,KI,241,684,153,397,0,3
RUDDELL,KI,119,397,93,214,0,2
KEN 47-1034,KI,213,745,143,356,0,0
FAIRGLEN,KI,153,442,103,258,0,2
AUB 31-0047,KI,159,574,102,264,0,3
KEN 47-0662,KI,220,659,177,399,0,2
KEN 11-3403,KI,164,549,100,264,0,0
AUB 47-2551,KI,221,824,108,332,1,2
CARRIAGE LANE,KI,185,621,125,314,0,4
AUB 30-0046,KI,108,351,60,169,0,1
AUB 47-3538,KI,202,719,163,366,0,1
AUB 47-3539,KI,127,436,116,245,0,2
RNT 11-3287,KI,179,705,156,338,0,3
WHITE RIVER,KI,158,597,179,337,0,0
HANSEN,KI,163,505,144,308,0,1
CEDAR RIVER,KI,127,481,128,259,0,4
RNT 11-3162,KI,67,209,35,106,0,4
AUB 47-0072,KI,158,525,131,289,0,0
AUB 47-0073,KI,159,687,81,244,0,4
COALFIELD,KI,218,713,173,396,0,5
AUB 47-0074,KI,203,569,91,294,0,0
KEN 47-3300,KI,133,527,119,254,0,2
CORNELL,KI,174,557,141,316,0,1
BRYN MAWR,KI,108,365,93,201,0,0
KEN 33-3172,KI,107,571,31,142,0,4
M-V 05-2614,KI,260,831,158,422,0,4
KEN 33-3174,KI,201,652,113,315,0,1
VEAZIE,KI,196,619,157,356,0,3
AUB 31-0058,KI,97,290,74,172,0,1
FREEDOM,KI,193,726,182,378,0,3
AUB 31-0054,KI,146,527,63,214,0,5
AUB 31-0051,KI,115,530,49,166,0,2
AUB 31-0050,KI,110,421,75,188,0,3
FAIRMONT GLEN,KI,168,497,104,277,0,5
WALLACE,KI,105,454,89,194,0,0
KRAIN,KI,175,565,196,372,0,1
BRIAR,KI,169,521,111,283,0,3
M-V 05-3367,KI,209,763,145,358,0,4
M-V 05-3366,KI,119,446,52,172,0,1
COV 47-2711,KI,147,536,108,255,0,0
MUCKLESHOOT,KI,33,395,21,54,0,0
M-V 05-3369,KI,259,680,121,383,0,3
M-V 05-3368,KI,191,748,156,350,0,3
KEN 33-0582,KI,208,843,148,359,0,3
HOLM LAKE,KI,216,710,199,415,0,0
COV 47-2390,KI,132,505,70,204,0,2
KEN 47-2568,KI,241,866,160,403,0,2
RNT 11-3563,KI,144,625,132,277,0,1
KEN 47-0910,KI,168,765,133,309,0,8
AUB 47-3276,KI,153,610,90,247,0,4
KEN 33-2570,KI,153,582,106,265,0,6
MCCOY,KI,173,646,190,368,0,5
COV 47-3581,KI,99,385,81,180,0,0
KEN 11-3331,KI,104,456,61,166,0,1
RNT 11-0738,KI,80,444,59,141,0,2
ENM 05-3414,KI,0,0,0,0,0,0
STACY,KI,37,173,52,89,0,0
AUB 47-2700,KI,50,212,19,73,0,4
AUB 47-2701,KI,87,486,57,146,0,2
VALENCIA,KI,138,501,119,258,0,1
KEN 47-3352,KI,0,0,0,0,0,0
KEN 33-3553,KI,122,557,72,194,0,0
KEN 33-0590,KI,221,755,144,372,0,7
KEN 33-0591,KI,86,274,54,140,0,0
KEN 33-0592,KI,49,208,32,81,0,0
KEN 33-0593,KI,90,231,49,140,0,1
KEN 33-0594,KI,87,366,100,189,0,2
KEN 33-0595,KI,84,488,54,139,0,1
KEN 33-0596,KI,156,550,132,289,0,1
KEN 33-0597,KI,141,688,94,239,0,4
KEN 33-0598,KI,124,473,75,201,0,2
KEN 33-0453,KI,204,815,155,364,0,5
AUB 47-3456,KI,190,795,112,305,0,3
PINE,KI,36,139,40,76,0,0
KEN 47-1102,KI,202,759,180,382,0,0
DORRE DON,KI,243,793,232,477,0,2
KEN 47-3189,KI,135,732,70,206,0,1
KEN 47-3184,KI,239,776,142,384,0,3
LITTLE SOOS,KI,167,463,100,268,0,1
KEN 47-3180,KI,117,541,70,187,0,0
RNT 11-1109,KI,107,484,70,180,0,3
RNT 11-0354,KI,153,491,74,227,0,0
CEDAR PARK,KI,75,245,40,118,0,3
RENHILL,KI,120,406,82,204,0,2
EASTWOOD,KI,170,487,109,281,0,2
GREEN VALLEY,KI,109,370,114,223,0,0
NATHAN,KI,149,507,145,297,0,3
M-V 05-0697,KI,219,673,165,385,0,1
MORRIS,KI,200,736,155,359,0,4
KEN 47-3136,KI,71,293,45,119,0,3
M-V 05-3322,KI,113,382,76,189,0,0
FAIRHAVEN,KI,238,808,200,439,0,1
M-V 05-3242,KI,149,588,111,262,0,2
AUB 47-0041,KI,194,735,107,303,0,2
KELSEY,KI,123,439,85,209,0,1
AUB 47-0045,KI,228,674,121,351,0,2
M-V 05-3245,KI,175,636,187,367,0,5
SELLECK,KI,227,784,190,420,0,3
AUB 30-3477,KI,40,203,25,65,0,0
AUB 30-3476,KI,60,264,26,86,0,0
GRIFFITH,KI,179,576,107,288,0,2
RNT 33-1204,KI,291,851,169,461,0,1
KEN 47-0482,KI,173,671,127,301,0,1
RNT 33-3535,KI,186,697,95,282,0,1
COV 47-2982,KI,146,553,104,251,0,1
TAHOMA,KI,155,571,157,313,0,1
KEN 47-2585,KI,247,819,184,431,0,0
RAVENSDALE,KI,143,497,107,252,0,2
AUB 47-2839,KI,238,692,191,430,0,1
KEN 33-0270,KI,51,271,33,87,0,3
RNT 11-3575,KI,191,600,123,318,0,4
PLAINS,KI,233,742,194,430,0,3
KEN 47-2485,KI,183,616,102,288,0,3
SIERRA,KI,202,690,167,373,0,4
KEN 47-1151,KI,133,398,96,229,0,0
RNT 11-3619,KI,122,472,100,225,0,3
MERGANSER,KI,193,627,158,351,0,0
DIAMOND,KI,65,227,55,120,0,0
RNT 37-3154,KI,188,770,122,311,0,1
TANNER,KI,178,695,164,343,0,1
RNT 11-3683,KI,78,320,49,128,0,1
M-V 05-0528,KI,179,344,86,266,0,1
FAIRWOOD,KI,102,267,74,176,0,0
KEN 47-3579,KI,52,273,47,100,0,1
AUB 30-0053,KI,120,437,62,185,0,3
KEN 33-2443,KI,58,303,24,82,0,0
IDA,KI,85,260,59,146,0,2
B-D 05-3310,KI,156,492,116,273,0,1
KEN 33-2699,KI,104,401,88,198,0,6
ELIZABETH,KI,155,601,117,273,0,1
RNT 37-3650,KI,91,474,112,204,0,1
COV 47-3365,KI,82,286,82,164,0,0
ENM 31-0413,KI,173,655,189,363,0,1
ENM 31-0411,KI,248,765,161,410,0,1
ENM 31-0410,KI,167,644,127,297,0,3
ENM 31-0417,KI,79,249,64,143,0,0
ENM 31-0416,KI,215,695,183,402,0,4
ENM 31-0415,KI,65,259,76,142,0,1
ENM 31-0419,KI,119,480,106,231,0,6
ENM 31-0418,KI,188,565,133,322,0,1
FOUR LAKES,KI,207,733,194,403,1,1
RNT 11-0031,KI,176,660,122,298,0,0
RNT 11-0404,KI,174,598,104,281,0,3
COV 47-0566,KI,175,724,129,308,0,4
RNT 41-1017,KI,111,370,72,183,0,0
RNT 41-1010,KI,116,416,102,219,0,1
AUB 31-3335,KI,201,732,148,351,0,2
RNT 41-1018,KI,267,868,194,464,0,3
AUB 31-0042,KI,143,509,96,240,0,1
SUNSET,KI,58,230,61,121,0,2
FRANKLIN,KI,34,160,29,63,0,0
KEN 47-3676,KI,38,127,26,64,0,0
AUB 31-0048,KI,44,210,34,78,0,0
AUB 31-0049,KI,124,450,65,195,0,6
KEN 47-3408,KI,95,374,46,141,0,0
M-V 05-3373,KI,193,662,162,360,0,5
KEN 47-3402,KI,178,669,142,322,0,2
M-V 05-3272,KI,265,878,166,436,0,5
COV 47-0313,KI,141,428,100,241,0,0
LANGSTON,KI,149,587,104,254,0,1
FAIRVILLE,KI,173,575,123,298,0,2
RNT 11-0539,KI,127,475,50,178,0,1
KEN 47-3493,KI,154,554,115,269,0,0
COV 47-3279,KI,196,713,143,342,0,3
FOREST,KI,177,572,135,313,0,1
KENTLAKE,KI,182,647,105,290,0,3
RNT 11-2854,KI,140,583,82,225,0,3
AUB 47-3260,KI,275,886,208,485,0,2
RNT 11-0981,KI,262,794,133,399,0,4
OSCEOLA,KI,180,557,153,336,0,3
COV 47-1145,KI,176,696,140,318,0,2
NEUWAUKUM,KI,100,356,97,199,0,2
KEN 47-0229,KI,187,695,108,296,0,1
RNT 11-0983,KI,133,525,81,215,0,1
HOBART,KI,203,621,168,374,0,3
MADISON,KI,83,305,74,157,0,0
COV 47-3597,KI,77,293,68,150,0,5
M-V 05-2857,KI,201,703,190,394,0,3
AUB 47-1066,KI,111,370,99,211,0,1
RNT 11-3404,KI,128,556,104,232,0,0
BRINN,KI,249,848,262,513,0,2
