Row Label,County,David M. Christie,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
TUK 11-2956,KI,74,460,37,112,0,1
FED 30-3574,KI,67,353,49,117,0,1
TUK 11-3393,KI,86,347,32,119,0,1
TUK 11-2949,KI,148,585,75,225,0,2
BERNICE,KI,176,601,64,240,0,0
STAR LAKE,KI,103,325,79,182,0,0
SHAWNEE,KI,120,426,168,291,0,3
BUR 34-1219,KI,175,530,169,345,0,1
SET 33-3069,KI,89,353,79,169,0,1
ILLAHEE,KI,129,328,93,222,0,0
DES 33-3131,KI,69,266,50,119,0,0
FED 30-3005,KI,125,298,76,201,0,0
SET 33-3065,KI,105,464,39,146,0,2
SET 33-3064,KI,103,468,63,167,0,1
SET 33-3063,KI,100,330,72,173,0,1
SET 33-3062,KI,98,316,57,155,0,0
SET 33-3061,KI,93,340,71,166,0,2
DES 30-0954,KI,244,745,169,415,0,2
BUR 34-1104,KI,96,325,89,186,0,1
FED 30-3097,KI,242,720,185,429,0,2
FED 30-3094,KI,166,595,106,277,0,5
FED 30-3095,KI,105,501,67,173,0,1
FED 30-3092,KI,137,631,72,213,0,4
FED 30-3093,KI,144,612,77,221,0,0
FED 30-3090,KI,108,356,89,198,0,1
FED 30-3091,KI,238,552,150,388,0,0
FED 30-3006,KI,134,466,71,207,0,2
FED 30-3098,KI,133,528,117,252,0,2
NPK 33-0853,KI,136,338,107,243,0,0
DES 33-1128,KI,94,289,79,174,0,1
BUR 33-0805,KI,182,591,86,270,0,2
BUR 33-0729,KI,197,864,120,320,2,1
EXCALIBUR,KI,126,403,97,226,0,3
GENEVA,KI,113,408,103,218,0,2
FED 30-3018,KI,88,327,66,155,0,1
FED 30-3019,KI,105,427,124,231,0,2
FED 30-3017,KI,246,715,210,458,0,2
FED 30-3014,KI,147,461,129,277,0,1
BUR 34-0900,KI,115,391,79,194,0,0
BUR 33-1189,KI,169,639,112,283,0,2
FED 30-3013,KI,77,266,46,124,0,1
DENVER,KI,141,588,85,229,0,3
FED 30-3011,KI,81,343,57,138,0,0
TUK 11-1164,KI,170,660,139,312,0,3
PEGGY,KI,202,775,184,390,0,4
TUK 11-1166,KI,92,443,69,165,0,4
TUK 11-1167,KI,1,6,3,4,0,0
THISTLE,KI,77,334,75,152,0,0
BUR 34-0295,KI,127,479,140,269,0,2
MIL 30-3146,KI,197,659,161,361,0,3
GLENDALE,KI,167,764,119,289,0,3
BUR 34-0298,KI,196,668,124,322,0,2
BUR 34-1192,KI,205,591,189,397,0,3
NPK 33-0857,KI,284,684,198,483,0,1
NPK 33-0854,KI,194,436,108,302,0,0
NPK 33-0855,KI,123,390,108,231,0,0
NPK 33-0852,KI,170,442,123,296,0,3
FED 30-3015,KI,129,398,111,241,0,1
FED 30-3599,KI,104,420,107,213,0,2
NPK 33-0851,KI,174,525,162,338,0,2
SET 33-3074,KI,151,456,107,260,0,2
FED 30-3596,KI,102,332,75,178,0,1
NPK 33-0849,KI,150,380,102,254,0,2
SET 33-3070,KI,91,340,79,173,0,3
FED 30-3031,KI,182,542,91,273,0,0
AVALON,KI,102,372,89,191,0,0
FED 30-3045,KI,151,637,101,253,0,1
CONNAUGHT,KI,185,615,147,337,0,5
SET 33-3073,KI,106,285,64,171,0,1
FED 30-3235,KI,96,400,76,172,0,0
REGAL,KI,196,788,123,321,0,2
TUK 11-2955,KI,167,653,104,274,0,3
BUR 34-1032,KI,152,511,108,263,0,3
BUR 34-1136,KI,75,218,61,137,0,1
SET 33-3060,KI,86,373,47,134,0,1
GLASGOW,KI,139,601,111,255,0,5
LISABEULA,KI,122,467,183,309,0,4
MERLIN,KI,109,411,57,170,0,4
DES 33-2637,KI,137,499,83,221,0,1
TUK 11-3614,KI,17,56,11,28,0,0
BUR 33-0957,KI,98,323,42,141,0,1
BUR 34-0913,KI,151,599,72,225,0,2
BUR 33-0818,KI,172,753,143,319,0,4
NPK 33-2644,KI,124,287,80,204,0,0
NPK 33-2474,KI,147,454,169,316,0,0
FED 30-3040,KI,97,432,47,146,0,2
SPIDER LAKE,KI,222,755,160,387,0,5
BUR 34-0281,KI,0,0,0,0,0,0
SERENIDAD,KI,181,746,135,317,0,1
TUK 11-2752,KI,128,490,118,249,0,3
FED 30-3043,KI,156,631,102,261,0,3
FED 30-2988,KI,203,629,123,332,0,6
FED 30-3042,KI,99,251,66,166,0,1
TUK 11-3128,KI,166,717,121,288,0,1
TUK 11-3233,KI,111,457,66,178,0,1
BUR 34-0033,KI,175,682,131,309,0,3
JUTLAND,KI,21,85,19,40,0,0
BUR 34-1082,KI,113,307,102,215,0,0
CROSS,KI,144,511,184,328,0,0
FED 30-3582,KI,53,255,42,95,0,0
DES 33-0297,KI,77,240,44,121,0,0
JEFFERSON,KI,225,829,175,404,0,4
FED 30-3236,KI,211,746,136,351,0,4
BUR 34-0848,KI,145,421,115,261,0,1
DEVILLE,KI,148,558,114,263,0,1
FED 30-3023,KI,135,412,118,258,0,5
FED 30-3010,KI,115,335,78,197,0,4
DES 33-2626,KI,161,331,108,272,0,3
DES 33-2627,KI,147,347,81,229,0,1
DES 33-2625,KI,129,434,102,231,0,0
GRANDVIEW,KI,5,16,3,8,0,0
DES 33-2623,KI,123,333,101,225,0,1
FED 30-3035,KI,85,265,43,128,0,0
CAMELOT,KI,125,479,85,211,0,1
SET 33-3068,KI,115,464,113,228,0,0
FED 30-3234,KI,97,382,65,163,0,1
CARPENTER,KI,87,434,155,242,0,0
FED 30-3078,KI,132,402,85,218,0,1
FED 30-3079,KI,164,508,95,260,0,1
FED 30-2999,KI,85,392,52,137,0,0
DES 33-0911,KI,136,515,87,224,0,1
FED 30-2994,KI,68,225,50,118,0,0
FED 30-2995,KI,59,243,61,122,0,2
FED 30-2996,KI,128,510,89,218,0,1
FED 30-2990,KI,159,589,79,239,0,1
FED 30-2991,KI,120,360,66,187,0,1
FED 30-2992,KI,99,356,74,174,0,1
FED 30-2993,KI,202,677,133,340,0,5
SET 33-3057,KI,142,607,121,267,0,4
THOMAS,KI,136,442,110,249,0,3
SET 33-3107,KI,162,680,115,281,0,4
BUR 34-0025,KI,198,734,152,352,0,2
BUR 33-0562,KI,128,403,62,194,0,4
BUR 34-0381,KI,129,486,111,243,0,3
SEAVIEW,KI,120,393,100,221,0,1
DES 33-2394,KI,179,407,91,271,0,1
DES 33-2395,KI,102,263,59,162,0,1
SET 33-3059,KI,125,683,76,205,0,4
DES 33-1078,KI,88,354,62,150,0,0
DES 33-0361,KI,113,386,88,201,0,0
DES 33-0360,KI,206,582,167,373,0,0
DES 33-0363,KI,92,350,61,154,0,1
BUR 34-1150,KI,127,365,122,249,0,0
DES 33-0682,KI,157,444,84,241,0,0
DES 33-0364,KI,119,441,76,196,0,1
DES 33-0367,KI,133,411,99,234,0,2
DES 33-0366,KI,195,593,148,343,0,0
EVERGREEN,KI,165,716,96,261,0,0
FED 30-3096,KI,134,550,112,249,0,3
MARIAN,KI,216,776,106,323,0,1
DES 33-2820,KI,103,393,61,164,0,0
FED 30-3289,KI,224,819,142,368,0,2
GLENN,KI,58,255,66,126,0,2
FRAGER,KI,1,2,0,1,0,0
FED 30-3049,KI,128,430,40,168,0,0
FED 30-3048,KI,121,634,65,187,0,1
KILLARNEY,KI,133,466,128,264,0,3
FED 30-3020,KI,119,436,104,223,0,0
BUR 33-0476,KI,208,764,166,378,0,4
FED 30-3044,KI,229,657,95,326,0,2
FED 30-3047,KI,155,492,77,236,0,4
FED 30-3046,KI,110,397,77,188,0,1
FED 30-3041,KI,89,326,67,158,0,2
CYPRESS,KI,0,0,0,0,0,0
CADDIS,KI,111,366,96,211,0,4
DES 33-2416,KI,153,484,87,242,0,2
BUR 33-0094,KI,128,450,101,229,0,0
TUK 11-2453,KI,101,510,78,180,0,1
SET 33-3104,KI,135,542,111,247,0,1
NPK 33-2645,KI,135,335,81,219,0,3
HERON,KI,130,424,91,222,0,1
SET 33-3100,KI,198,847,91,291,0,2
BUR 34-0560,KI,126,474,94,223,0,3
SET 33-3102,KI,175,670,114,293,0,4
SYLVAN,KI,218,744,116,336,0,2
BUR 34-1064,KI,196,589,162,358,0,0
SET 33-3075,KI,61,289,54,116,0,1
GUENEVERE,KI,85,342,61,149,0,3
FED 30-3305,KI,63,402,38,102,0,1
NPK 33-2646,KI,182,587,159,341,0,0
TAHLEQUAH,KI,161,550,185,349,0,3
FED 30-3110,KI,106,351,86,194,0,2
DES 33-0272,KI,136,414,102,239,0,1
BUR 33-0009,KI,83,277,36,119,0,0
FED 30-3026,KI,121,399,73,195,0,1
BUR 34-0710,KI,96,357,75,175,0,4
SUNNYWOOD,KI,154,629,133,287,0,0
BUR 34-0824,KI,166,577,103,272,0,3
BRITTANY,KI,179,592,140,321,0,2
BUR 33-0251,KI,95,386,77,174,0,2
FED 30-3052,KI,155,494,88,243,0,0
FED 30-3053,KI,132,472,85,218,0,1
FED 30-3050,KI,49,222,49,98,0,0
FED 30-3051,KI,96,400,55,152,0,1
FED 30-3056,KI,94,323,72,166,0,0
BUR 33-1067,KI,254,866,167,427,0,6
FED 30-3054,KI,103,386,65,168,0,0
BINGAMAN,KI,207,565,103,313,0,3
FED 30-3077,KI,119,339,82,202,0,1
DILWORTH,KI,114,438,163,277,0,0
DES 33-0864,KI,105,317,99,204,0,0
JOVITA,KI,126,454,101,232,0,5
SET 33-1031,KI,224,925,171,398,0,3
FED 30-3395,KI,84,272,56,143,0,3
QUARTERMASTER,KI,96,342,130,229,0,3
FED 30-3021,KI,161,566,87,249,0,1
PORTAGE,KI,130,396,136,270,0,4
DES 33-2672,KI,138,577,92,231,0,1
DOCKTON,KI,206,696,238,446,0,2
COLVOS,KI,73,250,80,153,0,0
DES 33-0437,KI,86,271,69,155,0,0
DES 33-0668,KI,67,273,56,123,0,0
WYNONA,KI,116,462,94,211,0,1
ANGELO,KI,122,425,110,232,0,0
WHITE CENTER,KI,210,788,82,297,0,5
BUR 34-0485,KI,161,583,140,302,0,1
FED 30-3080,KI,110,499,60,172,1,1
MAURY,KI,140,413,151,292,0,1
TUK 11-3127,KI,71,280,35,109,0,3
BUR 34-0489,KI,162,445,163,327,0,2
FED 30-3027,KI,175,654,108,288,0,5
DES 33-2674,KI,141,552,108,250,0,1
FED 30-3025,KI,150,506,154,307,0,3
FED 30-3024,KI,123,349,95,222,0,4
DES 33-2671,KI,295,834,190,488,0,3
FED 30-3022,KI,78,216,54,132,0,0
DES 33-2673,KI,101,366,66,167,0,0
BUR 34-0311,KI,172,464,95,268,0,1
MCKINLEY,KI,68,351,46,118,0,4
BUR 34-0402,KI,131,390,108,241,0,2
LAKELAND,KI,139,527,106,248,0,3
FED 30-3029,KI,92,309,23,117,0,2
FED 30-3028,KI,156,510,94,250,0,0
