Row Label,PrecinctCode,County,Registered Voters,Gary Warnock
Lacey 18,318,TH,NULL,240
Lacey 19,319,TH,NULL,144
Lacey 20,320,TH,NULL,82
Lacey 21,321,TH,NULL,106
Lacey 22,322,TH,NULL,149
Lacey 23,323,TH,NULL,93
Lacey 24,324,TH,NULL,284
Lacey 27,327,TH,NULL,187
Lacey 28,328,TH,NULL,130
Lacey 29,329,TH,NULL,259
Lacey 30,330,TH,NULL,310
Lacey 31,331,TH,NULL,165
Lacey 32,332,TH,NULL,231
Lacey 33,333,TH,NULL,118
Lacey 34,334,TH,NULL,131
Lacey 35,335,TH,NULL,83
Lacey 36,336,TH,NULL,131
Lacey 37,337,TH,NULL,71
Lacey 39,339,TH,NULL,355
Lacey 40,340,TH,NULL,271
Lacey 41,341,TH,NULL,197
Lacey 42,342,TH,NULL,72
Lacey 43,343,TH,NULL,263
Lacey 44,344,TH,NULL,98
Lacey 45,345,TH,NULL,117
Lacey 46,346,TH,NULL,487
Lacey 47,347,TH,NULL,369
Lacey 48,348,TH,NULL,145
Lacey 49,349,TH,NULL,133
Tumwater 01,401,TH,NULL,168
Tumwater 02,402,TH,NULL,228
Tumwater 03,403,TH,NULL,252
Tumwater 04,404,TH,NULL,155
Tumwater 05,405,TH,NULL,162
Tumwater 06,406,TH,NULL,380
Tumwater 07,407,TH,NULL,184
Tumwater 08,408,TH,NULL,271
Tumwater 09,409,TH,NULL,152
Tumwater 10,410,TH,NULL,295
Tumwater 11,411,TH,NULL,307
Tumwater 12,412,TH,NULL,234
Tumwater 13,413,TH,NULL,95
Tumwater 14,414,TH,NULL,111
Tumwater 15,415,TH,NULL,263
Tumwater 24,424,TH,NULL,163
Tumwater 27,427,TH,NULL,221
Tumwater 28,428,TH,NULL,307
Tumwater 29,429,TH,NULL,0
Tenino 01,501,TH,NULL,148
Tenino 02,502,TH,NULL,171
Rainier 01,601,TH,NULL,174
Rainier 02,602,TH,NULL,148
Yelm 1,701,TH,NULL,209
Yelm 2,702,TH,NULL,219
Yelm 3,703,TH,NULL,243
Yelm 4,704,TH,NULL,241
Bucoda,801,TH,NULL,101
