Row Label,PrecinctCode,County,Registered Voters,Dave Peterson,Gerald (Gary) Chaney
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,19,18
CHARLAND 110,100110,KP,NULL,177,181
ALPINE 111,100111,KP,NULL,211,181
HERITAGE PARK 112,100112,KP,NULL,171,187
COUNTRY CLUB 113,100113,KP,NULL,143,127
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,228,211
BUCKLIN 121,100121,KP,NULL,277,241
LUOTO 122,100122,KP,NULL,107,162
COTTONWOOD 125,100125,KP,NULL,227,188
FOREST RIDGE 126,100126,KP,NULL,146,140
WOODMERE 127,100127,KP,NULL,283,271
CENTRAL VALLEY 128,100128,KP,NULL,263,249
WINSTON 129,100129,KP,NULL,110,98
ERLANDS POINT 130,100130,KP,NULL,194,151
REGAL 131,100131,KP,NULL,66,62
FAIRVIEW 135,100135,KP,NULL,143,147
FIRGLADE 137,100137,KP,NULL,140,171
TIBARDIS 139,100139,KP,NULL,119,102
GILBERTON 140,100140,KP,NULL,219,182
RIDGEPOINT 141,100141,KP,NULL,180,177
UNIVERSITY POINT 142,100142,KP,NULL,181,149
KARIOTIS 143,100143,KP,NULL,260,216
CAMBRIDGE 144,100144,KP,NULL,143,162
SPINNAKER 146,100146,KP,NULL,190,136
BARKER CREEK 147,100147,KP,NULL,304,258
SANTA FE 148,100148,KP,NULL,210,186
RIDGETOP 149,100149,KP,NULL,167,190
MEADOWDALE 150,100150,KP,NULL,165,196
SYMINGTON 151,100151,KP,NULL,140,126
PIONEER 152,100152,KP,NULL,329,276
LARSON 153,100153,KP,NULL,283,303
SEABECK 155,100155,KP,NULL,307,393
LOST HIGHWAY 157,100157,KP,NULL,234,279
HOLLY 158,100158,KP,NULL,72,59
BREMERTON 159,100159,KP,NULL,146,113
SILVERDALE 160,100160,KP,NULL,271,229
MORKEN 161,100161,KP,NULL,322,330
APEX 162,100162,KP,NULL,267,305
ANDERSON CREEK 163,100163,KP,NULL,191,227
EAGLE CREST 164,100164,KP,NULL,315,245
SUTTON 165,100165,KP,NULL,164,145
TRACYTON 170,100170,KP,NULL,187,151
VENA 173,100173,KP,NULL,236,177
FUSON 175,100175,KP,NULL,220,218
PORT ORCHARD 200,100200,KP,NULL,139,87
PORT ORCHARD 201,100201,KP,NULL,260,151
PORT ORCHARD 202,100202,KP,NULL,277,233
PORT ORCHARD 203,100203,KP,NULL,130,107
PORT ORCHARD 204,100204,KP,NULL,225,169
PORT ORCHARD 205,100205,KP,NULL,496,471
PORT ORCHARD 206,100206,KP,NULL,0,0
PORT ORCHARD 207,100207,KP,NULL,224,198
PORT ORCHARD 208,100208,KP,NULL,0,0
PORT ORCHARD 209,100209,KP,NULL,0,0
PORT ORCHARD 210,100210,KP,NULL,150,160
CEDAR 211,100211,KP,NULL,231,205
ANNAPOLIS 212,100212,KP,NULL,355,282
BRASCH 213,100213,KP,NULL,234,277
LAKE HELENA 214,100214,KP,NULL,178,252
PORT ORCHARD 215,100215,KP,NULL,0,0
MINTERBROOK 216,100216,KP,NULL,106,129
SPRING CREEK 217,100217,KP,NULL,191,171
BURLEY 218,100218,KP,NULL,264,267
HUNTER 219,100219,KP,NULL,172,225
ALASKA 221,100221,KP,NULL,341,261
WOODRIDGE 222,100222,KP,NULL,123,160
NEBRASKA 223,100223,KP,NULL,225,222
WHISPERING PINES 227,100227,KP,NULL,219,285
FERNWOOD 230,100230,KP,NULL,285,298
GLENWOOD 232,100232,KP,NULL,276,352
HARPER 240,100240,KP,NULL,289,157
YUKON 241,100241,KP,NULL,197,173
WILSON CREEK 242,100242,KP,NULL,241,185
LONG LAKE 245,100245,KP,NULL,166,174
LOCKER 246,100246,KP,NULL,319,325
EBBERT 247,100247,KP,NULL,275,247
LUNDBERG 250,100250,KP,NULL,247,237
CONVERSE 252,100252,KP,NULL,197,218
MANCHESTER 255,100255,KP,NULL,238,172
EVERGREEN 257,100257,KP,NULL,364,310
WILLOCK 258,100258,KP,NULL,222,211
FRAGARIA 259,100259,KP,NULL,236,219
MULLENIX 260,100260,KP,NULL,273,282
BANDIX 263,100263,KP,NULL,261,295
OLALLA 265,100265,KP,NULL,193,187
CRESCENT VALLEY 266,100266,KP,NULL,252,252
OVERLOOK 267,100267,KP,NULL,249,139
MADRONA 269,100269,KP,NULL,186,155
PARKWOOD 270,100270,KP,NULL,290,244
CONIFER 271,100271,KP,NULL,141,118
SEDGWICK 272,100272,KP,NULL,261,269
SINCLAIR 275,100275,KP,NULL,123,122
SHERMAN HEIGHTS 278,100278,KP,NULL,12,6
BERRY LAKE 279,100279,KP,NULL,172,148
BELFAIR VALLEY 280,100280,KP,NULL,82,87
SUNNYSLOPE 281,100281,KP,NULL,184,214
DICKENSON 282,100282,KP,NULL,231,243
DRIVE-IN 283,100283,KP,NULL,4,8
TWIN LAKES 285,100285,KP,NULL,63,79
LIGHTHOUSE POINT 292,100292,KP,NULL,273,246
BREMERTON 293(*),100293,KP,NULL,0,0
BREMERTON 294,100294,KP,NULL,0,0
WATERMAN 295,100295,KP,NULL,168,159
BREMERTON 296,100296,KP,NULL,0,0
HEINS CREEK 297,100297,KP,NULL,0,0
BLUE HERON 301,100301,KP,NULL,614,98
AZALEA 302,100302,KP,NULL,476,120
WINSLOW 304,100304,KP,NULL,680,149
WING POINT 305,100305,KP,NULL,297,118
BLAKELY 310,100310,KP,NULL,357,90
CRYSTAL SPRINGS 312,100312,KP,NULL,545,137
FINCH 314,100314,KP,NULL,299,87
FERNCLIFF 315,100315,KP,NULL,543,144
EAGLE HARBOR 317,100317,KP,NULL,307,68
FORT WARD 318,100318,KP,NULL,411,99
ISLAND CENTER 320,100320,KP,NULL,364,93
MEADOWMEER 321,100321,KP,NULL,183,48
NEW BROOKLYN 322,100322,KP,NULL,258,66
LIBERTY 325,100325,KP,NULL,339,101
SKIFF POINT 328,100328,KP,NULL,351,77
ROLLING BAY 330,100330,KP,NULL,390,116
LOVGREN 332,100332,KP,NULL,237,65
TOLO 333,100333,KP,NULL,327,114
SEABOLD 335,100335,KP,NULL,448,142
MANZANITA 336,100336,KP,NULL,293,70
PORT MADISON 340,100340,KP,NULL,293,97
TORVANGER 345,100345,KP,NULL,485,133
POULSBO 401,100401,KP,NULL,361,258
POULSBO 403,100403,KP,NULL,264,183
POULSBO 404,100404,KP,NULL,324,219
POULSBO 405,100405,KP,NULL,334,170
POULSBO 406,100406,KP,NULL,361,248
POULSBO 407,100407,KP,NULL,253,165
BREIDABLIK 410,100410,KP,NULL,285,206
VINLAND 412,100412,KP,NULL,313,264
BELLA VISTA 413,100413,KP,NULL,233,175
HANSVILLE 415,100415,KP,NULL,184,157
POINT NO POINT 416,100416,KP,NULL,462,301
TWIN SPITS 417,100417,KP,NULL,361,223
S&#39;KLALLAM 418,100418,KP,NULL,41,2
POINT JEFFERSON 419,100419,KP,NULL,258,154
INDIANOLA 420,100420,KP,NULL,490,148
ORCA 421,100421,KP,NULL,227,125
APPLE TREE 422,100422,KP,NULL,351,191
HIGHLAND 423,100423,KP,NULL,164,131
KEYPORT 425,100425,KP,NULL,292,292
EVERGREEN RIDGE 426,100426,KP,NULL,92,98
ISLAND LAKE 427,100427,KP,NULL,216,225
KINGSTON 430,100430,KP,NULL,436,290
LEMOLO 435,100435,KP,NULL,242,177
LINCOLN 440,100440,KP,NULL,222,218
BIG VALLEY 441,100441,KP,NULL,192,174
LOFALL 442,100442,KP,NULL,377,316
PEARSON 445,100445,KP,NULL,336,330
PORT GAMBLE 450,100450,KP,NULL,274,209
STRIEBEL 453,100453,KP,NULL,299,215
GAMBLEWOOD 454,100454,KP,NULL,190,147
SCANDIA 455,100455,KP,NULL,238,260
MILLER BAY 458,100458,KP,NULL,339,268
SUQUAMISH 460,100460,KP,NULL,284,89
AUGUSTA 461,100461,KP,NULL,215,77
TOTTEN 463,100463,KP,NULL,281,114
SANDY HOOK 464,100464,KP,NULL,216,138
