Row Label,PrecinctCode,County,Registered Voters,Tam T. Bui
MARYSVILLE 31,24411678,SN,NULL,303
MARYSVILLE 34,24411701,SN,NULL,181
MARYSVILLE 55,24411748,SN,NULL,148
EBEY,24424001,SN,NULL,26
WHALEBACK,24424019,SN,NULL,15
EASTMONT,24424126,SN,NULL,169
FIRGROVE,24424528,SN,NULL,151
HILTONS LAKE,24454086,SN,NULL,217
RIVERCREST,24454172,SN,NULL,146
TOWER,24454197,SN,NULL,210
VILLE,24454198,SN,NULL,81
JORDAN,24454295,SN,NULL,335
LANTERN,24454341,SN,NULL,215
SLIVER,24454591,SN,NULL,1
