Row Label,PrecinctCode,County,Registered Voters,Repealed,Maintained
31-875,31875,PI,NULL,252,282
31-876,31876,PI,NULL,18,7
31-877,31877,PI,NULL,111,103
31-879,31879,PI,NULL,47,55
31-880,31880,PI,NULL,68,95
31-881,31881,PI,NULL,141,142
31-882,31882,PI,NULL,220,205
31-883,31883,PI,NULL,222,333
31-884,31884,PI,NULL,233,291
31-885,31885,PI,NULL,77,91
31-886,31886,PI,NULL,216,188
31-887,31887,PI,NULL,165,173
31-888,31888,PI,NULL,168,157
31-890,31890,PI,NULL,117,118
31-891,31891,PI,NULL,72,66
31-892,31892,PI,NULL,153,140
31-893(*),31893,PI,NULL,0,0
31-894,31894,PI,NULL,22,36
31-895,31895,PI,NULL,187,159
31-896,31896,PI,NULL,4,3
31-897,31897,PI,NULL,106,113
31-898,31898,PI,NULL,258,207
31-899,31899,PI,NULL,120,119
31-900,31900,PI,NULL,156,140
31-901,31901,PI,NULL,32,16
31-902,31902,PI,NULL,284,312
31-903,31903,PI,NULL,4,5
31-904,31904,PI,NULL,39,38
31-905,31905,PI,NULL,187,207
31-906,31906,PI,NULL,126,104
31-907,31907,PI,NULL,191,149
31-908,31908,PI,NULL,138,145
31-909,31909,PI,NULL,187,117
31-910,31910,PI,NULL,185,163
31-911,31911,PI,NULL,101,121
31-912,31912,PI,NULL,164,107
31-913,31913,PI,NULL,97,79
31-914,31914,PI,NULL,145,144
31-915,31915,PI,NULL,49,24
31-916,31916,PI,NULL,207,152
31-917,31917,PI,NULL,266,270
31-919,31919,PI,NULL,186,174
31-920,31920,PI,NULL,156,134
31-921,31921,PI,NULL,208,145
31-923,31923,PI,NULL,175,120
31-924,31924,PI,NULL,130,132
31-925,31925,PI,NULL,58,58
31-926,31926,PI,NULL,9,4
31-927,31927,PI,NULL,201,166
