Row Label,PrecinctCode,County,Registered Voters,Yes,No
28-504,28504,PI,NULL,261,374
28-505,28505,PI,NULL,289,453
28-506,28506,PI,NULL,261,396
28-507,28507,PI,NULL,247,277
28-508,28508,PI,NULL,126,151
28-509,28509,PI,NULL,0,0
28-515,28515,PI,NULL,273,482
28-516,28516,PI,NULL,307,372
28-517,28517,PI,NULL,332,358
28-518,28518,PI,NULL,290,324
28-519,28519,PI,NULL,285,360
28-520,28520,PI,NULL,261,359
28-521,28521,PI,NULL,281,412
28-522,28522,PI,NULL,270,415
28-523,28523,PI,NULL,320,371
28-524,28524,PI,NULL,329,415
28-525,28525,PI,NULL,298,437
28-526,28526,PI,NULL,204,293
28-527,28527,PI,NULL,284,447
28-528,28528,PI,NULL,268,395
28-529,28529,PI,NULL,238,297
28-530,28530,PI,NULL,138,139
28-531,28531,PI,NULL,253,333
28-535,28535,PI,NULL,290,422
28-536,28536,PI,NULL,299,373
28-537,28537,PI,NULL,258,417
28-538,28538,PI,NULL,204,321
28-540,28540,PI,NULL,306,435
28-541,28541,PI,NULL,264,292
28-542,28542,PI,NULL,259,351
28-543,28543,PI,NULL,278,225
28-545,28545,PI,NULL,283,295
28-546,28546,PI,NULL,258,289
28-547,28547,PI,NULL,291,427
28-548,28548,PI,NULL,247,253
28-549,28549,PI,NULL,226,362
28-550,28550,PI,NULL,230,219
28-551,28551,PI,NULL,394,355
28-552,28552,PI,NULL,313,353
28-553,28553,PI,NULL,302,340
28-554,28554,PI,NULL,302,341
28-555,28555,PI,NULL,312,396
28-556,28556,PI,NULL,253,242
28-557,28557,PI,NULL,271,211
28-558,28558,PI,NULL,225,236
28-559,28559,PI,NULL,276,276
28-560,28560,PI,NULL,334,389
28-561,28561,PI,NULL,183,193
28-562,28562,PI,NULL,182,145
28-563,28563,PI,NULL,104,72
28-565,28565,PI,NULL,239,230
28-566,28566,PI,NULL,237,247
28-567,28567,PI,NULL,284,269
28-568,28568,PI,NULL,228,332
28-570,28570,PI,NULL,4,5
28-571,28571,PI,NULL,7,5
28-572,28572,PI,NULL,228,242
28-573,28573,PI,NULL,158,160
28-574,28574,PI,NULL,59,39
28-575(*),28575,PI,NULL,0,0
28-576,28576,PI,NULL,288,291
28-577,28577,PI,NULL,11,7
28-578,28578,PI,NULL,56,57
28-579,28579,PI,NULL,41,32
28-580,28580,PI,NULL,57,34
28-581,28581,PI,NULL,175,140
28-582,28582,PI,NULL,124,70
28-583,28583,PI,NULL,216,120
28-584,28584,PI,NULL,219,125
28-585,28585,PI,NULL,390,180
28-586,28586,PI,NULL,297,165
28-587,28587,PI,NULL,246,104
28-588,28588,PI,NULL,387,175
28-589,28589,PI,NULL,354,196
28-590,28590,PI,NULL,12,8
29-600,29600,PI,NULL,0,0
29-601,29601,PI,NULL,193,195
29-602,29602,PI,NULL,173,169
29-603,29603,PI,NULL,182,233
29-604,29604,PI,NULL,221,200
29-605,29605,PI,NULL,187,179
29-606,29606,PI,NULL,263,212
29-607,29607,PI,NULL,237,280
29-608,29608,PI,NULL,191,190
29-609,29609,PI,NULL,164,149
29-610,29610,PI,NULL,230,193
29-611,29611,PI,NULL,58,49
29-612,29612,PI,NULL,117,118
29-613,29613,PI,NULL,238,236
29-614,29614,PI,NULL,239,268
29-615,29615,PI,NULL,256,238
29-616,29616,PI,NULL,231,213
29-617,29617,PI,NULL,227,210
29-618,29618,PI,NULL,183,195
29-619,29619,PI,NULL,242,179
29-620,29620,PI,NULL,126,110
29-621(*),29621,PI,NULL,0,0
29-622,29622,PI,NULL,192,135
29-623,29623,PI,NULL,47,41
29-624,29624,PI,NULL,0,0
29-625,29625,PI,NULL,3,5
29-626,29626,PI,NULL,6,7
29-627,29627,PI,NULL,0,0
29-633,29633,PI,NULL,24,13
29-635,29635,PI,NULL,47,62
29-636,29636,PI,NULL,265,270
29-637,29637,PI,NULL,167,202
29-638,29638,PI,NULL,94,107
29-639,29639,PI,NULL,202,200
29-640,29640,PI,NULL,224,187
29-641,29641,PI,NULL,223,197
29-642,29642,PI,NULL,274,206
29-643,29643,PI,NULL,25,15
29-648,29648,PI,NULL,5,4
29-649,29649,PI,NULL,72,53
29-650,29650,PI,NULL,219,199
29-651,29651,PI,NULL,308,209
29-652,29652,PI,NULL,21,22
29-653,29653,PI,NULL,222,203
