Row Label,PrecinctCode,County,Registered Voters,Shawn D. Myers
Tykle Cove,172,TH,NULL,222
Camelot,173,TH,NULL,145
French,174,TH,NULL,251
Sunset Beach,175,TH,NULL,272
Henderson,176,TH,NULL,323
Pattison,178,TH,NULL,232
Four Corners,179,TH,NULL,331
Stedman,180,TH,NULL,146
Munn Lake,182,TH,NULL,136
Beach Crest,183,TH,NULL,174
Scheller,184,TH,NULL,95
Fair Oaks,185,TH,NULL,169
Wilderness,186,TH,NULL,303
Mullen,187,TH,NULL,256
Sleater Kinney,189,TH,NULL,198
Lakeside,190,TH,NULL,112
Gallagher Cove,191,TH,NULL,348
East Olympia,192,TH,NULL,213
Berry Valley,193,TH,NULL,182
Hartwood,194,TH,NULL,355
Libby,195,TH,NULL,190
Meadows,196,TH,NULL,182
Summerset,197,TH,NULL,346
Henness,198,TH,NULL,328
Beaver Creek,199,TH,NULL,388
Olympia 01,201,TH,NULL,203
Olympia 02,202,TH,NULL,216
Olympia 03,203,TH,NULL,227
Olympia 04,204,TH,NULL,207
Olympia 05,205,TH,NULL,200
Olympia 06,206,TH,NULL,351
Olympia 07,207,TH,NULL,131
Olympia 08,208,TH,NULL,211
Olympia 09,209,TH,NULL,387
Olympia 10,210,TH,NULL,239
Olympia 11,211,TH,NULL,190
Olympia 12,212,TH,NULL,123
Olympia 13,213,TH,NULL,222
Olympia 14,214,TH,NULL,211
Olympia 15,215,TH,NULL,164
Olympia 16,216,TH,NULL,45
Olympia 17,217,TH,NULL,155
Olympia 18,218,TH,NULL,200
Olympia 19,219,TH,NULL,198
Olympia 20,220,TH,NULL,108
Olympia 21,221,TH,NULL,313
Olympia 23,223,TH,NULL,238
Olympia 24,224,TH,NULL,200
Olympia 25,225,TH,NULL,174
Olympia 26,226,TH,NULL,188
Olympia 27,227,TH,NULL,112
Olympia 28,228,TH,NULL,219
Olympia 29,229,TH,NULL,242
Olympia 30,230,TH,NULL,192
Olympia 31,231,TH,NULL,178
Olympia 32,232,TH,NULL,272
Olympia 35,235,TH,NULL,415
Olympia 36,236,TH,NULL,83
Olympia 37,237,TH,NULL,141
Olympia 38,238,TH,NULL,64
Olympia 39,239,TH,NULL,209
Olympia 40,240,TH,NULL,188
Olympia 41,241,TH,NULL,205
Olympia 42,242,TH,NULL,136
Olympia 43,243,TH,NULL,248
Olympia 44,244,TH,NULL,113
Olympia 45,245,TH,NULL,145
Olympia 46,246,TH,NULL,207
Olympia 47,247,TH,NULL,255
