Row Label,PrecinctCode,County,Registered Voters,Richard M. Leland,Timothy D. Trageser
PCT 6217,6217,SP,NULL,292,142
PCT 6218,6218,SP,NULL,254,102
PCT 6219,6219,SP,NULL,275,103
PCT 6220,6220,SP,NULL,275,148
PCT 6221,6221,SP,NULL,298,158
PCT 6222,6222,SP,NULL,255,63
PCT 6223,6223,SP,NULL,342,116
PCT 6224,6224,SP,NULL,260,112
PCT 6225,6225,SP,NULL,335,106
PCT 6300,6300,SP,NULL,449,169
PCT 6301,6301,SP,NULL,373,174
PCT 6302,6302,SP,NULL,186,73
PCT 6303,6303,SP,NULL,345,188
PCT 6304,6304,SP,NULL,339,146
PCT 6305,6305,SP,NULL,175,63
PCT 6306,6306,SP,NULL,249,86
PCT 6307,6307,SP,NULL,136,48
PCT 6308,6308,SP,NULL,141,69
PCT 6309,6309,SP,NULL,245,131
PCT 6310,6310,SP,NULL,235,109
PCT 6311,6311,SP,NULL,215,103
PCT 6312,6312,SP,NULL,209,108
PCT 6313,6313,SP,NULL,269,132
PCT 6314,6314,SP,NULL,246,131
PCT 6315,6315,SP,NULL,147,77
PCT 6316,6316,SP,NULL,108,59
PCT 6317,6317,SP,NULL,189,94
PCT 6318,6318,SP,NULL,234,90
PCT 6400,6400,SP,NULL,189,103
PCT 6401,6401,SP,NULL,114,49
PCT 6402,6402,SP,NULL,239,99
PCT 6500,6500,SP,NULL,63,21
PCT 6600,6600,SP,NULL,228,124
PCT 6601,6601,SP,NULL,223,89
PCT 6602,6602,SP,NULL,248,116
PCT 6700,6700,SP,NULL,217,111
PCT 6701,6701,SP,NULL,209,124
PCT 6702,6702,SP,NULL,149,86
PCT 6703,6703,SP,NULL,199,96
PCT 6704,6704,SP,NULL,211,116
PCT 7000,7000,SP,NULL,339,169
PCT 7001,7001,SP,NULL,231,71
PCT 7002,7002,SP,NULL,218,80
PCT 7003,7003,SP,NULL,302,126
PCT 7004,7004,SP,NULL,251,117
PCT 7005,7005,SP,NULL,385,181
PCT 7006,7006,SP,NULL,283,113
PCT 7007,7007,SP,NULL,251,108
PCT 7008,7008,SP,NULL,300,140
PCT 7009,7009,SP,NULL,358,168
PCT 7010,7010,SP,NULL,213,96
PCT 7011,7011,SP,NULL,164,55
PCT 7012,7012,SP,NULL,248,113
PCT 7013,7013,SP,NULL,242,97
PCT 7014,7014,SP,NULL,226,93
PCT 7015,7015,SP,NULL,218,106
PCT 7016,7016,SP,NULL,325,158
PCT 7017,7017,SP,NULL,275,88
PCT 7018,7018,SP,NULL,334,115
PCT 7019,7019,SP,NULL,259,93
PCT 7020,7020,SP,NULL,273,96
PCT 7021,7021,SP,NULL,177,65
PCT 7022,7022,SP,NULL,207,95
PCT 7023,7023,SP,NULL,232,80
PCT 7024,7024,SP,NULL,348,115
PCT 7025,7025,SP,NULL,235,118
PCT 7026,7026,SP,NULL,272,114
PCT 7027,7027,SP,NULL,224,85
PCT 7028,7028,SP,NULL,352,130
PCT 7029,7029,SP,NULL,234,115
PCT 7030,7030,SP,NULL,282,106
PCT 7031,7031,SP,NULL,216,131
PCT 7032,7032,SP,NULL,243,145
PCT 7033,7033,SP,NULL,163,92
PCT 7034,7034,SP,NULL,160,88
PCT 7035,7035,SP,NULL,156,82
PCT 7036,7036,SP,NULL,224,67
PCT 7300,7300,SP,NULL,221,84
PCT 7301,7301,SP,NULL,209,72
PCT 7302,7302,SP,NULL,165,99
PCT 9000,9000,SP,NULL,293,101
PCT 9001,9001,SP,NULL,178,105
PCT 9002,9002,SP,NULL,179,68
PCT 9003,9003,SP,NULL,131,51
PCT 9004,9004,SP,NULL,248,96
PCT 9005,9005,SP,NULL,88,28
PCT 9006,9006,SP,NULL,260,98
PCT 9007,9007,SP,NULL,83,21
PCT 9008,9008,SP,NULL,36,16
PCT 9300,9300,SP,NULL,44,19
PCT 9400,9400,SP,NULL,17,10
PCT 9500,9500,SP,NULL,96,34
PCT 9600,9600,SP,NULL,41,15
PCT 9700,9700,SP,NULL,86,33
