Row Label,PrecinctCode,County,Registered Voters,Vicki Horton,Roger E Trainor
PCT 4440,4440,SP,NULL,317,166
PCT 4441,4441,SP,NULL,209,125
PCT 4442,4442,SP,NULL,213,113
PCT 4443,4443,SP,NULL,185,74
PCT 4444,4444,SP,NULL,353,133
PCT 4445,4445,SP,NULL,267,141
PCT 4446,4446,SP,NULL,180,76
PCT 4447,4447,SP,NULL,134,67
PCT 4448,4448,SP,NULL,221,129
PCT 4449,4449,SP,NULL,191,73
PCT 4450,4450,SP,NULL,158,68
PCT 4451,4451,SP,NULL,233,103
PCT 4452,4452,SP,NULL,226,124
PCT 4453,4453,SP,NULL,280,155
PCT 4454,4454,SP,NULL,224,89
PCT 4455,4455,SP,NULL,251,98
PCT 6000,6000,SP,NULL,245,91
PCT 6001,6001,SP,NULL,286,132
PCT 6002,6002,SP,NULL,95,30
PCT 6003,6003,SP,NULL,395,117
PCT 6004,6004,SP,NULL,254,71
PCT 6005,6005,SP,NULL,275,127
PCT 6006,6006,SP,NULL,309,138
PCT 6007,6007,SP,NULL,281,118
PCT 6008,6008,SP,NULL,258,103
PCT 6009,6009,SP,NULL,261,97
PCT 6010,6010,SP,NULL,48,15
PCT 6011,6011,SP,NULL,272,103
PCT 6012,6012,SP,NULL,189,87
PCT 6013,6013,SP,NULL,246,89
PCT 6014,6014,SP,NULL,177,67
PCT 6015,6015,SP,NULL,191,72
PCT 6016,6016,SP,NULL,199,96
PCT 6017,6017,SP,NULL,554,170
PCT 6018,6018,SP,NULL,463,130
PCT 6019,6019,SP,NULL,456,133
PCT 6020,6020,SP,NULL,518,131
PCT 6021,6021,SP,NULL,292,109
PCT 6022,6022,SP,NULL,351,106
PCT 6023,6023,SP,NULL,189,61
PCT 6024,6024,SP,NULL,221,54
PCT 6025,6025,SP,NULL,240,99
PCT 6026,6026,SP,NULL,443,178
PCT 6027,6027,SP,NULL,310,106
PCT 6028,6028,SP,NULL,244,112
PCT 6029,6029,SP,NULL,294,127
PCT 6030,6030,SP,NULL,414,184
PCT 6031,6031,SP,NULL,249,94
PCT 6032,6032,SP,NULL,223,66
PCT 6033,6033,SP,NULL,490,172
PCT 6034,6034,SP,NULL,325,182
PCT 6035,6035,SP,NULL,194,81
PCT 6036,6036,SP,NULL,192,85
PCT 6037,6037,SP,NULL,183,72
PCT 6100,6100,SP,NULL,180,67
PCT 6101,6101,SP,NULL,261,107
PCT 6102,6102,SP,NULL,284,97
PCT 6103,6103,SP,NULL,115,38
PCT 6104,6104,SP,NULL,190,84
PCT 6105,6105,SP,NULL,272,73
PCT 6106,6106,SP,NULL,348,133
PCT 6107,6107,SP,NULL,206,81
PCT 6108,6108,SP,NULL,223,72
PCT 6109,6109,SP,NULL,178,58
PCT 6200,6200,SP,NULL,415,119
PCT 6201,6201,SP,NULL,290,87
PCT 6202,6202,SP,NULL,351,102
PCT 6203,6203,SP,NULL,401,102
PCT 6204,6204,SP,NULL,444,131
PCT 6205,6205,SP,NULL,350,132
PCT 6206,6206,SP,NULL,407,110
PCT 6207,6207,SP,NULL,452,121
PCT 6208,6208,SP,NULL,405,128
PCT 6209,6209,SP,NULL,296,99
PCT 6210,6210,SP,NULL,432,119
PCT 6211,6211,SP,NULL,252,79
PCT 6212,6212,SP,NULL,191,79
PCT 6213,6213,SP,NULL,349,165
PCT 6214,6214,SP,NULL,292,92
PCT 6215,6215,SP,NULL,380,118
PCT 6216,6216,SP,NULL,358,93
PCT 6217,6217,SP,NULL,371,126
PCT 6218,6218,SP,NULL,350,87
PCT 6219,6219,SP,NULL,355,148
PCT 6220,6220,SP,NULL,411,126
PCT 6221,6221,SP,NULL,436,142
PCT 6222,6222,SP,NULL,323,76
PCT 6223,6223,SP,NULL,439,110
PCT 6224,6224,SP,NULL,308,128
PCT 6225,6225,SP,NULL,379,136
PCT 6300,6300,SP,NULL,550,181
PCT 6301,6301,SP,NULL,495,178
PCT 6302,6302,SP,NULL,241,90
PCT 6303,6303,SP,NULL,464,186
PCT 6304,6304,SP,NULL,443,156
PCT 6305,6305,SP,NULL,229,82
PCT 6306,6306,SP,NULL,300,140
PCT 6307,6307,SP,NULL,183,64
PCT 6308,6308,SP,NULL,173,106
PCT 6309,6309,SP,NULL,352,132
PCT 6310,6310,SP,NULL,301,98
PCT 6311,6311,SP,NULL,292,92
PCT 6312,6312,SP,NULL,281,104
PCT 6313,6313,SP,NULL,369,126
PCT 6314,6314,SP,NULL,300,127
PCT 6315,6315,SP,NULL,203,76
PCT 6316,6316,SP,NULL,175,36
PCT 6317,6317,SP,NULL,256,103
PCT 6318,6318,SP,NULL,290,99
PCT 6400,6400,SP,NULL,226,100
PCT 6401,6401,SP,NULL,134,52
PCT 6402,6402,SP,NULL,291,98
PCT 6500,6500,SP,NULL,76,23
PCT 6600,6600,SP,NULL,298,108
PCT 6601,6601,SP,NULL,265,99
PCT 6602,6602,SP,NULL,309,101
PCT 6700,6700,SP,NULL,257,120
PCT 6701,6701,SP,NULL,265,109
PCT 6702,6702,SP,NULL,177,83
PCT 6703,6703,SP,NULL,249,84
PCT 6704,6704,SP,NULL,265,114
PCT 7000,7000,SP,NULL,425,223
PCT 7001,7001,SP,NULL,242,123
PCT 7002,7002,SP,NULL,224,122
PCT 7003,7003,SP,NULL,338,161
PCT 7004,7004,SP,NULL,290,183
PCT 7005,7005,SP,NULL,419,244
PCT 7006,7006,SP,NULL,323,157
PCT 7007,7007,SP,NULL,256,166
PCT 7008,7008,SP,NULL,349,192
PCT 7009,7009,SP,NULL,388,237
PCT 7010,7010,SP,NULL,272,100
PCT 7011,7011,SP,NULL,191,105
PCT 7012,7012,SP,NULL,298,143
PCT 7013,7013,SP,NULL,267,157
PCT 7014,7014,SP,NULL,273,140
PCT 7015,7015,SP,NULL,303,130
PCT 7016,7016,SP,NULL,408,175
PCT 7017,7017,SP,NULL,315,151
PCT 7018,7018,SP,NULL,358,169
PCT 7019,7019,SP,NULL,291,137
PCT 7020,7020,SP,NULL,343,140
PCT 7021,7021,SP,NULL,197,82
PCT 7022,7022,SP,NULL,258,106
PCT 7023,7023,SP,NULL,251,104
PCT 7024,7024,SP,NULL,415,165
PCT 7025,7025,SP,NULL,303,112
PCT 7026,7026,SP,NULL,330,130
PCT 7027,7027,SP,NULL,234,119
PCT 7028,7028,SP,NULL,425,192
PCT 7029,7029,SP,NULL,260,155
PCT 7030,7030,SP,NULL,353,109
PCT 7031,7031,SP,NULL,276,121
PCT 7032,7032,SP,NULL,328,115
PCT 7033,7033,SP,NULL,202,95
PCT 7034,7034,SP,NULL,192,77
PCT 7035,7035,SP,NULL,179,107
PCT 7036,7036,SP,NULL,247,78
PCT 7300,7300,SP,NULL,268,119
PCT 7301,7301,SP,NULL,216,104
PCT 7302,7302,SP,NULL,220,90
PCT 9000,9000,SP,NULL,316,154
PCT 9001,9001,SP,NULL,235,114
PCT 9002,9002,SP,NULL,226,98
PCT 9003,9003,SP,NULL,146,81
PCT 9004,9004,SP,NULL,262,166
PCT 9005,9005,SP,NULL,92,72
PCT 9006,9006,SP,NULL,325,172
PCT 9007,9007,SP,NULL,88,44
PCT 9008,9008,SP,NULL,57,26
PCT 9300,9300,SP,NULL,65,23
PCT 9400,9400,SP,NULL,27,9
PCT 9500,9500,SP,NULL,102,47
PCT 9600,9600,SP,NULL,44,25
PCT 9700,9700,SP,NULL,102,43
