Row Label,PrecinctCode,County,Registered Voters,Hans Dunshee,Rob Toyer
MEADOW,14454300,SN,NULL,122,144
PEAK,14454311,SN,NULL,6,8
PENNANT,14454312,SN,NULL,211,192
PETERSON,14454313,SN,NULL,220,176
PINEWOOD,14454315,SN,NULL,163,125
WINDSONG,14454336,SN,NULL,157,114
WOODRIDGE,14454339,SN,NULL,221,171
DUBUQUE,14454345,SN,NULL,131,169
POINTE,14454358,SN,NULL,26,24
SUNRISE,14454364,SN,NULL,180,99
VALMONT,14454366,SN,NULL,89,89
HEARTHSTONE,14454458,SN,NULL,138,100
MARKS,14454464,SN,NULL,161,165
OSBORN,14454477,SN,NULL,143,126
PANTHER CREEK,14454478,SN,NULL,154,155
PIONEER TRAILS,14454480,SN,NULL,170,137
RIDGEWAY,14454482,SN,NULL,101,96
STITCH,14454485,SN,NULL,52,43
CENTENNIAL,14454490,SN,NULL,233,211
FIRCREST,14454493,SN,NULL,109,99
GREENWOOD,14454530,SN,NULL,161,160
HAVEN,14454531,SN,NULL,195,157
HILLSIDE,14454532,SN,NULL,52,78
OHLDE,14454549,SN,NULL,135,191
RUGGS LAKE,14454554,SN,NULL,197,146
FOUR CORNERS,14454580,SN,NULL,187,128
KNOX,14454585,SN,NULL,12,6
MORNING RISE,14454588,SN,NULL,163,123
PELLERIN,14454634,SN,NULL,147,135
KENSINGTON,14454648,SN,NULL,87,71
OVERLOOK,14454706,SN,NULL,206,176
MARYSVILLE  5,24411428,SN,NULL,194,193
MARYSVILLE 16,24411466,SN,NULL,155,207
MARYSVILLE 19,24411494,SN,NULL,119,145
MARYSVILLE 21,24411540,SN,NULL,202,261
MARYSVILLE 22,24411541,SN,NULL,191,211
MARYSVILLE 23,24411542,SN,NULL,204,213
MARYSVILLE 24,24411543,SN,NULL,126,134
MARYSVILLE 14,24411628,SN,NULL,176,230
MARYSVILLE 12,24411676,SN,NULL,174,157
MARYSVILLE 30,24411677,SN,NULL,146,200
MARYSVILLE 31,24411678,SN,NULL,198,248
MARYSVILLE 34,24411701,SN,NULL,117,130
MARYSVILLE 55,24411748,SN,NULL,98,118
EBEY,24424001,SN,NULL,14,24
WHALEBACK,24424019,SN,NULL,12,11
EASTMONT,24424126,SN,NULL,159,82
FIRGROVE,24424528,SN,NULL,121,88
SILVER LAKE,24444074,SN,NULL,158,109
DUMAS,24444285,SN,NULL,150,141
HOLIDAY,24444294,SN,NULL,85,59
HILTONS LAKE,24454086,SN,NULL,162,165
RIVERCREST,24454172,SN,NULL,109,108
TOWER,24454197,SN,NULL,183,107
VILLE,24454198,SN,NULL,63,72
JORDAN,24454295,SN,NULL,263,188
LANTERN(*),24454341,SN,NULL,0,0
SLIVER(*),24454591,SN,NULL,0,0
GLEN ACRES(*),24454698,SN,NULL,0,0
