Row Label,PrecinctCode,County,Registered Voters,Laurie Thomas
RAT LAKE,178,OK,NULL,29
BREWSTER FLAT,179,OK,NULL,39
BREWSTER #3,180,OK,NULL,32
BREWSTER #4,181,OK,NULL,13
BREWSTER #5,182,OK,NULL,24
BREWSTER #6,183,OK,NULL,20
PIONEER,184,OK,NULL,45
COLEMAN BUTTE,185,OK,NULL,43
ASTON,186,OK,NULL,29
WEST RIVER,187,OK,NULL,27
OMAK RIVER,188,OK,NULL,45
CHEROKEE,189,OK,NULL,56
NICHOLS,190,OK,NULL,28
LONE PINE,191,OK,NULL,25
OMAK MTN,192,OK,NULL,21
OMAK LAKE,193,OK,NULL,23
FIKER,194,OK,NULL,39
ROSS CANYON,195,OK,NULL,48
HENDRICK,196,OK,NULL,64
DIXON,197,OK,NULL,42
KERMEL,198,OK,NULL,48
GLOVER,199,OK,NULL,52
FLETCHER,200,OK,NULL,42
MOCK,201,OK,NULL,45
OMAK #10,202,OK,NULL,48
OMAK #11,203,OK,NULL,67
OMAK #12,204,OK,NULL,45
OMAK #13,205,OK,NULL,31
OMAK #14,206,OK,NULL,30
OMAK #15,207,OK,NULL,56
OMAK #16,208,OK,NULL,38
OMAK #17,209,OK,NULL,55
OMAK #18,210,OK,NULL,27
OMAK #19,211,OK,NULL,29
OMAK #20,212,OK,NULL,47
OMAK #21,213,OK,NULL,28
OMAK #22,214,OK,NULL,45
OMAK #23,215,OK,NULL,20
OMAK #24,216,OK,NULL,32
OKANOGAN #5,217,OK,NULL,43
OKANOGAN #6,218,OK,NULL,42
OKANOGAN #7,219,OK,NULL,19
OKANOGAN #8,220,OK,NULL,35
OKANOGAN #9,221,OK,NULL,40
OKANOGAN #10,222,OK,NULL,47
OKANOGAN #11,223,OK,NULL,46
OKANOGAN #12,224,OK,NULL,29
OKANOGAN #13,225,OK,NULL,25
AVIATION,226,OK,NULL,25
SUNSET LAKES,236,OK,NULL,16
FLATS,237,OK,NULL,42
