Row Label,PrecinctCode,County,Registered Voters,Marko Liias,Dan Matthews
RHODY RIDGE,22144481,SN,NULL,101,103
FILBERT,22144527,SN,NULL,191,167
MEADOWCREST,22144546,SN,NULL,152,128
TERRACE,22144556,SN,NULL,37,28
ELFIN,22144578,SN,NULL,78,89
BUTTERNUT,22144689,SN,NULL,153,128
POPPY,22144707,SN,NULL,91,100
EDMONDS  1,72131101,SN,NULL,168,165
EDMONDS  2,72131102,SN,NULL,188,166
EDMONDS  3,72131103,SN,NULL,234,149
EDMONDS  4,72131104,SN,NULL,189,114
EDMONDS  5,72131105,SN,NULL,125,87
EDMONDS  7,72131107,SN,NULL,263,159
EDMONDS  8,72131108,SN,NULL,261,190
EDMONDS  9,72131109,SN,NULL,131,107
EDMONDS 10,72131110,SN,NULL,229,166
EDMONDS 13,72131111,SN,NULL,259,152
EDMONDS 17,72131127,SN,NULL,175,115
EDMONDS 22,72131147,SN,NULL,197,134
EDMONDS 23,72131148,SN,NULL,198,217
EDMONDS 28,72131155,SN,NULL,185,140
EDMONDS 29,72131156,SN,NULL,233,112
EDMONDS 30,72131157,SN,NULL,164,99
EDMONDS 31,72131158,SN,NULL,210,140
EDMONDS 32,72131159,SN,NULL,189,128
EDMONDS 33,72131160,SN,NULL,178,114
EDMONDS 34,72131161,SN,NULL,199,139
EDMONDS 35,72131162,SN,NULL,142,140
EDMONDS 36,72131163,SN,NULL,185,138
EDMONDS 37,72131164,SN,NULL,187,124
EDMONDS 21,72131390,SN,NULL,235,199
EDMONDS 24,72131391,SN,NULL,157,88
EDMONDS 26,72131392,SN,NULL,141,103
EDMONDS 38,72131393,SN,NULL,185,174
EDMONDS 39,72131447,SN,NULL,214,212
EDMONDS 46,72131524,SN,NULL,297,254
EDMONDS 51,72131565,SN,NULL,184,125
EDMONDS 11,72131694,SN,NULL,214,176
