Row Label,PrecinctCode,County,Registered Voters,Linda Lee
29-667,29667,PI,NULL,351
29-668,29668,PI,NULL,251
29-669,29669,PI,NULL,337
29-670,29670,PI,NULL,348
29-671,29671,PI,NULL,284
29-672,29672,PI,NULL,196
29-673,29673,PI,NULL,359
29-674,29674,PI,NULL,110
29-675,29675,PI,NULL,343
29-676,29676,PI,NULL,323
29-677,29677,PI,NULL,326
29-678,29678,PI,NULL,256
29-679,29679,PI,NULL,266
29-680,29680,PI,NULL,264
29-682,29682,PI,NULL,317
29-683,29683,PI,NULL,340
30-701,30701,PI,NULL,13
30-705,30705,PI,NULL,173
30-706,30706,PI,NULL,257
30-707,30707,PI,NULL,159
30-708,30708,PI,NULL,244
30-709,30709,PI,NULL,265
30-713,30713,PI,NULL,4
31-801,31801,PI,NULL,193
31-802,31802,PI,NULL,273
31-803,31803,PI,NULL,307
31-804,31804,PI,NULL,272
31-805,31805,PI,NULL,301
31-806,31806,PI,NULL,334
31-807,31807,PI,NULL,2
31-808,31808,PI,NULL,265
31-809,31809,PI,NULL,279
31-810,31810,PI,NULL,163
31-813,31813,PI,NULL,152
31-814,31814,PI,NULL,40
31-815,31815,PI,NULL,225
31-816,31816,PI,NULL,271
31-817,31817,PI,NULL,335
31-818,31818,PI,NULL,81
31-819,31819,PI,NULL,135
31-822,31822,PI,NULL,232
31-823,31823,PI,NULL,199
31-824,31824,PI,NULL,0
31-825,31825,PI,NULL,254
31-826,31826,PI,NULL,317
31-827,31827,PI,NULL,78
31-828,31828,PI,NULL,279
31-829,31829,PI,NULL,266
31-830,31830,PI,NULL,119
31-833,31833,PI,NULL,276
31-834,31834,PI,NULL,220
31-835,31835,PI,NULL,437
31-836,31836,PI,NULL,262
31-837,31837,PI,NULL,233
31-838,31838,PI,NULL,207
31-839,31839,PI,NULL,24
31-840,31840,PI,NULL,125
31-841,31841,PI,NULL,143
31-842,31842,PI,NULL,236
31-843,31843,PI,NULL,190
31-844,31844,PI,NULL,181
31-845,31845,PI,NULL,241
31-846,31846,PI,NULL,116
31-847,31847,PI,NULL,137
31-848,31848,PI,NULL,40
31-849,31849,PI,NULL,103
31-853,31853,PI,NULL,52
31-854,31854,PI,NULL,144
31-855,31855,PI,NULL,186
31-856,31856,PI,NULL,232
31-857,31857,PI,NULL,149
31-861,31861,PI,NULL,80
31-865,31865,PI,NULL,84
31-869,31869,PI,NULL,143
31-873,31873,PI,NULL,64
31-874,31874,PI,NULL,0
31-875,31875,PI,NULL,338
31-876,31876,PI,NULL,22
31-877,31877,PI,NULL,136
31-879,31879,PI,NULL,70
31-880,31880,PI,NULL,110
31-881,31881,PI,NULL,172
31-882,31882,PI,NULL,262
31-883,31883,PI,NULL,345
31-884,31884,PI,NULL,307
31-885,31885,PI,NULL,119
31-886,31886,PI,NULL,259
31-887,31887,PI,NULL,223
31-888,31888,PI,NULL,234
31-890,31890,PI,NULL,167
31-891,31891,PI,NULL,95
31-892,31892,PI,NULL,195
31-893,31893,PI,NULL,0
31-894,31894,PI,NULL,40
31-895,31895,PI,NULL,227
31-896,31896,PI,NULL,4
31-897,31897,PI,NULL,136
31-898,31898,PI,NULL,294
31-899,31899,PI,NULL,173
31-900,31900,PI,NULL,199
31-901,31901,PI,NULL,38
31-902,31902,PI,NULL,414
31-903,31903,PI,NULL,3
31-904,31904,PI,NULL,53
31-905,31905,PI,NULL,269
31-906,31906,PI,NULL,165
31-907,31907,PI,NULL,252
31-908,31908,PI,NULL,210
31-909,31909,PI,NULL,243
31-910,31910,PI,NULL,238
31-911,31911,PI,NULL,155
31-912,31912,PI,NULL,206
31-913,31913,PI,NULL,107
31-914,31914,PI,NULL,210
31-915,31915,PI,NULL,51
31-916,31916,PI,NULL,242
31-917,31917,PI,NULL,369
31-919,31919,PI,NULL,263
31-920,31920,PI,NULL,213
31-921,31921,PI,NULL,226
31-923,31923,PI,NULL,174
31-924,31924,PI,NULL,169
31-925,31925,PI,NULL,84
31-926,31926,PI,NULL,8
31-927,31927,PI,NULL,229
